,PL0518~1,
Wavenumbers [1/cm],Intensity,
3014.167,0,
3011.256,-2.3499678,
3008.346,141.64331,
3005.435,154.96113,
3002.525,145.86745,
2999.614,170.75327,
2996.704,180.54846,
2993.793,185.88537,
2990.882,198.33577,
2987.972,203.96973,
2985.061,212.63056,
2982.151,222.19327,
2979.240,226,
2976.329,236.51911,
2973.419,239.30809,
2970.508,231.63329,
2967.598,249.28313,
2964.687,246.93954,
2961.777,255.47004,
2958.866,256.99406,
2955.955,262.72345,
2953.045,282.56825,
2950.134,290.96792,
2947.224,278.08541,
2944.313,296.73006,
2941.403,292.53513,
2938.492,307.20328,
2935.581,308.94116,
2932.671,316.3948,
2929.760,306.03849,
2926.850,334.21616,
2923.939,319.87849,
2921.028,336.55894,
2918.118,315.98111,
2915.207,332.65199,
2912.297,346.96192,
2909.386,335.41605,
2906.476,346.83707,
2903.565,342.49851,
2900.654,354.76544,
2897.744,339.92457,
2894.833,329.464,
2891.923,333.5417,
2889.012,320.2948,
2886.102,314.22837,
2883.191,292.0236,
2880.280,255.40669,
2877.370,184.84319,
2874.459,149.07525,
2871.549,200.83005,
2868.638,348.23499,
2865.727,339.19606,
2862.817,359.78477,
2859.906,370.12537,
2856.996,343.48415,
2854.085,376.92863,
2851.175,362.1175,
2848.264,384.82399,
2845.353,364.65493,
2842.443,354.98956,
2839.532,360.11943,
2836.622,351.028,
2833.711,343.68132,
2830.801,369.48162,
2827.890,373.08392,
2824.979,385.62993,
2822.069,377.0796,
2819.158,386.66038,
2816.248,380.54053,
2813.337,387.02073,
2810.427,396.43388,
2807.516,387.89938,
2804.605,388.10819,
2801.695,406.86842,
2798.784,393.961,
2795.874,390.5752,
2792.963,403.71468,
2790.052,402.00236,
2787.142,388.35527,
2784.231,377.64598,
2781.321,394.12572,
2778.410,399.73476,
2775.500,396.57552,
2772.589,394.92354,
2769.678,405.71329,
2766.768,399.44853,
2763.857,393.68594,
2760.947,397.93696,
2758.036,403.2485,
2755.126,403.56411,
2752.215,417.14993,
2749.304,398.91548,
2746.394,422.18956,
2743.483,418.99995,
2740.573,424.45131,
2737.662,416.69082,
2734.751,426.85932,
2731.841,412.18864,
2728.930,420.12285,
2726.020,421.77546,
2723.109,406.70125,
2720.199,443.11885,
2717.288,430.08759,
2714.377,424.90426,
2711.467,433.95055,
2708.556,447.04253,
2705.646,448,
2702.735,449.83763,
2699.825,444.21814,
2696.914,448.57184,
2694.003,449.89918,
2691.093,452.4284,
2688.182,467.09259,
2685.272,448.11522,
2682.361,459.02948,
2679.450,456,
2676.540,444.32519,
2673.629,459.66816,
2670.719,473.77358,
2667.808,465.8268,
2664.898,475.32491,
2661.987,468.80013,
2659.076,480.10991,
2656.166,478.70994,
2653.255,478.63095,
2650.345,497.73684,
2647.434,489.77165,
2644.524,496.45563,
2641.613,490.57134,
2638.702,488.01578,
2635.792,493.40578,
2632.881,498.73211,
2629.971,519.19475,
2627.060,501.16407,
2624.149,503.62503,
2621.239,507.5504,
2618.328,528.94032,
2615.418,500.02272,
2612.507,498.68771,
2609.597,505.81637,
2606.686,519.49396,
2603.775,519.88493,
2600.865,529.88394,
2597.954,536.85006,
2595.044,520.60762,
2592.133,532.77706,
2589.223,544.48212,
2586.312,524.15068,
2583.401,555.34672,
2580.491,538.85101,
2577.580,532.0198,
2574.670,547.04411,
2571.759,552.79795,
2568.848,536.18224,
2565.938,533.85694,
2563.027,548.19326,
2560.117,544.42995,
2557.206,562.23247,
2554.296,560.51487,
2551.385,560.80998,
2548.474,571.37063,
2545.564,573.12662,
2542.653,568.6208,
2539.743,579.92606,
2536.832,579.20374,
2533.922,581.87385,
2531.011,572.62512,
2528.100,576.99654,
2525.190,578.46598,
2522.279,573.75037,
2519.369,581.15142,
2516.458,581.34631,
2513.548,576.58209,
2510.637,588.55334,
2507.726,592.31597,
2504.816,594.93913,
2501.905,602.56524,
2498.995,595.35831,
2496.084,606.21257,
2493.173,615.23675,
2490.263,599.4384,
2487.352,607.08347,
2484.442,615.2655,
2481.531,627.31387,
2478.621,627.0711,
2475.710,651.89265,
2472.799,635.28703,
2469.889,626.03047,
2466.978,626.44329,
2464.068,647.11118,
2461.157,638.88255,
2458.247,633.4118,
2455.336,637.34051,
2452.425,630.75943,
2449.515,665.47194,
2446.604,671.76962,
2443.694,675.0469,
2440.783,674.90315,
2437.872,663.56242,
2434.962,654.8894,
2432.051,663.97533,
2429.141,671.4058,
2426.230,670.26076,
2423.320,680.94274,
2420.409,682.59622,
2417.498,685.97473,
2414.588,692,
2411.677,723.96011,
2408.767,699.28838,
2405.856,718.3809,
2402.946,727.63092,
2400.035,699.12909,
2397.124,701.47057,
2394.214,708.34841,
2391.303,698.61314,
2388.393,717.47908,
2385.482,711.35249,
2382.571,705.63251,
2379.661,720.48835,
2376.750,738.04917,
2373.840,719.19389,
2370.929,763.42603,
2368.019,750.49447,
2365.108,740.79058,
2362.197,751.55621,
2359.287,773.16825,
2356.376,760.02994,
2353.466,755.63702,
2350.555,761.01054,
2347.645,782.8159,
2344.734,769.39168,
2341.823,757.14925,
2338.913,777.53284,
2336.002,777.77514,
2333.092,783.01134,
2330.181,790.75447,
2327.270,793.83498,
2324.360,799.88205,
2321.449,808.7687,
2318.539,804.04282,
2315.628,815.76419,
2312.718,808.51762,
2309.807,805.45349,
2306.896,802.53522,
2303.986,826.44165,
2301.075,807.91501,
2298.165,784.80763,
2295.254,817.26754,
2292.344,853.6391,
2289.433,822.31273,
2286.522,832.91505,
2283.612,844.54974,
2280.701,823.09421,
2277.791,868,
2274.880,869.92596,
2271.969,870.03703,
2269.059,871.28884,
2266.148,878.0818,
2263.238,853.61006,
2260.327,878.48282,
2257.417,889.50722,
2254.506,900.76352,
2251.595,897.71272,
2248.685,910.78457,
2245.774,895.17617,
2242.864,901.42641,
2239.953,925.64131,
2237.043,924.36252,
2234.132,913.46229,
2231.221,917.73641,
2228.311,910.78093,
2225.400,920.3808,
2222.490,904.75583,
2219.579,929.6581,
2216.669,953.88076,
2213.758,967.25881,
2210.847,953.7456,
2207.937,985.57487,
2205.026,971.33324,
2202.116,979.76857,
2199.205,997.23741,
2196.294,990.57002,
2193.384,1020.9461,
2190.473,1041.1479,
2187.563,1051.9275,
2184.652,1041.5184,
2181.742,1063.4541,
2178.831,1072.5876,
2175.920,1113.0692,
2173.010,1152.8271,
2170.099,1168.1994,
2167.189,1228.3157,
2164.278,1280.5106,
2161.368,1335.4279,
2158.457,1377.8066,
2155.546,1443.3472,
2152.636,1499.5371,
2149.725,1543.2953,
2146.815,1620.5307,
2143.904,1677.4981,
2140.993,1674.8624,
2138.083,1675.5289,
2135.172,1706.6557,
2132.262,1727.346,
2129.351,1735.3898,
2126.441,1704.8931,
2123.530,1687.9898,
2120.619,1592.5324,
2117.709,1531.6961,
2114.798,1451.3036,
2111.888,1375.0517,
2108.977,1318.9271,
2106.067,1286.7654,
2103.156,1229.8494,
2100.245,1208.0013,
2097.335,1202.2932,
2094.424,1149.1115,
2091.514,1151.4919,
2088.603,1120.9125,
2085.692,1120.9144,
2082.782,1119.8635,
2079.871,1142.7514,
2076.961,1130.2916,
2074.050,1092.4727,
2071.140,1135.2074,
2068.229,1109.8984,
2065.318,1123.3828,
2062.408,1113.1664,
2059.497,1126.6488,
2056.587,1126.6863,
2053.676,1088.9686,
2050.766,1107.8445,
2047.855,1078.057,
2044.944,1082.5272,
2042.034,1100.422,
2039.123,1116.5623,
2036.213,1133.6933,
2033.302,1117.2175,
2030.391,1112.8643,
2027.481,1116.4878,
2024.570,1143.1279,
2021.660,1121.6556,
2018.749,1141.6581,
2015.839,1131.2513,
2012.928,1116.7819,
2010.017,1111.519,
2007.107,1113.3701,
2004.196,1110.75,
2001.286,1134.2933,
