,PL1D26~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.875,
3011.256,-3.7750322,
3008.346,85.081181,
3005.435,105.29903,
3002.525,92.439877,
2999.614,104.20229,
2996.704,107.37913,
2993.793,123.37961,
2990.882,119.31012,
2987.972,106.9204,
2985.061,120.3085,
2982.151,117.94894,
2979.240,137.39307,
2976.329,138.89138,
2973.419,148.0596,
2970.508,147.02501,
2967.598,152.44488,
2964.687,152.47147,
2961.777,150.0971,
2958.866,160.54365,
2955.955,166.98118,
2953.045,162.70946,
2950.134,175.72632,
2947.224,179.13122,
2944.313,190.12215,
2941.403,190.26779,
2938.492,195.31132,
2935.581,191.12778,
2932.671,187.51015,
2929.760,189.60581,
2926.850,203.39756,
2923.939,201.67406,
2921.028,204.875,
2918.118,207.1546,
2915.207,200.34331,
2912.297,198.87077,
2909.386,214.81662,
2906.476,211.83565,
2903.565,207.48684,
2900.654,215.69908,
2897.744,215.71156,
2894.833,196.27718,
2891.923,190.1186,
2889.012,200.25072,
2886.102,188.21015,
2883.191,152.90238,
2880.280,115.98024,
2877.370,15.439143,
2874.459,11.875,
2871.549,68.454647,
2868.638,195.88318,
2865.727,192.72112,
2862.817,200.77474,
2859.906,234.22829,
2856.996,211.35009,
2854.085,214.23424,
2851.175,219.18523,
2848.264,222.875,
2845.353,215.11224,
2842.443,227.47221,
2839.532,213.57659,
2836.622,206.45377,
2833.711,218.24548,
2830.801,220.37132,
2827.890,228.21068,
2824.979,234.73904,
2822.069,244.86363,
2819.158,238.17419,
2816.248,236.34605,
2813.337,245.0811,
2810.427,244.13257,
2807.516,239.77438,
2804.605,251.24038,
2801.695,247.13816,
2798.784,246.09677,
2795.874,230.86443,
2792.963,239.58926,
2790.052,237.87521,
2787.142,227.875,
2784.231,237.80977,
2781.321,249.05782,
2778.410,242.26966,
2775.500,251.40672,
2772.589,233.37576,
2769.678,239.30506,
2766.768,236.12161,
2763.857,242.29504,
2760.947,237.90022,
2758.036,256.27636,
2755.126,242.05877,
2752.215,251.3658,
2749.304,253.47031,
2746.394,248.56853,
2743.483,258.72498,
2740.573,258.32631,
2737.662,252.78919,
2734.751,262.05958,
2731.841,256.76694,
2728.930,256.40472,
2726.020,246.76273,
2723.109,248.53475,
2720.199,263.34699,
2717.288,260.4699,
2714.377,257.07106,
2711.467,263.03874,
2708.556,275.52384,
2705.646,267.88906,
2702.735,261.89048,
2699.825,271.00589,
2696.914,286.73276,
2694.003,272.33354,
2691.093,256.51761,
2688.182,260.56685,
2685.272,269.99876,
2682.361,264.99836,
2679.450,272.16718,
2676.540,262.15954,
2673.629,274.21582,
2670.719,276.01364,
2667.808,283.63182,
2664.898,280.95282,
2661.987,281.7749,
2659.076,291.84051,
2656.166,275.42472,
2653.255,280.80527,
2650.345,291.61184,
2647.434,295.18909,
2644.524,285.17235,
2641.613,287.04659,
2638.702,291.84344,
2635.792,311.78227,
2632.881,305.02974,
2629.971,301.51256,
2627.060,301.03844,
2624.149,316.76876,
2621.239,314.64427,
2618.328,313.45113,
2615.418,306.52955,
2612.507,318.08051,
2609.597,296.44586,
2606.686,312.51154,
2603.775,304.95436,
2600.865,304.40402,
2597.954,322.875,
2595.044,328.1611,
2592.133,332.76029,
2589.223,319.9592,
2586.312,320.41267,
2583.401,320.69249,
2580.491,325.66823,
2577.580,324.87995,
2574.670,329.53542,
2571.759,330.02141,
2568.848,326.05179,
2565.938,329.73208,
2563.027,331.28868,
2560.117,331.94979,
2557.206,330.73847,
2554.296,332.30749,
2551.385,340.99092,
2548.474,347.76422,
2545.564,340.34983,
2542.653,342.88506,
2539.743,349.41813,
2536.832,350.40584,
2533.922,339.20615,
2531.011,358.50012,
2528.100,355.94121,
2525.190,361.61844,
2522.279,351.06259,
2519.369,352.15818,
2516.458,343.09526,
2513.548,350.58395,
2510.637,359.22762,
2507.726,371.13148,
2504.816,355.25042,
2501.905,357.875,
2498.995,365.27781,
2496.084,361.70082,
2493.173,380.40149,
2490.263,365.72921,
2487.352,370.3758,
2484.442,382.1598,
2481.531,375.50273,
2478.621,374.24943,
2475.710,375.90567,
2472.799,380.6149,
2469.889,378.02735,
2466.978,356.27722,
2464.068,388.18201,
2461.157,393.29751,
2458.247,383.19844,
2455.336,382.76738,
2452.425,362.91271,
2449.515,376.16816,
2446.604,408.28513,
2443.694,400.99093,
2440.783,410.06869,
2437.872,398.65621,
2434.962,395.23905,
2432.051,402.85033,
2429.141,398.18096,
2426.230,411.76675,
2423.320,419.77514,
2420.409,415.00959,
2417.498,421.66152,
2414.588,419.15259,
2411.677,419.65985,
2408.767,415.64567,
2405.856,416.65359,
2402.946,428.30395,
2400.035,423.28814,
2397.124,423.33488,
2394.214,425.79181,
2391.303,417.59316,
2388.393,431.35408,
2385.482,411.84436,
2382.571,425.03953,
2379.661,431.45629,
2376.750,432.19279,
2373.840,431.3656,
