,PL1F75~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.75,
3011.256,-2.5999678,
3008.346,47.893902,
3005.435,64.82774,
3002.525,56.06991,
2999.614,71.314954,
2996.704,73.89124,
2993.793,73.997696,
2990.882,81.963707,
2987.972,78.704595,
2985.061,79.503707,
2982.151,87.346635,
2979.240,97.217687,
2976.329,99.263651,
2973.419,97.41136,
2970.508,100.43336,
2967.598,98.702209,
2964.687,101.09307,
2961.777,107.46798,
2958.866,95.417162,
2955.955,106.89158,
2953.045,108.75,
2950.134,108.14358,
2947.224,114.69306,
2944.313,120.39031,
2941.403,117.58303,
2938.492,111.67686,
2935.581,131.07273,
2932.671,126.58688,
2929.760,128.92695,
2926.850,114.42218,
2923.939,127.95094,
2921.028,131.68536,
2918.118,129.6505,
2915.207,130.80693,
2912.297,135.72038,
2909.386,130.34124,
2906.476,132.39325,
2903.565,141.47518,
2900.654,146.85618,
2897.744,122.86315,
2894.833,117.31728,
2891.923,121.88791,
2889.012,109.79046,
2886.102,103.48109,
2883.191,68.776432,
2880.280,21.448553,
2877.370,-83.09277,
2874.459,-106.48894,
2871.549,-26.959645,
2868.638,112.71282,
2865.727,111.75763,
2862.817,128.00669,
2859.906,138.83832,
2856.996,136.22962,
2854.085,137.22899,
2851.175,143.60545,
2848.264,152.73066,
2845.353,144.8147,
2842.443,150.94443,
2839.532,147.21274,
2836.622,129.75,
2833.711,134.48313,
2830.801,136.05221,
2827.890,152.47902,
2824.979,156.88596,
2822.069,160.84098,
2819.158,157.72843,
2816.248,161.41605,
2813.337,173.14147,
2810.427,157.05165,
2807.516,166.80031,
2804.605,164.70673,
2801.695,160.71053,
2798.784,161.89785,
2795.874,157.59959,
2792.963,166.03574,
2790.052,164.75043,
2787.142,149.71042,
2784.231,152.2329,
2781.321,162.68714,
2778.410,165.48476,
2775.500,173.04759,
2772.589,158.32722,
2769.678,153.46677,
2766.768,154.92477,
2763.857,164.80202,
2760.947,166.79413,
2758.036,173.75,
2755.126,145.45513,
2752.215,168.68635,
2749.304,171.2392,
2746.394,181.93956,
2743.483,172.69998,
2740.573,175.86283,
2737.662,166.99408,
2734.751,175.05107,
2731.841,157.26282,
2728.930,178.15687,
2726.020,167.97454,
2723.109,167.97683,
2720.199,181.73133,
2717.288,173.46898,
2714.377,180.97492,
2711.467,182.9467,
2708.556,181.14368,
2705.646,168.60913,
2702.735,184.09021,
2699.825,188.30454,
2696.914,187.36909,
2694.003,173.62155,
2691.093,170.0713,
2688.182,180.49667,
2685.272,178.90932,
2682.361,181.53821,
2679.450,178.5031,
2676.540,174.99389,
2673.629,180.11327,
2670.719,185.37755,
2667.808,190.99318,
2664.898,185.34727,
2661.987,193.88336,
2659.076,190.38578,
2656.166,188.04006,
2653.255,187.63776,
2650.345,202.51044,
2647.434,206.97835,
2644.524,197.59172,
2641.613,200.55013,
2638.702,206.68688,
2635.792,203.09496,
2632.881,201.25583,
2629.971,212.85742,
2627.060,200.24719,
2624.149,216.77813,
2621.239,202.23518,
2618.328,209.28374,
2615.418,197.42273,
2612.507,199.09386,
2609.597,192.66816,
2606.686,216.60742,
2603.775,212.07143,
2600.865,210.63394,
2597.954,219.88755,
2595.044,213.3222,
2592.133,218.24028,
2589.223,207.75,
2586.312,213.62938,
2583.401,220.95437,
2580.491,219.47596,
2577.580,227.73185,
2574.670,218.68716,
2571.759,226.50257,
2568.848,225.45717,
2565.938,224.13078,
2563.027,236.50461,
2560.117,225.10515,
2557.206,233.27029,
2554.296,216.58524,
2551.385,241.24596,
2548.474,231.12026,
2545.564,211.3198,
2542.653,239.19296,
2539.743,226.18223,
2536.832,238.54626,
2533.922,220.89192,
2531.011,232.77474,
2528.100,243.94862,
2525.190,236.47254,
2522.279,229.78176,
2519.369,247.12758,
2516.458,254.31657,
2513.548,236.00498,
2510.637,228.79521,
2507.726,246.31134,
2504.816,250.31257,
2501.905,246.69207,
2498.995,247.85422,
2496.084,238.96257,
2493.173,252.40795,
2490.263,251.35678,
2487.352,261.9988,
2484.442,248.16755,
2481.531,262.5425,
2478.621,252.39449,
2475.710,253.78834,
2472.799,259.98317,
2469.889,260.35664,
2466.978,253.86343,
2464.068,257.53838,
2461.157,254.56238,
2458.247,265.79401,
2455.336,260.34492,
2452.425,260.18396,
2449.515,267.44856,
2446.604,277.58417,
2443.694,276.44823,
2440.783,274.79504,
2437.872,256.26051,
2434.962,271.58871,
2432.051,274.79935,
2429.141,267.05596,
2426.230,291.85946,
2423.320,292.2933,
2420.409,269.96802,
2417.498,264.94663,
2414.588,278.0123,
2411.677,290.78183,
2408.767,274.10925,
2405.856,298.46668,
2402.946,298.1727,
2400.035,282.66783,
2397.124,299.84092,
2394.214,286.372,
2391.303,283.31911,
2388.393,278.49651,
2385.482,294.04501,
2382.571,290.92734,
2379.661,293.07547,
2376.750,293.33135,
2373.840,292.80934,
2370.929,294.75,
2368.019,314.40087,
2365.108,311.12173,
2362.197,314.15274,
2359.287,308.1617,
2356.376,323.72006,
2353.466,325.70734,
2350.555,289.88518,
2347.645,307.22283,
2344.734,323.20624,
2341.823,311.98217,
2338.913,312.57239,
2336.002,309.15433,
2333.092,316.57738,
2330.181,318.20526,
2327.270,328.97993,
2324.360,337.49762,
2321.449,343.57992,
2318.539,337.34634,
2315.628,328.4986,
2312.718,338.64869,
2309.807,348.06687,
2306.896,341.01761,
2303.986,341.22397,
2301.075,327.81385,
2298.165,316.76908,
2295.254,343.12525,
2292.344,355.22723,
2289.433,341.07818,
2286.522,341.29017,
2283.612,357.93114,
2280.701,364.75,
2277.791,344.38933,
2274.880,345.16582,
2271.969,376.65535,
2269.059,369.51566,
2266.148,368.47955,
2263.238,369.64961,
2260.327,347.47437,
2257.417,371.93611,
2254.506,377.7728,
2251.595,371.0446,
2248.685,382.1634,
2245.774,387.84892,
2242.864,389.62033,
2239.953,382.97078,
2237.043,370.64642,
2234.132,396.02264,
2231.221,393.27446,
2228.311,392.70875,
2225.400,376.03145,
2222.490,382.77925,
2219.579,377.9557,
2216.669,409.17607,
2213.758,412.35652,
2210.847,396.07747,
2207.937,410.0578,
2205.026,416.30627,
2202.116,403.30519,
2199.205,421.33753,
2196.294,412.32002,
2193.384,429.90704,
2190.473,426.0223,
2187.563,432.81767,
2184.652,446.90061,
2181.742,448.63647,
2178.831,457.78505,
2175.920,473.74454,
2173.010,483.10034,
2170.099,490.81597,
2167.189,524.8074,
2164.278,536.12488,
2161.368,557.74976,
2158.457,574.61156,
2155.546,607.00676,
2152.636,621.14361,
2149.725,656.70299,
2146.815,670.51642,
2143.904,704.34852,
2140.993,706.57003,
2138.083,718.81994,
2135.172,717.16183,
2132.262,720.86532,
2129.351,688.05328,
2126.441,704.37144,
2123.530,705.17757,
2120.619,649.65847,
2117.709,622.49638,
2114.798,618.26903,
2111.888,573.83824,
2108.977,542.49171,
2106.067,518.58244,
2103.156,531.3467,
2100.245,509.73808,
2097.335,488.94372,
2094.424,476.7074,
2091.514,473.31446,
2088.603,454.15556,
2085.692,474.12158,
2082.782,468.30437,
2079.871,493.07321,
2076.961,489.52493,
2074.050,458.76818,
2071.140,476.81912,
2068.229,471.92056,
2065.318,486.5155,
2062.408,472.97694,
2059.497,473.38098,
2056.587,472.40135,
2053.676,468.56662,
2050.766,477.05717,
2047.855,478.26586,
2044.944,460.81891,
2042.034,458.06796,
2039.123,484.73316,
2036.213,505.57885,
2033.302,484.59795,
2030.391,489.98696,
2027.481,490.05494,
2024.570,484.37866,
2021.660,479.04565,
2018.749,489.01593,
2015.839,491.84908,
2012.928,470.42785,
2010.017,491.84013,
2007.107,494.421,
2004.196,491.71435,
2001.286,505.31185,
1998.375,494.79134,
1995.465,501.18928,
1992.554,480.96196,
1989.643,502.85134,
1986.733,465.48246,
1983.822,465.82829,
1980.912,495.15581,
1978.001,488.49582,
1975.090,485.35153,
1972.180,490.54254,
1969.269,495.61781,
1966.359,493.45269,
1963.448,511.01289,
1960.538,508.01188,
1957.627,523.58283,
1954.716,513.12345,
1951.806,538.50161,
1948.895,530.56179,
1945.985,509.1585,
1943.074,511.03044,
1940.164,507.1249,
1937.253,502.19341,
1934.342,519.35695,
1931.432,516.74053,
1928.521,513.54275,
1925.611,517.02923,
1922.700,523.87293,
1919.790,528.33379,
1916.879,547.35501,
1913.968,533.76844,
1911.058,572.84308,
1908.147,529.22589,
1905.237,511.55882,
1902.326,512.55147,
1899.415,518.58047,
1896.505,496.57529,
1893.594,496.56708,
1890.684,523.01781,
1887.773,561.92201,
1884.863,543.13497,
1881.952,549.46476,
1879.041,575.6363,
1876.131,566.09118,
1873.220,534.85608,
1870.310,566.02348,
1867.399,585.47811,
1864.489,594.59423,
1861.578,585.51963,
1858.667,534.01647,
1855.757,537.52207,
1852.846,560.709,
1849.936,550.95819,
1847.025,574.57726,
1844.114,562.1759,
1841.204,576.86888,
1838.293,573.27245,
1835.383,567.40099,
1832.472,587.39,
1829.562,571.19791,
1826.651,575.89577,
1823.740,594.94159,
1820.830,605.69494,
1817.919,579.24682,
1815.009,607.85559,
1812.098,589.51379,
1809.188,619.57938,
1806.277,588.50248,
1803.366,569.46536,
1800.456,609.00214,
1797.545,565.16117,
1794.635,599.39501,
1791.724,598.96366,
1788.813,581.759,
1785.903,603.65314,
1782.992,590.72469,
1780.082,577.81618,
1777.171,489.7425,
1774.261,461.01999,
1771.350,506.84427,
1768.439,578.32441,
1765.529,601.84544,
1762.618,623.98624,
1759.708,629.01099,
1756.797,641.28788,
1753.887,665.44388,
1750.976,655.44634,
1748.065,633.90668,
1745.155,634.02741,
1742.244,639.38496,
1739.334,631.47941,
1736.423,652.89202,
1733.512,649.19711,
1730.602,641.50595,
1727.691,653.03257,
1724.781,702.37144,
1721.870,697.04513,
1718.960,673.83866,
1716.049,664.71615,
1713.138,665.45999,
1710.228,687.50742,
1707.317,700.48029,
1704.407,703.54679,
1701.496,676.40357,
1698.586,683.91383,
1695.675,716.56409,
1692.764,767.03281,
1689.854,722.87202,
1686.943,731.37902,
1684.033,779.53302,
1681.122,748.31075,
1678.211,760.62627,
1675.301,756.76233,
1672.390,776.67523,
1669.480,752.09494,
1666.569,794.82618,
1663.659,801.50129,
1660.748,846.90425,
1657.837,855.14366,
1654.927,872.1877,
1652.016,849.38178,
1649.106,874.57863,
1646.195,867.82193,
1643.285,871.41081,
1640.374,900.35627,
1637.463,929.07426,
1634.553,947.57756,
1631.642,1002.6957,
1628.732,998.16478,
1625.821,1067.7794,
1622.911,1112.4964,
1620.000,1130.5232,
1617.089,1190.5361,
1614.179,1264.6349,
1611.268,1355.3296,
1608.358,1352.0778,
1605.447,1400.779,
1602.536,1426.1153,
1599.626,1408.4314,
1596.715,1424.902,
1593.805,1429.433,
1590.894,1403.3299,
1587.984,1392.8213,
1585.073,1361.1206,
1582.162,1386.6408,
1579.252,1375.5657,
1576.341,1384.567,
1573.431,1364.2548,
1570.520,1334.0543,
1567.610,1339.4169,
1564.699,1333.5996,
1561.788,1298.7644,
1558.878,1311.0122,
1555.967,1306.2334,
1553.057,1289.457,
1550.146,1256.481,
1547.235,1239.9307,
1544.325,1233.9636,
1541.414,1226.0497,
1538.504,1211.4187,
1535.593,1190.9855,
1532.683,1168.887,
1529.772,1159.7874,
1526.861,1142.8056,
1523.951,1111.7135,
1521.040,1116.2689,
1518.130,1099.8298,
1515.219,1089.8298,
1512.309,1103.2005,
1509.398,1111.8015,
1506.487,1082.9311,
1503.577,1084.9256,
1500.666,1091.6381,
1497.756,1094.0301,
1494.845,1130.7484,
1491.934,1058.9421,
1489.024,1117.6542,
1486.113,1079.8797,
1483.203,1069.6447,
1480.292,1039.9006,
1477.382,1012.1191,
1474.471,1012.1217,
1471.560,1043.5023,
1468.650,1043.1343,
1465.739,1038.3905,
1462.829,1029.2009,
1459.918,1030.4849,
1457.008,1050.9656,
1454.097,1049.4988,
1451.186,1049.632,
1448.276,1070.3224,
1445.365,1082.0391,
1442.455,1107.4441,
1439.544,1074.3776,
1436.633,1095.3319,
1433.723,1071.9932,
1430.812,1086.1985,
1427.902,1067.1333,
1424.991,1083.2453,
1422.081,1102.0995,
1419.170,1068.3235,
1416.259,1073.2808,
1413.349,1054.6033,
1410.438,1061.7456,
1407.528,1076.7624,
1404.617,1060.6134,
1401.707,1033.0314,
1398.796,1069.8967,
1395.885,1091.5056,
1392.975,1063.1049,
1390.064,1094.1614,
1387.154,1089.0114,
1384.243,1084.6825,
1381.332,1112.2368,
1378.422,1027.6051,
1375.511,1024.7947,
1372.601,1135.3384,
1369.690,1143.8928,
1366.780,1227.7057,
1363.869,1201.076,
1360.958,1193.9737,
1358.048,1237.722,
1355.137,1243.774,
1352.227,1216.5996,
1349.316,1253.9648,
1346.406,1317.2968,
1343.495,1283.7744,
1340.584,1275.4277,
1337.674,1330.1052,
1334.763,1301.0556,
1331.853,1335.3631,
1328.942,1308.2871,
1326.032,1309.6437,
1323.121,1296.6717,
1320.210,1343.6918,
1317.300,1332.5654,
1314.389,1335.0144,
1311.479,1360.4393,
1308.568,1373.1176,
1305.657,1397.0643,
1302.747,1388.3018,
1299.836,1376.6469,
1296.926,1422.9374,
1294.015,1513.0312,
1291.105,1520.2722,
1288.194,1580.6557,
1285.283,1580.7139,
1282.373,1637.3982,
1279.462,1686.9262,
1276.552,1706.1122,
1273.641,1716.5092,
1270.731,1717.75,
1267.820,1704.247,
1264.909,1650.2113,
1261.999,1632.5822,
1259.088,1655.3852,
1256.178,1650.7548,
1253.267,1654.3532,
1250.356,1611.0512,
1247.446,1561.5871,
1244.535,1519.9465,
1241.625,1484.0241,
1238.714,1450.6728,
1235.804,1409.5171,
1232.893,1365.5004,
1229.982,1363.1674,
1227.072,1345.9665,
1224.161,1323.7374,
1221.251,1278.0575,
1218.340,1278.0019,
1215.430,1267.0318,
1212.519,1257.1831,
1209.608,1253.4731,
1206.698,1232.1967,
1203.787,1224.2827,
1200.877,1223.4773,
1197.966,1251.3513,
1195.055,1281.7605,
1192.145,1319.8091,
1189.234,1342.4283,
1186.324,1382.0259,
1183.413,1392.5266,
1180.503,1375.1343,
1177.592,1382.5884,
1174.681,1373.8082,
1171.771,1339.7088,
1168.860,1337.9226,
1165.950,1323.2368,
1163.039,1333.7181,
1160.129,1349.7775,
1157.218,1336.0784,
1154.307,1314.121,
1151.397,1302.2374,
1148.486,1264.2024,
1145.576,1249.1718,
1142.665,1235.8531,
1139.754,1229.8682,
1136.844,1234.3524,
1133.933,1235.577,
1131.023,1216.3383,
1128.112,1202.5347,
1125.202,1203.8805,
1122.291,1175.0142,
1119.380,1211.8626,
1116.470,1223.3355,
1113.559,1212.378,
1110.649,1208.0952,
1107.738,1208.8216,
1104.828,1208.0856,
1101.917,1204.8624,
1099.006,1207.6571,
1096.096,1230.2662,
1093.185,1222.3642,
1090.275,1217.7036,
1087.364,1207.1443,
1084.453,1207.2497,
1081.543,1217.7615,
1078.632,1217.975,
1075.722,1204.5799,
1072.811,1227.4541,
1069.901,1195.1434,
1066.990,1228.3166,
1064.079,1237.4305,
1061.169,1233.3316,
1058.258,1227.2091,
1055.348,1231.099,
1052.437,1248.75,
1049.527,1249.3542,
1046.616,1264.9931,
1043.705,1279.0822,
1040.795,1298.7126,
