,PL33C7~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.25,
3011.256,-2.8499141,
3008.346,51.187132,
3005.435,61.559189,
3002.525,43.389821,
2999.614,53.265609,
2996.704,57.528354,
2993.793,83.529952,
2990.882,72.04765,
2987.972,74.69955,
2985.061,76.720459,
2982.151,85.585289,
2979.240,87.066539,
2976.329,93.760921,
2973.419,86.965147,
2970.508,94.283347,
2967.598,90.75,
2964.687,96.480978,
2961.777,89.160118,
2958.866,91.75,
2955.955,94.785394,
2953.045,104.48378,
2950.134,102.89868,
2947.224,109.46531,
2944.313,107.39031,
2941.403,109.79745,
2938.492,126.04811,
2935.581,113.43838,
2932.671,127.18775,
2929.760,118.42308,
2926.850,118.85451,
2923.939,127.94623,
2921.028,136.12642,
2918.118,128.68828,
2915.207,127.11091,
2912.297,135.75,
2909.386,125.34124,
2906.476,135.45504,
2903.565,114.99073,
2900.654,133.52654,
2897.744,141.81286,
2894.833,127.78128,
2891.923,114.53531,
2889.012,105.87717,
2886.102,101.16621,
2883.191,96.755664,
2880.280,81.549035,
2877.370,50.052375,
2874.459,29.108416,
2871.549,42.776638,
2868.638,130.52932,
2865.727,127.30765,
2862.817,133.54947,
2859.906,131.34544,
2856.996,133.29755,
2854.085,144.75634,
2851.175,129.8675,
2848.264,138.44633,
2845.353,135.0088,
2842.443,149.94443,
2839.532,142.33217,
2836.622,138.83984,
2833.711,136.90542,
2830.801,156.83603,
2827.890,156.75,
2824.979,150.97204,
2822.069,157.68177,
2819.158,150.98989,
2816.248,154.23263,
2813.337,154.70855,
2810.427,148.30922,
2807.516,159.59172,
2804.605,148.15865,
2801.695,155.40791,
2798.784,148.63708,
2795.874,144.89512,
2792.963,149.8216,
2790.052,154.74979,
2787.142,150.26312,
2784.231,148.58851,
2781.321,151.93858,
2778.410,153.92005,
2775.500,150.45241,
2772.589,143.90443,
2769.678,149.96503,
2766.768,151.61991,
2763.857,143.22399,
2760.947,148.26576,
2758.036,163.45708,
2755.126,148.03205,
2752.215,151.3681,
2749.304,161.45142,
2746.394,170.36294,
2743.483,162.69998,
2740.573,156.99111,
2737.662,158.76035,
2734.751,168.54122,
2731.841,167.18223,
2728.930,157.95343,
2726.020,154.53067,
2723.109,163.84267,
2720.199,157.49363,
2717.288,172.57482,
2714.377,151.59196,
2711.467,164.12693,
2708.556,168.70747,
2705.646,171.13029,
2702.735,157.93816,
2699.825,175.81544,
2696.914,190.56002,
