,PL3AE0~1,
Wavenumbers [1/cm],Intensity,
3014.167,-2,
3011.256,-1.5500107,
3008.346,138.35008,
3005.435,161.96467,
3002.525,159.56488,
2999.614,173.32729,
2996.704,189.45154,
2993.793,202.52304,
2990.882,201.38159,
2987.972,203.08072,
2985.061,222.10345,
2982.151,210.14789,
2979.240,232.40306,
2976.329,232.53003,
2973.419,242.55379,
2970.508,253.01662,
2967.598,246.38233,
2964.687,258.77581,
2961.777,259.47004,
2958.866,270.00148,
2955.955,271.79424,
2953.045,292.34899,
2950.134,292.8834,
2947.224,290.34163,
2944.313,312.78633,
2941.403,330.34535,
2938.492,325.03254,
2935.581,330.1399,
2932.671,329.03861,
2929.760,325.2077,
2926.850,326.10451,
2923.939,335.35981,
2921.028,339.08238,
2918.118,337.01889,
2915.207,334.47476,
2912.297,361.90268,
2909.386,361.97081,
2906.476,351.61236,
2903.565,343.11035,
2900.654,368.48334,
2897.744,360.86171,
2894.833,341.34037,
2891.923,345.21801,
2889.012,334.16763,
2886.102,327.97973,
2883.191,324.00189,
2880.280,267.34448,
2877.370,203.89546,
2874.459,169.25135,
2871.549,200.89558,
2868.638,342.73601,
2865.727,349.63841,
2862.817,361.07086,
2859.906,385.97436,
2856.996,378.49774,
2854.085,385.16178,
2851.175,367.71683,
2848.264,393.20116,
2845.353,370.40977,
2842.443,394.98956,
2839.532,386.14936,
2836.622,375.24154,
2833.711,377.83674,
2830.801,395.69044,
2827.890,389.27098,
2824.979,396.41996,
2822.069,407.11372,
2819.158,410.91913,
2816.248,391.28763,
2813.337,414.93782,
2810.427,396.25757,
2807.516,412.94234,
2804.605,409.02164,
2801.695,414.13158,
2798.784,408.51746,
2795.874,407.01585,
2792.963,396.50011,
2790.052,406.99828,
2787.142,398.60515,
2784.231,405.45029,
2781.321,397.88004,
2778.410,408.92513,
2775.500,408.29759,
2772.589,400.57722,
2769.678,401.28671,
2766.768,415.66799,
2763.857,417.158,
2760.947,412.96848,
2758.036,429.17847,
2755.126,426.6624,
2752.215,422.57708,
2749.304,420.33992,
2746.394,443.45971,
2743.483,436.74999,
2740.573,456.74344,
2737.662,424.36094,
2734.751,440.20878,
2731.841,448.7033,
2728.930,435.71202,
2726.020,435.1331,
2723.109,440.47442,
2720.199,454.05942,
2717.288,444.28102,
2714.377,428.06688,
2711.467,449.95055,
2708.556,468.77642,
2705.646,477.53522,
2702.735,469.68042,
2699.825,478.59816,
