,PL3E71~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.375,
3011.256,0.17501074,
3008.346,146.16735,
3005.435,166.1621,
3002.525,166.75755,
2999.614,162.37827,
2996.704,181.03222,
2993.793,190.36809,
2990.882,191.10594,
2987.972,190.69058,
2985.061,198.3048,
2982.151,198.67038,
2979.240,199.10693,
2976.329,208.12773,
2973.419,219.73257,
2970.508,221.54168,
2967.598,219.48524,
2964.687,238.05774,
2961.777,239.625,
2958.866,244.29068,
2955.955,260.04312,
2953.045,271.79054,
2950.134,263.01858,
2947.224,270.51112,
2944.313,274.71474,
2941.403,291.57755,
2938.492,262.51933,
2935.581,276.10353,
2932.671,282.14431,
2929.760,284.50578,
2926.850,284.88628,
2923.939,284.46613,
2921.028,278.31321,
2918.118,295.00409,
2915.207,294.68838,
2912.297,292.65462,
2909.386,305.6177,
2906.476,298.59411,
2903.565,302.1576,
2900.654,291.73118,
2897.744,300.1724,
2894.833,280.29481,
2891.923,312.3558,
2889.012,280.42269,
2886.102,271.49796,
2883.191,272.63066,
2880.280,215.19914,
2877.370,95.06128,
2874.459,13.725858,
2871.549,122.91535,
2868.638,254.95071,
2865.727,283.49804,
2862.817,289.15308,
2859.906,302.38567,
2856.996,330.13179,
2854.085,318.94221,
2851.175,320.83886,
2848.264,325.04666,
2845.353,334.15053,
2842.443,323.8055,
2839.532,332.86385,
2836.622,322.625,
2833.711,320.52139,
2830.801,324.91985,
2827.890,328.60578,
2824.979,342.40296,
2822.069,351.68186,
2819.158,350.92419,
2816.248,346.10763,
2813.337,341.96524,
2810.427,351.79442,
2807.516,361.30844,
2804.605,351.53845,
2801.695,350.33556,
2798.784,359.77285,
2795.874,344.46931,
2792.963,366.91096,
2790.052,351.6295,
2787.142,354.58542,
2784.231,340.07687,
2781.321,356.36779,
2778.410,339.69987,
2775.500,333.43466,
2772.589,353.35665,
2769.678,368.48165,
2766.768,367.37839,
2763.857,353.83695,
2760.947,357.07141,
2758.036,379.96914,
2755.126,364.57586,
2752.215,377.66602,
2749.304,375.15739,
2746.394,368.10684,
2743.483,380.77497,
2740.573,386.625,
2737.662,376.19896,
2734.751,388.06676,
2731.841,384.05723,
2728.930,391.87071,
2726.020,391.28299,
2723.109,381.07867,
2720.199,393.91872,
2717.288,392.64324,
2714.377,400.6873,
2711.467,406.65796,
2708.556,402.27384,
2705.646,405.625,
2702.735,411.45232,
2699.825,408.07046,
2696.914,415.48228,
2694.003,410.95509,
2691.093,395.60695,
2688.182,404.37167,
2685.272,411.97919,
2682.361,425.26037,
2679.450,416.67029,
2676.540,408.05181,
2673.629,421.32459,
2670.719,408.55199,
2667.808,408.67364,
2664.898,433.40418,
2661.987,428.82487,
2659.076,427.11638,
2656.166,433.75483,
2653.255,441.21854,
2650.345,444.1132,
2647.434,454.11057,
2644.524,450.55546,
2641.613,445.39621,
2638.702,451.46719,
2635.792,432.34384,
2632.881,448.94614,
2629.971,462.49749,
2627.060,469.2925,
2624.149,469.05624,
2621.239,465.35277,
2618.328,454.75216,
2615.418,458.28864,
2612.507,462.72776,
2609.597,468.25773,
2606.686,463.40412,
2603.775,470.94643,
2600.865,475.625,
2597.954,492.48126,
2595.044,491.93767,
2592.133,488.67588,
2589.223,497.89028,
2586.312,496.33352,
2583.401,500.58484,
2580.491,491.9952,
2577.580,471.68606,
2574.670,504.1972,
2571.759,490.42295,
2568.848,505.08917,
2565.938,490.76778,
2563.027,510.04086,
2560.117,503.65299,
2557.206,504.28182,
2554.296,500.40074,
2551.385,519.50101,
2548.474,544.5514,
2545.564,519.7646,
2542.653,524.08809,
2539.743,523.15581,
2536.832,537.99323,
2533.922,549.57769,
2531.011,539.75058,
2528.100,528.02223,
2525.190,532.83443,
2522.279,540.85949,
2519.369,535.36147,
2516.458,534.41891,
2513.548,557.47948,
2510.637,565.50203,
2507.726,560.50232,
2504.816,545.74901,
2501.905,550.17561,
2498.995,572.26669,
2496.084,567.23824,
2493.173,562.54586,
2490.263,546.45662,
2487.352,552.41793,
2484.442,572.04898,
2481.531,567.72614,
2478.621,579.81938,
2475.710,583.54832,
2472.799,579.79085,
2469.889,582.62774,
2466.978,578.61457,
2464.068,581.70965,
2461.157,587.12256,
2458.247,591.12517,
2455.336,600.73262,
2452.425,601.86557,
2449.515,604.85162,
2446.604,611.86234,
2443.694,615.02058,
2440.783,602.62162,
2437.872,625.15096,
2434.962,619.19181,
2432.051,638.60033,
2429.141,647.45431,
2426.230,654.36424,
2423.320,628.76745,
2420.409,644.11221,
2417.498,639.23174,
2414.588,644.98238,
2411.677,660.72854,
2408.767,636.625,
2405.856,638.50118,
2402.946,661.16119,
2400.035,667.92781,
2397.124,681.15443,
2394.214,660.6518,
2391.303,662.37635,
2388.393,664.13197,
2385.482,673.18438,
2382.571,647.625,
2379.661,652.46212,
2376.750,661.20381,
2373.840,682.01866,
2370.929,675.75496,
2368.019,694.3122,
2365.108,683.04385,
2362.197,698.54289,
2359.287,701.04505,
2356.376,707.60915,
2353.466,707.625,
2350.555,707.625,
2347.645,708.8091,
2344.734,721.4453,
2341.823,724.625,
2338.913,733.18467,
2336.002,728.19903,
2333.092,757.44104,
2330.181,756.60711,
2327.270,750.90003,
2324.360,743.77592,
2321.449,756.33248,
2318.539,757.19993,
2315.628,768.99431,
2312.718,769.97522,
2309.807,755.48837,
2306.896,755.89261,
2303.986,759.14445,
2301.075,764.49731,
2298.165,765.03836,
2295.254,767.53883,
2292.344,759.08961,
2289.433,787.24272,
2286.522,787.45972,
2283.612,808.59568,
2280.701,810.02859,
2277.791,794.66507,
2274.880,797.97896,
2271.969,820.1641,
2269.059,828.77757,
2266.148,840.51148,
2263.238,826.13467,
2260.327,842.55576,
2257.417,819.84389,
2254.506,837.02956,
2251.595,843.33406,
2248.685,842.46925,
2245.774,850.53692,
2242.864,853.58761,
2239.953,839.08016,
2237.043,839.45607,
2234.132,853.04311,
2231.221,867.75679,
2228.311,862.53609,
2225.400,850.52565,
2222.490,883.29605,
2219.579,890.9669,
2216.669,898.59161,
2213.758,918.67077,
2210.847,906.27994,
2207.937,909.29926,
2205.026,931.40431,
2202.116,900.89992,
2199.205,921.48829,
2196.294,919.67496,
2193.384,956.91354,
2190.473,953.03932,
2187.563,954.741,
2184.652,979.22745,
2181.742,986.46639,
2178.831,1009.2554,
2175.920,1033.6195,
2173.010,1057.4765,
2170.099,1077.6235,
2167.189,1111.8618,
2164.278,1147.9999,
2161.368,1183.0517,
2158.457,1234.3338,
2155.546,1275.1693,
2152.636,1321.4973,
2149.725,1358.5914,
2146.815,1421.6229,
2143.904,1448.8443,
2140.993,1491.9002,
2138.083,1494.5793,
2135.172,1518.6418,
2132.262,1522.8838,
2129.351,1525.1146,
2126.441,1487.5181,
2123.530,1460.2097,
