,PL3EDD~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.625,
3011.256,-2.8249893,
3008.346,73.94182,
3005.435,94.66387,
3002.525,82.359899,
2999.614,96.050982,
2996.704,98.580671,
2993.793,115.51958,
2990.882,115.87683,
2987.972,102.63509,
2985.061,115.70876,
2982.151,119.9376,
2979.240,129.0423,
2976.329,138.39821,
2973.419,134.14824,
2970.508,131.32498,
2967.598,145.5258,
2964.687,135.56454,
2961.777,143.18905,
2958.866,138.95932,
2955.955,149.00773,
2953.045,166.68986,
2950.134,153.625,
2947.224,150.96663,
2944.313,170.71474,
2941.403,172.80338,
2938.492,170.21037,
2935.581,161.83485,
2932.671,199.10136,
2929.760,183.29808,
2926.850,179.93853,
2923.939,198.18575,
2921.028,201.78977,
2918.118,178.50662,
2915.207,176.90963,
2912.297,175.58692,
2909.386,183.44251,
2906.476,198.68679,
2903.565,186.35018,
2900.654,190.50772,
2897.744,181.52442,
2894.833,168.67664,
2891.923,170.5449,
2889.012,163.33598,
2886.102,141.33582,
2883.191,121.63538,
2880.280,71.9599,
2877.370,-59.368957,
2874.459,-97.727211,
2871.549,-11.110751,
2868.638,143.49709,
2865.727,156.7403,
2862.817,181.6103,
2859.906,193.28312,
2856.996,191.62047,
2854.085,197.02627,
2851.175,197.10091,
2848.264,208.46833,
2845.353,213.10739,
2842.443,194.41664,
2839.532,200.07277,
2836.622,191.25977,
2833.711,193.61716,
2830.801,201.72574,
2827.890,223.45716,
2824.979,204.14309,
2822.069,208.02302,
2819.158,231.60343,
2816.248,209.88947,
2813.337,220.28476,
2810.427,220.01481,
2807.516,232.72562,
2804.605,216.28126,
2801.695,224.36184,
2798.784,212.43815,
2795.874,209.05508,
2792.963,212.76798,
2790.052,222.6235,
2787.142,210.23015,
2784.231,212.81753,
2781.321,213.05926,
2778.410,211.67956,
2775.500,213.96638,
2772.589,219.70146,
2769.678,212.625,
2766.768,215.87161,
2763.857,212.625,
2760.947,207.59348,
2758.036,225.49775,
2755.126,213.94979,
2752.215,223.32938,
2749.304,211.625,
2746.394,229.07051,
2743.483,238.47503,
2740.573,231.73783,
2737.662,215.87943,
2734.751,232.04256,
2731.841,224.94917,
2728.930,235.35815,
2726.020,221.73727,
2723.109,223.51158,
2720.199,242.4688,
2717.288,235.1688,
2714.377,208.62958,
2711.467,239.01841,
2708.556,240.625,
2705.646,241.47007,
2702.735,241.14305,
2699.825,245.41949,
2696.914,255.10185,
2694.003,231.06564,
2691.093,238.24956,
2688.182,242.66278,
2685.272,242.54534,
2682.361,241.2309,
2679.450,246.28753,
2676.540,235.66565,
2673.629,238.28867,
2670.719,251.82926,
2667.808,248.15999,
2664.898,251.35263,
2661.987,230.625,
2659.076,251.57326,
2656.166,243.91506,
2653.255,244.95663,
2650.345,259.81738,
2647.434,245.48239,
2644.524,252.30844,
2641.613,255.48232,
2638.702,254.68812,
2635.792,265.87723,
2632.881,261.90454,
2629.971,278.60491,
2627.060,255.78844,
2624.149,271.97814,
2621.239,262.12796,
2618.328,302.56532,
2615.418,272.98408,
2612.507,259.76335,
2609.597,278.60504,
2606.686,273.7294,
2603.775,267.22818,
2600.865,267.6864,
2597.954,286.00212,
2595.044,282.54529,
2592.133,294.51029,
2589.223,289.73342,
2586.312,297.47926,
2583.401,291.74905,
2580.491,296.32207,
2577.580,295.6151,
2574.670,295.71322,
2571.759,307.22089,
2568.848,293.7465,
2565.938,289.76792,
2563.027,280.16137,
2560.117,285.8867,
2557.206,294.24124,
2554.296,280.14674,
2551.385,305.05493,
2548.474,297.32872,
2545.564,291.81493,
2542.653,301.98407,
2539.743,293.41552,
2536.832,318.93155,
2533.922,295.67231,
2531.011,298.89998,
2528.100,311.88636,
2525.190,306.02295,
2522.279,306.28157,
2519.369,314.19137,
2516.458,310.52018,
2513.548,304.67973,
2510.637,296.97762,
2507.726,314.81458,
2504.816,318.75127,
2501.905,316.07439,
2498.995,317.17769,
2496.084,330.89323,
2493.173,320.44123,
2490.263,330.02952,
2487.352,321.91553,
2484.442,318.15601,
