,PL560F~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.5,
3011.256,-2.2999571,
3008.346,76.412951,
3005.435,88.57774,
3002.525,82.989933,
2999.614,98.638973,
2996.704,103.45567,
2993.793,123.41302,
2990.882,109.75183,
2987.972,113.54036,
2985.061,126.8202,
2982.151,122.05125,
2979.240,128.1977,
2976.329,132.98635,
2973.419,155.2543,
2970.508,149.44993,
2967.598,153.54779,
2964.687,149.72419,
2961.777,141.78202,
2958.866,159.50891,
2955.955,167.23006,
2953.045,169.39932,
2950.134,166.92566,
2947.224,172.58541,
2944.313,179.9943,
2941.403,190.71442,
2938.492,194.37264,
2935.581,187.41414,
2932.671,207.05359,
2929.760,188.40002,
2926.850,196.70902,
2923.939,195.01868,
2921.028,214.91192,
2918.118,206.87909,
2915.207,200.08861,
2912.297,214.44076,
2909.386,210.12773,
2906.476,215.05057,
2903.565,204.35258,
2900.654,224.37161,
2897.744,207.2737,
2894.833,188.67527,
2891.923,202.09621,
2889.012,197.29191,
2886.102,207.37296,
2883.191,189.5236,
2880.280,142.17462,
2877.370,99.005831,
2874.459,97.745148,
2871.549,137.73761,
2868.638,201.72885,
2865.727,215.81539,
2862.817,215.22861,
2859.906,218.0698,
2856.996,222.00226,
2854.085,221.5,
2851.175,227.05115,
2848.264,244.85783,
2845.353,221.45687,
2842.443,226.68747,
2839.532,225.08217,
2836.622,217.95508,
2833.711,221.55181,
2830.801,239.58603,
2827.890,232.22902,
2824.979,231.5,
2822.069,246.64784,
2819.158,255.69946,
2816.248,243.52316,
2813.337,254.55123,
2810.427,240.58126,
2807.516,240.39938,
2804.605,228.7476,
2801.695,239.76316,
2798.784,258.16938,
2795.874,235.0752,
2792.963,236.64298,
2790.052,228.50236,
2787.142,239.23677,
2784.231,244.27328,
2781.321,246.62572,
2778.410,246.01016,
2775.500,242.5,
2772.589,244.03823,
2769.678,241.42832,
2766.768,236.81844,
2763.857,244.44605,
2760.947,236.51891,
2758.036,253.05422,
2755.126,241.68377,
2752.215,255.2454,
2749.304,256.73381,
2746.394,269.59478,
2743.483,263.05,
2740.573,260.83848,
2737.662,252.38314,
2734.751,259.66488,
2731.841,260.47252,
2728.930,265.15258,
2726.020,252.71412,
2723.109,241.1805,
2720.199,272.32513,
2717.288,259.48176,
2714.377,270.59574,
2711.467,279.90989,
2708.556,276.97874,
2705.646,265.51406,
2702.735,285.33763,
2699.825,293.41274,
2696.914,282.11862,
2694.003,267.75691,
2691.093,260.57101,
2688.182,272.41111,
2685.272,272.34068,
2682.361,269.31769,
2679.450,278.82506,
2676.540,275.29676,
2673.629,268.48653,
2670.719,287.98892,
2667.808,300.25682,
2664.898,301.98055,
2661.987,292.56651,
2659.076,305.70257,
2656.166,287.2576,
2653.255,284.38776,
2650.345,296.12432,
2647.434,303.15704,
2644.524,298.72781,
2641.613,296.12854,
2638.702,300.42109,
2635.792,308.09422,
2632.881,303.34526,
2629.971,315.58733,
2627.060,309.66407,
2624.149,319.47502,
2621.239,321.52964,
2618.328,317.09342,
2615.418,321.5409,
2612.507,299.77669,
2609.597,294.77545,
2606.686,319.25302,
2603.775,329.86111,
2600.865,329.67746,
2597.954,317.02086,
2595.044,321.70639,
2592.133,340.10499,
2589.223,331.71684,
2586.312,336.13318,
2583.401,329.05109,
2580.491,334.30768,
2577.580,348.47689,
2574.670,333.66979,
2571.759,333.70205,
2568.848,342.08567,
2565.938,330.02356,
2563.027,346.30238,
2560.117,333.0234,
2557.206,338.88376,
2554.296,330.99199,
2551.385,353.55796,
2548.474,348.5,
2545.564,338.81656,
2542.653,344.80537,
2539.743,348.9199,
2536.832,360.03084,
2533.922,352.42115,
2531.011,350.52474,
2528.100,357.43379,
2525.190,358.87172,
2522.279,359.73449,
2519.369,361.78318,
2516.458,358.27974,
2513.548,348.36381,
2510.637,360.36076,
2507.726,372.87546,
2504.816,382.75141,
2501.905,363.9061,
2498.995,384.66393,
2496.084,377.63244,
2493.173,385.42086,
2490.263,380.5,
2487.352,376.20947,
2484.442,389.08245,
2481.531,392.08499,
2478.621,392.51892,
2475.710,379.69936,
2472.799,402.78703,
2469.889,386.74375,
2466.978,386.43807,
2464.068,387.58465,
2461.157,399.38255,
2458.247,396.04418,
2455.336,404.81898,
2452.425,400.15094,
2449.515,404.93453,
2446.604,424.21202,
2443.694,427.87257,
2440.783,416.4482,
2437.872,403.75525,
2434.962,409.71198,
2432.051,414.32729,
2429.141,417.22947,
2426.230,419.23924,
2423.320,425.0859,
2420.409,428.08954,
2417.498,433.53369,
2414.588,433.67487,
2411.677,424.75101,
2408.767,431.75295,
2405.856,436.25236,
2402.946,447.3454,
2400.035,428.02346,
2397.124,444.37701,
2394.214,431.9316,
2391.303,427.17954,
2388.393,439.20467,
2385.482,410.95404,
2382.571,423.63891,
2379.661,439.70921,
2376.750,454.28814,
2373.840,453.79377,
2370.929,448.54332,
2368.019,456.3436,
2365.108,458.61518,
2362.197,460.54106,
2359.287,465.6766,
2356.376,471.49472,
