,PL635A~1,
Wavenumbers [1/cm],Intensity,
3014.167,-2.5,
3011.256,-0.70004295,
3008.346,101.29264,
3005.435,128.57774,
3002.525,128.53747,
2999.614,129.21299,
2996.704,143.08453,
2993.793,140.73848,
2990.882,151.75953,
2987.972,156.51513,
2985.061,156.39655,
2982.151,165.7101,
2979.240,150.13308,
2976.329,168.03003,
2973.419,159.26893,
2970.508,164.7167,
2967.598,166.40442,
2964.687,171.18614,
2961.777,178.5,
2958.866,167.16122,
2955.955,194.98891,
2953.045,182.53581,
2950.134,200.5,
2947.224,212.21531,
2944.313,206.54487,
2941.403,214.10721,
2938.492,196.52169,
2935.581,199.45707,
2932.671,216.41844,
2929.760,207.43077,
2926.850,223.5594,
2923.939,215.74301,
2921.028,211.66477,
2918.118,224.97859,
2915.207,214.08861,
2912.297,206.53385,
2909.386,217.30292,
2906.476,216.08146,
2903.565,217.61334,
2900.654,201.32408,
2897.744,207.39942,
2894.833,206.09782,
2891.923,212.2564,
2889.012,178.12428,
2886.102,163.5865,
2883.191,154.49811,
2880.280,33.456901,
2877.370,-171.22053,
2874.459,-274.87703,
2871.549,-81.879865,
2868.638,125.69167,
2865.727,177.48071,
2862.817,183.01338,
2859.906,207.52564,
2856.996,210.52264,
2854.085,219.58406,
2851.175,230.83136,
2848.264,225.63733,
2845.353,244.4353,
2842.443,229.12159,
2839.532,231.4551,
2836.622,245.67969,
2833.711,238.65542,
2830.801,243.29853,
2827.890,248.60314,
2824.979,242.21601,
2822.069,242.77293,
2819.158,258.89891,
2816.248,265.92473,
2813.337,244.76828,
2810.427,257.24243,
2807.516,273.38468,
2804.605,257.04807,
2801.695,256.55265,
2798.784,259.79569,
2795.874,260.93537,
2792.963,260.28585,
2790.052,261.50043,
2787.142,255.30258,
2784.231,257.30589,
2781.321,266.99712,
2778.410,258.25508,
2775.500,253.43655,
2772.589,246.53899,
2769.678,260.5341,
2766.768,267.5,
2763.857,264.86801,
2760.947,265.52522,
2758.036,278.81853,
2755.126,294.1688,
2752.215,291.15912,
2749.304,273.43707,
2746.394,274.42735,
2743.483,287.15004,
2740.573,282.16152,
2737.662,256.78548,
2734.751,294.4758,
2731.841,289.60806,
2728.930,288.41942,
2726.020,294.60706,
2723.109,268.44884,
2720.199,298.5,
2717.288,284.9051,
