,PL63B6~1,
Wavenumbers [1/cm],Intensity,
3014.167,3.75,
3011.256,-3.8000107,
3008.346,90.24941,
3005.435,121.02209,
3002.525,113.35235,
2999.614,128.78122,
2996.704,144.80258,
2993.793,155.51152,
2990.882,161.43694,
2987.972,141.78027,
2985.061,157.50371,
2982.151,169.75,
2979.240,161.28231,
2976.329,176.51775,
2973.419,173.33434,
2970.508,183.51667,
2967.598,176.2757,
2964.687,188.66033,
2961.777,178.9721,
2958.866,202.74555,
2955.955,201.16151,
2953.045,218.30034,
2950.134,222.56925,
2947.224,218.94928,
2944.313,241.48006,
2941.403,234.67792,
2938.492,237.32453,
2935.581,230.29848,
2932.671,245.38948,
2929.760,242.75,
2926.850,238.95902,
2923.939,237.22661,
2921.028,254.91477,
2918.118,251.75,
2915.207,254.10446,
2912.297,269.69076,
2909.386,263.15146,
2906.476,272.61797,
2903.565,238.71591,
2900.654,257.73889,
2897.744,248.71228,
2894.833,239.15218,
2891.923,231.3718,
2889.012,221.66907,
2886.102,219.18648,
2883.191,178.79154,
2880.280,132.57773,
2877.370,-21.639208,
2874.459,-71.778317,
2871.549,29.290754,
2868.638,203.2592,
2865.727,216.89222,
2862.817,245.92113,
2859.906,259.97792,
2856.996,261.75,
2854.085,261.75,
2851.175,258.51501,
2848.264,278.603,
2845.353,268.6206,
2842.443,265.54513,
2839.532,265.86943,
2836.622,252.17708,
2833.711,268.90542,
2830.801,278.94412,
2827.890,275.12412,
2824.979,276.52796,
2822.069,289.75,
2819.158,283.66913,
2816.248,280.47395,
2813.337,289.06952,
2810.427,283.75,
2807.516,284.59172,
2804.605,275.10579,
2801.695,290.17102,
2798.784,281.60215,
2795.874,276.1748,
2792.963,292.60745,
2790.052,294.75107,
2787.142,274.71042,
2784.231,272.26552,
2781.321,291.1214,
2778.410,285.89974,
2775.500,287.92069,
2772.589,277.75,
2769.678,280.99913,
2766.768,279.88009,
2763.857,275.64596,
2760.947,294.30359,
2758.036,309.52711,
2755.126,276.64531,
2752.215,299.09088,
2749.304,295.0054,
2746.394,318.11493,
2743.483,313.00001,
2740.573,305.42697,
2737.662,302.05918,
2734.751,306.40503,
2731.841,304.91117,
2728.930,294.07629,
2726.020,295.64294,
2723.109,293.4305,
2720.199,313.61248,
2717.288,321.64416,
2714.377,318.78344,
2711.467,314.09396,
2708.556,331.39884,
2705.646,322.07391,
2702.735,327.25774,
2699.825,319.58812,
2696.914,324.79821,
2694.003,320.90609,
2691.093,322.05326,
2688.182,309.93148,
2685.272,309.82966,
2682.361,316.66157,
2679.450,323.62655,
2676.540,311.3394,
2673.629,330.79041,
2670.719,325.59659,
2667.808,344.16637,
2664.898,333.00973,
2661.987,336.01671,
2659.076,337.75,
2656.166,331.97514,
2653.255,332.41327,
2650.345,344.88612,
2647.434,359.34931,
2644.524,339.92749,
2641.613,353.86439,
2638.702,349.84469,
2635.792,352.37612,
2632.881,354.14268,
2629.971,362.62249,
2627.060,346.41563,
2624.149,344.64376,
2621.239,359.05188,
2618.328,349.72491,
2615.418,359.47271,
2612.507,343.43771,
2609.597,352.38273,
2606.686,354.25604,
2603.775,369.71032,
2600.865,373.80803,
2597.954,382.79172,
2595.044,369.36648,
2592.133,364.85175,
2589.223,376.14791,
2586.312,370.85046,
2583.401,396.58579,
2580.491,389.95677,
2577.580,365.76155,
2574.670,371.36631,
2571.759,367.19949,
2568.848,378.27492,
2565.938,395.55954,
2563.027,390.45684,
2560.117,389.19861,
2557.206,397.17435,
2554.296,377.98112,
2551.385,391.37803,
2548.474,408.12063,
2545.564,392.44642,
2542.653,396.3708,
2539.743,397.30545,
2536.832,397.28084,
2533.922,396.17577,
2531.011,422.75,
2528.100,421.15069,
2525.190,410.26312,
2522.279,388.39143,
2519.369,416.61824,
2516.458,410.86544,
2513.548,395.52301,
2510.637,402.1189,
2507.726,409.62361,
2504.816,421.62599,
2501.905,406.64878,
2498.995,404.88466,
2496.084,422.75,
2493.173,414.46026,
2490.263,431.68224,
2487.352,433.9988,
2484.442,421.87632,
2481.531,435.27659,
2478.621,431.91112,
2475.710,442.78067,
2472.799,446.25673,
2469.889,431.66133,
2466.978,432.18285,
2464.068,465.52258,
2461.157,433.67495,
2458.247,440.89705,
2455.336,431.1766,
2452.425,441.01417,
2449.515,445.55251,
2446.604,473.10253,
2443.694,481.88982,
2440.783,465.88851,
2437.872,451.96879,
2434.962,463.00345,
2432.051,469.45972,
2429.141,472.13809,
2426.230,490.77213,
2423.320,479.35056,
