,PL680D~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.875,
3011.256,-6.2250215,
3008.346,36.230508,
3005.435,60.875,
3002.525,46.609899,
2999.614,72.538645,
2996.704,56.750265,
2993.793,78.01728,
2990.882,75.042885,
2987.972,77.875,
2985.061,84.081905,
2982.151,85.710289,
2979.240,80.544218,
2976.329,80.399571,
2973.419,85.797978,
2970.508,88.641673,
2967.598,85.018374,
2964.687,86.919837,
2961.777,88.592976,
2958.866,92.537707,
2955.955,98.633849,
2953.045,109.4902,
2950.134,98.875,
2947.224,105.15969,
2944.313,120.71759,
2941.403,117.44617,
2938.492,124.90754,
2935.581,118.74621,
2932.671,133.78911,
2929.760,118.30964,
2926.850,118.55432,
2923.939,126.27218,
2921.028,135.1044,
2918.118,119.89389,
2915.207,118.52699,
2912.297,135.82422,
2909.386,127.66332,
2906.476,126.90589,
2903.565,123.13278,
2900.654,134.60401,
2897.744,130.79957,
2894.833,118.27718,
2891.923,120.2276,
2889.012,108.50506,
2886.102,100.33175,
2883.191,59.918425,
2880.280,-6.9958262,
2877.370,-97.485263,
2874.459,-117.18163,
2871.549,-58.189999,
2868.638,71.064624,
2865.727,98.647998,
2862.817,130.14639,
2859.906,133.07728,
2856.996,127.37274,
2854.085,134.91703,
2851.175,140.42022,
2848.264,140.71833,
2845.353,158.52993,
2842.443,143.67361,
2839.532,134.00939,
2836.622,138.93685,
2833.711,138.56416,
2830.801,139.16985,
2827.890,142.95892,
2824.979,154.86294,
2822.069,153.0797,
2819.158,160.23348,
2816.248,142.12789,
2813.337,165.62744,
2810.427,165.91218,
2807.516,162.56578,
2804.605,154.32693,
2801.695,149.73023,
2798.784,164.80515,
2795.874,146.88028,
2792.963,156.01819,
2790.052,169.87371,
2787.142,153.09865,
2784.231,156.97126,
2781.321,163.56646,
2778.410,170.14024,
2775.500,155.68466,
2772.589,153.95297,
2769.678,165.23338,
2766.768,147.70023,
2763.857,146.98097,
2760.947,150.35924,
2758.036,163.1235,
2755.126,150.34722,
2752.215,150.77033,
2749.304,161.06563,
2746.394,169.60485,
2743.483,162.12501,
2740.573,166.97238,
2737.662,167.32174,
2734.751,163.8508,
2731.841,163.44277,
2728.930,176.81159,
2726.020,157.5434,
2723.109,145.57625,
2720.199,176.7188,
2717.288,171.59398,
2714.377,167.77926,
2711.467,169.85852,
2708.556,173.875,
2705.646,178.10036,
2702.735,165.23585,
2699.825,184.04951,
2696.914,189.63729,
2694.003,167.64573,
2691.093,174.21435,
2688.182,180.45722,
2685.272,173.63602,
2682.361,172.45142,
2679.450,178.41408,
2676.540,170.15954,
2673.629,179.22929,
2670.719,176.29829,
2667.808,177.97227,
2664.898,170.32928,
2661.987,193.24181,
2659.076,185.78234,
2656.166,195.22997,
2653.255,187.73044,
2650.345,199.04379,
2647.434,185.38943,
2644.524,192.03328,
2641.613,194.56073,
2638.702,183.06437,
2635.792,188.65765,
2632.881,184.22608,
2629.971,200.21735,
2627.060,184.20563,
2624.149,203.57813,
2621.239,205.38389,
2618.328,203.66306,
2615.418,196.88409,
2612.507,193.49555,
2609.597,200.23229,
2606.686,202.43324,
2603.775,203.11309,
2600.865,202.22655,
2597.954,216.15629,
2595.044,207.49148,
2592.133,211.53735,
2589.223,209.54974,
2586.312,206.92523,
2583.401,219.11953,
2580.491,224.05288,
2577.580,199.91131,
2574.670,223.25869,
2571.759,220.26884,
2568.848,208.28933,
2565.938,224.39884,
2563.027,212.55686,
2560.117,203.68809,
2557.206,201.35471,
2554.296,205.99399,
2551.385,223.68498,
2548.474,218.76385,
2545.564,218.84334,
2542.653,218.48574,
2539.743,210.41813,
2536.832,211.40584,
2533.922,211.08,
2531.011,225.52486,
2528.100,237.87154,
2525.190,236.17869,
2522.279,222.57847,
2519.369,234.15818,
2516.458,230.0988,
2513.548,231.06592,
2510.637,236.55131,
2507.726,243.44005,
2504.816,242.62585,
2501.905,240.57073,
2498.995,238.63612,
2496.084,234.26176,
2493.173,247.79653,
2490.263,245.51566,
2487.352,237.2506,
2484.442,245.5902,
2481.531,245.92818,
2478.621,255.32053,
2475.710,255.69097,
2472.799,238.53412,
2469.889,241.90821,
2466.978,241.91607,
2464.068,265.15548,
2461.157,248.37744,
2458.247,256.74262,
2455.336,251.89652,
2452.425,258.89859,
2449.515,273.50701,
2446.604,265.23449,
2443.694,261.27058,
2440.783,264.25563,
2437.872,263.58328,
2434.962,260.34043,
2432.051,264.58472,
2429.141,265.83958,
2426.230,273.61424,
2423.320,271.94693,
2420.409,255.41337,
2417.498,262.875,
2414.588,262.05751,
2411.677,281.55228,
2408.767,278.94586,
2405.856,300.15832,
2402.946,280.60065,
2400.035,285.15905,
2397.124,285.66109,
2394.214,285.06261,
2391.303,278.37771,
2388.393,288.60757,
2385.482,268.84436,
2382.571,256.17845,
2379.661,268.24709,
2376.750,270.61144,
2373.840,290.69991,
