,PL6A3E~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.625,
3011.256,-3.2749785,
3008.346,41.475672,
3005.435,50.200971,
3002.525,38.49245,
2999.614,52.575654,
2996.704,46.084797,
2993.793,59.643432,
2990.882,73.869125,
2987.972,54.650225,
2985.061,63.615153,
2982.151,73.909038,
2979.240,71.14307,
2976.329,70.387286,
2973.419,62.055293,
2970.508,76.691693,
2967.598,71.621385,
2964.687,64.997282,
2961.777,76.001032,
2958.866,69.292162,
2955.955,72.419243,
2953.045,76.54223,
2950.134,73.954432,
2947.224,91.254905,
2944.313,87.613605,
2941.403,89.065238,
2938.492,100.49764,
2935.581,80.861865,
2932.671,88.942575,
2929.760,91.059638,
2926.850,88.461091,
2923.939,94.94274,
2921.028,101.8544,
2918.118,95.705606,
2915.207,91.795777,
2912.297,104.54461,
2909.386,96.997271,
2906.476,92.880608,
2903.565,87.446473,
2900.654,98.895991,
2897.744,86.650144,
2894.833,76.666459,
2891.923,86.384711,
2889.012,72.503612,
2886.102,47.335825,
2883.191,31.631608,
2880.280,-42.255411,
2877.370,-188.06658,
2874.459,-242.78384,
2871.549,-149.79482,
2868.638,26.86203,
2865.727,40.136447,
2862.817,73.981955,
2859.906,96.915604,
2856.996,87.10915,
2854.085,89.744746,
2851.175,93.362954,
2848.264,92.625,
2845.353,116.34463,
2842.443,107.21873,
2839.532,107.1922,
2836.622,89.169922,
2833.711,95.565357,
2830.801,113.51691,
2827.890,118.5603,
2824.979,108.267,
2822.069,119.67049,
2819.158,119.4444,
2816.248,118.60184,
2813.337,125.92379,
2810.427,119.31645,
2807.516,109.79063,
2804.605,103.42067,
2801.695,114.5066,
2798.784,116.21638,
2795.874,103.34004,
2792.963,116.12532,
2790.052,126.62436,
2787.142,110.26973,
2784.231,111.75388,
2781.321,108.68786,
2778.410,115.43463,
2775.500,122.85914,
2772.589,117.54854,
2769.678,122.30419,
2766.768,110.69683,
2763.857,117.09899,
2760.947,117.10924,
2758.036,130.72064,
2755.126,109.37928,
2752.215,120.58398,
2749.304,114.3696,
2746.394,125.14316,
2743.483,122.92499,
2740.573,126.51217,
2737.662,120.51849,
2734.751,129.76568,
2731.841,120.35393,
2728.930,122.88788,
2726.020,117.4213,
2723.109,113.00675,
2720.199,127.76252,
2717.288,128.43157,
2714.377,111.59614,
2711.467,128.19863,
2708.556,130.97616,
2705.646,133.54051,
2702.735,124.47295,
2699.825,133.24498,
2696.914,138.1491,
2694.003,112.68028,
2691.093,117.69601,
2688.182,125.71759,
2685.272,130.43012,
2682.361,122.93068,
2679.450,137.57971,
2676.540,124.68597,
2673.629,122.97929,
2670.719,136.10653,
2667.808,134.35453,
2664.898,146.50827,
2661.987,137.05832,
2659.076,136.625,
2656.166,135.81974,
2653.255,143.40561,
2650.345,153.65767,
2647.434,144.28204,
2644.524,137.53626,
2641.613,131.25354,
2638.702,129.64078,
2635.792,150.7207,
2632.881,139.08923,
2629.971,152.96735,
2627.060,140.45781,
2624.149,140.03126,
2621.239,140.63686,
2618.328,161.07397,
2615.418,146.30227,
2612.507,147.20996,
2609.597,154.25773,
2606.686,161.6772,
2603.775,151.70436,
2600.865,148.86049,
2597.954,164.05003,
2595.044,161.54529,
2592.133,169.84146,
2589.223,159.1671,
2586.312,158.99182,
2583.401,166.52281,
2580.491,163.26924,
2577.580,162.61675,
2574.670,157.90174,
2571.759,169.08475,
2568.848,156.22157,
2565.938,145.24393,
2563.027,161.35681,
2560.117,160.71845,
2557.206,159.625,
2554.296,150.88587,
2551.385,162.68296,
2548.474,166.77333,
2545.564,149.32142,
2542.653,172.99413,
2539.743,153.67429,
2536.832,161.70725,
2533.922,155.01923,
2531.011,179.07505,
2528.100,171.22777,
2525.190,172.74016,
2522.279,164.625,
2519.369,166.73808,
2516.458,169.4012,
2513.548,167.625,
2510.637,173.54724,
2507.726,182.31644,
2504.816,171.18757,
2501.905,167.56707,
2498.995,179.14725,
2496.084,176.83757,
2493.173,178.67732,
2490.263,182.59112,
2487.352,170.79353,
