,PL6A6A~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.625,
3011.256,-8.8249893,
3008.346,45.466,
3005.435,60.93242,
3002.525,58.039989,
2999.614,75.813318,
2996.704,70.76624,
2993.793,77.748848,
2990.882,87.098237,
2987.972,84.68554,
2985.061,97.955051,
2982.151,86.414905,
2979.240,92.560374,
2976.329,86.884556,
2973.419,99.440404,
2970.508,94.92502,
2967.598,107.95592,
2964.687,101.78872,
2961.777,93.317142,
2958.866,96.629454,
2955.955,99.731183,
2953.045,121.44155,
2950.134,115.77368,
2947.224,114.73888,
2944.313,118.17557,
2941.403,138.48266,
2938.492,132.63585,
2935.581,123.53914,
2932.671,135.46188,
2929.760,130.31732,
2926.850,122.5656,
2923.939,141.18575,
2921.028,136.31321,
2918.118,136.2648,
2915.207,134.625,
2912.297,155.53614,
2909.386,151.02646,
2906.476,147.59411,
2903.565,143.14055,
2900.654,137.3318,
2897.744,134.76329,
2894.833,130.77991,
2891.923,138.00651,
2889.012,125.13367,
2886.102,113.5385,
2883.191,82.664649,
2880.280,77.223071,
2877.370,27.572731,
2874.459,-12.538697,
2871.549,16.33624,
2868.638,124.58577,
2865.727,121.31724,
2862.817,136.69586,
2859.906,137.30876,
2856.996,141.62953,
2854.085,152.94855,
2851.175,146.31477,
2848.264,147.76233,
2845.353,162.17209,
2842.443,146.41664,
2839.532,134.22213,
2836.622,152.01823,
2833.711,148.625,
2830.801,160.31544,
2827.890,147.2701,
2824.979,156.46491,
2822.069,152.73872,
2819.158,158.4444,
2816.248,148.63658,
2813.337,163.26403,
2810.427,155.01481,
2807.516,168.56734,
2804.605,154.44231,
2801.695,158.75658,
2798.784,166.10754,
2795.874,142.04451,
2792.963,158.33947,
2790.052,165.62436,
2787.142,160.03273,
2784.231,149.72126,
2781.321,155.44218,
2778.410,161.40039,
2775.500,165.64465,
2772.589,156.70146,
2769.678,150.55332,
2766.768,150.0017,
2763.857,159.67895,
2760.947,157.03989,
2758.036,161.41492,
2755.126,154.80877,
2752.215,160.39303,
2749.304,167.07102,
2746.394,175.27427,
2743.483,170.32492,
2740.573,178.52762,
2737.662,166.39128,
2734.751,158.06676,
2731.841,167.43636,
2728.930,168.93015,
2726.020,156.28819,
2723.109,159.83108,
2720.199,175.34996,
2717.288,175.64324,
2714.377,163.65844,
2711.467,190.47774,
2708.556,177.625,
2705.646,182.69544,
2702.735,181.63016,
2699.825,188.58137,
2696.914,189.81545,
2694.003,180.625,
2691.093,176.16051,
2688.182,172.91611,
2685.272,174.26227,
2682.361,182.0191,
2679.450,183.33282,
2676.540,177.74694,
2673.629,179.31112,
2670.719,187.32557,
2667.808,186.15999,
2664.898,189.80691,
2661.987,190.85846,
2659.076,193.00647,
2656.166,184.93231,
2653.255,189.84949,
2650.345,199.30558,
2647.434,188.39665,
2644.524,193.15016,
2641.613,178.71048,
2638.702,199.23047,
2635.792,201.6888,
2632.881,195.6666,
2629.971,196.88002,
2627.060,185.95813,
2624.149,192.67812,
2621.239,199.37648,
2618.328,215.37068,
2615.418,200.6659,
2612.507,190.69216,
2609.597,200.16592,
2606.686,202.5728,
2603.775,210.14484,
2600.865,203.50894,
2597.954,207.38543,
2595.044,209.23262,
2592.133,212.22999,
2589.223,203.84184,
2586.312,216.67523,
2583.401,226.17609,
2580.491,221.26924,
2577.580,210.6283,
2574.670,213.73195,
2571.759,211.67038,
2568.848,218.32671,
2565.938,197.10102,
2563.027,216.60003,
2560.117,214.70912,
2557.206,202.256,
2554.296,212.19937,
2551.385,229.88105,
2548.474,231.69898,
2545.564,224.78328,
2542.653,221.92031,
2539.743,210.11884,
2536.832,217.42126,
2533.922,218.73538,
2531.011,228.64974,
2528.100,230.76087,
2525.190,228.78729,
2522.279,223.625,
2519.369,224.22874,
2516.458,233.96423,
2513.548,235.77052,
2510.637,227.30131,
2507.726,233.56551,
2504.816,236.43898,
2501.905,213.97317,
2498.995,245.625,
2496.084,247.77135,
2493.173,251.5197,
2490.263,240.25436,
2487.352,243.3746,
2484.442,243.60571,
