,PL6C8D~1,
Wavenumbers [1/cm],Intensity,
3014.167,4.875,
3011.256,-2.3749463,
3008.346,58.706328,
3005.435,81.030479,
3002.525,76.19491,
2999.614,85.023037,
2996.704,81.326544,
2993.793,103.26498,
2990.882,103.73753,
2987.972,106.88509,
2985.061,115.96861,
2982.151,116.94894,
2979.240,132.70961,
2976.329,134.89138,
2973.419,119.72096,
2970.508,131.57498,
2967.598,140.3493,
2964.687,128.91984,
2961.777,126.96901,
2958.866,130.53028,
2955.955,154.22233,
2953.045,150.81014,
2950.134,154.17236,
2947.224,158.01734,
2944.313,169.16702,
2941.403,177.74407,
2938.492,176.15142,
2935.581,154.97197,
2932.671,174.66894,
2929.760,167.39811,
2926.850,171.76335,
2923.939,180.99651,
2921.028,190.51632,
2918.118,181.35359,
2915.207,172.22946,
2912.297,190.80307,
2909.386,184.8823,
2906.476,191.09971,
2903.565,179.05054,
2900.654,198.86389,
2897.744,181.77442,
2894.833,168.10191,
2891.923,183.39111,
2889.012,156.37211,
2886.102,144.73313,
2883.191,119.88538,
2880.280,75.870177,
2877.370,-44.723707,
2874.459,-101.13741,
2871.549,4.9549125,
2868.638,143.15535,
2865.727,155.27877,
2862.817,185.60361,
2859.906,199.21688,
2856.996,194.40897,
2854.085,185.11449,
2851.175,194.54364,
2848.264,211.29666,
2845.353,204.55149,
2842.443,199.85759,
2839.532,202.45717,
2836.622,198.29623,
2833.711,190.71174,
2830.801,202.27059,
2827.890,203.5201,
2824.979,205.65296,
2822.069,202.05695,
2819.158,215.97473,
2816.248,208.39237,
2813.337,226.37989,
2810.427,213.08849,
2807.516,220.71672,
2804.605,215.44471,
2801.695,221.19081,
2798.784,216.90992,
2795.874,218.29451,
2792.963,225.58926,
2790.052,215.87693,
2787.142,213.58554,
2784.231,216.29425,
2781.321,224.5607,
2778.410,219.04505,
2775.500,226.29948,
2772.589,217.75956,
2769.678,221.05245,
2766.768,215.32353,
2763.857,225.76903,
2760.947,222.89391,
2758.036,230.95783,
2755.126,204.81945,
2752.215,224.27953,
2749.304,239.44872,
2746.394,236.08669,
2743.483,243.47497,
2740.573,246.21348,
2737.662,221.76849,
2734.751,234.36515,
2731.841,235.63141,
2728.930,247.26073,
2726.020,223.42593,
2723.109,232.28717,
2720.199,253.50318,
2717.288,243.24361,
2714.377,225.32942,
2711.467,236.85852,
2708.556,245.56637,
2705.646,249.02993,
2702.735,247.71779,
2699.825,243.66949,
2696.914,260.63777,
2694.003,236.64573,
2691.093,236.51761,
2688.182,235.98463,
2685.272,237.86646,
2682.361,256.53985,
2679.450,254.82971,
2676.540,233.3831,
2673.629,255.22031,
2670.719,254.37131,
2667.808,256.875,
2664.898,262.45963,
2661.987,254.9751,
2659.076,264.11207,
2656.166,259.81009,
2653.255,251.98724,
2650.345,272.39587,
2647.434,272.875,
2644.524,272.10281,
2641.613,258.53182,
2638.702,270.59094,
2635.792,281.09533,
2632.881,265.41077,
2629.971,282.06975,
2627.060,268.03969,
2624.149,275.60626,
2621.239,273.38982,
2618.328,277.38365,
2615.418,283.89772,
2612.507,274.49555,
2609.597,282.14047,
2606.686,278.73242,
2603.775,282.83929,
2600.865,291.52345,
2597.954,284.16248,
2595.044,291.52691,
2592.133,301.60118,
2589.223,288.93498,
2586.312,296.09608,
2583.401,295.20343,
2580.491,286.68268,
2577.580,302.86015,
2574.670,292.49131,
2571.759,291.07705,
2568.848,283.8197,
2565.938,297.54162,
2563.027,299.11821,
2560.117,304.85634,
2557.206,301.12223,
2554.296,308.21825,
2551.385,306.80897,
2548.474,307.09731,
2545.564,311.78003,
2542.653,305.875,
2539.743,303.40581,
2536.832,312.20211,
2533.922,299.20615,
2531.011,317.67519,
2528.100,309.20949,
2525.190,310.03729,
2522.279,308.81296,
2519.369,318.81894,
2516.458,311.21777,
2513.548,308.12065,
2510.637,302.92021,
2507.726,321.99768,
2504.816,326.06215,
2501.905,304.39695,
2498.995,325.57641,
2496.084,324.55446,
2493.173,334.53295,
2490.263,326.3021,
2487.352,340.7498,
2484.442,339.58377,
2481.531,350.72068,
2478.621,351.50057,
2475.710,341.98235,
2472.799,350.20242,
2469.889,328.02735,
2466.978,329.36978,
2464.068,346.24013,
2461.157,345.875,
2458.247,349.2868,
2455.336,348.59906,
2452.425,352.11557,
2449.515,368.875,
2446.604,363.58702,
2443.694,353.29358,
2440.783,369.87838,
2437.872,359.875,
2434.962,362.7644,
2432.051,366.48603,
2429.141,355.4692,
2426.230,365.96232,
2423.320,381.30377,
2420.409,371.74041,
2417.498,365.68679,
2414.588,368.59741,
2411.677,371.48056,
2408.767,364.66929,
2405.856,381.0345,
2402.946,393.03586,
2400.035,378.79283,
2397.124,395.54879,
2394.214,390.81861,
2391.303,377.91362,
2388.393,371.43776,
2385.482,368.78688,
2382.571,356.05234,
2379.661,367.87471,
2376.750,385.03516,
2373.840,393.56243,
2370.929,404.79919,
2368.019,419.86394,
2365.108,408.36191,
2362.197,415.70785,
2359.287,427.63991,
2356.376,420.89437,
2353.466,416.58915,
2350.555,399.51545,
