,PL7C3C~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.875,
3011.256,-2.5749893,
3008.346,99.364738,
3005.435,117.41564,
3002.525,106.47735,
2999.614,130.77631,
2996.704,127.3348,
2993.793,146.13191,
2990.882,151.60777,
2987.972,133.03644,
2985.061,159.11145,
2982.151,158.03971,
2979.240,165.97577,
2976.329,172.39411,
2973.419,169.13662,
2970.508,167.72499,
2967.598,177.82721,
2964.687,180.21807,
2961.777,177.53306,
2958.866,190.53028,
2955.955,189.93918,
2953.045,205.60878,
2950.134,212.51349,
2947.224,213.61878,
2944.313,207.57158,
2941.403,223.91104,
2938.492,236.00236,
2935.581,224.64924,
2932.671,219.35569,
2929.760,236.24041,
2926.850,234.60658,
2923.939,238.31425,
2921.028,250.89275,
2918.118,239.35359,
2915.207,236.11561,
2912.297,238.88769,
2909.386,243.86041,
2906.476,237.875,
2903.565,234.39055,
2900.654,231.02871,
2897.744,229.83728,
2894.833,214.91646,
2891.923,221.39111,
2889.012,208.04263,
2886.102,190.98177,
2883.191,162.89294,
2880.280,69.741003,
2877.370,-77.310751,
2874.459,-170.04896,
2871.549,-10.49261,
2868.638,180.20684,
2865.727,205.35953,
2862.817,240.875,
2859.906,248.4448,
2856.996,252.37726,
2854.085,255.39601,
2851.175,253.92318,
2848.264,263.93883,
2845.353,263.63776,
2842.443,254.47221,
2839.532,268.51672,
2836.622,251.33008,
2833.711,269.1262,
2830.801,267.5875,
2827.890,285.37147,
2824.979,273.65296,
2822.069,275.98872,
2819.158,284.35478,
2816.248,273.65684,
2813.337,277.78231,
2810.427,284.875,
2807.516,282.34984,
2804.605,287.50962,
2801.695,286.51972,
2798.784,284.57931,
2795.874,282.14939,
2792.963,289.66064,
2790.052,286.87521,
2787.142,280.38812,
2784.231,280.84239,
2781.321,289.43498,
2778.410,285.36484,
2775.500,278.9188,
2772.589,287.37424,
2769.678,277.73165,
2766.768,296.10803,
2763.857,290.82105,
2760.947,289.43489,
2758.036,300.56928,
2755.126,297.39637,
2752.215,306.53412,
2749.304,311.4919,
2746.394,314.23993,
2743.483,311.325,
2740.573,317.0852,
2737.662,301.00221,
2734.751,312.99149,
2731.841,312.98306,
2728.930,319.62929,
2726.020,309.09433,
2723.109,298.00917,
2720.199,314.50318,
2717.288,310.22537,
2714.377,320.84156,
2711.467,315.00578,
2708.556,339.17268,
2705.646,326.43833,
2702.735,322.058,
2699.825,338.36409,
2696.914,341.30364,
2694.003,329.61809,
2691.093,320.73181,
2688.182,332.495,
2685.272,342.75978,
2682.361,328.69269,
2679.450,329.70626,
2676.540,321.11889,
2673.629,333.20684,
2670.719,342.86761,
2667.808,317.43134,
2664.898,354.71936,
2661.987,346.84174,
2659.076,350.74784,
2656.166,338.3598,
2653.255,350.83759,
2650.345,367.55558,
2647.434,377.90301,
2644.524,353.78626,
2641.613,353.67513,
2638.702,355.875,
2635.792,373.09533,
2632.881,366.64871,
2629.971,353.42523,
2627.060,354.70594,
2624.149,376.17187,
2621.239,370.6087,
2618.328,389.875,
2615.418,387.22045,
2612.507,380.6339,
2609.597,372.60953,
2606.686,388.22638,
2603.775,379.27977,
2600.865,380.34936,
2597.954,379.25831,
2595.044,389.84843,
2592.133,397.09794,
2589.223,396.09184,
2586.312,391.43779,
2583.401,396.24359,
2580.491,393.40864,
2577.580,397.84859,
2574.670,384.91911,
2571.759,407.73886,
2568.848,397.64837,
2565.938,393.11301,
2563.027,398.28868,
2560.117,398.31428,
2557.206,401.25876,
2554.296,405.96425,
2551.385,412.55292,
2548.474,417.35679,
2545.564,420.00162,
2542.653,417.95889,
2539.743,418.94894,
2536.832,423.44697,
2533.922,429.92231,
2531.011,428.75035,
2528.100,424.27223,
2525.190,432.24672,
2522.279,428.7812,
2519.369,428.98808,
2516.458,441.10234,
2513.548,431.50249,
2510.637,424.98169,
2507.726,439.06458,
2504.816,439.62585,
2501.905,439.1939,
2498.995,440.47219,
2496.084,450.79487,
2493.173,451.21705,
2490.263,452.26822,
2487.352,446.2506,
2484.442,455.44459,
2481.531,450.55591,
2478.621,463.30161,
2475.710,484.6603,
2472.799,458.84807,
2469.889,465.35977,
2466.978,471.64814,
2464.068,481.5364,
2461.157,469.875,
2458.247,469.875,
2455.336,452.72821,
2452.425,465.27125,
2449.515,490.50701,
2446.604,492.81045,
2443.694,497.22367,
2440.783,488.20721,
2437.872,482.75016,
2434.962,496.41879,
2432.051,477.67761,
2429.141,497.97485,
2426.230,510.35347,
2423.320,512.60335,
2420.409,526.79157,
2417.498,522.31038,
2414.588,508.97008,
2411.677,517.58813,
2408.767,513.41634,
2405.856,535.13208,
2402.946,513.64802,
2400.035,498.77406,
2397.124,512.03006,
2394.214,536.76501,
2391.303,516.12365,
2388.393,524.81921,
2385.482,515.49187,
2382.571,491.71047,
2379.661,502.03759,
2376.750,518.55974,
2373.840,531.77806,
2370.929,543.78836,
2368.019,567.44214,
2365.108,557.17605,
2362.197,557.92974,
2359.287,564.24492,
2356.376,575.86091,
2353.466,564.2534,
2350.555,576.59024,
2347.645,592.79552,
2344.734,591.35886,
2341.823,559.38908,
2338.913,563.16455,
2336.002,564.69553,
2333.092,584.13917,
2330.181,595.13842,
2327.270,593.04002,
2324.360,594.77354,
2321.449,614.05866,
2318.539,600.34289,
2315.628,605.15198,
2312.718,597.27588,
2309.807,597.67585,
2306.896,631.08783,
2303.986,615.56979,
2301.075,604.00269,
2298.165,605.05783,
2295.254,625.46568,
2292.344,624.19035,
2289.433,621.84409,
2286.522,622.60261,
2283.612,638.46557,
2280.701,647.06781,
2277.791,629.87687,
2274.880,658.15492,
2271.969,673.48817,
2269.059,658.9104,
2266.148,653.71139,
2263.238,657.67423,
2260.327,670.04757,
2257.417,679.23278,
2254.506,664.75252,
2251.595,669.73685,
2248.685,672.50382,
2245.774,694.69883,
2242.864,673.75527,
2239.953,693.81996,
2237.043,664.42001,
2234.132,671.84376,
2231.221,688.42799,
2228.311,690.74484,
2225.400,680.1846,
2222.490,696.07381,
2219.579,714.43025,
2216.669,714.83207,
2213.758,732.35475,
2210.847,723.17225,
2207.937,740.01992,
2205.026,719.87529,
2202.116,715.2837,
2199.205,724.875,
2196.294,746.23094,
2193.384,773.53252,
2190.473,756.42547,
2187.563,773.962,
2184.652,793.53173,
2181.742,798.14714,
2178.831,807.54046,
2175.920,841.45242,
2173.010,867.90164,
2170.099,875.00843,
2167.189,909.01133,
2164.278,930.66294,
2161.368,964.01579,
2158.457,1025.9382,
2155.546,1058.6019,
2152.636,1079.9016,
2149.725,1110.177,
2146.815,1131.3077,
2143.904,1197.8824,
2140.993,1215.6422,
2138.083,1226.9114,
2135.172,1257.2952,
2132.262,1254.3574,
2129.351,1260.4682,
2126.441,1235.7196,
2123.530,1236.1791,
2120.619,1170.0587,
2117.709,1125.3722,
2114.798,1074.7749,
2111.888,1032.7386,
2108.977,996.43128,
2106.067,962.5734,
2103.156,1010.1844,
2100.245,1696.4936,
2097.335,1064.1892,
2094.424,883.3963,
2091.514,865.78615,
2088.603,844.94409,
2085.692,857.42145,
2082.782,829.48161,
2079.871,842.34057,
2076.961,849.74584,
2074.050,832.77803,
2071.140,835.7022,
2068.229,860.60287,
2065.318,845.71323,
2062.408,829.27666,
2059.497,839.48215,
2056.587,834.78209,
2053.676,838.40793,
2050.766,816.79952,
2047.855,809.13131,
2044.944,820.93429,
2042.034,836.60905,
2039.123,825.59554,
2036.213,831.75945,
2033.302,831.78806,
2030.391,826.36665,
2027.481,835.03343,
2024.570,852.36036,
2021.660,851.11152,
2018.749,843.91299,
2015.839,849.04495,
2012.928,868.97902,
2010.017,853.66654,
2007.107,856.89554,
2004.196,845.52978,
2001.286,852.47924,
1998.375,854.26673,
1995.465,876.9,
1992.554,839.05185,
1989.643,833.84044,
1986.733,833.39342,
1983.822,825.29819,
1980.912,828.33048,
1978.001,845.23865,
1975.090,868.91316,
1972.180,873.66619,
1969.269,862.60765,
1966.359,837.875,
1963.448,864.17356,
1960.538,871.44047,
1957.627,874.44157,
1954.716,896.24301,
1951.806,903.17951,
1948.895,891.02276,
1945.985,898.67075,
1943.074,886.9379,
1940.164,843.57658,
1937.253,839.11799,
1934.342,872.39639,
1931.432,850.05165,
1928.521,857.20143,
1925.611,844.92722,
1922.700,854.66091,
1919.790,877.10024,
1916.879,864.06074,
1913.968,866.87008,
1911.058,875.866,
1908.147,884.82678,
1905.237,853.26472,
1902.326,850.96391,
1899.415,825.26646,
1896.505,800.64588,
1893.594,805.6739,
1890.684,864.52846,
1887.773,867.12542,
1884.863,884.85222,
1881.952,887.22765,
1879.041,903.56971,
1876.131,897.84494,
1873.220,855.64918,
1870.310,868.43999,
1867.399,895.45917,
1864.489,900.40768,
1861.578,886.07302,
1858.667,860.92888,
1855.757,873.07428,
1852.846,876.89038,
1849.936,892.52564,
1847.025,922.6925,
1844.114,936.99966,
1841.204,924.18968,
1838.293,941.3592,
1835.383,921.36403,
1832.472,933.6437,
1829.562,952.48698,
1826.651,946.13989,
1823.740,966.71412,
1820.830,954.81183,
1817.919,921.1862,
1815.009,949.98059,
1812.098,964.85137,
1809.188,961.18509,
1806.277,953.05205,
1803.366,975.07463,
1800.456,986.98491,
1797.545,987.67648,
1794.635,973.29496,
1791.724,958.35069,
1788.813,971.47577,
1785.903,967.77814,
1782.992,939.02251,
1780.082,891.37653,
1777.171,835.87446,
1774.261,809.0545,
1771.350,837.11003,
1768.439,958.21715,
1765.529,990.33245,
1762.618,1006.9425,
1759.708,1023.7774,
1756.797,1040.2614,
1753.887,1041.6957,
1750.976,1040.337,
1748.065,1056.9226,
1745.155,1044.6042,
1742.244,1031.5371,
1739.334,1057.8938,
1736.423,1069.1685,
1733.512,1023.7611,
1730.602,1068.9604,
1727.691,1072.2188,
1724.781,1071.5945,
1721.870,1113.9181,
1718.960,1110.7193,
1716.049,1096.9683,
1713.138,1092.31,
1710.228,1116.2433,
1707.317,1126.067,
1704.407,1173.5917,
1701.496,1100.4819,
1698.586,1135.3783,
1695.675,1164.1391,
1692.764,1209.4242,
1689.854,1174.564,
1686.943,1169.9762,
1684.033,1248.8633,
1681.122,1200.7416,
1678.211,1221.6656,
1675.301,1212.9028,
1672.390,1236.9169,
1669.480,1251.3323,
1666.569,1307.875,
1663.659,1308.8223,
1660.748,1366.2992,
1657.837,1387.3283,
1654.927,1363.2733,
1652.016,1380.5554,
1649.106,1407.7036,
1646.195,1401.1148,
1643.285,1411.7409,
1640.374,1449.4186,
1637.463,1475.3974,
1634.553,1505.338,
1631.642,1603.0922,
1628.732,1623.349,
1625.821,1702.9116,
1622.911,1758.5594,
1620.000,1862.5521,
1617.089,1951.1039,
1614.179,2048.1113,
1611.268,2181.8188,
1608.358,2244.0656,
1605.447,2399.6191,
1602.536,2404.2156,
1599.626,2421.3537,
1596.715,2410.1686,
1593.805,2369.5244,
1590.894,2319.9608,
1587.984,2256.7129,
1585.073,2278.5044,
1582.162,2247.9749,
1579.252,2211.4162,
1576.341,2191.2569,
1573.431,2236.4318,
1570.520,2246.0531,
1567.610,2186.0113,
1564.699,2169.5001,
1561.788,2118.0586,
1558.878,2125.9166,
1555.967,2096.9318,
1553.057,2057.651,
1550.146,1995.6388,
1547.235,1987.0784,
1544.325,1975.5984,
1541.414,1940.3736,
1538.504,1927.8474,
1535.593,1898.634,
1532.683,1854.6338,
1529.772,1864.1808,
1526.861,1857.0328,
1523.951,1795.9932,
1521.040,1775.9505,
1518.130,1743.5342,
1515.219,1767.9548,
1512.309,1781.821,
1509.398,1794.5044,
1506.487,1770.5288,
1503.577,1754.108,
1500.666,1767.2788,
1497.756,1720.7391,
1494.845,1694.9951,
1491.934,1697.8624,
1489.024,1694.0124,
1486.113,1670.6946,
1483.203,1627.1311,
1480.292,1654.1184,
1477.382,1617.8461,
1474.471,1631.6637,
1471.560,1644.6803,
1468.650,1579.2309,
1465.739,1586.3044,
1462.829,1578.0341,
1459.918,1566.1624,
1457.008,1581.5059,
1454.097,1591.2615,
1451.186,1598.697,
1448.276,1601.7094,
1445.365,1587.7312,
1442.455,1577.695,
1439.544,1576.5099,
1436.633,1565.7489,
1433.723,1574.2368,
1430.812,1599.9249,
1427.902,1538.9574,
1424.991,1584.45,
1422.081,1552.8458,
1419.170,1550.7391,
1416.259,1575.987,
1413.349,1563.7492,
1410.438,1540.3805,
1407.528,1544.4624,
1404.617,1541.4809,
1401.707,1578.3301,
1398.796,1607.9065,
1395.885,1559.8432,
1392.975,1530.3135,
1390.064,1578.9953,
1387.154,1588.174,
1384.243,1582.0812,
1381.332,1559.4484,
1378.422,1526.9182,
1375.511,1585.9354,
1372.601,1676.2673,
1369.690,1682.1606,
1366.780,1753.9502,
1363.869,1765.6102,
1360.958,1809.7504,
1358.048,1884.3065,
1355.137,1928.3373,
1352.227,1928.1821,
1349.316,1955.2026,
1346.406,2010.0433,
1343.495,2009.8471,
1340.584,2036.1963,
1337.674,2056.4159,
1334.763,2135.5927,
1331.853,2128.1749,
1328.942,2145.6643,
1326.032,2138.9032,
1323.121,2156.881,
1320.210,2199.8347,
1317.300,2224.9578,
1314.389,2235.5279,
1311.479,2266.6515,
1308.568,2307.0588,
1305.657,2344.5993,
1302.747,2401.0005,
1299.836,2388.6172,
1296.926,2496.9515,
1294.015,2563.1428,
1291.105,2615.1853,
1288.194,2673.7933,
1285.283,2758.4753,
1282.373,2816.6171,
1279.462,2843.2082,
1276.552,2907.0878,
1273.641,2955.1723,
1270.731,2935.5198,
1267.820,2942.8648,
1264.909,2899.4243,
1261.999,2890.7058,
1259.088,2940.8725,
1256.178,2907.0474,
1253.267,2889.3671,
1250.356,2816.1179,
1247.446,2744.7377,
1244.535,2682.1965,
1241.625,2600.2566,
1238.714,2531.9409,
1235.804,2515.0207,
1232.893,2456.2587,
1229.982,2416.9057,
1227.072,2417.811,
1224.161,2361.5612,
1221.251,2336.7293,
1218.340,2274.8675,
1215.430,2248.8298,
1212.519,2258.3081,
1209.608,2260.2681,
1206.698,2256.7262,
1203.787,2271.6539,
1200.877,2278.3267,
1197.966,2317.8897,
1195.055,2336.94,
1192.145,2394.7231,
1189.234,2484.891,
1186.324,2524.4205,
1183.413,2530.6161,
1180.503,2538.8868,
1177.592,2532.0465,
1174.681,2501.6079,
1171.771,2491.2678,
1168.860,2421.6068,
1165.950,2364.0788,
1163.039,2370.7319,
1160.129,2388.3127,
1157.218,2409.2971,
1154.307,2410.034,
1151.397,2367.4095,
1148.486,2313.9787,
1145.576,2290.9499,
1142.665,2269.6399,
1139.754,2277.6385,
1136.844,2266.5692,
1133.933,2246.7989,
1131.023,2243.9564,
1128.112,2243.6619,
1125.202,2228.6335,
1122.291,2234.8939,
1119.380,2283.6671,
1116.470,2262.4864,
1113.559,2221.9858,
1110.649,2243.6173,
1107.738,2276.4137,
1104.828,2276.9759,
1101.917,2270.1181,
1099.006,2293.3699,
1096.096,2275.9612,
1093.185,2261.0351,
1090.275,2304.3849,
1087.364,2292.9191,
1084.453,2288.4996,
1081.543,2286.7399,
1078.632,2292.6644,
1075.722,2321.7466,
1072.811,2315.5099,
1069.901,2296.2981,
1066.990,2305.3833,
1064.079,2320.8048,
1061.169,2346.7578,
1058.258,2371.3447,
1055.348,2392.8696,
1052.437,2412.9393,
1049.527,2392.2372,
1046.616,2375.7295,
1043.705,2418.5794,
1040.795,2466.9928,
1037.884,2458.048,
1034.974,2452.5928,
1032.063,2496.121,
1029.153,2512.148,
1026.242,2506.0933,
1023.331,2512.5412,
1020.421,2520.846,
1017.510,2535.6408,
1014.600,2563.061,
1011.689,2572.1961,
1008.778,2542.8446,
1005.868,2601.1221,
1002.957,2628.6534,
1000.047,2718.779,
997.136,2798.4484,
994.226,2851.9516,
991.315,2877.4839,
988.404,2867.0395,
985.494,2806.1627,
982.583,2819.011,
979.673,2824.5332,
976.762,2790.0618,
973.852,2798.0258,
970.941,2837.504,
968.030,2832.1756,
965.120,2833.8786,
962.209,2834.7311,
959.299,2826.376,
956.388,2827.3547,
953.477,2832.9301,
950.567,2843.9791,
947.656,2869.326,
944.746,2888.0163,
941.835,2885.6357,
938.925,2892.7716,
936.014,2871.0779,
933.103,2856.1147,
930.193,2867.8835,
927.282,2836.9878,
924.372,2783.7146,
921.461,2778.3478,
918.551,2739.9525,
915.640,2708.0505,
912.729,2688.6521,
909.819,2657.3257,
906.908,2713.7682,
903.998,2720.0565,
901.087,2717.6925,
898.176,2735.44,
895.266,2756.2402,
892.355,2769.7957,
889.445,2849.5261,
886.534,2858.2237,
883.624,2889.4796,
880.713,2888.054,
877.802,2872.875,
874.892,2844.1949,
871.981,2713.6593,
869.071,2577.487,
866.160,2589.0629,
863.250,2693.9895,
860.339,2797.0694,
857.428,2838.2142,
854.518,2842.1659,
851.607,2783.089,
848.697,2674.5172,
845.786,2659.975,
842.875,2690.3218,
839.965,2712.6571,
837.054,2794.917,
834.144,2887.7373,
831.233,2873.8773,
828.323,2833.1464,
825.412,2798.86,
822.501,2780.6197,
819.591,2784.7517,
816.680,2736.798,
813.770,2737.4051,
810.859,2728.1791,
807.949,2702.6384,
805.038,2687.7799,
802.127,2678.7255,
799.217,2653.2771,
796.306,2643.7399,
793.396,2651.0507,
790.485,2661.348,
787.574,2651.9996,
784.664,2655.28,
781.753,2699.489,
778.843,2718.9147,
775.932,2710.3936,
773.022,2701.0737,
770.111,2734.5944,
767.200,2748.2947,
764.290,2720.0917,
761.379,2698.8443,
758.469,2692.2487,
755.558,2655.8993,
752.648,2656.7139,
749.737,2671.2364,
746.826,2675.1452,
743.916,2654.1215,
741.005,2603.2635,
738.095,2535.8777,
735.184,2434.2022,
732.274,2355.3291,
729.363,2391.5095,
726.452,2555.2934,
723.542,2657.2769,
720.631,2623.8835,
717.721,2683.4807,
714.810,2730.7841,
711.899,2718.4294,
708.989,2707.9394,
706.078,2707.875,
703.168,2715.1617,
700.257,2685.6315,
697.347,2647.5261,
694.436,2685.7659,
691.525,2681.7469,
688.615,2663.2655,
685.704,2673.5963,
682.794,2692.4496,
679.883,2666.2807,
676.973,2697.5341,
674.062,2718.5509,
671.151,2693.1236,
668.241,2677.5118,
665.330,2763.0388,
662.420,2703.1339,
659.509,2705.4784,
656.598,2703.9218,
653.688,2709.2784,
650.777,2768.9308,
647.867,2711.5952,
644.956,2669.7749,
642.046,2607.9276,
639.135,2555.9362,
636.224,2594.44,
633.314,2707.1792,
630.403,2742.9695,
627.493,2750.5635,
624.582,2756.111,
621.672,2761.655,
618.761,2764.9148,
615.850,2801.1382,
612.940,2832.9488,
610.029,2842.1631,
607.119,2861.9038,
604.208,2846.8347,
601.297,2846.3557,
598.387,2855.7413,
595.476,2861.3151,
592.566,2844.7867,
589.655,2841.2271,
586.745,2810.9312,
583.834,2775.1688,
580.923,2786.6949,
578.013,2756.875,
575.102,2787.879,
572.192,2803.6555,
569.281,2780.8592,
566.371,2786.3376,
563.460,2782.6422,
560.549,2798.417,
557.639,2824.3948,
554.728,2843.4954,
551.818,2821.6466,
548.907,2850.3927,
545.996,2866.4319,
543.086,2858.0428,
540.175,2858.8214,
537.265,2861.7721,
534.354,2868.8953,
531.444,2869.5805,
528.533,2858.8548,
525.622,2900.756,
522.712,2912.302,
519.801,2911.9656,
516.891,2920.9259,
513.980,2980.5467,
511.070,3007.0054,
508.159,3073.183,
505.248,3126.3612,
502.338,3100.4279,
499.427,3187.6449,
496.517,3206.9154,
493.606,3202.1925,
490.695,3199.7309,
487.785,3205.8892,
484.874,3255.988,
481.964,3260.8653,
479.053,3219.9467,
476.143,3178.4767,
473.232,3187.3855,
470.321,3203.0663,
467.411,3203.4783,
464.500,3170.2435,
461.590,3184.7925,
458.679,3175.1176,
455.769,3183.409,
452.858,3226.0341,
449.947,3227.5619,
447.037,3250.9319,
444.126,3269.2023,
441.216,3280.5634,
438.305,3313.3265,
435.395,3333.6103,
432.484,3340.208,
429.573,3332.0174,
426.663,3306.9328,
423.752,3221.8821,
420.842,3017.8146,
417.931,2809.6872,
415.020,2780.8696,
412.110,2967.8996,
409.199,3126.3615,
406.289,3242.7511,
403.378,3312.7982,
400.468,3290.1183,
397.557,3255.6251,
394.646,3264.3512,
391.736,3360.3378,
388.825,3437.2694,
385.915,3417.8317,
383.004,3394.2955,
380.094,3431.0229,
377.183,3492.726,
374.272,3529.4151,
371.362,3562.3573,
368.451,3601.4191,
365.541,3593.9137,
362.630,3627.9269,
359.719,3654.0274,
356.809,3643.7876,
353.898,3625.8164,
350.988,3631.1822,
348.077,3649.4585,
345.167,3672.7993,
342.256,3671.3052,
339.345,3625.7032,
336.435,3610.8583,
333.524,3675.8045,
330.614,3673.5691,
327.703,3663.6337,
324.793,3650.7503,
321.882,3638.9074,
318.971,3652.2894,
316.061,3688.6154,
313.150,3713.3298,
310.240,3685.8715,
307.329,3737.0435,
304.418,3769.2738,
301.508,3760.4257,
298.597,3676.0182,
295.687,3653.2985,
292.776,3677.5418,
289.866,3739.001,
286.955,3820.2608,
284.044,3952.6824,
281.134,4043.9814,
278.223,4081.8151,
275.313,4095.0785,
272.402,4141.4427,
269.492,4186.1828,
266.581,4207.5705,
263.670,4105.3804,
260.760,4166.2473,
257.849,4260.4232,
254.939,4293.4479,
252.028,4298.2181,
249.117,4322.2595,
246.207,4367.6267,
243.296,4440.0983,
240.386,4381.2698,
237.475,4320.5187,
234.565,4277.8044,
231.654,4264.6575,
228.743,4236.5588,
225.833,4195.6176,
222.922,4145.2147,
220.012,4152.5003,
217.101,4153.8936,
214.191,4139.5428,
211.280,4095.1676,
208.369,4121.4788,
205.459,4127.0915,
202.548,4120.1424,
199.638,4156.4249,
196.727,4109.1345,
193.816,4099.5793,
190.906,4168.0562,
187.995,4087.6894,
185.085,4130.8034,
182.174,4205.9573,
179.264,4191.502,
176.353,4180.9041,
173.442,4171.5243,
170.532,4161.3548,
167.621,4139.7255,
164.711,4017.199,
161.800,3836.9168,
158.890,3617.3999,
155.979,3361.0634,
153.068,3093.2936,
150.158,2801.3583,
147.247,2428.0232,
144.337,1994.6775,
141.426,1559.6566,
138.516,1149.5948,
135.605,834.08828,
132.694,576.61137,
129.784,373.83727,
126.873,235.10208,
123.963,164.76381,
