,PL7E8B~1,
Wavenumbers [1/cm],Intensity,
3014.167,2.625,
3011.256,-1.9250107,
3008.346,40.879541,
3005.435,67.97129,
3002.525,53.567394,
2999.614,54.328927,
2996.704,62.403354,
2993.793,75.643432,
2990.882,72.357767,
2987.972,73.559415,
2985.061,72.152108,
2982.151,88.386346,
2979.240,76.423469,
2976.329,84.625,
2973.419,81.071213,
2970.508,80.47499,
2967.598,81.672791,
2964.687,87.878396,
2961.777,98.154961,
2958.866,95.954869,
2955.955,99.107303,
2953.045,113.05675,
2950.134,103.44425,
2947.224,110.79581,
2944.313,117.07443,
2941.403,120.23221,
2938.492,134.49764,
2935.581,124.01767,
2932.671,121.53911,
2929.760,109.80195,
2926.850,118.99079,
2923.939,126.46142,
2921.028,141.70738,
2918.118,135.76227,
2915.207,124.80868,
2912.297,141.58692,
2909.386,132.22354,
2906.476,128.40029,
2903.565,116.05832,
2900.654,146.11945,
2897.744,115.75072,
2894.833,117.79009,
2891.923,128.51931,
2889.012,104.20881,
2886.102,96.584466,
2883.191,68.647656,
2880.280,4.4910028,
2877.370,-106.45621,
2874.459,-157.31837,
2871.549,-68.637123,
2868.638,93.952753,
2865.727,96.948019,
2862.817,110.42447,
2859.906,128.08084,
2856.996,132.12274,
2854.085,130.86449,
2851.175,133.57682,
2848.264,149.88999,
2845.353,129.99164,
2842.443,144.62848,
2839.532,131.53551,
2836.622,118.93424,
2833.711,143.36597,
2830.801,142.22206,
2827.890,147.25088,
2824.979,149.05702,
2822.069,160.64774,
2819.158,158.4444,
2816.248,141.16553,
2813.337,156.81037,
2810.427,153.6181,
2807.516,165.625,
2804.605,146.09857,
2801.695,161.88816,
2798.784,151.586,
2795.874,147.46931,
2792.963,160.91074,
2790.052,160.62521,
2787.142,146.65123,
2784.231,149.68865,
2781.321,149.63076,
2778.410,162.55013,
2775.500,151.96638,
2772.589,147.74044,
2769.678,144.91171,
2766.768,139.81335,
2763.857,150.67702,
2760.947,152.16598,
2758.036,163.70783,
2755.126,153.14637,
2752.215,158.56135,
2749.304,151.51889,
2746.394,174.44963,
2743.483,164.27499,
2740.573,165.625,
2737.662,161.51849,
2734.751,168.53271,
2731.841,160.9217,
2728.930,157.58273,
2726.020,151.96701,
2723.109,147.09942,
2720.199,171.09699,
2717.288,156.25639,
2714.377,155.88336,
2711.467,166.96896,
2708.556,180.625,
2705.646,168.79398,
2702.735,176.12242,
2699.825,177.53774,
2696.914,163.81498,
2694.003,172.39573,
2691.093,168.24956,
2688.182,160.44352,
2685.272,180.87251,
2682.361,166.53657,
2679.450,187.65788,
2676.540,169.66565,
2673.629,172.62051,
2670.719,177.83665,
2667.808,189.13864,
2664.898,185.80691,
2661.987,184.02507,
2659.076,190.98922,
2656.166,179.91506,
2653.255,173.73724,
2650.345,200.41811,
2647.434,185.88222,
2644.524,187.08063,
2641.613,179.13914,
2638.702,191.38828,
2635.792,192.87723,
2632.881,189.48191,
