,PL892C~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.5,
3011.256,-0.050010737,
3008.346,104.7878,
3005.435,138.88516,
3002.525,143.87752,
2999.614,131.54935,
2996.704,137.35876,
2993.793,149.75691,
2990.882,155.23277,
2987.972,167.38901,
2985.061,153.48031,
2982.151,142.36385,
2979.240,167.01807,
2976.329,167.01365,
2973.419,163.34596,
2970.508,166.56669,
2967.598,187.11406,
2964.687,167.61889,
2961.777,185.55992,
2958.866,183.50148,
2955.955,192.12388,
2953.045,191.8848,
2950.134,204.92566,
2947.224,205.5,
2944.313,207.29772,
2941.403,214.71442,
2938.492,195.53254,
2935.581,205.56995,
2932.671,203.81757,
2929.760,205.40002,
2926.850,210.86579,
2923.939,221.46264,
2921.028,216.35298,
2918.118,225.97859,
2915.207,207.43662,
2912.297,207.47884,
2909.386,223.68978,
2906.476,217.08146,
2903.565,218.45185,
2900.654,214.5,
2897.744,203.37428,
2894.833,203.80909,
2891.923,203.90379,
2889.012,154.40752,
2886.102,168.19056,
2883.191,131.52454,
2880.280,4.8492454,
2877.370,-241.60412,
2874.459,-380.12838,
2871.549,-140.12973,
2868.638,97.648351,
2865.727,146.34612,
2862.817,155.85695,
2859.906,197.86752,
2856.996,209.99321,
2854.085,217.66178,
2851.175,218.02409,
2848.264,217.5735,
2845.353,233.58627,
2842.443,240.69443,
2839.532,227.64936,
2836.622,239.13477,
2833.711,234.12952,
2830.801,238.29853,
2827.890,238.93882,
2824.979,249.99397,
2822.069,255.30667,
2819.158,246.86119,
2816.248,266.47684,
2813.337,260.95366,
2810.427,265.45592,
2807.516,266.5,
2804.605,260.68269,
2801.695,258.63158,
2798.784,249.31315,
2795.874,261.05935,
2792.963,271.21426,
2790.052,262.50172,
2787.142,264.81569,
2784.231,260.17701,
2781.321,250.56286,
2778.410,256.06471,
2775.500,257.90483,
2772.589,255.73089,
2769.678,260.74913,
2766.768,279.92138,
2763.857,282.44412,
2760.947,263.04728,
2758.036,272.19428,
2755.126,285.92949,
2752.215,288.81825,
2749.304,290.0108,
2746.394,267.04029,
2743.483,275.4,
2740.573,278.04869,
2737.662,257.55176,
2734.751,289.15054,
2731.841,272.22893,
2728.930,288.17371,
2726.020,288.27546,
2723.109,284.72683,
2720.199,296.79372,
2717.288,290.62408,
2714.377,296.30394,
2711.467,308.41867,
2708.556,287.84021,
2705.646,325.07754,
2702.735,296.84021,
2699.825,308.88002,
2696.914,306.40453,
2694.003,302.98618,
2691.093,294.14261,
2688.182,302.77408,
2685.272,307.98649,
2682.361,294.44105,
2679.450,313.24069,
2676.540,303.43903,
2673.629,305.47755,
2670.719,321.92329,
2667.808,311.22953,
2664.898,303.47373,
2661.987,310.2998,
2659.076,305.99138,
2656.166,318.85497,
2653.255,314.72449,
2650.345,325.74864,
2647.434,328.75722,
2644.524,327.25298,
2641.613,327.35732,
2638.702,326.56312,
2635.792,320.59273,
2632.881,324.4584,
2629.971,331.09737,
2627.060,346.66656,
2624.149,339.69064,
2621.239,332.75445,
2618.328,341.73703,
2615.418,325.49546,
2612.507,349.21929,
2609.597,361.59182,
2606.686,352.86346,
2603.775,350.3373,
2600.865,350.67409,
2597.954,367.78748,
2595.044,370.19619,
2592.133,357.38529,
2589.223,356.17474,
2586.312,369.69597,
2583.401,367.86859,
2580.491,362.85576,
2577.580,356.49175,
2574.670,360.63233,
2571.759,364.13101,
2568.848,379.60514,
2565.938,361.40463,
2563.027,378.76819,
2560.117,378.77103,
2557.206,377.69188,
2554.296,370.5595,
2551.385,377.87197,
2548.474,385.75948,
2545.564,379.84821,
2542.653,383.96309,
2539.743,389.45071,
2536.832,386.70374,
2533.922,386.89423,
2531.011,406.8254,
2528.100,389.16897,
2525.190,391.61516,
2522.279,397.42135,
2519.369,374.59439,
2516.458,389.17847,
2513.548,399.26368,
2510.637,402.74593,
2507.726,404.00185,
2504.816,399.62514,
2501.905,397.25366,
2498.995,404.53044,
2496.084,431.28743,
2493.173,420.6053,
2490.263,412.72484,
2487.352,409.83387,
2484.442,423.48071,
2481.531,424.80865,
2478.621,441.67546,
2475.710,428.477,
2472.799,425.5,
2469.889,434.22578,
2466.978,436.28357,
2464.068,426.79627,
2461.157,436.03509,
2458.247,439.41197,
2455.336,450.31016,
2452.425,427.45281,
2449.515,453.13201,
2446.604,448.38481,
2443.694,443.33717,
2440.783,433.59347,
2437.872,463.42707,
2434.962,463.07603,
2432.051,465.06168,
2429.141,463.92351,
2426.230,474.7829,
2423.320,460.79958,
