,PL8F1F~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.625,
3011.256,-0.72502147,
3008.346,28.245017,
3005.435,44.915639,
3002.525,49.034955,
2999.614,38.276309,
2996.704,36.879126,
2993.793,47.118088,
2990.882,54.069647,
2987.972,66.248876,
2985.061,43.148401,
2982.151,33.045578,
2979.240,33.274235,
2976.329,47.142746,
2973.419,38.774742,
2970.508,41.97504,
2967.598,41.944879,
2964.687,37.673233,
2961.777,53.246905,
2958.866,42.376485,
2955.955,57.069669,
2953.045,53.576353,
2950.134,59.736508,
2947.224,40.517344,
2944.313,53.015314,
2941.403,67.589415,
2938.492,43.375,
2935.581,40.557828,
2932.671,52.293441,
2929.760,48.117313,
2926.850,58.956954,
2923.939,47.417072,
2921.028,41.145596,
2918.118,50.474495,
2915.207,49.318074,
2912.297,44.404619,
2909.386,33.192513,
2906.476,30.700855,
2903.565,31.003888,
2900.654,23.587351,
2897.744,21.110984,
2894.833,-0.037363497,
2891.923,-11.166704,
2889.012,-20.659684,
2886.102,-49.061481,
2883.191,-101.57874,
2880.280,-297.37148,
2877.370,-678.21724,
2874.459,-845.85695,
2871.549,-486.38526,
2868.638,-158.65605,
2865.727,-89.671205,
2862.817,-59.153083,
2859.906,-15.662046,
2856.996,7.375,
2854.085,18.818298,
2851.175,17.161138,
2848.264,23.227998,
2845.353,33.482835,
2842.443,36.777785,
2839.532,42.912262,
2836.622,45.375,
2833.711,42.21958,
2830.801,51.96471,
2827.890,55.768335,
2824.979,47.868969,
2822.069,43.500093,
2819.158,52.854783,
2816.248,59.340262,
2813.337,54.395727,
2810.427,55.205585,
2807.516,58.317342,
2804.605,61.353363,
2801.695,57.375,
2798.784,66.635769,
2795.874,61.100609,
2792.963,57.446597,
2790.052,59.375429,
2787.142,67.624884,
2784.231,61.761638,
2781.321,65.626441,
2778.410,59.830601,
2775.500,56.331203,
2772.589,59.760316,
2769.678,63.876738,
2766.768,63.679864,
2763.857,62.585019,
2760.947,56.865544,
2758.036,65.540666,
2755.126,67.755342,
2752.215,71.502299,
2749.304,62.035085,
2746.394,58.068529,
2743.483,59.425021,
2740.573,56.262172,
2737.662,46.74629,
2734.751,72.375,
2731.841,74.158883,
2728.930,60.722425,
2726.020,65.375,
2723.109,61.828667,
2720.199,71.003185,
2717.288,58.024632,
2714.377,72.662223,
2711.467,60.784889,
2708.556,60.981315,
2705.646,78.586307,
2702.735,58.882738,
2699.825,71.755022,
2696.914,72.517721,
2694.003,74.88882,
2691.093,64.535066,
2688.182,69.52241,
2685.272,63.897049,
2682.361,65.074783,
2679.450,78.206265,
2676.540,58.639213,
2673.629,69.38398,
2670.719,75.009942,
2667.808,64.201805,
2664.898,61.452819,
2661.987,62.841578,
2659.076,60.247844,
2656.166,80.76037,
2653.255,63.706635,
2650.345,77.78335,
2647.434,67.632217,
2644.524,69.988907,
2641.613,81.03245,
2638.702,64.722183,
2635.792,70.499628,
2632.881,75.684485,
2629.971,75.630023,
2627.060,76.040627,
2624.149,88.049995,
2621.239,70.582015,
2618.328,74.696805,
2615.418,64.684098,
2612.507,76.616102,
2609.597,96.446857,
2606.686,76.375,
2603.775,79.255954,
2600.865,83.139508,
2597.954,74.333281,
2595.044,88.419284,
2592.133,81.432356,
2589.223,87.832899,
2586.312,70.229262,
2583.401,74.823907,
2580.491,79.004798,
2577.580,61.399755,
2574.670,74.714577,
2571.759,64.319353,
2568.848,79.955217,
2565.938,69.184396,
2563.027,83.081839,
2560.117,80.552577,
2557.206,85.087177,
2554.296,74.606122,
2551.385,83.622982,
2548.474,96.15307,
2545.564,72.356321,
2542.653,81.448827,
2539.743,84.301064,
2536.832,93.395562,
2533.922,83.501154,
2531.011,90.000116,
2528.100,77.845357,
2525.190,80.652458,
2522.279,88.624632,
2519.369,67.33763,
2516.458,72.833212,
2513.548,74.620647,
2510.637,91.559448,
2507.726,92.189121,
2504.816,90.750424,
2501.905,80.389633,
2498.995,94.434719,
2496.084,94.761756,
2493.173,86.190562,
2490.263,88.352414,
2487.352,88.001,
