,PL95AD~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1,
3011.256,-1,
3008.346,26.870017,
3005.435,37.809189,
3002.525,45.792506,
2999.614,30,
2996.704,27.274228,
2993.793,35.247696,
2990.882,45.473237,
2987.972,52,
2985.061,44.906395,
2982.151,25.431924,
2979.240,32.215774,
2976.329,42.259556,
2973.419,26.399742,
2970.508,37,
2967.598,23.334538,
2964.687,31.910326,
2961.777,39.435953,
2958.866,22.664192,
2955.955,43.453518,
2953.045,32.769598,
2950.134,47.329432,
2947.224,43.028469,
2944.313,47.146012,
2941.403,49.261862,
2938.492,42,
2935.581,25.80126,
2932.671,42,
2929.760,43.069232,
2926.850,44.947744,
2923.939,43.761695,
2921.028,32.605828,
2918.118,30.720404,
2915.207,36.35446,
2912.297,26.050776,
2909.386,40.810216,
2906.476,34.519677,
2903.565,37.226673,
2900.654,12.600623,
2897.744,31.572545,
2894.833,0.88654448,
2891.923,8.2436014,
2889.012,-12.497111,
2886.102,-22.604053,
2883.191,-45.978288,
2880.280,-164.78951,
2877.370,-381.56934,
2874.459,-466.56554,
2871.549,-262.22217,
2868.638,-85.901099,
2865.727,-32,
2862.817,-18.885038,
2859.906,2.455839,
2856.996,4.5067931,
2854.085,20.605074,
2851.175,29.807266,
2848.264,15.431334,
2845.353,26.935299,
2842.443,24,
2839.532,32.537262,
2836.622,35.455078,
2833.711,40.103613,
2830.801,42.899265,
2827.890,39.832158,
2824.979,34,
2822.069,33.011372,
2819.158,36.66038,
2816.248,43.988421,
2813.337,43.886586,
2810.427,45.389805,
2807.516,34.532502,
2804.605,39,
2801.695,44.657906,
2798.784,48.073923,
2795.874,37.129269,
2792.963,52.57149,
2790.052,45.00193,
2787.142,47.934192,
2784.231,44.580747,
2781.321,48.245677,
2778.410,37.829948,
2775.500,39,
2772.589,30.269873,
2769.678,44.177454,
2766.768,52.246606,
2763.857,39.947978,
2760.947,44.496848,
2758.036,47.388555,
2755.126,47.331198,
2752.215,49.809052,
2749.304,47,
2746.394,46.90522,
2743.483,44.100041,
2740.573,47.533236,
2737.662,29.4778,
2734.751,48.092292,
2731.841,51.243592,
2728.930,48.69485,
2726.020,52.438657,
2723.109,38.247585,
2720.199,51.803055,
2717.288,52.755467,
2714.377,51.966561,
2711.467,55.229667,
2708.556,51.648842,
2705.646,50.774637,
2702.735,48.167526,
2699.825,54.380022,
2696.914,58.380907,
2694.003,61.559356,
2691.093,37.856808,
2688.182,49.620002,
2685.272,58.044099,
2682.361,49.758734,
2679.450,52.584368,
2676.540,51.89838,
2673.629,46.00449,
2670.719,50.423294,
2667.808,42.583627,
2664.898,48.259727,
2661.987,47.866645,
2659.076,48.745688,
2656.166,59.870171,
2653.255,53.850342,
2650.345,64.272233,
2647.434,58.399828,
2644.524,48.525164,
2641.613,48.485859,
2638.702,56.905314,
2635.792,53.875372,
2632.881,57.351083,
2629.971,54.147603,
2627.060,58.666251,
2624.149,67.053118,
2621.239,62.479249,
2618.328,43.703289,
2615.418,42.640916,
2612.507,62.687715,
2609.597,71.632735,
2606.686,58.19478,
2603.775,56.599205,
2600.865,54,
2597.954,75.76043,
2595.044,65.05314,
2592.133,62.172067,
2589.223,62.650521,
2586.312,59.733638,
2583.401,71.65328,
2580.491,72.177879,
2577.580,45.009902,
2574.670,59.302117,
2571.759,64.4846,
2568.848,63.34813,
2565.938,45.428471,
2563.027,58.634093,
2560.117,61.813092,
2557.206,62.191882,
2554.296,58.798627,
2551.385,60.884079,
2548.474,76.629741,
2545.564,60.601455,
2542.653,71.315433,
2539.743,75.543129,
2536.832,67.469157,
2533.922,62.488847,
2531.011,86.675535,
2528.100,61.470357,
2525.190,68.230326,
2522.279,73.249632,
2519.369,55.585052,
2516.458,66.122519,
2513.548,67.672886,
2510.637,75.077759,
2507.726,59.438658,
2504.816,62.188278,
2501.905,66.188415,
2498.995,78.701405,
2496.084,73.693378,
2493.173,63.604966,
2490.263,71.157086,
2487.352,71.2504,
2484.442,77.284796,
2481.531,74.840457,
2478.621,80.445528,
2475.710,80.953993,
2472.799,73.76683,
2469.889,70.969531,
2466.978,81.381355,
2464.068,62.015793,
2461.157,72.267543,
2458.247,78.647216,
2455.336,73.258288,
2452.425,71.698125,
2449.515,76.858632,
2446.604,82.647468,
2443.694,85.488496,
2440.783,74.235359,
2437.872,90.489491,
2434.962,82.253449,
2432.051,94.07402,
2429.141,87.441222,
2426.230,91.608853,
2423.320,88.900141,
2420.409,84.890989,
2417.498,86.205054,
2414.588,78.460105,
2411.677,92.964142,
2408.767,92.758858,
2405.856,90.778594,
2402.946,92.845397,
2400.035,93.302815,
2397.124,107.97862,
2394.214,86.160807,
2391.303,86.861786,
2388.393,76.351111,
2385.482,63.264371,
2382.571,43.303445,
2379.661,57.604604,
2376.750,72.997469,
2373.840,88.843714,
2370.929,102.87004,
2368.019,103.4218,
2365.108,99.814136,
2362.197,102.18084,
2359.287,101.80668,
2356.376,94.012328,
2353.466,107.83394,
2350.555,100.97507,
2347.645,110.51257,
2344.734,108.69584,
2341.823,113.88392,
2338.913,101.64477,
2336.002,99.25838,
2333.092,108.70096,
2330.181,113.98211,
2327.270,95.990095,
2324.360,108.94103,
2321.449,115.96939,
2318.539,119.02141,
2315.628,114.42046,
2312.718,119.94934,
2309.807,103.54651,
2306.896,112.7637,
2303.986,121.48055,
2301.075,134.63827,
2298.165,120.0477,
2295.254,121.8492,
2292.344,119.15767,
2289.433,117.98454,
2286.522,120.16066,
2283.612,121.85969,
2280.701,124.32735,
2277.791,110.4809,
2274.880,122.85598,
2271.969,127.93416,
2269.059,130.44142,
2266.148,122.70451,
2263.238,111.90348,
2260.327,115.75872,
2257.417,127.42333,
2254.506,129.16808,
2251.595,126.71272,
2248.685,126.52693,
2245.774,113.38483,
2242.864,132.4813,
2239.953,125.45516,
2237.043,129.7275,
2234.132,131.24677,
2231.221,133.26359,
2228.311,129.78093,
2225.400,129.6192,
2222.490,146.72955,
2219.579,134.83808,
2216.669,144.51669,
2213.758,145.56602,
2210.847,143.96978,
2207.937,119.01795,
2205.026,146.66706,
2202.116,139.67091,
2199.205,140.92564,
2196.294,140.36396,
2193.384,154.26301,
2190.473,135.40845,
2187.563,151.93233,
2184.652,143.72325,
2181.742,170.38567,
2178.831,160.07783,
2175.920,166.33151,
2173.010,153.49887,
2170.099,157.53225,
2167.189,187.83496,
2164.278,165.8804,
2161.368,174.99952,
2158.457,187.96539,
2155.546,195.92405,
2152.636,190.63832,
2149.725,197.81878,
2146.815,225.13241,
2143.904,197.51299,
2140.993,223.87837,
2138.083,209.18844,
2135.172,220.43702,
2132.262,230.50352,
2129.351,217.65164,
2126.441,223.60197,
2123.530,223.73062,
2120.619,201.65131,
2117.709,215.16425,
2114.798,217.00761,
2111.888,199.85027,
2108.977,184.46357,
2106.067,192.6508,
2103.156,185.56214,
2100.245,168.01882,
2097.335,195.35079,
2094.424,182.46244,
2091.514,195.13434,
2088.603,179.57604,
2085.692,169.13388,
2082.782,183.49787,
2079.871,176.39207,
2076.961,170.19373,
2074.050,187.46667,
2071.140,177.48272,
2068.229,183.53775,
2065.318,187.64149,
2062.408,172.59834,
2059.497,186.44051,
2056.587,185.81418,
2053.676,187.34955,
2050.766,187.15396,
2047.855,211.23107,
2044.944,184.86699,
2042.034,186.60697,
2039.123,190.91919,
2036.213,190.51781,
2033.302,209.23899,
2030.391,222.79645,
2027.481,223.76831,
2024.570,202.77196,
2021.660,214.05393,
2018.749,219.84804,
2015.839,215.32743,
2012.928,212.14933,
2010.017,216.64929,
2007.107,225.11777,
2004.196,232.95237,
2001.286,224.95761,
1998.375,237.00493,
1995.465,218.82857,
1992.554,239.17035,
1989.643,253.6198,
1986.733,243.19737,
1983.822,232.38552,
1980.912,246.62325,
1978.001,234.09278,
1975.090,253.60153,
1972.180,257.34441,
1969.269,264.83047,
1966.359,257.27014,
1963.448,239.58124,
1960.538,243.1151,
1957.627,262.83283,
1954.716,283.45419,
1951.806,281.90064,
1948.895,280.51011,
1945.985,281.95752,
1943.074,277.36526,
1940.164,289.91355,
1937.253,291.83489,
1934.342,285,
1931.432,286.15457,
1928.521,288.29879,
1925.611,300.53235,
1922.700,301.83425,
1919.790,306.16757,
1916.879,309.79075,
1913.968,310,
1911.058,282.7928,
1908.147,301.57233,
1905.237,344.24996,
1902.326,311.19853,
1899.415,291.39146,
1896.505,269.51187,
1893.594,262.44518,
1890.684,307.84949,
1887.773,329.53457,
1884.863,334.01595,
1881.952,312.89025,
1879.041,294.4351,
1876.131,322.13201,
1873.220,308.07956,
1870.310,348.62772,
1867.399,323.46381,
1864.489,305.05148,
1861.578,329.41221,
1858.667,320.89516,
1855.757,355.61933,
1852.846,337.76922,
1849.936,344.16317,
1847.025,337.93917,
1844.114,342.97646,
1841.204,324.82168,
1838.293,318.98503,
1835.383,333.46499,
1832.472,340.96522,
1829.562,343,
1826.651,332.05956,
1823.740,335.00768,
1820.830,338,
1817.919,352.65878,
1815.009,346.58143,
1812.098,345,
1809.188,360.00772,
1806.277,349.26558,
1803.366,347.85027,
1800.456,341.14333,
1797.545,375.41857,
1794.635,347.16196,
1791.724,332.6213,
1788.813,349.59177,
1785.903,320.01359,
1782.992,296.26971,
1780.082,239.58512,
1777.171,162.99303,
1774.261,143.93514,
1771.350,208.63477,
1768.439,309.42839,
1765.529,349.72967,
1762.618,379.9769,
1759.708,378.63026,
1756.797,364.15152,
1753.887,398.15597,
1750.976,386.44111,
1748.065,367.75883,
1745.155,364.33554,
1742.244,384.49905,
1739.334,392.89177,
1736.423,379.69534,
1733.512,395.37404,
1730.602,385.04759,
1727.691,394.35321,
1724.781,404.50604,
1721.870,423.70487,
1718.960,397.57741,
1716.049,406.10154,
1713.138,416.69496,
1710.228,408.42673,
1707.317,415.84571,
1704.407,440.35833,
1701.496,454.85012,
1698.586,445.83617,
1695.675,459.97134,
1692.764,463.84017,
1689.854,464,
1686.943,479.46039,
1684.033,487.80131,
1681.122,481.11895,
1678.211,441.38069,
1675.301,468.91366,
1672.390,505.95215,
1669.480,489.83154,
1666.569,469.44436,
1663.659,503.96734,
1660.748,501.96144,
1657.837,501.1591,
1654.927,552.17998,
1652.016,517.73271,
1649.106,508.24853,
1646.195,557.44854,
1643.285,535.5013,
1640.374,555.9129,
1637.463,506.90954,
1634.553,610.57144,
1631.642,582.02172,
1628.732,584.01778,
1625.821,587.00523,
1622.911,594.95492,
1620.000,636.47085,
1617.089,654.64179,
1614.179,591.83307,
1611.268,658.36037,
1608.358,679.11036,
1605.447,687.54292,
1602.536,704.77397,
1599.626,682.08175,
1596.715,702.69003,
1593.805,697.84534,
1590.894,692.59665,
1587.984,690.26782,
1585.073,664.4755,
1582.162,670.85352,
1579.252,674.6366,
1576.341,693.42446,
1573.431,683.11969,
1570.520,666.00559,
1567.610,669.4511,
1564.699,668.37485,
1561.788,678.97172,
1558.878,671.71026,
1555.967,664.67867,
1553.057,692.70661,
1550.146,676.42917,
1547.235,670.75816,
1544.325,665.16511,
1541.414,668.1216,
1538.504,673.80676,
1535.593,670.4084,
1532.683,686.40364,
1529.772,691.94389,
1526.861,667.52782,
1523.951,638.93654,
1521.040,632.6197,
1518.130,660.1665,
1515.219,667.32065,
1512.309,647.97298,
1509.398,657.64448,
1506.487,664.8895,
1503.577,677.44804,
1500.666,627.26047,
1497.756,670.22049,
1494.845,684.27961,
1491.934,666.99685,
1489.024,666.03436,
1486.113,652.09177,
1483.203,656.32901,
1480.292,683.30386,
1477.382,709.8227,
1474.471,687.37436,
