,PL9AB7~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.5,
3011.256,-2.0500107,
3008.346,149.53751,
3005.435,180.19258,
3002.525,171.19743,
2999.614,182.40131,
2996.704,188.5,
2993.793,205.02304,
2990.882,203.31671,
2987.972,202.56558,
2985.061,220.8202,
2982.151,227.5,
2979.240,230.18346,
2976.329,243.77594,
2973.419,259.42298,
2970.508,269.66663,
2967.598,264.63976,
2964.687,263.73777,
2961.777,267.91012,
2958.866,274.83135,
2955.955,292.67697,
2953.045,308.86689,
2950.134,307.46792,
2947.224,304.12631,
2944.313,322.80342,
2941.403,329.92883,
2938.492,343.23443,
2935.581,341.23131,
2932.671,335.13948,
2929.760,348.00387,
2926.850,355.81353,
2923.939,357.5,
2921.028,363.66477,
2918.118,380.25818,
2915.207,362.55693,
2912.297,370.45769,
2909.386,370.08395,
2906.476,374.7865,
2903.565,376.40072,
2900.654,387.52532,
2897.744,364.51257,
2894.833,358.48982,
2891.923,356.609,
2889.012,357.29769,
2886.102,338.70811,
2883.191,329.50944,
2880.280,288.11242,
2877.370,237.14536,
2874.459,236.26106,
2871.549,284.67155,
2868.638,367.05047,
2865.727,377.03073,
2862.817,368.91312,
2859.906,387.32336,
2856.996,389.55434,
2854.085,380.14076,
2851.175,395.33432,
2848.264,406.92166,
2845.353,404.41373,
2842.443,398.10418,
2839.532,405.36561,
2836.622,386.22461,
2833.711,392.43252,
2830.801,393.31323,
2827.890,401.5647,
2824.979,412.5,
2822.069,403.7843,
2819.158,417.09837,
2816.248,408.21237,
2813.337,413.61341,
2810.427,423.1033,
2807.516,422.39938,
2804.605,423.58655,
2801.695,426.48682,
2798.784,425.76077,
2795.874,419.9248,
2792.963,422.21426,
2790.052,425.49914,
2787.142,416.71031,
2784.231,406.9829,
2781.321,422.00288,
2778.410,428.67005,
2775.500,426.73414,
2772.589,414.57797,
2769.678,425.39422,
2766.768,418.68835,
2763.857,424.02601,
2760.947,417.47478,
2758.036,438.06703,
2755.126,439.21154,
2752.215,443.84088,
2749.304,444.1169,
2746.394,453.71169,
2743.483,449.00002,
2740.573,456.92041,
2737.662,432.18047,
2734.751,445.40771,
2731.841,454.74359,
2728.930,458.23315,
2726.020,447.39294,
2723.109,444.29392,
2720.199,457.94991,
2717.288,467.23722,
2714.377,454.05016,
2711.467,476.31978,
2708.556,488.70168,
2705.646,463.09144,
2702.735,481.51548,
2699.825,486.22905,
2696.914,478.73819,
2694.003,470.68373,
2691.093,485.05355,
2688.182,471.51704,
2685.272,487.86273,
2682.361,486.41157,
2679.450,487.71402,
2676.540,483.98778,
2673.629,498.87224,
2670.719,482.14233,
2667.808,499.62456,
2664.898,491.01945,
2661.987,501.56684,
2659.076,504.13578,
2656.166,493.9848,
2653.255,502.61224,
2650.345,523.02087,
2647.434,523.15704,
2644.524,521.04437,
2641.613,520.07134,
2638.702,533.26328,
2635.792,533.56678,
2632.881,515.51165,
2629.971,536.96986,
2627.060,521.16438,
2624.149,540.87812,
2621.239,555.2752,
2618.328,527.1782,
2615.418,537.85454,
2612.507,529.7411,
2609.597,535.04092,
2606.686,538.33132,
2603.775,549.34525,
2600.865,563.44197,
2597.954,553.40417,
2595.044,555.79495,
2592.133,562.66559,
2589.223,563.28316,
2586.312,569.94216,
2583.401,576.68608,
2580.491,557.77404,
2577.580,577.46699,
2574.670,559.7139,
2571.759,583.66694,
2568.848,568.04128,
2565.938,594.92861,
2563.027,584.37731,
2560.117,583.12618,
2557.206,583.88376,
2554.296,563.85012,
2551.385,597.12803,
2548.474,596.27769,
2545.564,579.97483,
2542.653,591.1208,
2539.743,596.00616,
2536.832,630.9916,
2533.922,587.97308,
2531.011,619.14986,
2528.100,617.63587,
2525.190,617.24344,
2522.279,608.01588,
2519.369,616.38692,
2516.458,620.95113,
2513.548,627.69092,
2510.637,608.97558,
2507.726,630.25093,
2504.816,630.31285,
2501.905,635.74634,
2498.995,617.11241,
2496.084,637.28743,
2493.173,638.76358,
2490.263,629.55647,
2487.352,635.20947,
2484.442,657.48071,
2481.531,665.65432,
2478.621,647.21559,
2475.710,669.40032,
2472.799,661.43268,
2469.889,671.65235,
2466.978,668.66493,
2464.068,676.20373,
2461.157,651.5424,
2458.247,667.22057,
2455.336,675.39238,
2452.425,662.66979,
2449.515,690.54784,
2446.604,712.44936,
2443.694,712.29115,
2440.783,706.11599,
2437.872,699.02596,
2434.962,693.59216,
2432.051,711.54935,
2429.141,701.67069,
2426.230,711.58732,
2423.320,725.71439,
