,PL9DE3~1,
Wavenumbers [1/cm],Intensity,
3014.167,2.75,
3011.256,-4.5999678,
3008.346,71.06682,
3005.435,81.060958,
3002.525,88.032438,
2999.614,94.503272,
2996.704,96.121139,
2993.793,108.88306,
2990.882,112.91788,
2987.972,116.78027,
2985.061,122.30665,
2982.151,121.75,
2979.240,126.1673,
2976.329,129.51229,
2973.419,141.16566,
2970.508,142.08327,
2967.598,141.79418,
2964.687,133.73437,
2961.777,138.50206,
2958.866,145.08432,
2955.955,155.89158,
2953.045,150.23548,
2950.134,163.93075,
2947.224,142.43325,
2944.313,171.14316,
2941.403,172.53558,
2938.492,177.47358,
2935.581,174.70707,
2932.671,187.98602,
2929.760,185.39234,
2926.850,172.31767,
2923.939,193.22661,
2921.028,193.19106,
2918.118,190.0296,
2915.207,183.80693,
2912.297,203.65691,
2909.386,188.7427,
2906.476,187.36236,
2903.565,200.75,
2900.654,201.36173,
2897.744,196.54884,
2894.833,182.81182,
2891.923,208.45521,
2889.012,188.50144,
2886.102,187.37432,
2883.191,173.7651,
2880.280,178.81221,
2877.370,178.76166,
2874.459,169.34736,
2871.549,170.81606,
2868.638,192.52319,
2865.727,195.46916,
2862.817,209.17782,
2859.906,223.69872,
2856.996,202.77264,
2854.085,210.95381,
2851.175,208.58432,
2848.264,218.24516,
2845.353,230.21082,
2842.443,210.14234,
2839.532,202.00382,
2836.622,191.8737,
2833.711,202.69819,
2830.801,196.35441,
2827.890,208.66608,
2824.979,203.18202,
2822.069,209.85235,
2819.158,216.08962,
2816.248,211.75,
2813.337,238.27562,
2810.427,226.75,
2807.516,220.85797,
2804.605,216.13702,
2801.695,216.01316,
2798.784,203.85885,
2795.874,213.45976,
2792.963,215.82138,
2790.052,215.74979,
2787.142,217.84204,
2784.231,217.13664,
2781.321,211.00144,
2778.410,216.4099,
2775.500,217.98414,
2772.589,204.13532,
2769.678,220.7841,
2766.768,213.14027,
2763.857,228.69605,
2760.947,216.24054,
2758.036,227.45708,
2755.126,215.98291,
2752.215,224.96358,
2749.304,225.98381,
2746.394,234.93956,
2743.483,220.2,
2740.573,231.28324,
2737.662,227.7707,
2734.751,234.49283,
2731.841,229.64194,
2728.930,230.19914,
2726.020,231.75,
2723.109,222.88417,
2720.199,237.43761,
2717.288,229.90694,
2714.377,214.9795,
2711.467,243.53681,
2708.556,245.18621,
2705.646,225.1584,
2702.735,238.09537,
2699.825,246.32635,
2696.914,257.32184,
2694.003,231.70446,
2691.093,245.05326,
2688.182,242.09593,
2685.272,236.22795,
2682.361,237.80895,
2679.450,253.6923,
2676.540,238.93292,
2673.629,247.08633,
2670.719,244.46534,
2667.808,250.40955,
2664.898,255.71109,
2661.987,251.04997,
2659.076,261.96982,
2656.166,250.75,
2653.255,246.89966,
2650.345,255.29447,
2647.434,282.57766,
2644.524,248.75,
2641.613,256.97879,
2638.702,253.86047,
2635.792,268.8457,
2632.881,265.29742,
2629.971,274.62249,
2627.060,262.91469,
2624.149,275.07501,
2621.239,276.76186,
2618.328,281.66523,
2615.418,272.44999,
2612.507,260.85276,
2609.597,267.29092,
2606.686,275.94478,
2603.775,282.51191,
2600.865,279.57591,
2597.954,285.98337,
2595.044,278.67915,
2592.133,298.41883,
2589.223,306.99106,
2586.312,289.06659,
2583.401,283.05656,
2580.491,287.73555,
2577.580,283.7698,
2574.670,295.75,
2571.759,298.50257,
2568.848,285.93224,
2565.938,298.51185,
2563.027,294.04098,
2560.117,289.63788,
2557.206,296.03782,
2554.296,284.86899,
2551.385,303.43599,
2548.474,314.41692,
2545.564,296.50973,
2542.653,301.82383,
2539.743,298.75,
2536.832,300.26028,
2533.922,303.01808,
2531.011,318.92507,
2528.100,316.2169,
2525.190,323.65574,
2522.279,290.59416,
2519.369,307.44813,
2516.458,322.31657,
2513.548,309.66853,
2510.637,303.1189,
2507.726,309.68681,
2504.816,319.06342,
2501.905,314.19939,
2498.995,310.28747,
2496.084,321.81622,
2493.173,322.67086,
2490.263,324.92967,
2487.352,333.45787,
2484.442,331.02193,
2481.531,325.95229,
2478.621,317.8922,
2475.710,337.84201,
2472.799,345.80386,
2469.889,325.02422,
2466.978,328.01793,
2464.068,333.70768,
2461.157,329.7924,
2458.247,342.05877,
2455.336,324.53864,
2452.425,328.55661,
2449.515,345.44856,
2446.604,359.10949,
2443.694,359.21549,
2440.783,371.60811,
2437.872,348.80191,
2434.962,332.15552,
2432.051,351.36103,
2429.141,350.30878,
2426.230,352.68481,
2423.320,379.55028,
2420.409,365.85901,
2417.498,350.78369,
2414.588,350.10738,
2411.677,371.3197,
2408.767,364.0502,
2405.856,375.34286,
2402.946,368.95822,
2400.035,353.26407,
2397.124,363.1992,
2394.214,369.6696,
2391.303,377.35772,
2388.393,377.25697,
2385.482,376.75,
2382.571,376.88891,
2379.661,384.02914,
2376.750,363.27965,
2373.840,368.43743,
2370.929,385.60921,
2368.019,398.31714,
2365.108,382.12173,
2362.197,395.30621,
2359.287,404.94332,
2356.376,410.74119,
2353.466,391.85798,
2350.555,382.71068,
2347.645,407.01358,
2344.734,411.6302,
2341.823,401.949,
2338.913,401.10523,
2336.002,397.55866,
2333.092,406.20946,
2330.181,412.95974,
2327.270,419.25495,
2324.360,416.80897,
2321.449,416.24321,
2318.539,427.75,
2315.628,417.98581,
2312.718,404.9174,
2309.807,420.11627,
2306.896,432.45109,
2303.986,415.05521,
2301.075,411.81385,
2298.165,402.36527,
2295.254,430.10371,
2292.344,436.90767,
2289.433,436.07045,
2286.522,424.02239,
2283.612,443.35208,
2280.701,435.84421,
2277.791,432.0706,
2274.880,445.95588,
2271.969,457.91872,
2269.059,451.36309,
2266.148,442.97037,
2263.238,452.04342,
2260.327,455.95692,
2257.417,461.35944,
2254.506,471.7728,
2251.595,470.75366,
2248.685,461.85771,
2245.774,479.57383,
2242.864,457.91706,
2239.953,471.56385,
2237.043,463.86714,
2234.132,476.45905,
2231.221,476.35462,
2228.311,468.53093,
2225.400,466.22847,
2222.490,483.49269,
2219.579,486.06619,
2216.669,493.20946,
2213.758,484.7905,
2210.847,487.84066,
2207.937,512.81349,
2205.026,501.30539,
2202.116,502.07909,
2199.205,494.22482,
2196.294,509.55197,
2193.384,538.64403,
2190.473,524.44248,
2187.563,527.90951,
2184.652,563.61163,
2181.742,572.65821,
2178.831,562.78505,
2175.920,588.65347,
2173.010,618.87642,
2170.099,617.95089,
2167.189,672.85046,
2164.278,690.56508,
2161.368,728.46239,
2158.457,770.29176,
2155.546,777.67405,
2152.636,815.59033,
2149.725,851.55535,
2146.815,902.14829,
2143.904,925.14406,
2140.993,924.48528,
2138.083,974.12688,
2135.172,969.85076,
2132.262,949.61356,
2129.351,932.66717,
2126.441,923.44901,
2123.530,886.32349,
2120.619,847.64913,
2117.709,827.03825,
2114.798,776.31909,
2111.888,736.76338,
2108.977,686.59766,
2106.067,652.06569,
2103.156,642.35082,
2100.245,613.74122,
2097.335,596.37828,
2094.424,573.1861,
2091.514,579.89518,
2088.603,572.83299,
2085.692,564.88752,
2082.782,546.54531,
2079.871,570.6088,
2076.961,552.4936,
2074.050,526.42879,
2071.140,539.26728,
2068.229,540.83202,
2065.318,557.87401,
2062.408,544.11311,
2059.497,541.39289,
2056.587,560.00575,
2053.676,533.98503,
2050.766,533.28812,
2047.855,526.43673,
2044.944,517.74519,
2042.034,529.56501,
2039.123,528.13047,
2036.213,533.63445,
2033.302,534.75,
2030.391,550.20721,
2027.481,546.84767,
2024.570,546.12134,
2021.660,526.05084,
2018.749,518.47182,
2015.839,532.71456,
2012.928,509.73826,
2010.017,521.37324,
2007.107,522.23785,
2004.196,530.01194,
2001.286,522.01859,
1998.375,525.75493,
1995.465,528.81696,
1992.554,505.83842,
1989.643,517.23154,
1986.733,506.73333,
