,PL9FAA~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.375,
3011.256,-1.7249678,
3008.346,112.60023,
3005.435,131.32112,
3002.525,142.49245,
2999.614,131.81332,
2996.704,140.3951,
2993.793,147.88191,
2990.882,148.83871,
2987.972,166.57455,
2985.061,157.5117,
2982.151,159.50567,
2979.240,160.57462,
2976.329,173.89548,
2973.419,165.28636,
2970.508,178.79163,
2967.598,176.24629,
2964.687,183.84919,
2961.777,202.1808,
2958.866,178.62352,
2955.955,193.52543,
2953.045,203.625,
2950.134,213.93406,
2947.224,216.28337,
2944.313,211.81588,
2941.403,237.13732,
2938.492,221.05047,
2935.581,209.0606,
2932.671,202.94691,
2929.760,220.64424,
2926.850,226.67726,
2923.939,230.38669,
2921.028,223.8544,
2918.118,233.30258,
2915.207,221.27699,
2912.297,235.58692,
2909.386,235.06294,
2906.476,229.66435,
2903.565,229.72129,
2900.654,226.61389,
2897.744,219.34841,
2894.833,206.697,
2891.923,201.78519,
2889.012,196.21459,
2886.102,176.83311,
2883.191,167.63444,
2880.280,75.074728,
2877.370,-176.03722,
2874.459,-301.41223,
2871.549,-74.79429,
2868.638,140.58986,
2865.727,177.33653,
2862.817,188.6397,
2859.906,214.53668,
2856.996,229.58877,
2854.085,230.58297,
2851.175,232.5075,
2848.264,227.78167,
2845.353,237.47403,
2842.443,233.42013,
2839.532,237.625,
2836.622,232.99023,
2833.711,243.25452,
2830.801,240.22941,
2827.890,250.81206,
2824.979,257.61294,
2822.069,259.44305,
2819.158,250.08592,
2816.248,255.39526,
2813.337,268.53231,
2810.427,268.93355,
2807.516,264.15016,
2804.605,254.09857,
2801.695,260.26972,
2798.784,258.32931,
2795.874,266.0498,
2792.963,267.69638,
2790.052,265.62521,
2787.142,268.65123,
2784.231,253.23836,
2781.321,256.63076,
2778.410,266.23034,
2775.500,260.92259,
2772.589,265.66399,
2769.678,279.6591,
2766.768,276.07353,
2763.857,267.83502,
2760.947,264.12815,
2758.036,270.55497,
2755.126,297.57586,
2752.215,296.83858,
2749.304,294.3696,
2746.394,288.83669,
