,PLA7BD~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.125,
3011.256,0.62505368,
3008.346,101.26377,
3005.435,137.68419,
3002.525,136.94994,
2999.614,136.20229,
2996.704,146.875,
2993.793,163.7788,
2990.882,146.39406,
2987.972,158.91031,
2985.061,161.88485,
2982.151,160.39769,
2979.240,177.1773,
2976.329,170.88592,
2973.419,190.02904,
2970.508,194.20827,
2967.598,186.63966,
2964.687,195.66644,
2961.777,202.46488,
2958.866,205.53771,
2955.955,206.32191,
2953.045,204.97568,
2950.134,213.51349,
2947.224,204.93194,
2944.313,222.15563,
2941.403,233.05338,
2938.492,249.17311,
2935.581,233.74621,
2932.671,251.55309,
2929.760,239.20192,
2926.850,242.56147,
2923.939,244.95914,
2921.028,249.3693,
2918.118,271.7755,
2915.207,275.28639,
2912.297,251.97232,
2909.386,259.86041,
2906.476,264.35532,
2903.565,268.64833,
2900.654,285.93364,
2897.744,259.93786,
2894.833,273.53463,
2891.923,273.71149,
2889.012,288.7883,
2886.102,295.64663,
2883.191,296.87122,
2880.280,339.65493,
2877.370,433.61323,
2874.459,506.91843,
2871.549,386.80894,
2868.638,347.91832,
2865.727,320.45194,
2862.817,311.68917,
2859.906,304.875,
2856.996,313.33651,
2854.085,316.59348,
2851.175,296.35091,
2848.264,296.8015,
2845.353,296.0044,
2842.443,296.68405,
2839.532,292.75557,
2836.622,290.15039,
2833.711,298.66777,
2830.801,298.47206,
2827.890,298.89422,
2824.979,292.15899,
2822.069,295.77265,
2819.158,289.91543,
2816.248,300.85184,
2813.337,315.62744,
2810.427,299.18355,
2807.516,299.45047,
2804.605,305.32693,
2801.695,309.78288,
2798.784,314.20969,
2795.874,301.4502,
2792.963,301.73223,
2790.052,299.87586,
2787.142,300.03285,
2784.231,292.03649,
2781.321,314.74928,
2778.410,303.74557,
2775.500,288.57741,
2772.589,287.64563,
2769.678,308.41084,
2766.768,305.44005,
2763.857,323.18906,
2760.947,320.95065,
2758.036,328.63931,
2755.126,333.96688,
2752.215,329.57938,
2749.304,325.72571,
2746.394,332.93346,
2743.483,331.37502,
2740.573,310.9059,
2737.662,329.07767,
2734.751,318.10798,
2731.841,341.2816,
2728.930,332.07843,
2726.020,331.43634,
2723.109,330.5555,
2720.199,334.67805,
2717.288,343.78741,
2714.377,340.26254,
2711.467,335.61237,
2708.556,350.35374,
2705.646,349.875,
2702.735,358.85437,
2699.825,346.21139,
2696.914,371.68502,
2694.003,352.71891,
2691.093,348.00015,
2688.182,346.52907,
2685.272,357.27329,
2682.361,369.7571,
2679.450,369.13431,
2676.540,351.9563,
2673.629,357.53418,
2670.719,369.22528,
2667.808,368.16681,
2664.898,381.51118,
2661.987,377.14138,
2659.076,355.40087,
2656.166,360.93991,
2653.255,373.57568,
2650.345,374.03471,
2647.434,380.98961,
2644.524,394.41937,
2641.613,397.56073,
2638.702,382.1275,
2635.792,394.90392,
2632.881,399.59546,
2629.971,410.81472,
2627.060,382.54125,
2624.149,391.84687,
2621.239,395.86907,
2618.328,408.875,
2615.418,407.21591,
2612.507,404.49555,
2609.597,416.68139,
2606.686,409.40714,
2603.775,418.91468,
2600.865,412.52345,
2597.954,413.5396,
2595.044,411.50034,
2592.133,416.5947,
2589.223,421.89922,
2586.312,417.38756,
2583.401,433.3422,
2580.491,429.54813,
2577.580,444.84694,
2574.670,433.96322,
2571.759,442.16781,
2568.848,425.17329,
2565.938,437.92255,
2563.027,445.67956,
2560.117,446.32361,
2557.206,449.77906,
2554.296,437.76287,
2551.385,445.56099,
2548.474,450.91218,
2545.564,451.93831,
2542.653,462.03272,
2539.743,472.2949,
2536.832,456.22078,
2533.922,472.10231,
2531.011,427.99965,
2528.100,428.74605,
2525.190,459.40368,
2522.279,455.57847,
2519.369,463.83763,
2516.458,469.33321,
2513.548,458.98445,
2510.637,459.30538,
2507.726,467.43634,
2504.816,470.875,
2501.905,468.44024,
2498.995,459.72629,
2496.084,483.66243,
2493.173,475.19089,
2490.263,489.04338,
2487.352,488.33247,
2484.442,482.4253,
2481.531,499.92818,
2478.621,495.50057,
2475.710,470.0897,
2472.799,492.44905,
2469.889,489.9332,
2466.978,504.15336,
2464.068,510.57873,
2461.157,514.02997,
2458.247,512.90434,
2455.336,511.46992,
2452.425,507.74292,
2449.515,511.69622,
2446.604,539.63071,
2443.694,542.24668,
2440.783,515.25225,
2437.872,537.72914,
2434.962,538.86578,
2432.051,544.58472,
2429.141,533.02798,
2426.230,546.83194,
2423.320,552.73255,
2420.409,536.2532,
2417.498,539.86658,
2414.588,545.96243,
2411.677,560.48056,
2408.767,550.12795,
2405.856,546.18455,
2402.946,549.08948,
2400.035,537.59095,
2397.124,556.0996,
2394.214,556.9018,
2391.303,547.9082,
2388.393,565.01692,
2385.482,517.43059,
2382.571,502.63361,
2379.661,533.73543,
2376.750,537.45381,
2373.840,562.97489,
2370.929,566.90749,
2368.019,579.875,
2365.108,581.85144,
2362.197,574.12427,
2359.287,582.04325,
2356.376,601.84682,
2353.466,591.08734,
2350.555,585.50491,
2347.645,592.53194,
2344.734,595.14688,
2341.823,590.92475,
2338.913,610.4541,
2336.002,599.79609,
2333.092,606.392,
2330.181,618.38395,
2327.270,617.93001,
2324.360,616.56365,
2321.449,633.875,
2318.539,626.21443,
2315.628,629.33663,
2312.718,641.82434,
2309.807,640.12355,
2306.896,628.36326,
2303.986,628.22569,
2301.075,638.81115,
2298.165,641.875,
2295.254,631.11197,
