,PLAAAF~1,
Wavenumbers [1/cm],Intensity,
3014.167,2.25,
3011.256,-1.0999678,
3008.346,60.182296,
3005.435,81.366609,
3002.525,88.042506,
2999.614,71.626636,
2996.704,86.745874,
2993.793,72.86924,
2990.882,91.936945,
2987.972,86.32063,
2985.061,94.929796,
2982.151,96.176057,
2979.240,80.199617,
2976.329,96.525936,
2973.419,89.91136,
2970.508,102.18331,
2967.598,110.25,
2964.687,104.04144,
2961.777,96.344008,
2958.866,100.57987,
2955.955,109.80309,
2953.045,100.65271,
2950.134,120.25,
2947.224,113.96531,
2944.313,110.99145,
2941.403,136.63138,
2938.492,109.52642,
2935.581,109.47576,
2932.671,124.88948,
2929.760,124.38846,
2926.850,119.61579,
2923.939,123.65188,
2921.028,116.4794,
2918.118,121.25,
2915.207,118.89554,
2912.297,111.27539,
2909.386,118.64416,
2906.476,112.21911,
2903.565,122.42853,
2900.654,94.462351,
2897.744,103.74711,
2894.833,81.569267,
2891.923,97.330096,
2889.012,79.839594,
2886.102,45.356771,
2883.191,-2.7131833,
2880.280,-146.50124,
2877.370,-436.95865,
2874.459,-581.86247,
2871.549,-294.40584,
2868.638,-28.327435,
2865.727,34.753816,
2862.817,49.435827,
2859.906,87.757115,
2856.996,105.75679,
2854.085,113.05254,
2851.175,107.49092,
2848.264,104.91151,
2845.353,122.1853,
2842.443,119.6493,
2839.532,124.90669,
2836.622,127.64323,
2833.711,118.99097,
2830.801,140.32868,
2827.890,135.16608,
2824.979,139.31195,
2822.069,123.46607,
2819.158,143.39016,
2816.248,145.99711,
2813.337,140.72438,
2810.427,154.16184,
2807.516,149.51625,
2804.605,133.25,
2801.695,143.43423,
2798.784,158.65862,
2795.874,152.11016,
2792.963,144.10702,
2790.052,142.24979,
2787.142,147.43408,
2784.231,141.76552,
2781.321,134.43858,
2778.410,137.66497,
2775.500,142.07931,
2772.589,140.63532,
2769.678,147.07255,
2766.768,150.36652,
2763.857,145.46195,
2760.947,147.69011,
2758.036,150.95708,
2755.126,145.96154,
2752.215,154.84547,
2749.304,165.84531,
2746.394,141.69551,
2743.483,156.60001,
2740.573,164.12172,
2737.662,140.61094,
2734.751,157.57527,
2731.841,158.03388,
2728.930,151.43627,
2726.020,165.68345,
2723.109,160.79633,
2720.199,152.77801,
2717.288,163.81204,
2714.377,163.6041,
2711.467,167.47967,
2708.556,159.72874,
2705.646,161.78522,
2702.735,160.57989,
2699.825,164.0973,
2696.914,164.77363,
2694.003,167.47927,
2691.093,157.33906,
2688.182,175.68852,
2685.272,160.53307,
2682.361,155.79694,
2679.450,169.03598,
2676.540,171.14838,
2673.629,166.25,
2670.719,175.88494,
2667.808,166.97953,
2664.898,174.58755,
2661.987,172.74983,
2659.076,170.61422,
2656.166,180.12017,
2653.255,168.32483,
2650.345,188.98684,
2647.434,175.73557,
2644.524,170.63609,
2641.613,177.42159,
2638.702,174.34469,
2635.792,182.40653,
2632.881,183.71423,
2629.971,183.63253,
