,PLB0AA~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.875,
3011.256,0.47496779,
3008.346,120.79733,
3005.435,128.85645,
3002.525,128.95498,
2999.614,134.55098,
2996.704,139.125,
2993.793,148.61118,
2990.882,149.522,
2987.972,168.13509,
2985.061,164.8048,
2982.151,153.72163,
2979.240,146.18963,
2976.329,169.89821,
2973.419,166.04798,
2970.508,173.20832,
2967.598,176.36396,
2964.687,177.78193,
2961.777,184.09091,
2958.866,194.45635,
2955.955,201.67809,
2953.045,204.49189,
2950.134,211.58274,
2947.224,222.15347,
2944.313,219.08013,
2941.403,230.63732,
2938.492,216.69953,
2935.581,216.01212,
2932.671,217.76448,
2929.760,225.81732,
2926.850,243.6547,
2923.939,230.04556,
2921.028,231.97798,
2918.118,240.96379,
2915.207,229.94777,
2912.297,227.13346,
2909.386,235.31478,
2906.476,245.63622,
2903.565,227.96352,
2900.654,231.125,
2897.744,240.04957,
2894.833,238.24863,
2891.923,242.5032,
2889.012,226.08454,
2886.102,224.54121,
2883.191,216.13444,
2880.280,178.40252,
2877.370,77.456742,
2874.459,36.52764,
2871.549,114.27044,
2868.638,184.85487,
2865.727,245.07116,
2862.817,234.56752,
2859.906,241.11359,
2856.996,255.69972,
2854.085,255.84982,
2851.175,242.79364,
2848.264,247.3455,
2845.353,259.97403,
2842.443,257.91664,
2839.532,251.93105,
2836.622,274.78776,
2833.711,248.76235,
2830.801,263.70736,
2827.890,267.87324,
2824.979,252.06305,
2822.069,268.09088,
2819.158,268.54549,
2816.248,287.57289,
2813.337,288.99086,
2810.427,280.60296,
2807.516,269.34094,
2804.605,274.35096,
2801.695,283.08553,
2798.784,272.23385,
2795.874,279.27012,
2792.963,275.19638,
2790.052,260.128,
2787.142,275.98004,
2784.231,268.44641,
2781.321,269.06214,
2778.410,265.63516,
2775.500,275.91051,
2772.589,264.58677,
2769.678,270.90997,
2766.768,281.42986,
2763.857,282.96507,
2760.947,276.18804,
2758.036,292.90211,
2755.126,301.98397,
2752.215,297.65682,
2749.304,294.6358,
2746.394,288.87698,
2743.483,300.77499,
2740.573,301.23783,
2737.662,270.37943,
2734.751,296.59095,
2731.841,298.34112,
2728.930,298.37071,
2726.020,303.90046,
2723.109,294.14575,
2720.199,308.18442,
2717.288,300.03741,
2714.377,325.2496,
2711.467,319.40411,
2708.556,307.94395,
2705.646,320.19544,
2702.735,312.46521,
2699.825,324.01593,
2696.914,307.26724,
2694.003,315.76727,
2691.093,308.96376,
2688.182,314.9813,
2685.272,338.97422,
2682.361,322.0071,
2679.450,319.96868,
2676.540,326.86079,
2673.629,316.11602,
2670.719,322.05199,
2667.808,325.02773,
2664.898,326.42364,
2661.987,321.62483,
2659.076,315.99784,
2656.166,340.6402,
2653.255,341.15732,
2650.345,355.69306,
2647.434,362.06727,
2644.524,343.21374,
2641.613,343.32487,
2638.702,351.95141,
2635.792,339.71922,
2632.881,338.43448,
2629.971,342.74247,
2627.060,351.79,
2624.149,366.04375,
2621.239,364.87055,
2618.328,353.20977,
2615.418,358.11137,
2612.507,365.3661,
2609.597,366.125,
2606.686,370.68324,
2603.775,371.36309,
2600.865,366.65402,
2597.954,384.17291,
2595.044,382.81233,
2592.133,384.23971,
2589.223,386.34184,
2586.312,375.75818,
2583.401,374.96079,
2580.491,384.30288,
2577.580,362.15306,
2574.670,379.95521,
2571.759,372.21576,
2568.848,381.41238,
2565.938,373.69625,
2563.027,392.6364,
2560.117,397.10634,
2557.206,395.18035,
2554.296,385.24399,
2551.385,407.75303,
2548.474,417.45846,
2545.564,393.9797,
2542.653,412.87333,
2539.743,401.0141,
2536.832,410.88014,
2533.922,418.95154,
2531.011,410.04984,
2528.100,406.59536,
2525.190,409.40246,
2522.279,417.70292,
2519.369,402.18202,
2516.458,417.25814,
2513.548,412.18906,
2510.637,430.24797,
2507.726,424.63056,
2504.816,414.87585,
2501.905,429.86402,
2498.995,437.88612,
2496.084,432.59189,
2493.173,434.09884,
2490.263,427.75436,
2487.352,439.33367,
2484.442,442.98582,
2481.531,435.38569,
2478.621,451.85493,
2475.710,450.13267,
2472.799,450.3851,
2469.889,456.36601,
2466.978,457.90857,
2464.068,444.59057,
2461.157,460.89498,
2458.247,471.80156,
2455.336,462.99973,
2452.425,453.125,
2449.515,449.7196,
2446.604,465.35538,
2443.694,478.35774,
2440.783,458.64414,
2437.872,469.70844,
2434.962,486.43836,
2432.051,476.95809,
2429.141,485.18942,
2426.230,481.03768,
2423.320,482.06774,
2420.409,490.52878,
2417.498,497.91995,
2414.588,504.02992,
2411.677,488.90985,
2408.767,486.16043,
2405.856,490.90359,
2402.946,495.02402,
2400.035,496.42781,
2397.124,522.00201,
2394.214,506.31261,
2391.303,502.30725,
2388.393,514.11105,
2385.482,491.22655,
2382.571,463.58017,
2379.661,478.5204,
2376.750,503.64452,
2373.840,517.28129,
2370.929,531.94089,
2368.019,510.36513,
2365.108,533.26374,
2362.197,541.125,
2359.287,544.31832,
2356.376,532.14789,
2353.466,553.56511,
2350.555,543.52001,
2347.645,539.98063,
2344.734,547.36926,
2341.823,559.95917,
2338.913,552.30261,
2336.002,555.72067,
2333.092,549.98725,
2330.181,566.26816,
2327.270,548.61014,
2324.360,576.06603,
2321.449,581.80187,
2318.539,578.06077,
2315.628,565.36081,
2312.718,578.79021,
2309.807,571.19331,
2306.896,573.8887,
2303.986,588.69652,
2301.075,601.74202,
2298.165,590.15362,
2295.254,596.90957,
2292.344,584.59382,
2289.433,602.78909,
2286.522,601.09822,
2283.612,613.23599,
2280.701,629.51063,
2277.791,586.64784,
2274.880,619.70106,
2271.969,613.3143,
2269.059,623.125,
2266.148,630.42049,
2263.238,616.03235,
2260.327,640.78013,
2257.417,633.04111,
2254.506,633.239,
2251.595,637.8487,
2248.685,630.86154,
2245.774,623.01525,
2242.864,653.54147,
2239.953,645.35258,
2237.043,650.41107,
2234.132,643.35883,
2231.221,652.73234,
2228.311,665.47422,
2225.400,651.71605,
2222.490,673.05336,
2219.579,684.98879,
2216.669,693.656,
2213.758,689.73415,
2210.847,701.60358,
2207.937,695.49146,
2205.026,692.68069,
2202.116,690.96045,
2199.205,701.48712,
2196.294,705.19101,
2193.384,719.88753,
2190.473,719.40317,
2187.563,723.1685,
2184.652,736.34214,
2181.742,764.55737,
2178.831,786.99665,
2175.920,802.125,
2173.010,799.22477,
2170.099,804.19097,
2167.189,861.13935,
2164.278,867.08681,
2161.368,896.98131,
2158.457,934.4591,
2155.546,981.74523,
2152.636,1032.6621,
2149.725,1079.7491,
2146.815,1101.5911,
2143.904,1136.3369,
2140.993,1171.1778,
2138.083,1201.3377,
2135.172,1189.3769,
2132.262,1188.5414,
2129.351,1183.4697,
2126.441,1184.0765,
2123.530,1166.5077,
2120.619,1113.2259,
2117.709,1092.7015,
2114.798,1013.4057,
2111.888,997.8505,
2108.977,943.25742,
2106.067,902.95744,
2103.156,861.17192,
2100.245,848.11998,
2097.335,838.07788,
2094.424,826.47589,
2091.514,833.19217,
2088.603,811.41078,
2085.692,805.76434,
2082.782,798.28172,
2079.871,792.125,
2076.961,804.28549,
2074.050,803.17348,
2071.140,807.18223,
2068.229,816.04949,
2065.318,798.656,
2062.408,786.84438,
2059.497,791.36312,
2056.587,792.77635,
2053.676,793.0247,
2050.766,792.27896,
2047.855,796.18196,
2044.944,799.58814,
2042.034,806.28103,
2039.123,790.32365,
2036.213,793.92952,
2033.302,821.64664,
2030.391,823.90475,
2027.481,809.47878,
2024.570,779.83995,
2021.660,835.34073,
2018.749,814.40318,
2015.839,801.77461,
2012.928,842.72232,
2010.017,847.08699,
2007.107,817.42592,
2004.196,834.23223,
2001.286,849.45717,
1998.375,838.25393,
1995.465,830.61875,
1992.554,822.1133,
1989.643,852.01896,
1986.733,815.37237,
1983.822,851.73948,
1980.912,833.85789,
1978.001,841.87082,
1975.090,845.50058,
1972.180,832.43753,
1969.269,825.10782,
1966.359,819.9626,
1963.448,831.30995,
1960.538,852.92066,
1957.627,853.45008,
1954.716,843.41227,
1951.806,875.68433,
1948.895,849.27276,
1945.985,852.42729,
1943.074,836.64895,
1940.164,849.17321,
1937.253,851.51649,
1934.342,850.21056,
1931.432,878.59819,
1928.521,859.00582,
1925.611,859.86507,
1922.700,848.92197,
1919.790,864.79529,
1916.879,880.21826,
1913.968,888.11639,
1911.058,853.116,
1908.147,868.58633,
1905.237,872.16908,
1902.326,839.6865,
1899.415,825.63843,
1896.505,838.46829,
1893.594,837.66467,
1890.684,863.06608,
1887.773,879.59043,
1884.863,891.6922,
1881.952,872.71274,
1879.041,850.77765,
1876.131,890.28707,
1873.220,883.56299,
1870.310,897.83349,
1867.399,902.07702,
1864.489,892.87881,
1861.578,865.67418,
1858.667,903.35252,
1855.757,922.32428,
1852.846,917.59681,
1849.936,890.54443,
1847.025,886.58726,
1844.114,920.10146,
1841.204,923.59703,
1838.293,939.61752,
1835.383,946.8575,
1832.472,950.90413,
1829.562,934.87734,
1826.651,933.33033,
1823.740,962.60397,
1820.830,952.83349,
1817.919,996.80197,
1815.009,963.60084,
1812.098,973.18011,
1809.188,948.8615,
1806.277,997.97414,
1803.366,914.87363,
1800.456,961.59807,
1797.545,1002.0967,
1794.635,980.44797,
1791.724,975.72685,
1788.813,999.71291,
1785.903,962.125,
1782.992,965.07583,
1780.082,944.50507,
1777.171,871.45476,
1774.261,880.39045,
1771.350,951.18076,
1768.439,991.61317,
1765.529,1000.5834,
1762.618,1022.2262,
1759.708,1041.0926,
1756.797,1034.6932,
1753.887,1031.434,
1750.976,1041.2284,
1748.065,1034.6672,
1745.155,1038.8733,
1742.244,1063.3134,
1739.334,1059.0615,
1736.423,1061.31,
1733.512,1068.7632,
1730.602,1068.629,
1727.691,1090.3872,
1724.781,1116.7894,
1721.870,1112.4678,
1718.960,1105.1916,
1716.049,1127.6163,
1713.138,1165.4698,
1710.228,1117.1666,
1707.317,1134.7776,
1704.407,1149.8042,
1701.496,1156.5943,
1698.586,1182.9966,
1695.675,1209.4534,
1692.764,1215.8586,
1689.854,1209.4281,
1686.943,1223.6191,
1684.033,1227.0505,
1681.122,1247.7682,
1678.211,1283.7824,
1675.301,1258.2052,
1672.390,1290.1459,
1669.480,1297.2132,
1666.569,1309.3184,
1663.659,1402.3047,
1660.748,1412.3152,
1657.837,1372.2622,
1654.927,1424.4839,
1652.016,1481.2951,
1649.106,1488.5901,
1646.195,1506.4297,
1643.285,1479.0592,
1640.374,1518.5396,
1637.463,1492.8184,
1634.553,1585.391,
1631.642,1603.9936,
1628.732,1683.1072,
1625.821,1680.2133,
1622.911,1814.3643,
1620.000,1875.3565,
1617.089,1925.13,
1614.179,2021.3613,
1611.268,2154.106,
1608.358,2272.5531,
1605.447,2372.4115,
1602.536,2431.2426,
1599.626,2416.7263,
1596.715,2401.511,
1593.805,2413.54,
1590.894,2366.6881,
1587.984,2347.9997,
1585.073,2334.2136,
1582.162,2307.9133,
1579.252,2254.0269,
1576.341,2261.5495,
1573.431,2240.2803,
1570.520,2241.5331,
1567.610,2226.2424,
1564.699,2209.9746,
1561.788,2151.9002,
1558.878,2117.518,
1555.967,2101.5544,
1553.057,2117.8144,
1550.146,2072.9724,
1547.235,2028.2701,
1544.325,2004.5935,
1541.414,1992.7452,
1538.504,1969.9763,
1535.593,1936.8998,
1532.683,1926.5844,
1529.772,1931.0062,
1526.861,1901.5247,
1523.951,1847.8887,
1521.040,1836.5884,
1518.130,1826.7988,
1515.219,1839.9248,
1512.309,1850.5935,
1509.398,1849.7393,
1506.487,1806.6763,
1503.577,1798.0677,
1500.666,1790.8258,
1497.756,1823.0905,
1494.845,1763.4057,
1491.934,1793.914,
1489.024,1729.427,
1486.113,1704.8718,
1483.203,1709.3422,
1480.292,1679.5786,
1477.382,1713.7292,
1474.471,1711.6143,
1471.560,1687.0807,
1468.650,1681.8581,
1465.739,1654.3029,
1462.829,1642.8995,
1459.918,1646.125,
1457.008,1646.6327,
1454.097,1647.125,
1451.186,1638.3919,
1448.276,1655.6425,
1445.365,1685.8714,
1442.455,1657.3376,
1439.544,1677.6263,
1436.633,1629.8837,
1433.723,1686.8848,
1430.812,1665.5288,
1427.902,1682.1328,
1424.991,1640.4313,
1422.081,1643.7124,
1419.170,1643.2609,
1416.259,1636.6445,
1413.349,1646.4536,
1410.438,1674.6173,
1407.528,1703.1498,
1404.617,1696.6854,
1401.707,1701.5532,
1398.796,1726.5096,
1395.885,1738.9518,
1392.975,1730.9163,
1390.064,1730.9006,
1387.154,1755.7034,
1384.243,1709.0913,
1381.332,1725.6904,
1378.422,1706.8979,
1375.511,1721.8864,
1372.601,1820.733,
1369.690,1849.6983,
1366.780,1895.8949,
1363.869,1883.1513,
1360.958,1908.4562,
1358.048,1971.2167,
1355.137,2024.7294,
1352.227,2034.6021,
1349.316,2045.8436,
1346.406,2088.234,
1343.495,2107.5954,
1340.584,2137.589,
1337.674,2161.6626,
1334.763,2190.8427,
1331.853,2183.4249,
1328.942,2260.5084,
1326.032,2196.7191,
1323.121,2199.3901,
1320.210,2262.7283,
1317.300,2250.9892,
1314.389,2253.445,
1311.479,2304.4064,
1308.568,2329.1739,
1305.657,2338.1396,
1302.747,2380.136,
1299.836,2391.9875,
1296.926,2449.9196,
1294.015,2488.5312,
1291.105,2572.8959,
1288.194,2600.0999,
1285.283,2649.2332,
1282.373,2706.3592,
1279.462,2749.9873,
1276.552,2766.1959,
1273.641,2814.4738,
1270.731,2870.7205,
1267.820,2824.1739,
1264.909,2867.3445,
1261.999,2845.7602,
1259.088,2808.3632,
1256.178,2821.5412,
1253.267,2794.2044,
1250.356,2727.5584,
1247.446,2643.7992,
1244.535,2581.826,
1241.625,2539.3436,
1238.714,2490.1978,
1235.804,2432.1445,
1232.893,2378.6304,
1229.982,2353.9104,
1227.072,2347.5732,
1224.161,2340.401,
1221.251,2284.0313,
1218.340,2246.3385,
1215.430,2214.1036,
1212.519,2165.3374,
1209.608,2141.9456,
1206.698,2166.8697,
1203.787,2161.4516,
1200.877,2137.5737,
1197.966,2160.9519,
1195.055,2229.5316,
1192.145,2307.9946,
1189.234,2329.4762,
1186.324,2384.7667,
1183.413,2416.993,
1180.503,2394.7407,
1177.592,2377.0642,
1174.681,2344.0839,
1171.771,2322.2596,
1168.860,2284.7498,
1165.950,2257.7426,
1163.039,2245.141,
1160.129,2225.6091,
1157.218,2223.7397,
1154.307,2234.8671,
1151.397,2229.3473,
1148.486,2208.7763,
1145.576,2199.8915,
1142.665,2171.4783,
1139.754,2153.6661,
1136.844,2141.7214,
1133.933,2128.7409,
1131.023,2111.2668,
1128.112,2099.125,
1125.202,2095.2603,
1122.291,2084.253,
1119.380,2092.5148,
1116.470,2132.2285,
1113.559,2126.2995,
1110.649,2134.2574,
1107.738,2146.019,
1104.828,2140.3064,
1101.917,2131.93,
1099.006,2149.3518,
1096.096,2156.0926,
1093.185,2171.8966,
1090.275,2120.5224,
1087.364,2138.3144,
1084.453,2130.1889,
1081.543,2133.7214,
1078.632,2145.0821,
1075.722,2124.3489,
1072.811,2176.2563,
1069.901,2164.0306,
1066.990,2147.7667,
1064.079,2175.4286,
1061.169,2206.694,
1058.258,2214.1962,
1055.348,2218.1773,
1052.437,2251.8807,
1049.527,2275.3194,
1046.616,2254.4675,
1043.705,2245.1881,
1040.795,2273.7732,
1037.884,2300.734,
1034.974,2310.8698,
1032.063,2310.9327,
1029.153,2309.41,
1026.242,2328.439,
1023.331,2307.4597,
1020.421,2309.3989,
1017.510,2368.1526,
1014.600,2398.1683,
1011.689,2401.6455,
1008.778,2443.4639,
1005.868,2358.7042,
1002.957,2423.2307,
1000.047,2501.557,
997.136,2593.4928,
994.226,2678.0475,
991.315,2707.1621,
988.404,2667.2599,
985.494,2672.3003,
982.583,2635.4683,
979.673,2639.6364,
976.762,2616.1183,
973.852,2595.799,
970.941,2605.6838,
968.030,2629.8186,
965.120,2611.0391,
962.209,2590.5781,
959.299,2614.7467,
956.388,2629.4848,
953.477,2634.5912,
950.567,2642.0464,
947.656,2654.5733,
944.746,2665.6176,
941.835,2667.7446,
938.925,2699.7114,
936.014,2686.2813,
933.103,2656.0657,
930.193,2642.3393,
927.282,2595.9041,
924.372,2610.2794,
921.461,2590.033,
918.551,2544.3643,
915.640,2507.7762,
912.729,2480.6338,
909.819,2445.7956,
906.908,2481.1775,
903.998,2498.2369,
901.087,2497.6695,
898.176,2525.1883,
895.266,2563.5208,
892.355,2577.4809,
889.445,2590.0699,
886.534,2616.8409,
883.624,2655.0938,
880.713,2654.2833,
877.802,2625.9663,
874.892,2580.5119,
871.981,2477.5406,
869.071,2368.1015,
866.160,2387.7627,
863.250,2485.328,
860.339,2592.8485,
857.428,2649.7684,
854.518,2625.2233,
851.607,2559.4899,
848.697,2449.7672,
845.786,2431.5923,
842.875,2463.8151,
839.965,2509.0191,
837.054,2649.8645,
834.144,2626.6594,
831.233,2614.1256,
828.323,2624.9622,
825.412,2614.6899,
822.501,2562.9123,
819.591,2572.8291,
816.680,2551.4903,
813.770,2522.9444,
810.859,2491.5266,
807.949,2465.7152,
805.038,2456.7135,
802.127,2478.1148,
799.217,2461.4902,
796.306,2467.044,
793.396,2481.5754,
790.485,2482.9653,
787.574,2456.6855,
784.664,2471.4475,
781.753,2484.1898,
778.843,2515.0994,
775.932,2534.4091,
773.022,2520.4217,
770.111,2541.6788,
767.200,2545.4089,
764.290,2525.8993,
761.379,2512.3066,
758.469,2519.7752,
755.558,2540.1282,
752.648,2506.7294,
749.737,2472.0551,
746.826,2451.9966,
743.916,2466.5084,
741.005,2510.9633,
738.095,2438.7062,
735.184,2386.5064,
732.274,2348.615,
729.363,2337.1858,
726.452,2372.4669,
723.542,2490.6383,
720.631,2471.8952,
717.721,2497.9229,
714.810,2506.3751,
711.899,2491.9171,
708.989,2546.788,
706.078,2517.4768,
703.168,2482.1928,
700.257,2481.453,
697.347,2503.9513,
694.436,2496.365,
691.525,2505.2069,
688.615,2486.3709,
685.704,2478.8736,
682.794,2477.6357,
679.883,2455.3236,
676.973,2504.2073,
674.062,2493.7064,
671.151,2489.5766,
668.241,2498.172,
665.330,2494.3309,
662.420,2477.5575,
659.509,2481.7442,
656.598,2483.0958,
653.688,2481.6555,
650.777,2488.4508,
647.867,2439.0785,
644.956,2431.2208,
642.046,2422.76,
639.135,2402.2559,
636.224,2380.4592,
633.314,2447.15,
630.403,2486.591,
627.493,2504.0454,
624.582,2526.901,
621.672,2615.6043,
618.761,2603.9262,
615.850,2596.921,
612.940,2602.6388,
610.029,2622.5174,
607.119,2654.8923,
604.208,2643.2147,
601.297,2653.0776,
598.387,2670.5582,
595.476,2675.6106,
592.566,2691.3519,
589.655,2653.9558,
586.745,2633.8609,
583.834,2627.3416,
580.923,2596.0681,
578.013,2586.6513,
575.102,2573.2268,
572.192,2575.129,
569.281,2593.4062,
566.371,2594.9714,
563.460,2597.2414,
560.549,2604.9469,
557.639,2633.8786,
554.728,2689.3311,
551.818,2629.2468,
548.907,2631.9697,
545.996,2646.7905,
543.086,2654.7961,
540.175,2657.9106,
537.265,2653.7793,
534.354,2671.6909,
531.444,2682.2079,
528.533,2659.2354,
525.622,2660.7873,
522.712,2671.4398,
519.801,2694.9277,
516.891,2730.7328,
513.980,2773.3191,
511.070,2789.0989,
508.159,2823.2566,
505.248,2871.6489,
502.338,2922.9324,
499.427,2984.6789,
496.517,2985.2866,
493.606,2983.8927,
490.695,3006.7298,
487.785,3018.2766,
484.874,3048.5589,
481.964,3052.9125,
479.053,3027.1967,
476.143,2985.7267,
473.232,2968.7369,
470.321,2962.6384,
467.411,2972.5087,
464.500,3002.7759,
461.590,2988.9926,
458.679,2979.6221,
455.769,3000.9603,
452.858,3054.898,
449.947,3033.5079,
447.037,3047.9346,
444.126,3060.4947,
441.216,3060.199,
438.305,3054.8655,
435.395,3082.3174,
432.484,3100.459,
429.573,3105.48,
426.663,3107.0003,
423.752,2980.8922,
420.842,2806.4733,
417.931,2672.9592,
415.020,2704.0519,
412.110,2967.7741,
409.199,3143.3425,
406.289,3212.5961,
403.378,3170.9022,
400.468,3105.1306,
397.557,3105.2051,
394.646,3163.3721,
391.736,3266.4248,
388.825,3244.5521,
385.915,3246.1079,
383.004,3261.9768,
380.094,3283.7795,
377.183,3277.0072,
374.272,3313.6624,
371.362,3362.9017,
368.451,3404.0824,
365.541,3419.8437,
362.630,3430.1336,
359.719,3439.8605,
356.809,3450.8078,
353.898,3445.5662,
350.988,3418.0856,
348.077,3411.2263,
345.167,3446.0059,
342.256,3404.1701,
339.345,3413.3823,
336.435,3422.4093,
333.524,3397.7827,
330.614,3418.647,
327.703,3430.7725,
324.793,3441.5386,
321.882,3457.0349,
318.971,3419.8627,
316.061,3419.8212,
313.150,3445.5964,
310.240,3485.6707,
307.329,3532.1471,
304.418,3541.9178,
301.508,3524.8388,
298.597,3497.4434,
295.687,3547.2725,
292.776,3585.0417,
289.866,3614.8018,
286.955,3670.2062,
284.044,3754.0249,
281.134,3825.8966,
278.223,3878.6218,
275.313,3916.2014,
272.402,3968.8545,
269.492,3996.3722,
266.581,3983.7077,
263.670,3949.8894,
260.760,3910.8715,
257.849,3951.1047,
254.939,4142.6481,
252.028,4138.6104,
249.117,4100.9493,
246.207,4075.0355,
243.296,4136.5266,
240.386,4165.9797,
237.475,4189.2664,
234.565,4197.4621,
231.654,4136.1099,
228.743,4105.864,
225.833,4079.0998,
222.922,4047.2609,
220.012,4050.1751,
217.101,4032.4778,
214.191,4014.8735,
211.280,4020.6932,
208.369,4028.5259,
205.459,4037.3153,
202.548,4048.3841,
199.638,4067.2509,
196.727,4109.1553,
193.816,4141.3393,
190.906,4150.1346,
187.995,4121.8976,
185.085,4126.7835,
182.174,4158.7957,
179.264,4216.617,
176.353,4202.6201,
173.442,4157.0446,
170.532,4093.1767,
167.621,4059.2908,
164.711,3950.7927,
161.800,3804.8449,
158.890,3640.0273,
155.979,3367.8262,
153.068,3091.5436,
150.158,2793.2567,
147.247,2382.588,
144.337,1981.0775,
141.426,1577.9066,
138.516,1167.8448,
135.605,855.17005,
132.694,581.06113,
129.784,357.43214,
126.873,235.86007,
123.963,167.87567,
