,PLB772~1,
Wavenumbers [1/cm],Intensity,
3014.167,2.875,
3011.256,-2.2749248,
3008.346,49.615033,
3005.435,73.108219,
3002.525,66.647371,
2999.614,73.668554,
2996.704,88.246139,
2993.793,93.7788,
2990.882,89.386357,
2987.972,94.930495,
2985.061,109.4218,
2982.151,99.784232,
2979.240,108.49384,
2976.329,102.13456,
2973.419,123.18309,
2970.508,111.19164,
2967.598,112.39709,
2964.687,108.1284,
2961.777,115.68698,
2958.866,121.86906,
2955.955,127.59845,
2953.045,138.14122,
2950.134,134.875,
2947.224,133.98888,
2944.313,147.76247,
2941.403,156.39872,
2938.492,150.88585,
2935.581,141.08485,
2932.671,152.0724,
2929.760,159.19042,
2926.850,148.44267,
2923.939,164.43575,
2921.028,166.49858,
2918.118,163.79439,
2915.207,159.46361,
2912.297,166.84538,
2909.386,157.68522,
2906.476,169.13061,
2903.565,160.80981,
2900.654,164.53426,
2897.744,151.91272,
2894.833,152.81318,
2891.923,154.7404,
2889.012,152.54552,
2886.102,147.72769,
2883.191,110.91465,
2880.280,88.420449,
2877.370,43.909987,
2874.459,9.3086631,
2871.549,30.599558,
2868.638,158.38216,
2865.727,149.45957,
2862.817,169.33222,
2859.906,167.90064,
2856.996,168.9067,
2854.085,165.39601,
2851.175,183.22749,
2848.264,176.21349,
2845.353,183.59463,
2842.443,172.87152,
2839.532,173.54666,
2836.622,175.66146,
2833.711,172.55632,
2830.801,178.57279,
2827.890,176.12676,
2824.979,173.96107,
2822.069,196.74991,
2819.158,190.0556,
2816.248,196.12789,
2813.337,191.98841,
2810.427,192.875,
2807.516,187.82469,
2804.605,181.10096,
2801.695,185.30921,
2798.784,188.57931,
2795.874,177.01484,
2792.963,181.80362,
2790.052,180.87543,
2787.142,185.74338,
2784.231,189.68089,
2781.321,205.74352,
2778.410,186.80013,
2775.500,189.23603,
2772.589,181.99044,
2769.678,185.65997,
2766.768,189.68665,
2763.857,186.66305,
2760.947,175.37815,
2758.036,188.58208,
2755.126,178.58013,
2752.215,196.4931,
2749.304,203.95952,
2746.394,208.02824,
2743.483,207.62499,
2740.573,205.43914,
2737.662,196.22559,
2734.751,203.96729,
2731.841,190.1717,
2728.930,202.40472,
2726.020,204.99769,
2723.109,189.93725,
2720.199,199.81558,
2717.288,210.68157,
2714.377,191.23368,
2711.467,205.92445,
2708.556,202.21521,
2705.646,220.86094,
2702.735,214.21005,
2699.825,214.89681,
2696.914,210.63681,
2694.003,208.51727,
2691.093,208.41051,
2688.182,208.98463,
2685.272,210.07842,
2682.361,206.39247,
2679.450,212.75155,
2676.540,219.89532,
2673.629,219.87949,
2670.719,215.30568,
2667.808,230.99956,
2664.898,209.95282,
2661.987,218.14171,
2659.076,233.84051,
2656.166,220.26449,
2653.255,236.3988,
2650.345,235.98752,
2647.434,233.61778,
2644.524,235.50811,
2641.613,231.90328,
2638.702,238.68563,
2635.792,243.78227,
2632.881,241.64871,
2629.971,236.27763,
2627.060,225.53938,
2624.149,242.0375,
2621.239,233.86314,
