,PLC260~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1,
3011.256,0.75005368,
3008.346,92.398443,
3005.435,97.194349,
3002.525,105.41499,
2999.614,104.80262,
2996.704,114.95567,
2993.793,110.59159,
2990.882,127.52676,
2987.972,120.12108,
2985.061,140.00985,
2982.151,128.83529,
2979.240,130.51807,
2976.329,128.25956,
2973.419,145.86188,
2970.508,135.69998,
2967.598,159.23534,
2964.687,142.08967,
2961.777,172.61572,
2958.866,161.66419,
2955.955,160.44691,
2953.045,151.56825,
2950.134,167.85132,
2947.224,158.39856,
2944.313,173.79772,
2941.403,185.55976,
2938.492,180.03254,
2935.581,185.84419,
2932.671,184.72104,
2929.760,193.2077,
2926.850,202.63421,
2923.939,195.47661,
2921.028,196.98225,
2918.118,214.0995,
2915.207,210,
2912.297,190.08463,
2909.386,212.41605,
2906.476,199.65171,
2903.565,202.25778,
2900.654,218.01111,
2897.744,213.03772,
2894.833,218.88654,
2891.923,217.3237,
2889.012,196.20231,
2886.102,217.20811,
2883.191,189.02738,
2880.280,216.21531,
2877.370,202.4419,
2874.459,189.28317,
2871.549,215.69739,
2868.638,209.36289,
2865.727,217.76537,
2862.817,217.71391,
2859.906,231.7208,
2856.996,222.95924,
2854.085,220.5567,
2851.175,227.73795,
2848.264,236.6325,
2845.353,205.45291,
2842.443,228.39582,
2839.532,217.25382,
2836.622,210.70247,
2833.711,223.32651,
2830.801,232.58236,
2827.890,226.60667,
2824.979,226.80208,
2822.069,234.11372,
2819.158,239.43935,
2816.248,240.96526,
2813.337,252,
2810.427,248.65427,
2807.516,249.20859,
2804.605,246.34374,
2801.695,251.27635,
2798.784,253.73923,
2795.874,246.99472,
2792.963,243.64266,
2790.052,250.99743,
2787.142,235.6185,
2784.231,242.58075,
2781.321,252.88004,
2778.410,260.60534,
2775.500,236.15104,
2772.589,264.92203,
2769.678,257.35491,
2766.768,258.88348,
2763.857,252.21002,
2760.947,260.5788,
2758.036,262.83433,
2755.126,276.90171,
2752.215,271.70438,
2749.304,259.1277,
2746.394,282.97787,
2743.483,260.30003,
2740.573,257.54869,
2737.662,265.32988,
2734.751,267.46595,
2731.841,280.81136,
2728.930,266.63541,
2726.020,274.09143,
2723.109,270.52558,
2720.199,289.11885,
2717.288,275.5438,
2714.377,282.09574,
2711.467,274.32748,
2708.556,284.18105,
2705.646,279.53522,
2702.735,298.33505,
2699.825,294.13089,
2696.914,296.09547,
2694.003,287.38536,
2691.093,294.91094,
2688.182,294.89037,
2685.272,291.11522,
2682.361,310.30568,
2679.450,303.72023,
2676.540,302.18292,
2673.629,305.02694,
2670.719,302.63494,
2667.808,323.22183,
2664.898,309.09046,
2661.987,324.7998,
2659.076,297.79743,
2656.166,300.12983,
2653.255,310.48129,
2650.345,323.54447,
2647.434,331.79966,
2644.524,323.24702,
2641.613,330,
2638.702,325.07891,
2635.792,339.18843,
2632.881,336.0416,
2629.971,349.46986,
2627.060,323.83281,
2624.149,326.1625,
2621.239,331.51482,
2618.328,323.72058,
2615.418,343.98182,
2612.507,342.07118,
2609.597,340.54092,
2606.686,355.83132,
2603.775,347.15873,
2600.865,343,
2597.954,353.28129,
2595.044,341.97343,
2592.133,341.88529,
2589.223,367.42213,
2586.312,353.3417,
2583.401,357.69344,
2580.491,364.6298,
2577.580,377.99175,
2574.670,372.44653,
2571.759,372.10103,
2568.848,352.41978,
2565.938,371.09523,
2563.027,368.70684,
2560.117,363,
2557.206,356.67159,
2554.296,381.9405,
2551.385,368.05796,
2548.474,364.40744,
2545.564,382.4302,
2542.653,380.98994,
2539.743,373.96303,
2536.832,381.53084,
2533.922,396.93692,
2531.011,389.97526,
2528.100,379.86759,
2525.190,378,
2522.279,405.67171,
2519.369,392.66076,
2516.458,397.45821,
2513.548,390.34577,
2510.637,374.35262,
2507.726,400.9331,
2504.816,405.56144,
2501.905,403.86951,
2498.995,398.07494,
2496.084,411.62716,
2493.173,396.26291,
2490.263,401.16838,
2487.352,405.58427,
2484.442,419.85439,
2481.531,429.89886,
2478.621,423.94782,
2475.710,418.91565,
2472.799,406.76683,
2469.889,418.02773,
2466.978,437.60821,
2464.068,421.76184,
2461.157,430.69493,
2458.247,436.45582,
2455.336,429.65949,
2452.425,447.83021,
2449.515,459.14137,
2446.604,452.64747,
2443.694,446.18584,
2440.783,429.04504,
2437.872,428.76576,
2434.962,452.15207,
2432.051,456.61103,
2429.141,455.55878,
2426.230,462.60885,
2423.320,478.74302,
2420.409,475.02558,
2417.498,469.82864,
2414.588,467.90492,
2411.677,483.17526,
2408.767,458.47047,
2405.856,459.44281,
2402.946,471.05362,
2400.035,468.40375,
2397.124,483.65241,
2394.214,477.54159,
2391.303,491.28726,
2388.393,489.02789,
2385.482,449.71841,
2382.571,415.10049,
2379.661,446.58129,
2376.750,471.04917,
2373.840,491.41246,
2370.929,504.88087,
2368.019,496.43286,
2365.108,520.53403,
2362.197,506.90127,
2359.287,519.94151,
2356.376,514.02289,
2353.466,521.24319,
2350.555,513.55513,
2347.645,524.32847,
2344.734,524.84792,
2341.823,520.06633,
2338.913,522.30897,
2336.002,527.80866,
2333.092,527.44813,
2330.181,541.54474,
2327.270,533.60506,
2324.360,540.73114,
2321.449,537.38435,
2318.539,537.57493,
2315.628,544.48721,
2312.718,551.29956,
2309.807,532.29795,
2306.896,550.25196,
2303.986,547.95452,
2301.075,556.9574,
2298.165,572.98092,
2295.254,542.71092,
2292.344,574.58094,
2289.433,567.33591,
2286.522,572.6205,
2283.612,582.52042,
2280.701,576.34531,
2277.791,587.63746,
2274.880,567.19777,
2271.969,594.97942,
2269.059,592.01911,
2266.148,601.51586,
2263.238,601.59845,
2260.327,607.4482,
2257.417,604.50722,
2254.506,620.21368,
2251.595,614.00732,
2248.685,603.58079,
2245.774,624.52708,
2242.864,622.63842,
2239.953,602.54484,
2237.043,601,
2234.132,615.31682,
2231.221,631.97418,
2228.311,613.12374,
2225.400,643.63411,
2222.490,631.37134,
2219.579,627.52954,
2216.669,640.38792,
2213.758,662.69542,
2210.847,660.38791,
2207.937,683.02277,
2205.026,675.44461,
2202.116,669.42675,
2199.205,662.1127,
2196.294,660.24799,
2193.384,678.34153,
2190.473,684.14202,
2187.563,696.00483,
2184.652,699.71102,
2181.742,721.7963,
2178.831,729.20619,
2175.920,735.48635,
2173.010,756.70068,
2170.099,766.93254,
2167.189,792.0287,
2164.278,801.13568,
2161.368,829.85728,
2158.457,844.36871,
2155.546,885.93849,
2152.636,914.63294,
2149.725,932.651,
2146.815,969.79872,
2143.904,971.81039,
2140.993,998.16401,
2138.083,1016.9543,
2135.172,1046.4706,
2132.262,1047.4965,
2129.351,1041.4689,
2126.441,1032.0485,
2123.530,991.98878,
2120.619,988.24782,
2117.709,959.66143,
2114.798,917.51142,
2111.888,887.16311,
2108.977,853.65562,
2106.067,861.71782,
2103.156,832.8066,
2100.245,825.96738,
2097.335,772.79581,
2094.424,768.06894,
2091.514,774.20693,
2088.603,767.22118,
2085.692,785.41257,
2082.782,768.55437,
2079.871,755.53559,
2076.961,763.4188,
2074.050,771.90303,
2071.140,766.13824,
2068.229,754.70831,
2065.318,765.75199,
2062.408,764.71254,
2059.497,773.17856,
2056.587,778.05794,
2053.676,760.13473,
2050.766,742.07773,
2047.855,766.80065,
2044.944,761.99519,
2042.034,773.10402,
2039.123,760.53872,
2036.213,755.07559,
2033.302,761.82612,
2030.391,759.35595,
2027.481,759,
2024.570,774.17103,
2021.660,802.40351,
2018.749,767.67158,
2015.839,807.17519,
2012.928,793.36745,
2010.017,795.0141,
2007.107,775.95516,
2004.196,788.53572,
2001.286,777.31098,
1998.375,761.34547,
1995.465,776.09196,
1992.554,770.48244,
1989.643,777.68893,
1986.733,767.74912,
1983.822,779.30724,
1980.912,767.86129,
1978.001,756.1614,
1975.090,750.15726,
1972.180,791.1356,
1969.269,790.95968,
1966.359,787.21643,
1963.448,787.96433,
1960.538,763.90075,
1957.627,759,
1954.716,753.17236,
1951.806,782.59614,
1948.895,787.24099,
1945.985,744.26798,
1943.074,762.60877,
1940.164,770.59601,
1937.253,756.41745,
1934.342,768.12834,
1931.432,768.56782,
1928.521,769.03973,
1925.611,767.79228,
1922.700,740.46547,
1919.790,757.25407,
1916.879,776.81426,
1913.968,764.01721,
1911.058,728.01204,
1908.147,804.76343,
1905.237,751.99265,
1902.326,759.69184,
1899.415,761.47072,
1896.505,752.22299,
1893.594,774.0854,
1890.684,753.50348,
1887.773,756.34401,
1884.863,783.82688,
1881.952,779.72256,
1879.041,778.51298,
1876.131,786.32941,
1873.220,755.74766,
1870.310,791.84298,
1867.399,778.27189,
1864.489,771.50627,
1861.578,783.7198,
1858.667,784.81435,
1855.757,799.62649,
1852.846,772.76409,
1849.936,793.09208,
1847.025,827.35036,
1844.114,831.75762,
1841.204,825.96154,
1838.293,843.98004,
1835.383,853.814,
1832.472,829.46435,
1829.562,830.60886,
1826.651,825.64067,
1823.740,815.36015,
1820.830,842.55143,
1817.919,842.04186,
1815.009,822.01909,
1812.098,811.8189,
1809.188,822.25579,
1806.277,842.55736,
1803.366,870.46764,
1800.456,839.87931,
1797.545,854.26245,
1794.635,853.83711,
1791.724,902.47569,
1788.813,907.18997,
1785.903,867.3237,
1782.992,821.83154,
1780.082,744.87375,
1777.171,644.65041,
1774.261,619.77072,
1771.350,745.32003,
1768.439,855.61893,
1765.529,867.63517,
1762.618,872.07815,
1759.708,894.19574,
1756.797,905.15152,
1753.887,913.76968,
1750.976,912.51375,
1748.065,924.58986,
1745.155,957.35468,
1742.244,943.51454,
1739.334,927.94588,
1736.423,951.0224,
1733.512,947.17476,
1730.602,947.98414,
1727.691,968.42385,
1724.781,962.98793,
1721.870,945.5142,
1718.960,956.80018,
1716.049,935.66973,
1713.138,929.29001,
1710.228,943.79505,
1707.317,989.344,
1704.407,1000.3904,
1701.496,981.8575,
1698.586,1009.5675,
1695.675,1028.8428,
1692.764,1020.5328,
1689.854,1002.7795,
1686.943,1020.3592,
1684.033,1024.9007,
1681.122,1050.5582,
1678.211,1094.5812,
1675.301,1005.2775,
1672.390,1066.0479,
1669.480,1082.0562,
1666.569,1089.9268,
1663.659,1161.216,
1660.748,1114.8291,
1657.837,1157.5249,
1654.927,1180.4143,
1652.016,1157.3121,
1649.106,1210.4651,
1646.195,1229.6953,
1643.285,1257.5671,
1640.374,1239.2091,
1637.463,1249.7206,
1634.553,1289.3251,
1631.642,1311.7275,
1628.732,1378.1659,
1625.821,1406.0255,
1622.911,1444.7802,
1620.000,1541.7653,
1617.089,1618.4677,
1614.179,1713.2927,
1611.268,1792.0629,
1608.358,1857.9097,
1605.447,1930.772,
1602.536,2003.9596,
1599.626,2003.4804,
1596.715,1953.0819,
1593.805,1937.268,
1590.894,1940.4034,
1587.984,1895.9632,
1585.073,1888.1492,
1582.162,1875.4767,
1579.252,1841.0863,
1576.341,1830.7957,
1573.431,1826.0841,
1570.520,1776.0799,
1567.610,1743.8625,
1564.699,1748.8754,
1561.788,1739.6198,
1558.878,1690.3032,
1555.967,1683.2133,
1553.057,1683.6208,
1550.146,1681.2291,
1547.235,1685.542,
1544.325,1655.7647,
1541.414,1620.7389,
1538.504,1613.5414,
1535.593,1605.7486,
1532.683,1609.3224,
1529.772,1590.0693,
1526.861,1506.9858,
1523.951,1446.4092,
1521.040,1454.8137,
1518.130,1483.703,
1515.219,1485.719,
1512.309,1510.5946,
1509.398,1475.1331,
1506.487,1465.8895,
1503.577,1473.4516,
1500.666,1394.5962,
1497.756,1439.0763,
