,PLCDF0~1,
Wavenumbers [1/cm],Intensity,
3014.167,2.625,
3011.256,-3.6249463,
3008.346,34.081476,
3005.435,48.126769,
3002.525,46.322427,
2999.614,45.566591,
2996.704,52.359025,
2993.793,64.510368,
2990.882,59.449412,
2987.972,67.609865,
2985.061,72.605306,
2982.151,73.81827,
2979.240,67.574617,
2976.329,83.149571,
2973.419,77.225258,
2970.508,75.258287,
2967.598,69.863956,
2964.687,76.057744,
2961.777,83.060953,
2958.866,73.286223,
2955.955,86.695789,
2953.045,93.54223,
2950.134,92.773678,
2947.224,86.881219,
2944.313,99.669872,
2941.403,99.410585,
2938.492,110.51933,
2935.581,94.523227,
2932.671,106.98119,
2929.760,97.248092,
2926.850,85.72237,
2923.939,116.74651,
2921.028,118.56036,
2918.118,110.84288,
2915.207,96.568074,
2912.297,117.54461,
2909.386,109.18706,
2906.476,108.9424,
2903.565,93.058317,
2900.654,114.55525,
2897.744,85.763294,
2894.833,83.017005,
2891.923,88.762911,
2889.012,83.046964,
2886.102,69.853374,
2883.191,30.664649,
2880.280,-41.786514,
2877.370,-156.96204,
2874.459,-236.31837,
2871.549,-136.88699,
2868.638,28.224923,
2865.727,55.001856,
2862.817,82.625,
2859.906,106.88997,
2856.996,92.593299,
2854.085,102.26576,
2851.175,90.935229,
2848.264,109.39483,
2845.353,124.53873,
2842.443,123.42013,
2839.532,111.32659,
2836.622,104.90039,
2833.711,113.94368,
2830.801,121.41618,
2827.890,117.06382,
2824.979,134.53893,
2822.069,122.61363,
2819.158,129.98619,
2816.248,121.21185,
2813.337,129.96524,
2810.427,131.66908,
2807.516,129.78328,
2804.605,124.85096,
2801.695,128.49342,
2798.784,127.625,
2795.874,123.19492,
2792.963,131.05372,
2790.052,140.62371,
2787.142,125.07231,
2784.231,133.52716,
2781.321,138.18498,
2778.410,127.89024,
2775.500,136.41051,
2772.589,115.89487,
2769.678,124.23252,
2766.768,128.30656,
2763.857,130.41498,
2760.947,126.57457,
2758.036,156.74625,
2755.126,122.13996,
2752.215,132.86121,
2749.304,131.22031,
2746.394,135.83669,
2743.483,142.12498,
2740.573,131.54308,
2737.662,135.85872,
2734.751,146.41622,
2731.841,136.13782,
2728.930,143.45987,
2726.020,131.18634,
2723.109,124.09942,
2720.199,137.84062,
2717.288,133.18704,
2714.377,139.07484,
2711.467,143.57555,
2708.556,155.10374,
2705.646,149.55456,
2702.735,141.96521,
2699.825,145.20135,
2696.914,154.57774,
2694.003,133.55182,
2691.093,142.16051,
2688.182,138.15241,
2685.272,131.50124,
2682.361,143.20142,
2679.450,147.74845,
2676.540,128.78759,
2673.629,139.27969,
2670.719,149.76364,
2667.808,149.77091,
2664.898,160.66391,
2661.987,148.89138,
2659.076,153.3362,
2656.166,160.09254,
2653.255,150.40561,
2650.345,170.06602,
2647.434,156.36778,
2644.524,154.01109,
2641.613,153.93927,
2638.702,150.67234,
2635.792,164.21922,
