,PLCF80~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.125,
3011.256,-2.5749893,
3008.346,111.05216,
3005.435,144.3379,
3002.525,133.43988,
2999.614,141.95556,
2996.704,151.52037,
2993.793,162.37039,
2990.882,169.82918,
2987.972,169.92545,
2985.061,174.99815,
2982.151,175.92038,
2979.240,191.24192,
2976.329,202.64821,
2973.419,197.45934,
2970.508,206.40835,
2967.598,198.83082,
2964.687,221.69565,
2961.777,211.37913,
2958.866,217.20635,
2955.955,234.29312,
2953.045,245.59088,
2950.134,237.44934,
2947.224,236.55825,
2944.313,263.91987,
2941.403,268.00593,
2938.492,259.49291,
2935.581,259.74621,
2932.671,275.11102,
2929.760,272.51734,
2926.850,283.13628,
2923.939,278.51519,
2921.028,298.68109,
2918.118,277.3347,
2915.207,273.10916,
2912.297,297.76499,
2909.386,285.45895,
2906.476,282.90589,
2903.565,293.42165,
2900.654,310.86389,
2897.744,286.84986,
2894.833,280.75137,
2891.923,299.20201,
2889.012,286.12933,
2886.102,276.70743,
2883.191,273.88066,
2880.280,253.31038,
2877.370,200.52036,
2874.459,176.05111,
2871.549,215.91496,
2868.638,278.3327,
2865.727,299.90955,
2862.817,299.91647,
2859.906,321.05164,
2856.996,307.87047,
2854.085,322.95906,
2851.175,298.92318,
2848.264,314.07616,
2845.353,343.75351,
2842.443,299.66316,
2839.532,305.99443,
2836.622,316.05469,
2833.711,305.3491,
2830.801,324.65883,
2827.890,315.50088,
2824.979,314.73904,
2822.069,328.02284,
2819.158,337.07446,
2816.248,337.59895,
2813.337,336.64817,
2810.427,342.04442,
2807.516,338.93266,
2804.605,329.34857,
2801.695,340.04605,
2798.784,348.98792,
2795.874,331.72988,
2792.963,328.08915,
2790.052,332.87328,
2787.142,333.83542,
2784.231,331.39052,
2781.321,342.30926,
2778.410,338.43971,
2775.500,342.57741,
2772.589,326.60665,
2769.678,334.30506,
2766.768,331.93326,
2763.857,347.29311,
2760.947,333.94435,
2758.036,362.66492,
2755.126,351.34082,
2752.215,361.85661,
2749.304,352.10881,
2746.394,365.2036,
2743.483,367.27503,
2740.573,357.43914,
2737.662,368.32174,
2734.751,365.40905,
2731.841,362.76694,
2728.930,366.28187,
2726.020,358.32407,
2723.109,359.21525,
2720.199,377.54053,
2717.288,379.99908,
2714.377,376.97074,
2711.467,381.82555,
2708.556,387.09858,
2705.646,384.25529,
2702.735,393.38274,
2699.825,388.64768,
2696.914,398.5423,
2694.003,381.31564,
2691.093,385.82086,
2688.182,389.96759,
2685.272,398.99876,
2682.361,386.90448,
2679.450,388.82971,
2676.540,385.15954,
2673.629,392.90194,
2670.719,397.57557,
2667.808,406.875,
2664.898,405.05691,
2661.987,400.44168,
2659.076,403.49353,
2656.166,419.1174,
2653.255,416.69302,
2650.345,413.3632,
2647.434,419.53204,
2644.524,418.19156,
2641.613,421.875,
2638.702,418.92234,
2635.792,432.06343,
2632.881,430.64871,
2629.971,435.74749,
2627.060,418.20563,
2624.149,428.39064,
2621.239,427.6502,
2618.328,446.85771,
2615.418,422.87954,
2612.507,427.08051,
2609.597,420.88498,
2606.686,456.9272,
2603.775,451.75595,
2600.865,450.28795,
2597.954,450.92291,
2595.044,457.1611,
2592.133,461.14882,
2589.223,459.54974,
2586.312,470.36244,
2583.401,474.15969,
2580.491,470.25965,
2577.580,477.88325,
2574.670,480.6611,
2571.759,478.72859,
2568.848,467.05724,
2565.938,468.73208,
2563.027,476.875,
2560.117,488.94979,
2557.206,475.9857,
2554.296,463.79949,
2551.385,502.93296,
2548.474,498.57872,
2545.564,495.96997,
2542.653,491.26426,
2539.743,491.43045,
2536.832,491.40584,
2533.922,491.96962,
2531.011,497.05007,
2528.100,513.00049,
2525.190,528.08443,
2522.279,499.9688,
2519.369,504.28995,
2516.458,507.6512,
2513.548,508.30224,
2510.637,495.61279,
2507.726,501.8787,
2504.816,517.31582,
2501.905,515.15061,
2498.995,507.24854,
2496.084,527.95513,
2493.173,519.24321,
2490.263,531.42531,
2487.352,534.6246,
2484.442,536.56448,
2481.531,544.29001,
2478.621,529.26835,
2475.710,556.85966,
2472.799,553.14856,
2469.889,539.14922,
2466.978,541.42128,
2464.068,562.15548,
2461.157,557.875,
2458.247,559.15443,
2455.336,552.9611,
2452.425,559.57312,
2449.515,581.20557,
2446.604,592.58702,
2443.694,583.45642,
2440.783,584.68468,
2437.872,576.91146,
2434.962,583.12845,
2432.051,586.65874,
2429.141,564.19867,
2426.230,590.72369,
2423.320,604.16132,
2420.409,582.65698,
2417.498,585.88342,
2414.588,609.2171,
2411.677,609.94268,
2408.767,593.9813,
2405.856,624.15832,
2402.946,616.23783,
2400.035,584.80221,
2397.124,613.3242,
2394.214,611.03581,
2391.303,604.76999,
2388.393,623.31224,
2385.482,622.13937,
2382.571,591.78534,
2379.661,632.82838,
2376.750,640.55974,
2373.840,627.10943,
2370.929,645.63675,
2368.019,627.17674,
2365.108,628.9195,
2362.197,648.27774,
2359.287,654.26163,
2356.376,667.85387,
2353.466,663.92128,
2350.555,656.22016,
2347.645,668.20347,
2344.734,660.84272,
2341.823,674.59309,
2338.913,660.84817,
2336.002,676.08799,
2333.092,674.70238,
2330.181,672.5579,
2327.270,678.32495,
2324.360,715.42225,
2321.449,676.46004,
2318.539,689.53557,
2315.628,693.38779,
2312.718,712.18999,
2309.807,714.03054,
2306.896,701.97674,
2303.986,733.47883,
2301.075,713.38568,
2298.165,698.89408,
2295.254,710.5734,
2292.344,731.5141,
2289.433,701.19545,
2286.522,704.03566,
2283.612,720.91583,
2280.701,721.54765,
2277.791,744.83493,
2274.880,750.72287,
2271.969,765.81738,
2269.059,751.55075,
2266.148,757.98184,
2263.238,749.07964,
2260.327,771.77167,
2257.417,779.84222,
2254.506,768.8978,
2251.595,781.00949,
2248.685,785.66539,
2245.774,777.66633,
2242.864,783.18924,
2239.953,765.47488,
2237.043,792.94035,
2234.132,788.21012,
2231.221,761.53125,
2228.311,800.1069,
2225.400,800.10016,
2222.490,807.50366,
2219.579,809.97785,
2216.669,830.813,
2213.758,823.65406,
2210.847,819.32335,
2207.937,836.22351,
2205.026,838.76421,
2202.116,840.3633,
2199.205,851.72629,
2196.294,848.35493,
2193.384,872.26951,
2190.473,868.86913,
2187.563,878.93784,
2184.652,892.47745,
2181.742,903.26228,
2178.831,946.37705,
2175.920,957.3085,
2173.010,970.87727,
2170.099,1021.7371,
2167.189,1056.9037,
2164.278,1067.6248,
2161.368,1128.5867,
2158.457,1191.3475,
2155.546,1232.5856,
2152.636,1307.4387,
2149.725,1322.3851,
2146.815,1341.1743,
2143.904,1419.0832,
2140.993,1440.7374,
2138.083,1446.875,
2135.172,1471.1693,
2132.262,1467.7104,
2129.351,1456.9164,
2126.441,1429.7196,
2123.530,1388.5495,
2120.619,1354.9211,
2117.709,1308.0537,
2114.798,1243.2863,
2111.888,1179.1014,
2108.977,1144.4247,
2106.067,1110.0231,
2103.156,1057.6429,
2100.245,1034.8656,
2097.335,1013.8541,
2094.424,980.16703,
2091.514,992.85332,
2088.603,952.60313,
2085.692,971.51798,
2082.782,963.84302,
2079.871,989.19821,
2076.961,954.78101,
2074.050,930.65076,
2071.140,950.7022,
2068.229,979.41275,
2065.318,978.54074,
2062.408,951.53386,
2059.497,963.72027,
2056.587,939.864,
2053.676,921.42515,
2050.766,938.41237,
2047.855,931.30219,
2044.944,945.07693,
2042.034,941.77098,
2039.123,945.15446,
2036.213,960.65953,
2033.302,972.20131,
2030.391,973.40006,
2027.481,984.59448,
2024.570,978.28949,
2021.660,949.58975,
2018.749,992.10294,
2015.839,990.20767,
2012.928,944.55285,
2010.017,952.32994,
2007.107,957.94793,
2004.196,965.56543,
2001.286,952.875,
1998.375,969.57579,
1995.465,991.03393,
1992.554,953.68124,
1989.643,982.63071,
1986.733,940.78465,
1983.822,959.13202,
1980.912,961.2602,
1978.001,934.7303,
1975.090,958.89026,
1972.180,959.63297,
1969.269,947.62781,
1966.359,957.52397,
1963.448,981.83273,
1960.538,980.19443,
1957.627,986.00813,
1954.716,968.42081,
1951.806,979.57693,
1948.895,972.21713,
1945.985,965.36847,
1943.074,977.82711,
1940.164,960.2499,
1937.253,950.1533,
1934.342,955.94345,
1931.432,946.55639,
1928.521,945.56412,
1925.611,966.29044,
1922.700,954.4634,
1919.790,984.32548,
1916.879,976.85149,
1913.968,960.89344,
1911.058,999.80893,
1908.147,993.02969,
1905.237,956.86031,
1902.326,967.51203,
1899.415,969.29816,
1896.505,934.77231,
1893.594,912.5031,
1890.684,945.39777,
1887.773,990.33115,
1884.863,990.18935,
1881.952,950.67277,
1879.041,991.82932,
1876.131,978.74299,
1873.220,950.95456,
1870.310,1001.7135,
1867.399,993.08292,
1864.489,963.16014,
1861.578,989.64463,
1858.667,941.66241,
1855.757,967.24135,
1852.846,1002.1109,
1849.936,1008.0832,
1847.025,1045.1086,
1844.114,1039.195,
1841.204,1034.2107,
1838.293,1037.8999,
1835.383,1016.317,
1832.472,1038.155,
1829.562,1040.9049,
1826.651,1029.8237,
