,PLCFEC~1,
Wavenumbers [1/cm],Intensity,
3014.167,-2.375,
3011.256,1.1750107,
3008.346,76.143755,
3005.435,84.434189,
3002.525,84.49245,
2999.614,83.813318,
2996.704,92.395101,
2993.793,97.881912,
2990.882,93.754765,
2987.972,111.57455,
2985.061,100.29495,
2982.151,102.14769,
2979.240,92.740008,
2976.329,108.38729,
2973.419,100.28636,
2970.508,108.85833,
2967.598,110.33825,
2964.687,110.35598,
2961.777,127.49691,
2958.866,114.94893,
2955.955,136.73118,
2953.045,111.27601,
2950.134,121.65708,
2947.224,119.79581,
2944.313,132.81588,
2941.403,140.75593,
2938.492,129.09385,
2935.581,130.72197,
2932.671,134.30743,
2929.760,136.46729,
2926.850,138.05019,
2923.939,157.55027,
2921.028,128.83666,
2918.118,148.14137,
2915.207,133.34037,
2912.297,143.625,
2909.386,138.04835,
2906.476,145.20646,
2903.565,139.46352,
2900.654,140.78982,
2897.744,124.67529,
2894.833,134.39809,
2891.923,158.03211,
2889.012,126.28974,
2886.102,124.16825,
2883.191,109.6335,
2880.280,95.40969,
2877.370,-25.031596,
2874.459,-74.431634,
2871.549,4.3628772,
2868.638,111.58373,
2865.727,110.41729,
2862.817,126.18248,
2859.906,139.44836,
2856.996,148.64764,
2854.085,147.14601,
2851.175,146.76955,
2848.264,138.28651,
2845.353,162.23679,
2842.443,146.22221,
2839.532,162.59506,
2836.622,149.92839,
2833.711,147.41777,
2830.801,159.81177,
2827.890,163.52186,
2824.979,166.69901,
2822.069,148.69323,
2819.158,157.28538,
2816.248,169.84316,
2813.337,173.96524,
2810.427,171.36743,
2807.516,174.88391,
2804.605,166.625,
2801.695,167.19079,
2798.784,166.69892,
2795.874,165.0498,
2792.963,178.26809,
2790.052,167.62843,
2787.142,175.0065,
2784.231,162.36724,
2781.321,163.9964,
2778.410,161.67956,
2775.500,162.43466,
2772.589,161.08677,
2769.678,169.26662,
2766.768,164.88518,
2763.857,173.04504,
2760.947,169.15337,
2758.036,170.23644,
2755.126,172.9562,
2752.215,185.53872,
2749.304,178.54048,
2746.394,175.70559,
2743.483,183.07505,
2740.573,194.02996,
2737.662,154.88978,
2734.751,188.09095,
2731.841,185.38141,
2728.930,180.87071,
2726.020,191.96181,
2723.109,177.77992,
2720.199,188.76252,
2717.288,186.71259,
2714.377,186.75418,
2711.467,199.08433,
2708.556,193.48647,
2705.646,196.55456,
2702.735,186.28995,
2699.825,190.98321,
2696.914,191.95817,
2694.003,198.79899,
2691.093,179.625,
2688.182,192.60796,
2685.272,194.06739,
2682.361,192.35426,
2679.450,210.24224,
2676.540,208.68597,
2673.629,205.3201,
2670.719,202.90227,
2667.808,200.06272,
2664.898,208.00146,
2661.987,205.15809,
2659.076,210.46335,
2656.166,214.60774,
2653.255,202.06888,
2650.345,219.30558,
2647.434,220.0817,
2644.524,205.94156,
2641.613,210.99646,
2638.702,214.57766,
2635.792,212.81343,
2632.881,206.77974,
2629.971,218.09486,
2627.060,218.12469,
2624.149,220.625,
2621.239,221.37648,
2618.328,212.70977,
2615.418,210.64318,
2612.507,222.48263,
2609.597,224.63498,
2606.686,221.76758,
2603.775,234.46627,
2600.865,238.625,
2597.954,231.72083,
2595.044,228.99966,
2592.133,233.07737,
2589.223,244.29974,
