,PLE573~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.375,
3011.256,-1.0749893,
3008.346,91.87441,
3005.435,101.45274,
3002.525,111.71504,
2999.614,104.94902,
2996.704,119.45541,
2993.793,120.87961,
2990.882,120.76429,
2987.972,136.31446,
2985.061,131.46861,
2982.151,136.85231,
2979.240,125.64116,
2976.329,144.15367,
2973.419,147.1904,
2970.508,146.375,
2967.598,134.18384,
2964.687,140.40421,
2961.777,155.90496,
2958.866,147.37797,
2955.955,161.58737,
2953.045,157.47568,
2950.134,167.83274,
2947.224,166.28959,
2944.313,172.81304,
2941.403,183.50593,
2938.492,167.68395,
2935.581,169.92348,
2932.671,176.09604,
2929.760,177.63269,
2926.850,183.85244,
2923.939,175.33764,
2921.028,178.70454,
2918.118,183.0954,
2915.207,182.2547,
2912.297,172.40462,
2909.386,185.19251,
2906.476,177.0576,
2903.565,181.32685,
2900.654,171.25772,
2897.744,179.16127,
2894.833,164.02445,
2891.923,169.6186,
2889.012,147.95881,
2886.102,137.3142,
2883.191,111.39388,
2880.280,-1.4288587,
2877.370,-217.67685,
2874.459,-306.07107,
2871.549,-97.926016,
2868.638,78.74607,
2865.727,125.03269,
2862.817,147.69049,
2859.906,160.33795,
2856.996,175.90897,
2854.085,189.50109,
2851.175,186.11295,
2848.264,182.16417,
2845.353,197.4397,
2842.443,194.78475,
2839.532,186.375,
2836.622,188.89193,
2833.711,192.11597,
2830.801,195.46838,
2827.890,202.47814,
2824.979,200.58498,
2822.069,202.32951,
2819.158,197.61489,
2816.248,215.79973,
2813.337,219.33355,
2810.427,211.02238,
2807.516,223.58359,
2804.605,220.33173,
2801.695,208.41447,
2798.784,215.56185,
2795.874,217.50427,
2792.963,223.3034,
2790.052,218.37521,
2787.142,216.53285,
2784.231,222.72902,
2781.321,209.6893,
2778.410,211.05521,
2775.500,200.24811,
2772.589,218.33753,
2769.678,230.59003,
2766.768,207.89536,
2763.857,231.58309,
2760.947,218.92228,
2758.036,217.90361,
2755.126,228.90278,
2752.215,234.32974,
2749.304,241.39659,
2746.394,232.06853,
