,PLEC2F~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.25,
3011.256,-1.0000537,
3008.346,115.02813,
3005.435,141.59806,
3002.525,145.20246,
2999.614,148.07729,
2996.704,145.80258,
2993.793,148.36002,
2990.882,167.09347,
2987.972,164.72982,
2985.061,165.62685,
2982.151,166.46596,
2979.240,171.3327,
2976.329,181.51229,
2973.419,181.44191,
2970.508,192.81669,
2967.598,196.22068,
2964.687,174.34647,
2961.777,199.15187,
2958.866,190.42013,
2955.955,199.40927,
2953.045,202.05203,
2950.134,220.38849,
2947.224,231.00981,
2944.313,212.04202,
2941.403,229.30976,
2938.492,230.77169,
2935.581,232.29848,
2932.671,224.90879,
2929.760,230.51156,
2926.850,236.95902,
2923.939,237.39019,
2921.028,225.96166,
2918.118,235.2097,
2915.207,239.81338,
2912.297,246.74154,
2909.386,244.36313,
2906.476,245.71911,
2903.565,240.54037,
2900.654,235.4679,
2897.744,230.64942,
2894.833,230.58491,
2891.923,223.91019,
2889.012,218.91763,
2886.102,212.12568,
2883.191,207.75189,
2880.280,180.01793,
2877.370,9.6225603,
2874.459,-76.545578,
2871.549,29.159161,
2868.638,189.8489,
2865.727,227.80384,
2862.817,214.99199,
2859.906,240.09188,
2856.996,239.76359,
2854.085,254.35507,
2851.175,255.41864,
2848.264,265.10783,
2845.353,267.59903,
2842.443,262.34721,
2839.532,254.66051,
2836.622,259.17708,
2833.711,264.86145,
2830.801,264.94412,
2827.890,269.75,
2824.979,269.108,
2822.069,278.62491,
2819.158,269.65027,
2816.248,292.92184,
2813.337,285.61586,
2810.427,282.00757,
2807.516,286.90828,
2804.605,291.70673,
2801.695,287.71053,
2798.784,284.26746,
2795.874,295.33049,
2792.963,283.53564,
2790.052,286.74893,
2787.142,287.35515,
2784.231,282.84626,
2781.321,285.24712,
2778.410,273.60026,
2775.500,276.17448,
2772.589,265.52063,
2769.678,287.67832,
2766.768,294.43156,
2763.857,296.59007,
2760.947,283.77522,
2758.036,299.60994,
2755.126,314.65812,
2752.215,301.4954,
2749.304,308.21761,
2746.394,293.65522,
2743.483,303.49999,
2740.573,329.70364,
2737.662,297.66419,
2734.751,310.28405,
2731.841,319.23718,
2728.930,318.50429,
2726.020,311.86227,
2723.109,306.54392,
2720.199,313.19991,
2717.288,327.38139,
2714.377,319.17098,
2711.467,327.15989,
2708.556,326.83505,
2705.646,333.82044,
2702.735,335.75,
2699.825,336.72819,
2696.914,331.27363,
2694.003,343.62155,
2691.093,332.48166,
2688.182,338.84259,
2685.272,336.27205,
2682.361,330.75,
2679.450,323.67184,
2676.540,338.72968,
2673.629,338.74551,
2670.719,350.38494,
2667.808,337.67408,
2664.898,344.00973,
2661.987,348.15007,
2659.076,341.14871,
2656.166,365.73274,
2653.255,353.19388,
2650.345,369.64655,
2647.434,355.26443,
2644.524,371.94669,
2641.613,379.46402,
2638.702,368.84469,
2635.792,365.52967,
2632.881,369.6668,
2629.971,359.38756,
2627.060,369.91656,
2624.149,371.66875,
2621.239,359.22332,
2618.328,356.66523,
2615.418,363.37728,
2612.507,385.71441,
2609.597,387.84182,
2606.686,373.39862,
2603.775,394.3492,
2600.865,390.98549,
2597.954,403.75,
2595.044,402.75886,
2592.133,412.36795,
2589.223,391.21945,
2586.312,403.69977,
2583.401,400.93251,
2580.491,392.32697,
2577.580,385.79951,
2574.670,412.98263,
2571.759,400.79538,
2568.848,423.91589,
2565.938,429.98815,
2563.027,419.09093,
2560.117,417.19861,
2557.206,417.94188,
2554.296,412.09325,
2551.385,415.06401,
2548.474,420.26859,
2545.564,414.97159,
2542.653,430.04531,
2539.743,418.73768,
2536.832,428.05655,
2533.922,423.17577,
2531.011,449.47502,
2528.100,439.68725,
2525.190,440.44631,
2522.279,437.28102,
2519.369,424.12758,
2516.458,441.8796,
2513.548,452.23197,
2510.637,458.21293,
2507.726,438.49722,
2504.816,449.00028,
2501.905,434.51829,
2498.995,454.40691,
2496.084,467.81622,
2493.173,465.35497,
2490.263,453.76129,
2487.352,463.41613,
2484.442,456.88918,
2481.531,462.38295,
2478.621,477.03441,
2475.710,491.67332,
2472.799,486.92931,
2469.889,492.56992,
2466.978,483.19329,
2464.068,487.5807,
2461.157,486.90497,
2458.247,503.69131,
2455.336,504.58168,
2452.425,497.64151,
2449.515,478.69388,
2446.604,502.92279,
2443.694,515.72699,
2440.783,500.50788,
2437.872,507.04172,
2434.962,512.91129,
2432.051,513.60196,
2429.141,533.27336,
2426.230,528.4671,
2423.320,528.23604,
2420.409,511.72442,
2417.498,523.50283,
2414.588,513.49534,
2411.677,516.10858,
2408.767,523.97933,
2405.856,522.97141,
2402.946,522.27368,
2400.035,524.24531,
2397.124,540.40241,
2394.214,531.0476,
2391.303,529.99865,
2388.393,531.22908,
2385.482,547.08907,
2382.571,517.91453,
2379.661,531.40093,
2376.750,562.01103,
2373.840,568.75,
2370.929,584.57672,
2368.019,566.14652,
2365.108,590.33115,
2362.197,599.91715,
2359.287,583.99345,
2356.376,585.73767,
2353.466,589.79628,
2350.555,582.49017,
2347.645,607.51157,
2344.734,600.83751,
2341.823,605.58417,
2338.913,601.48729,
2336.002,594.72835,
2333.092,617.31321,
2330.181,610.95974,
2327.270,608.75,
2324.360,609.94341,
2321.449,608.95069,
2318.539,613.15366,
2315.628,616.42186,
2312.718,640.06499,
2309.807,619.45784,
2306.896,643.75783,
2303.986,648.92534,
2301.075,664.09038,
2298.165,636.63396,
2295.254,644.38377,
2292.344,654.48441,
2289.433,657.03181,
2286.522,639.64289,
2283.612,666.11229,
2280.701,669.36437,
2277.791,654.67172,
2274.880,673.96805,
2271.969,668.00515,
2269.059,676.98434,
2266.148,690.42279,
2263.238,685.75387,
2260.327,711.1982,
2257.417,703.27556,
2254.506,704.58192,
2251.595,688.7683,
2248.685,682.58843,
2245.774,695.66192,
2242.864,699.17641,
2239.953,717.92934,
2237.043,714.4775,
2234.132,709.389,
2231.221,712.40897,
2228.311,722.83891,
2225.400,730.91887,
2222.490,733.77925,
2219.579,726.22046,
2216.669,742.22377,
2213.758,749.05458,
2210.847,741.68956,
2207.937,748.38354,
2205.026,766.30598,
2202.116,760.78077,
2199.205,776.10012,
2196.294,773.188,
2193.384,780.56551,
2190.473,805.19953,
2187.563,834.57116,
2184.652,800.15979,
2181.742,814.63647,
2178.831,833.89793,
2175.920,854.00137,
2173.010,881.02721,
2170.099,898.68254,
2167.189,924.91504,
2164.278,950.68467,
2161.368,974.60631,
2158.457,1016.744,
2155.546,1065.8856,
2152.636,1095.1702,
2149.725,1127.7164,
2146.815,1160.7823,
2143.904,1199.3634,
2140.993,1232.2156,
2138.083,1237.7621,
2135.172,1238.3046,
2132.262,1249.9005,
2129.351,1247.1568,
2126.441,1247.1675,
2123.530,1214.2786,
2120.619,1169.9978,
2117.709,1142.9936,
2114.798,1106.0384,
2111.888,1076.4006,
2108.977,1015.7036,
2106.067,976.61596,
2103.156,975.38951,
2100.245,922.76192,
2097.335,941.50916,
2094.424,935.92041,
2091.514,913.0241,
2088.603,894.6993,
2085.692,896.93215,
2082.782,906.9387,
2079.871,899.24942,
2076.961,888.3312,
2074.050,908.50758,
2071.140,902.94547,
2068.229,913.44528,
2065.318,930.16772,
2062.408,888.82565,
2059.497,894.57144,
2056.587,924.44731,
2053.676,901.90195,
2050.766,887.36585,
2047.855,934.35129,
2044.944,916.36059,
2042.034,898.65188,
2039.123,930.34933,
2036.213,923.30778,
2033.302,933.07593,
2030.391,949.4786,
2027.481,953.0061,
2024.570,935.05047,
2021.660,963.7396,
2018.749,944.93995,
2015.839,948.67388,
2012.928,948.87584,
2010.017,968.52958,
2007.107,976.91639,
2004.196,979.76183,
2001.286,979.68989,
1998.375,971.87401,
1995.465,971.40268,
1992.554,976.37939,
1989.643,998.95503,
1986.733,966.44561,
1983.822,982.69978,
1980.912,995.36294,
1978.001,973.05429,
1975.090,1015.9225,
1972.180,1023.371,
1969.269,1014.0891,
1966.359,1023.3718,
1963.448,1016.1397,
1960.538,1027.7917,
1957.627,1033.5333,
1954.716,1040.5489,
1951.806,1030.7932,
1948.895,1046.414,
1945.985,1019.4052,
1943.074,1032.2739,
1940.164,1045.8655,
1937.253,1049.2806,
1934.342,1037.2543,
1931.432,1037.75,
1928.521,1036.4512,
1925.611,1053.7693,
1922.700,1051.2528,
1919.790,1077.1716,
1916.879,1073.3777,
1913.968,1044.7844,
1911.058,1082.0233,
1908.147,1076.0011,
1905.237,1094.6176,
1902.326,1056.6952,
1899.415,1054.078,
1896.505,1046.527,
1893.594,1061.0062,
1890.684,1104.5931,
1887.773,1104.3537,
1884.863,1091.0097,
1881.952,1088.4475,
1879.041,1094.8019,
1876.131,1104.8938,
1873.220,1112.8518,
1870.310,1130.4585,
1867.399,1114.0379,
1864.489,1090.3731,
1861.578,1107.8048,
1858.667,1134.205,
1855.757,1160.7894,
1852.846,1126.8013,
1849.936,1144.9602,
1847.025,1126.5699,
1844.114,1156.43,
1841.204,1148.3339,
1838.293,1132.2192,
1835.383,1152.936,
1832.472,1172.5413,
1829.562,1191.138,
1826.651,1199.5364,
1823.740,1200.2941,
1820.830,1188.9468,
1817.919,1209.3669,
1815.009,1195.0566,
1812.098,1213.2933,
1809.188,1205.4322,
1806.277,1182.259,
1803.366,1188.7648,
1800.456,1248.1455,
1797.545,1235.1686,
1794.635,1209.492,
1791.724,1209.5655,
1788.813,1218.75,
1785.903,1218.0465,
1782.992,1202.3371,
1780.082,1146.1679,
1777.171,1080.0723,
1774.261,1055.1753,
1771.350,1113.827,
1768.439,1195.4997,
1765.529,1241.4768,
1762.618,1248.8956,
1759.708,1283.2502,
1756.797,1288,
1753.887,1285.7252,
1750.976,1289.2637,
1748.065,1290.28,
1745.155,1268.2018,
1742.244,1300.7617,
1739.334,1326.8041,
1736.423,1318.565,
1733.512,1324.937,
1730.602,1335.4822,
1727.691,1362.3151,
1724.781,1386.2681,
1721.870,1393.1643,
1718.960,1365.7941,
1716.049,1397.5039,
1713.138,1415.0099,
1710.228,1409.7876,
1707.317,1431.7489,
1704.407,1450.0228,
1701.496,1444.4576,
1698.586,1407.7146,
1695.675,1468.3782,
1692.764,1486.0041,
1689.854,1503.9705,
1686.943,1499.9186,
1684.033,1514.3775,
1681.122,1536.3762,
1678.211,1534.769,
1675.301,1579.6112,
1672.390,1612.6393,
1669.480,1575.7099,
1666.569,1571.8799,
1663.659,1660.1746,
1660.748,1684.9594,
1657.837,1646.4121,
1654.927,1722.2026,
1652.016,1781.9481,
1649.106,1750.1907,
1646.195,1768.3254,
1643.285,1792.707,
1640.374,1833.2901,
1637.463,1813.2092,
1634.553,1892.8239,
1631.642,1898.4232,
1628.732,1960.0048,
1625.821,2002.8351,
1622.911,2132.0174,
1620.000,2137.687,
1617.089,2252.4216,
1614.179,2310.1425,
1611.268,2451.3592,
1608.358,2544.4423,
1605.447,2591.1789,
1602.536,2673.8923,
1599.626,2645.7125,
1596.715,2660.902,
1593.805,2631.4484,
1590.894,2630.392,
1587.984,2612.5621,
1585.073,2551.8945,
1582.162,2527.5569,
1579.252,2510.8389,
1576.341,2466.8958,
1573.431,2493.5592,
1570.520,2474.7037,
1567.610,2467.9853,
1564.699,2461.4997,
1561.788,2443.9614,
1558.878,2428.1913,
1555.967,2376.8428,
1553.057,2364.8706,
1550.146,2327.5028,
1547.235,2323.9534,
1544.325,2312.4734,
1541.414,2292.9102,
1538.504,2268.0323,
1535.593,2263.2004,
1532.683,2286.1282,
1529.772,2238.5883,
1526.861,2178.9803,
1523.951,2164.7595,
1521.040,2146.5914,
1518.130,2182.1268,
1515.219,2178.5102,
1512.309,2163.3356,
1509.398,2132.1721,
1506.487,2132.3479,
1503.577,2169.578,
1500.666,2130.3923,
1497.756,2103.1398,
1494.845,2097.2708,
1491.934,2133.6429,
1489.024,2100.9182,
1486.113,2098.8228,
1483.203,2129.8359,
1480.292,2092.1729,
1477.382,2071.818,
1474.471,2053.4024,
1471.560,2054.5553,
1468.650,2077.2482,
1465.739,2070.7377,
1462.829,2052.2009,
1459.918,2082.7669,
1457.008,2067.0571,
1454.097,2031.531,
1451.186,2050.4831,
1448.276,2078.2467,
1445.365,2109.8938,
1442.455,2115.5569,
1439.544,2096.5901,
1436.633,2092.3826,
1433.723,2157.1239,
1430.812,2159.0851,
1427.902,2149.3068,
1424.991,2088.65,
1422.081,2137.2112,
1419.170,2125.3329,
1416.259,2112.2192,
1413.349,2107.4843,
1410.438,2122.8449,
1407.528,2138.1186,
1404.617,2148.6213,
1401.707,2177.6572,
1398.796,2206.8304,
1395.885,2210.2027,
1392.975,2198.0831,
1390.064,2212.472,
1387.154,2264.9738,
1384.243,2237.7491,
1381.332,2209.3234,
1378.422,2177.2763,
1375.511,2245.6613,
1372.601,2277.1618,
1369.690,2314.0389,
1366.780,2387.865,
1363.869,2420.2795,
1360.958,2445.5565,
1358.048,2466.4296,
1355.137,2491.0976,
1352.227,2512.6977,
1349.316,2519.75,
1346.406,2528.0521,
1343.495,2556.2134,
1340.584,2585.6073,
1337.674,2580.2524,
1334.763,2617.2207,
1331.853,2603.3123,
1328.942,2592.9659,
1326.032,2611.3249,
1323.121,2579.4427,
1320.210,2614.6963,
1317.300,2613.9603,
1314.389,2600.3473,
1311.479,2619.9149,
1308.568,2652.2441,
1305.657,2676.1215,
1302.747,2681.1106,
1299.836,2673.6297,
1296.926,2724.7583,
1294.015,2767.9665,
1291.105,2797.0468,
1288.194,2852.6683,
1285.283,2948.0904,
1282.373,3015.5546,
1279.462,3041.2401,
1276.552,3072.2304,
1273.641,3103.1296,
1270.731,3088.1664,
1267.820,3051.581,
1264.909,3050.277,
1261.999,3017.6834,
1259.088,3015.8592,
1256.178,3064.568,
1253.267,3050.5013,
1250.356,2978.0564,
1247.446,2881.0366,
1244.535,2837.2277,
1241.625,2813.913,
1238.714,2774.8159,
1235.804,2753.0899,
1232.893,2682.3756,
1229.982,2677.5422,
1227.072,2612.3597,
1224.161,2604.388,
1221.251,2565.78,
1218.340,2559.8759,
1215.430,2511.9997,
1212.519,2455.7145,
1209.608,2433.4344,
1206.698,2436.2609,
1203.787,2468.6997,
1200.877,2449.4803,
1197.966,2493.5391,
1195.055,2535.8527,
1192.145,2607.3655,
1189.234,2634.5891,
1186.324,2698.3013,
1183.413,2731.5266,
1180.503,2699.9696,
1177.592,2673.0832,
1174.681,2646.2295,
1171.771,2635.5439,
1168.860,2626.6131,
1165.950,2559.6343,
1163.039,2550.734,
1160.129,2546.6717,
1157.218,2547.5188,
1154.307,2543.7323,
1151.397,2513.1947,
1148.486,2473.2514,
1145.576,2462.7455,
1142.665,2416.5741,
1139.754,2446.1088,
1136.844,2436.2424,
1133.933,2425.8175,
1131.023,2428.471,
1128.112,2420.1805,
1125.202,2405.6533,
1122.291,2435.622,
1119.380,2428.0445,
1116.470,2458.0504,
1113.559,2447.8315,
1110.649,2458.1566,
1107.738,2450.7471,
1104.828,2448.5686,
1101.917,2463.1583,
1099.006,2462.451,
1096.096,2465.0512,
1093.185,2453.6372,
1090.275,2391.2455,
1087.364,2420.6619,
1084.453,2418.2514,
1081.543,2419.5935,
1078.632,2442.4964,
1075.722,2440.5022,
1072.811,2445.7357,
1069.901,2473.68,
1066.990,2476.5583,
1064.079,2480.8331,
1061.169,2506.499,
1058.258,2513.0454,
1055.348,2526.0277,
1052.437,2587.4348,
1049.527,2531.4955,
1046.616,2576.6746,
1043.705,2584.0623,
1040.795,2573.2569,
1037.884,2591.5311,
1034.974,2618.357,
1032.063,2612.0196,
1029.153,2580.4504,
1026.242,2602.9393,
1023.331,2613.7494,
1020.421,2612.9616,
1017.510,2639.7638,
1014.600,2665.9793,
1011.689,2670.0396,
1008.778,2660.3254,
1005.868,2629.723,
1002.957,2738.1276,
1000.047,2778.774,
997.136,2909.9137,
994.226,2993.0731,
991.315,2978.4852,
988.404,2947.0754,
985.494,2917.5966,
982.583,2910.7441,
979.673,2879.0208,
976.762,2863.0532,
973.852,2851.3518,
970.941,2867.4243,
968.030,2921.4319,
965.120,2868.8216,
962.209,2885.8724,
959.299,2868.2108,
956.388,2900.0674,
953.477,2925.5846,
950.567,2924.0699,
947.656,2938.7338,
944.746,2892.8578,
941.835,2902.0874,
938.925,2958.0521,
936.014,2982.715,
933.103,2976.5722,
930.193,2970.5502,
927.282,2966.4503,
924.372,2905.5667,
921.461,2841.7836,
918.551,2808.9695,
915.640,2791.2511,
912.729,2783.7753,
909.819,2792.3035,
906.908,2773.7701,
903.998,2793.4295,
901.087,2824.2102,
898.176,2839.7044,
895.266,2850.9068,
892.355,2873.2212,
889.445,2875.739,
886.534,2920.8331,
883.624,2937.824,
880.713,2949.4053,
877.802,2949.1074,
874.892,2914.1592,
871.981,2820.3432,
869.071,2718.4228,
866.160,2711.7894,
863.250,2792.7594,
860.339,2896.8315,
857.428,2955.1586,
854.518,2935.1723,
851.607,2915.2026,
848.697,2827.8363,
845.786,2750.8275,
842.875,2755.9967,
839.965,2849.9932,
837.054,2929.1407,
834.144,2963.9483,
831.233,2984.0824,
828.323,2965.0323,
825.412,2936.4963,
822.501,2930.4095,
819.591,2922.9719,
816.680,2905.1218,
813.770,2890.726,
810.859,2878.4326,
807.949,2851.1816,
805.038,2805.2257,
802.127,2850.4977,
799.217,2786.174,
796.306,2804.7503,
793.396,2832.8568,
790.485,2828.4346,
787.574,2835.0302,
784.664,2842.4112,
781.753,2823.6205,
778.843,2850.0161,
775.932,2888.6759,
773.022,2894.0467,
770.111,2915.3038,
767.200,2877.9231,
764.290,2880.7748,
761.379,2900.4151,
758.469,2915.6334,
755.558,2921.1697,
752.648,2868.2204,
749.737,2843.3886,
746.826,2845.0744,
743.916,2866.6398,
741.005,2887.597,
738.095,2824.2706,
735.184,2754.5398,
732.274,2706.0846,
729.363,2710.976,
726.452,2775.1751,
723.542,2843.9735,
720.631,2879.8606,
717.721,2891.4685,
714.810,2888.1818,
711.899,2879.6213,
708.989,2874.7797,
706.078,2883.5643,
703.168,2890.6078,
700.257,2889.2117,
697.347,2872.3163,
694.436,2836.0375,
691.525,2883.462,
688.615,2852.8708,
685.704,2831.7719,
682.794,2842.0691,
679.883,2865.0568,
676.973,2916.3445,
674.062,2921.6453,
671.151,2922.695,
668.241,2924.891,
665.330,2913.897,
662.420,2874.7592,
659.509,2901.0363,
656.598,2924.6447,
653.688,2927.4496,
650.777,2920.4791,
647.867,2941.9799,
644.956,2900.3137,
642.046,2840.2405,
639.135,2808.3265,
636.224,2855.8256,
633.314,2870.9104,
630.403,2941.5568,
627.493,2975.4596,
624.582,2965.4614,
621.672,3009.0211,
618.761,2971.9931,
615.850,2992.8093,
612.940,3024.5315,
610.029,3043.6142,
607.119,3102.8365,
604.208,3073.2493,
601.297,3069.2189,
598.387,3079.1767,
595.476,3075.2988,
592.566,3049.3255,
589.655,3054.4684,
586.745,3056.7122,
583.834,3045.0646,
580.923,3017.8685,
578.013,3037.4868,
575.102,3042.1764,
572.192,3043.8937,
569.281,3050.4214,
566.371,3065.2912,
563.460,3049.8188,
560.549,3061.7539,
557.639,3101.3551,
554.728,3148.4433,
551.818,3048.5628,
548.907,3059.6583,
545.996,3071.4191,
543.086,3064.4671,
540.175,3100.2848,
537.265,3113.6142,
534.354,3134.3058,
531.444,3140.161,
528.533,3113.0259,
525.622,3116.9056,
522.712,3133.5256,
519.801,3129.6204,
516.891,3126.4696,
513.980,3224.0309,
511.070,3220.0717,
508.159,3232.8975,
505.248,3259.0091,
502.338,3280.9807,
499.427,3391.3526,
496.517,3391.3359,
493.606,3384.9016,
490.695,3418.7827,
487.785,3433.4087,
484.874,3409.901,
481.964,3399.4875,
479.053,3406.4047,
476.143,3413.3164,
473.232,3354.0395,
470.321,3351.1862,
467.411,3363.1261,
464.500,3335.9912,
461.590,3384.9985,
458.679,3403.7027,
455.769,3409.9554,
452.858,3417.0565,
449.947,3439.2105,
447.037,3474.088,
444.126,3487.0955,
441.216,3478.5281,
438.305,3494.5286,
435.395,3496.0944,
432.484,3522.8389,
429.573,3550.4549,
426.663,3506.3667,
423.752,3412.0855,
420.842,3242.5945,
417.931,3052.6286,
415.020,2929.0162,
412.110,3202.0314,
409.199,3418.1753,
406.289,3529.3867,
403.378,3503.7551,
400.468,3505.2671,
397.557,3482.6133,
394.646,3495.4956,
391.736,3590.8848,
388.825,3626.3337,
385.915,3608.5437,
383.004,3595.4573,
380.094,3624.75,
377.183,3624.75,
374.272,3643.7473,
371.362,3697.4239,
368.451,3787.0205,
365.541,3775.012,
362.630,3781.0361,
359.719,3784.0145,
356.809,3774.9701,
353.898,3811.6613,
350.988,3797.8806,
348.077,3782.6869,
345.167,3794.1445,
342.256,3782.1914,
339.345,3793.6301,
336.435,3818.6865,
333.524,3848.8575,
330.614,3820.5415,
327.703,3820.9913,
324.793,3824.0786,
321.882,3807.759,
318.971,3811.4762,
316.061,3826.4228,
313.150,3839.5952,
310.240,3835.8847,
307.329,3865.7648,
304.418,3866.3512,
301.508,3867.1254,
298.597,3921.1759,
295.687,3935.9086,
292.776,3972.4168,
289.866,4026.5585,
286.955,4073.0982,
284.044,4143.6324,
281.134,4189.6369,
278.223,4212.618,
275.313,4266.4084,
272.402,4309.1188,
269.492,4338.4039,
266.581,4348.9664,
263.670,4296.0334,
260.760,4321.4959,
257.849,4384.4127,
254.939,4457.801,
252.028,4471.7792,
249.117,4460.3042,
246.207,4452.4935,
243.296,4497.8798,
240.386,4488.3842,
237.475,4505.338,
234.565,4535.3172,
231.654,4475.4258,
228.743,4466.2022,
225.833,4460.8227,
222.922,4443.3955,
220.012,4457.2381,
217.101,4422.002,
214.191,4387.3068,
211.280,4409.1307,
208.369,4413.4413,
205.459,4425.929,
202.548,4444.3795,
199.638,4453.813,
196.727,4475.9176,
193.816,4497.9745,
190.906,4515.2833,
187.995,4530.4878,
185.085,4505.4872,
182.174,4493.689,
179.264,4574.6387,
176.353,4533.1285,
173.442,4501.1244,
170.532,4489.4576,
167.621,4444.0361,
164.711,4301.4092,
161.800,4115.1817,
158.890,3914.3777,
155.979,3617.171,
153.068,3282.1394,
150.158,2918.7447,
147.247,2542.5378,
144.337,2093.4963,
141.426,1638.011,
138.516,1205.7256,
135.605,877.22032,
132.694,587.78601,
129.784,353.31147,
126.873,238.17557,
123.963,173.20788,
121.052,125.03594,
118.141,82.915718,
115.231,64.985741,
112.320,51.819097,
109.410,42.522803,
106.499,36.113406,
103.589,31.948728,
100.678,31.922974,
97.767,37.610474,
94.857,31.513099,
91.946,24.718891,
89.036,18.975796,
86.125,20.394206,
83.215,17.564478,
80.304,15.947163,
77.393,19.488013,
74.483,17.12946,
71.572,16.837056,
68.662,18.403663,
65.751,14.871407,
62.840,16.15851,
59.930,17.438997,
57.019,12.503423,
54.109,8.1670349,
51.198,9.067702,
48.288,16.721688,
45.377,13.204797,
42.466,12.162219,
39.556,11.253458,
36.645,2.1249857,
33.735,2.8654908,
30.824,4.6455651,
27.914,1.1396889,
25.003,5.7310998,
22.092,8.4270954,
19.182,8.5509002,
16.271,33.033055,
13.361,121.9841,
10.450,242.64879,
7.539,311.78201,
4.629,-14.638758,
1.718,-487.99103,
-1.192,-979.47793,
-4.103,-819.84297,
-7.013,-471.64294,
-9.924,-3.25,
