,PLEE25~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.125,
3011.256,-1.5250322,
3008.346,56.764066,
3005.435,78.125,
3002.525,74.954978,
2999.614,68.837991,
2996.704,69.762114,
2993.793,85.496544,
2990.882,80.216645,
2987.972,92.180495,
2985.061,90.711191,
2982.151,76.005673,
2979.240,71.405399,
2976.329,92.384556,
2973.419,76.78636,
2970.508,81.658347,
2967.598,81.838253,
2964.687,86.154211,
2961.777,97.125,
2958.866,94.459323,
2955.955,103.74888,
2953.045,98.556755,
2950.134,78.635186,
2947.224,100.38481,
2944.313,94.00107,
2941.403,120.60128,
2938.492,90.710373,
2935.581,92.899242,
2932.671,107.68292,
2929.760,99.263465,
2926.850,101.125,
2923.939,103.20444,
2921.028,102.81321,
2918.118,101.5847,
2915.207,95.593311,
2912.297,92.129231,
2909.386,119.48997,
2906.476,104.31882,
2903.565,108.67464,
2900.654,94.854009,
2897.744,96.810695,
2894.833,80.37227,
2891.923,84.015997,
2889.012,59.125,
2886.102,39.79529,
2883.191,17.13444,
2880.280,-110.70279,
2877.370,-337.00244,
2874.459,-418.18919,
2871.549,-231.42588,
2868.638,-13.091587,
2865.727,28.448019,
2862.817,55.039436,
2859.906,83.01104,
2856.996,82.125,
2854.085,101.49058,
2851.175,92.552725,
2848.264,90.693666,
2845.353,103.23284,
2842.443,102.53475,
2839.532,111.97564,
2836.622,101.64193,
2833.711,111.17681,
2830.801,107.62868,
2827.890,103.1897,
2824.979,114.767,
2822.069,109.21598,
2819.158,115.60478,
2816.248,113.87211,
2813.337,117.69207,
2810.427,121.16908,
2807.516,128.54219,
2804.605,121.35096,
2801.695,123.86184,
2798.784,121.19892,
2795.874,114.7002,
2792.963,117.55372,
2790.052,130.12307,
2787.142,127.08542,
2784.231,123.22126,
2781.321,119.125,
2778.410,114.14531,
2775.500,113.25189,
2772.589,116.47133,
2769.678,121.44581,
2766.768,123.31335,
2763.857,124.91305,
2760.947,117.65337,
2758.036,130.59639,
2755.126,130.74466,
2752.215,131.2523,
2749.304,126.14659,
2746.394,118.30037,
2743.483,122.42503,
2740.573,137.41713,
2737.662,107.93268,
2734.751,134.82393,
2731.841,141.90888,
2728.930,134.47242,
2726.020,141.34954,
2723.109,133.37258,
2720.199,144.67509,
2717.288,130.49361,
2714.377,143.92894,
2711.467,138.56785,
2708.556,138.55026,
2705.646,138.8292,
2702.735,132.96263,
2699.825,141.03774,
2696.914,143.50591,
2694.003,142.61118,
2691.093,135.10695,
2688.182,144.63537,
2685.272,141.88602,
2682.361,140.70142,
2679.450,143.83282,
2676.540,140.28759,
2673.629,148.45684,
2670.719,149.125,
2667.808,142.46545,
2664.898,137.02091,
2661.987,146.42497,
2659.076,152.10775,
2656.166,157.22031,
2653.255,149.23215,
2650.345,162.47709,
2647.434,153.75318,
2644.524,146.84686,
2641.613,161.1822,
2638.702,156.21969,
2635.792,157.0931,
2632.881,151.73232,
2629.971,164.19224,
2627.060,160.95781,
2624.149,162.82813,
2621.239,159.37352,
2618.328,164.19248,
2615.418,149.76137,
2612.507,166.22776,
2609.597,176.29865,
2606.686,156.0467,
2603.775,171.00595,
2600.865,161.89288,
2597.954,171.69377,
2595.044,165.10729,
2592.133,170.95941,
2589.223,171.23342,
2586.312,166.97926,
2583.401,169.32937,
2580.491,175.11055,
2577.580,151.15141,
2574.670,169.06216,
2571.759,164.76627,
2568.848,168.64992,
2565.938,160.69639,
2563.027,171.24769,
2560.117,176.94742,
2557.206,172.41282,
2554.296,168.84125,
2551.385,174.05897,
2548.474,184.90307,
2545.564,164.01135,
2542.653,197.42031,
2539.743,176.72974,
2536.832,172.65584,
2533.922,199.85692,
2531.011,181.75012,
2528.100,173.32708,
2525.190,177.03074,
2522.279,182.0781,
2519.369,176.89884,
2516.458,181.57967,
2513.548,177.75249,
2510.637,184.37093,
2507.726,186.87593,
2504.816,182.99986,
2501.905,183.74817,
2498.995,204.06528,
2496.084,203.73824,
2493.173,195.17732,
2490.263,205.47305,
2487.352,210.70767,
2484.442,198.84663,
2481.531,198.9175,
2478.621,211.03498,
2475.710,207.14034,
2472.799,205.67212,
2469.889,203.36601,
2466.978,212.84664,
2464.068,204.50592,
2461.157,200.24245,
2458.247,213.81623,
2455.336,205.61618,
2452.425,206.14859,
2449.515,196.59694,
2446.604,216.29083,
2443.694,230.79934,
2440.783,208.88288,
2437.872,227.83328,
2434.962,221.17569,
2432.051,219.73603,
2429.141,217.97202,
2426.230,236.88637,
2423.320,222.75349,
2420.409,220.83023,
2417.498,217.50984,
2414.588,230.93484,
2411.677,232.05328,
2408.767,228.86024,
2405.856,225.125,
2402.946,225.80954,
2400.035,218.03344,
2397.124,243.75604,
2394.214,216.4762,
2391.303,219.94817,
2388.393,221.88546,
2385.482,211.56562,
2382.571,174.7447,
2379.661,193.125,
2376.750,216.27757,
2373.840,248.02806,
2370.929,244.21164,
2368.019,246.24506,
2365.108,253.14856,
2362.197,257.88942,
2359.287,243.96511,
2356.376,261.08626,
2353.466,247.30649,
2350.555,258.84024,
2347.645,262.61243,
2344.734,256.54896,
2341.823,263.00892,
2338.913,253.61158,
2336.002,269.94553,
2333.092,271.3665,
2330.181,250.28105,
2327.270,261.18991,
2324.360,257.31841,
2321.449,264.72708,
2318.539,275.80387,
2315.628,256.2429,
2312.718,283.27259,
2309.807,271.87645,
2306.896,286.1563,
2303.986,288.55348,
2301.075,287.84836,
2298.165,286.34599,
2295.254,290.9742,
2292.344,278.80545,
2289.433,287.41454,
2286.522,282.28566,
2283.612,297.09568,
2280.701,297.66312,
2277.791,274.72612,
2274.880,292.54894,
2271.969,295.84105,
2269.059,288.38659,
2266.148,304.33869,
2263.238,300.92809,
2260.327,310.88345,
2257.417,296.26,
2254.506,306.36148,
2251.595,307.69957,
2248.685,299.96925,
2245.774,300.82825,
2242.864,319.25467,
2239.953,317.48369,
2237.043,305.125,
2234.132,303.47306,
2231.221,312.07337,
2228.311,319.60438,
2225.400,317.32202,
2222.490,324.86769,
2219.579,325.73167,
2216.669,323.61308,
2213.758,344.38907,
2210.847,343.64642,
2207.937,320.02079,
2205.026,345.5699,
2202.116,338.63136,
2199.205,346.70053,
2196.294,337.811,
2193.384,344.80901,
2190.473,349.69894,
2187.563,357.10567,
2184.652,356.58908,
2181.742,374.05656,
2178.831,381.43634,
2175.920,400.03939,
2173.010,389.79904,
2170.099,396.39038,
2167.189,409.25416,
2164.278,428.73907,
2161.368,437.83932,
2158.457,451.52832,
2155.546,480.65482,
2152.636,490.21542,
2149.725,502.776,
2146.815,527.35751,
2143.904,530.62686,
2140.993,541.17783,
2138.083,558.93656,
2135.172,556.6124,
2132.262,568.13908,
2129.351,541.65239,
2126.441,571.7659,
2123.530,552.63114,
2120.619,511.46435,
2117.709,515.5775,
2114.798,481.07494,
2111.888,472.61252,
2108.977,451.78062,
2106.067,427.99096,
2103.156,424.125,
2100.245,435.10994,
2097.335,411.00458,
2094.424,413.71524,
2091.514,419.40452,
2088.603,404.37848,
2085.692,393.21425,
2082.782,403.26146,
2079.871,399.26736,
2076.961,409.28549,
2074.050,433.04015,
2071.140,396.46948,
2068.229,417.49219,
2065.318,416.187,
2062.408,416.69308,
2059.497,409.11904,
2056.587,403.57855,
2053.676,428.25674,
2050.766,406.43442,
2047.855,436.12823,
2044.944,402.52404,
2042.034,413.41991,
2039.123,434.68392,
2036.213,419.70276,
2033.302,423.36399,
2030.391,440.78575,
2027.481,453.56396,
2024.570,420.72593,
2021.660,449.87809,
2018.749,424.5049,
2015.839,436.27723,
2012.928,452.19379,
2010.017,457.50176,
2007.107,457.05585,
2004.196,457.54165,
2001.286,451.1038,
1998.375,450.51673,
1995.465,451.91161,
1992.554,468.7778,
1989.643,469.19413,
1986.733,467.23202,
1983.822,468.13756,
1980.912,457.11469,
1978.001,455.8022,
1975.090,491.71889,
1972.180,488.33246,
1969.269,481.55891,
1966.359,488.26023,
1963.448,481.16727,
1960.538,485.2401,
1957.627,504.95783,
1954.716,528.49301,
1951.806,523.77082,
1948.895,530.38622,
1945.985,493.78023,
1943.074,501.88149,
1940.164,499.32699,
1937.253,505.125,
1934.342,499.07367,
1931.432,504.09346,
1928.521,521.21654,
1925.611,524.68346,
1922.700,529.66505,
1919.790,521.65112,
1916.879,518.2645,
1913.968,542.09549,
1911.058,542.25713,
1908.147,547.04765,
1905.237,559.17642,
1902.326,527.96056,
1899.415,502.39449,
1896.505,456.76944,
1893.594,464.10985,
1890.684,520.45816,
1887.773,563.02972,
1884.863,562.73092,
1881.952,553.03252,
1879.041,558.93341,
1876.131,562.75376,
1873.220,532.61603,
1870.310,617.23695,
1867.399,540.48445,
1864.489,542.47549,
1861.578,551.125,
1858.667,558.60699,
1855.757,597.54147,
1852.846,588.67369,
1849.936,601.103,
1847.025,569.41696,
1844.114,590.79327,
1841.204,596.39773,
1838.293,584.12167,
1835.383,611.81048,
1832.472,602.87978,
1829.562,594.26224,
1826.651,596.33856,
1823.740,604.31659,
1820.830,584.20353,
1817.919,611.32881,
1815.009,592.58175,
