,PLF246~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.125,
3011.256,-3.2249678,
3008.346,35.581476,
3005.435,57.51016,
3002.525,50.614933,
2999.614,66.689954,
2996.704,76.080671,
2993.793,74.391128,
2990.882,64.949412,
2987.972,82.024101,
2985.061,76.31221,
2982.151,80.914905,
2979.240,78.125,
2976.329,89.395476,
2973.419,84.832831,
2970.508,92.691594,
2967.598,80.363956,
2964.687,85.602581,
2961.777,81.595039,
2958.866,86.125,
2955.955,99.025426,
2953.045,116.92365,
2950.134,98.635186,
2947.224,104.26734,
2944.313,114.96759,
2941.403,122.99407,
2938.492,116.71037,
2935.581,111.85631,
2932.671,112.48119,
2929.760,119.32119,
2926.850,121.27463,
2923.939,120.68575,
2921.028,127.37215,
2918.118,126.6653,
2915.207,129.125,
2912.297,127.13346,
2909.386,119.70165,
2906.476,116.57443,
2903.565,128.31759,
2900.654,124.5497,
2897.744,117.94899,
2894.833,102.06318,
2891.923,115.34301,
2889.012,109.29263,
2886.102,93.439878,
2883.191,85.125,
2880.280,33.053209,
2877.370,-77.15967,
2874.459,-136.39711,
2871.549,-66.873937,
2868.638,87.906369,
2865.727,94.213386,
2862.817,104.72395,
2859.906,131.4156,
2856.996,113.64538,
2854.085,121.44855,
2851.175,125.43523,
2848.264,140.684,
2845.353,136.08187,
2842.443,137.31943,
2839.532,137.46831,
2836.622,124.2487,
2833.711,130.86597,
2830.801,143.21103,
2827.890,145.85402,
2824.979,151.54496,
2822.069,144.31833,
2819.158,155.04413,
2816.248,141.38947,
2813.337,153.125,
2810.427,151.21316,
2807.516,155.85875,
2804.605,142.10336,
2801.695,140.38816,
2798.784,136.56854,
2795.874,140.11443,
2792.963,153.98223,
2790.052,149.1265,
2787.142,147.15123,
2784.231,144.51164,
2781.321,152.99928,
2778.410,148.63516,
2775.500,157.37879,
2772.589,137.43386,
2769.678,147.23425,
2766.768,138.125,
2763.857,150.86103,
2760.947,146.64076,
2758.036,164.3735,
2755.126,148.92842,
2752.215,150.23391,
2749.304,164.16634,
2746.394,177.04441,
2743.483,161.42499,
2740.573,161.46348,
2737.662,148.92233,
2734.751,160.45027,
2731.841,157.34112,
2728.930,169.51073,
2726.020,157.91088,
2723.109,153.486,
2720.199,172.69376,
2717.288,162.96806,
2714.377,150.02926,
2711.467,157.25578,
2708.556,176.21005,
2705.646,167.98413,
2702.735,170.96263,
2699.825,165.83224,
2696.914,177.17321,
2694.003,153.82255,
2691.093,173.0179,
2688.182,180.23463,
2685.272,161.36398,
2682.361,172.79531,
2679.450,170.55304,
2676.540,161.28759,
2673.629,165.80663,
2670.719,173.25625,
2667.808,183.02773,
2664.898,185.90418,
2661.987,183.0249,
2659.076,184.36207,
2656.166,187.52763,
2653.255,182.05017,
2650.345,189.6132,
2647.434,179.29648,
2644.524,183.05546,
2641.613,191.61086,
2638.702,185.26703,
2635.792,189.1569,
2632.881,185.85711,
2629.971,196.72237,
2627.060,176.79063,
2624.149,185.58437,
2621.239,189.88241,
2618.328,199.16739,
2615.418,195.47954,
2612.507,194.81271,
2609.597,189.2268,
2606.686,195.54066,
2603.775,196.96627,
2600.865,198.83148,
2597.954,195.125,
2595.044,203.71491,
2592.133,213.17588,
2589.223,195.64288,
2586.312,206.97926,
2583.401,211.57391,
2580.491,208.4952,
2577.580,201.1349,
2574.670,207.125,
2571.759,214.83219,
2568.848,200.54478,
2565.938,201.64884,
2563.027,196.75909,
2560.117,199.30258,
2557.206,201.125,
2554.296,200.21425,
2551.385,219.06704,
2548.474,222.71756,
2545.564,215.34659,
2542.653,220.26259,
2539.743,208.56955,
2536.832,217.65584,
2533.922,223.07769,
2531.011,215.72537,
2528.100,210.52223,
2525.190,221.65902,
2522.279,204.96916,
2519.369,222.72874,
2516.458,231.90828,
2513.548,221.94341,
2510.637,232.06352,
2507.726,224.56736,
2504.816,228.12726,
2501.905,221.02378,
2498.995,228.66247,
2496.084,235.28527,
2493.173,238.86209,
2490.263,229.96791,
2487.352,251.16513,
2484.442,234.53612,
2481.531,242.8591,
2478.621,241.1961,
2475.710,226.17101,
2472.799,231.87837,
2469.889,238.88125,
2466.978,237.74365,
2464.068,252.32083,
2461.157,242.81506,
2458.247,245.06631,
2455.336,255.84906,
2452.425,253.125,
2449.515,260.87968,
2446.604,259.125,
2443.694,258.54358,
2440.783,263.79279,
2437.872,253.90621,
2434.962,251.53974,
2432.051,257.71136,
2429.141,250.56622,
2426.230,267.82118,
2423.320,278.31146,
2420.409,250.15058,
2417.498,259.31321,
2414.588,267.02992,
2411.677,268.98157,
2408.767,270.94291,
2405.856,285.77977,
2402.946,276.96414,
2400.035,274.125,
2397.124,271.92178,
2394.214,280.61021,
2391.303,277.16362,
2388.393,266.20868,
2385.482,242.91811,
2382.571,252.35358,
2379.661,245.24097,
2376.750,268.33686,
2373.840,279.81243,
2370.929,278.18998,
2368.019,293.3904,
2365.108,288.10144,
2362.197,289.33321,
2359.287,298.50328,
2356.376,299.12852,
2353.466,295.98979,
2350.555,290.58041,
2347.645,308.125,
2344.734,293.94063,
2341.823,296.0255,
2338.913,296.72352,
2336.002,300.04609,
2333.092,306.642,
2330.181,308.07132,
2327.270,315.51994,
2324.360,325.49533,
2321.449,303.74065,
2318.539,307.125,
2315.628,304.33523,
2312.718,296.94218,
2309.807,300.39825,
2306.896,311.93565,
2303.986,326.42362,
2301.075,319.44413,
2298.165,308.55744,
2295.254,324.69414,
2292.344,337.54827,
2289.433,321.735,
2286.522,316.366,
2283.612,323.7449,
2280.701,336.10704,
2277.791,316.80627,
2274.880,336.54894,
2271.969,346.03035,
2269.059,336.65633,
2266.148,334.5841,
2263.238,344.12113,
2260.327,345.05603,
2257.417,345.07389,
2254.506,349.33868,
2251.595,347.69957,
2248.685,362.06532,
2245.774,357.312,
2242.864,359.82826,
2239.953,347.26971,
2237.043,368.125,
2234.132,352.70689,
2231.221,359.31114,
2228.311,367.99484,
2225.400,356.92798,
2222.490,350.31067,
2219.579,368.2202,
2216.669,386.69416,
2213.758,381.25704,
2210.847,370.81016,
2207.937,365.20644,
2205.026,384.0148,
2202.116,370.39992,
2199.205,392.63817,
2196.294,393.17496,
2193.384,407.67751,
2190.473,393.68134,
2187.563,428.14433,
2184.652,429.5646,
2181.742,413.94304,
2178.831,429.15231,
2175.920,448.04485,
2173.010,458.17602,
2170.099,467.45784,
2167.189,488.1824,
2164.278,498.91294,
2161.368,520.8386,
2158.457,541.05578,
2155.546,542.39807,
2152.636,585.20465,
2149.725,608.62164,
2146.815,632.32415,
2143.904,631.03205,
2140.993,648.5906,
2138.083,653.7724,
2135.172,667.06622,
2132.262,666.61444,
2129.351,665.90088,
2126.441,644.15406,
2123.530,632.81073,
2120.619,604.16174,
2117.709,593.906,
2114.798,564.25557,
2111.888,521.26315,
2108.977,499.49586,
2106.067,496.64176,
2103.156,490.08632,
2100.245,466.11057,
2097.335,439.15119,
2094.424,418.50223,
2091.514,446.19759,
2088.603,434.83473,
2085.692,444.95013,
2082.782,445.86807,
2079.871,443.23235,
2076.961,457.22091,
2074.050,419.0947,
2071.140,435.7114,
2068.229,430.20051,
2065.318,454.48351,
2062.408,433.08645,
2059.497,429.7798,
2056.587,445.99713,
2053.676,446.75823,
2050.766,428.66461,
2047.855,419.35607,
2044.944,395.51922,
2042.034,414.91696,
2039.123,435.28662,
2036.213,445.81831,
2033.302,431.51642,
2030.391,428.34525,
2027.481,456.16134,
2024.570,450.79681,
2021.660,465.06067,
2018.749,445.93505,
2015.839,440.31791,
2012.928,434.4354,
2010.017,439.91654,
2007.107,457.79977,
2004.196,451.9345,
2001.286,441.70804,
1998.375,440.125,
1995.465,455.07053,
1992.554,428.44879,
1989.643,457.91527,
1986.733,423.82061,
1983.822,436.40713,
1980.912,433.79792,
1978.001,431.35321,
1975.090,456.92958,
1972.180,451.74602,
1969.269,451.52156,
1966.359,435.31395,
1963.448,451.42356,
1960.538,450.57537,
1957.627,450.79992,
1954.716,454.03882,
1951.806,463.72114,
1948.895,469.64128,
1945.985,439.2737,
1943.074,457.87053,
1940.164,429.85567,
1937.253,433.74649,
1934.342,439.54372,
1931.432,426.66128,
1928.521,447.50324,
1925.611,439.22262,
1922.700,450.11947,
1919.790,455.125,
1916.879,459.77625,
1913.968,429.16312,
1911.058,463.79467,
1908.147,455.93665,
1905.237,437.50737,
1902.326,447.125,
1899.415,430.06644,
1896.505,404.91427,
1893.594,421.03354,
1890.684,429.87005,
1887.773,460.22787,
1884.863,456.07716,
1881.952,441.33503,
1879.041,477.94952,
1876.131,485.23873,
1873.220,460.58951,
1870.310,456.19675,
1867.399,476.78913,
1864.489,484.125,
1861.578,480.48242,
1858.667,446.88547,
1855.757,461.30996,
1852.846,478.125,
1849.936,482.65953,
1847.025,488.89143,
1844.114,485.5509,
1841.204,487.16346,
1838.293,485.61752,
1835.383,472.09052,
1832.472,497.45196,
1829.562,498.93411,
1826.651,462.9279,
1823.740,503.35498,
1820.830,490.48693,
1817.919,470.53811,
1815.009,535.76748,
1812.098,506.73132,
