,PLFBF1~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.125,
3011.256,-0.22502147,
3008.346,58.413099,
3005.435,66.108219,
3002.525,64.402405,
2999.614,70.637336,
2996.704,71.237886,
2993.793,77.122696,
2990.882,85.65359,
2987.972,85.839685,
2985.061,81.978452,
2982.151,80.590962,
2979.240,65.205782,
2976.329,84.134556,
2973.419,76.828529,
2970.508,80.62505,
2967.598,80.970582,
2964.687,94.336956,
2961.777,85.131189,
2958.866,93.867576,
2955.955,94.768817,
2953.045,102.22399,
2950.134,96.694246,
2947.224,101.78959,
2944.313,103.3693,
2941.403,114.08942,
2938.492,103.44953,
2935.581,97.83207,
2932.671,102.63465,
2929.760,105.15193,
2926.850,104.13628,
2923.939,104.16008,
2921.028,97.663344,
2918.118,122.71379,
2915.207,111.10916,
2912.297,96.930007,
2909.386,120.09397,
2906.476,108.52671,
2903.565,112.56908,
2900.654,91.028711,
2897.744,90.950433,
2894.833,95.225546,
2891.923,91.253199,
2889.012,94.169797,
2886.102,71.189878,
2883.191,45.891048,
2880.280,9.7888634,
2877.370,-125.79326,
2874.459,-214.56487,
2871.549,-75.308273,
2868.638,40.153303,
2865.727,73.58653,
2862.817,76.875,
2859.906,93.926276,
2856.996,109.875,
2854.085,108.99475,
2851.175,105.77863,
2848.264,103.728,
2845.353,137.42209,
2842.443,112.08336,
2839.532,102.54666,
2836.622,114.08854,
2833.711,115.61597,
2830.801,123.46471,
2827.890,118.35226,
2824.979,119.78893,
2822.069,127.9546,
2819.158,127.65397,
2816.248,133.05842,
2813.337,112.93718,
2810.427,132.09539,
2807.516,134.45047,
2804.605,124.24038,
2801.695,126.36186,
2798.784,118.98385,
2795.874,132.02541,
2792.963,128.08936,
2790.052,128.87521,
2787.142,115.45392,
2784.231,124.22902,
2781.321,132.37212,
2778.410,121.55521,
2775.500,119.17259,
2772.589,114.33829,
2769.678,133.91258,
2766.768,125.06335,
2763.857,125.50699,
2760.947,135.41598,
2758.036,124.93222,
2755.126,134.96688,
2752.215,139.6204,
2749.304,139.3642,
2746.394,136.72176,
2743.483,134.37502,
2740.573,149.39278,
2737.662,129.22559,
2734.751,134.17607,
2731.841,144.92995,
2728.930,126.42586,
2726.020,130.43634,
2723.109,134.875,
2720.199,144.15004,
2717.288,130.26186,
2714.377,143.03304,
2711.467,144.28489,
2708.556,146.56637,
2705.646,151.72007,
2702.735,145.86984,
2699.825,146.25502,
2696.914,145.39863,
2694.003,151.71891,
2691.093,134.49956,
2688.182,135.09426,
2685.272,140.71568,
2682.361,145.18068,
2679.450,152.04374,
2676.540,150.77338,
2673.629,143.88398,
2670.719,159.14488,
2667.808,143.2368,
2664.898,136.36818,
2661.987,144.10812,
2659.076,147.22197,
2656.166,160.85774,
2653.255,152.65051,
2650.345,169.85141,
2647.434,158.96074,
2644.524,158.33063,
2641.613,166.84672,
2638.702,163.01703,
2635.792,153.99963,
2632.881,157.45237,
2629.971,162.23744,
2627.060,171.5425,
2624.149,167.17187,
2621.239,170.62648,
2618.328,150.95977,
2615.418,155.52955,
2612.507,163.3572,
2609.597,166.69137,
2606.686,159.06978,
2603.775,162.2758,
2600.865,177.87163,
2597.954,175.49788,
2595.044,182.5889,
2592.133,179.21265,
2589.223,182.09184,
2586.312,159.24182,
2583.401,171.71079,
2580.491,177.42308,
2577.580,151.92946,
2574.670,187.36564,
2571.759,181.21319,
2568.848,185.69276,
2565.938,168.77977,
2563.027,172.63179,
2560.117,179.60397,
2557.206,177.97094,
2554.296,180.38987,
2551.385,186.37904,
2548.474,200.02333,
2545.564,185.47646,
2542.653,190.33809,
2539.743,189.89965,
2536.832,198.44697,
2533.922,193.85923,
2531.011,189.3003,
2528.100,178.80879,
2525.190,182.61844,
2522.279,208.56186,
2519.369,180.06379,
2516.458,193.10942,
2513.548,178.55722,
2510.637,203.07572,
2507.726,193.99768,
2504.816,191.3113,
2501.905,185.49817,
2498.995,215.6209,
2496.084,200.16771,
2493.173,208.21705,
2490.263,203.68403,
2487.352,212.70807,
2484.442,205.17266,
2481.531,205.35363,
2478.621,207.7328,
2475.710,212.82133,
2472.799,209.32788,
2469.889,219.875,
2466.978,218.43171,
2464.068,209.25592,
2461.157,204.41496,
2458.247,218.55156,
2455.336,208.43075,
2452.425,213.03068,
2449.515,221.875,
2446.604,225.75285,
2443.694,224.73518,
2440.783,202.68131,
2437.872,218.23965,
2434.962,223.40957,
2432.051,221.60359,
2429.141,243.55133,
2426.230,221.70035,
2423.320,223.03212,
2420.409,227.65698,
2417.498,226.0969,
2414.588,225.77992,
2411.677,242.76743,
2408.767,240.12795,
2405.856,230.08696,
2402.946,238.41119,
2400.035,233.49001,
2397.124,229.01937,
2394.214,245.44061,
2391.303,239.66497,
2388.393,249.12849,
2385.482,238.35968,
2382.571,193.9883,
2379.661,220.45629,
2376.750,242.60891,
2373.840,251.875,
2370.929,253.85334,
2368.019,255.36947,
2365.108,249.61846,
2362.197,259.86131,
2359.287,249.10174,
2356.376,276.82041,
2353.466,257.43489,
2350.555,272.61517,
2347.645,266.84985,
2344.734,264.17916,
2341.823,278.65942,
2338.913,260.58545,
2336.002,266.84148,
2333.092,273.56463,
2330.181,274.875,
2327.270,269.20503,
2324.360,268.62262,
2321.449,278.90561,
2318.539,275.34289,
2315.628,267.59802,
2312.718,278.12391,
2309.807,266.96801,
2306.896,283.13478,
2303.986,291.22569,
2301.075,301.81115,
2298.165,282.52843,
2295.254,293.50877,
