,PLIQUI~4,
Wavenumbers [1/cm],Intensity,
3014.167,-0.5,
3011.256,-2.8499678,
3008.346,49.441968,
3005.435,66.040639,
3002.525,69.36745,
2999.614,66.629909,
2996.704,73.82681,
2993.793,89.78456,
2990.882,79.881592,
2987.972,81.535315,
2985.061,96.923656,
2982.151,96.931924,
2979.240,86.284226,
2976.329,98.781397,
2973.419,101.13081,
2970.508,103.81664,
2967.598,99.786747,
2964.687,108.84307,
2961.777,107.06405,
2958.866,109.49109,
2955.955,128.32964,
2953.045,125.13311,
2950.134,123.5,
2947.224,109.92703,
2944.313,125.39886,
2941.403,116.94024,
2938.492,126.09622,
2935.581,125.52702,
2932.671,135.8948,
2929.760,125.53849,
2926.850,134.76128,
2923.939,141.97661,
2921.028,148.10583,
2918.118,146.7796,
2915.207,147.6203,
2912.297,146.51693,
2909.386,143.09124,
2906.476,145.14325,
2903.565,137.69259,
2900.654,151.05309,
2897.744,150.16055,
2894.833,127.21127,
2891.923,144.66351,
2889.012,129.83526,
2886.102,138.60134,
2883.191,93.551921,
2880.280,79.791862,
2877.370,5.0002115,
2874.459,-19.776964,
2871.549,12.224558,
2868.638,130.46077,
2865.727,119.17296,
2862.817,152.4706,
2859.906,141.86752,
2856.996,158.47283,
2854.085,172.42228,
2851.175,138.5,
2848.264,158.40716,
2845.353,157.41373,
2842.443,161.88538,
2839.532,165.18662,
2836.622,147.41016,
2833.711,156.18132,
2830.801,170.29118,
2827.890,159.8549,
2824.979,161.57401,
2822.069,170.63647,
2819.158,179.45957,
2816.248,168.52316,
2813.337,176.04634,
2810.427,175.36777,
2807.516,169.24109,
2804.605,162.15626,
2801.695,179.85528,
2798.784,166.05238,
2795.874,165.64512,
2792.963,166.07149,
2790.052,180.49721,
2787.142,163.52623,
2784.231,158.04813,
2781.321,170.1286,
2778.410,179.5,
2775.500,177.20241,
2772.589,157.15519,
2769.678,170.07341,
2766.768,168.80486,
2763.857,179.23603,
2760.947,174.00946,
2758.036,183.12425,
2755.126,183.88034,
2752.215,182.30905,
2749.304,180.3723,
2746.394,185.92338,
2743.483,188.05,
2740.573,193.82303,
2737.662,172.9571,
2734.751,182.05824,
2731.841,170.90476,
2728.930,174.80515,
2726.020,177.73495,
2723.109,183.06708,
2720.199,191.12818,
2717.288,189.02555,
2714.377,185.7918,
2711.467,186.05715,
2708.556,201.19137,
2705.646,207.19015,
2702.735,194.683,
2699.825,199.25086,
2696.914,196.40501,
2694.003,175.94064,
2691.093,188.9284,
2688.182,194.42815,
2685.272,188.26102,
2682.361,188.25873,
2679.450,192.5,
2676.540,194.43903,
2673.629,191.83184,
2670.719,193.14233,
2667.808,198.25682,
2664.898,204.31809,
2661.987,214.03342,
2659.076,207.02587,
2656.166,200.03246,
2653.255,202.01871,
2650.345,216.39655,
2647.434,225.44227,
2644.524,204.27219,
2641.613,201.38561,
2638.702,199.5,
2635.792,206.28265,
2632.881,208.20217,
2629.971,222.73493,
2627.060,212.33219,
2624.149,213.69064,
2621.239,215.02075,
2618.328,217.5,
2615.418,215.84091,
2612.507,214.9822,
2609.597,205.6018,
2606.686,220.4739,
2603.775,231.22223,
2600.865,225.50337,
2597.954,221.45209,
2595.044,222.81267,
2592.133,225.66559,
2589.223,233.4158,
2586.312,234.52511,
2583.401,236.35765,
2580.491,233.95192,
2577.580,227.53466,
2574.670,241.30483,
2571.759,228.00513,
2568.848,232.5,
2565.938,234.88093,
2563.027,235.93865,
2560.117,232.13552,
2557.206,219.84318,
2554.296,226.99199,
2551.385,253.062,
2548.474,241.94424,
2545.564,237.5,
2542.653,241.26846,
2539.743,237.04313,
2536.832,252.37851,
2533.922,243.56308,
2531.011,249.14986,
2528.100,252.43379,
2525.190,253.87172,
2522.279,246.92208,
2519.369,252.78318,
2516.458,250.94759,
2513.548,260.97264,
2510.637,249.11483,
2507.726,259.74907,
2504.816,269.81342,
2501.905,242.225,
2498.995,263.73888,
2496.084,267.80662,
2493.173,272.36854,
2490.263,264.33162,
2487.352,282.4984,
2484.442,263.20234,
2481.531,267.76069,
2478.621,261.96445,
2475.710,287.33898,
2472.799,269.95288,
2469.889,268.86563,
2466.978,268.04628,
2464.068,285.90745,
2461.157,270.53752,
2458.247,271.61771,
2455.336,278.5,
2452.425,269.5849,
2449.515,276.70791,
2446.604,289.32721,
2443.694,289.89558,
2440.783,292.88063,
2437.872,284.28121,
2434.962,281.3894,
2432.051,289.01234,
2429.141,289.92351,
2426.230,297.97847,
2423.320,294.98604,
