,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_CTR_0mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__2__12-58-50-746,
Raman shift [1/cm],Intensity,
3014.167,-1.125,
3011.256,3.3249893,
3008.346,193.57092,
3005.435,227.83613,
3002.525,240.1401,
2999.614,222.29192,
2996.704,252.4152,
2993.793,253.99885,
2990.882,268.99706,
2987.972,274.94058,
2985.061,290.5351,
2982.151,267.45481,
2979.240,306.12691,
2976.329,300.38319,
2973.419,341.26011,
2970.508,320.25834,
2967.598,338.39709,
2964.687,338.42663,
2961.777,351.59298,
2958.866,355.19448,
2955.955,358.69803,
2953.045,376.40743,
2950.134,378.97123,
2947.224,393.30203,
2944.313,405.17842,
2941.403,409.69662,
2938.492,425.46037,
2935.581,433.28359,
2932.671,442.07673,
2929.760,452.47885,
2926.850,445.3453,
2923.939,459.95914,
2921.028,445.875,
2918.118,472.11682,
2915.207,480.98885,
2912.297,485.83692,
2909.386,480.51003,
2906.476,480.36378,
2903.565,495.11872,
2900.654,481.77993,
2897.744,466.56069,
2894.833,450.947,
2891.923,459.0096,
2889.012,481.49928,
2886.102,474.21015,
2883.191,462.87972,
2880.280,468.14293,
2877.370,429.60761,
2874.459,391.86259,
2871.549,444.20425,
2868.638,473.37602,
2865.727,481.875,
2862.817,495.71857,
2859.906,476.69836,
2856.996,498.83877,
2854.085,505.11449,
2851.175,497.20636,
2848.264,492.01233,
2845.353,503.27112,
2842.443,480.26734,
2839.532,493.86003,
2836.622,461.48177,
2833.711,469.60813,
2830.801,453.19191,
2827.890,472.39774,
2824.979,468.39309,
2822.069,460.11381,
2819.158,469.47337,
2816.248,465.07,
2813.337,464.0506,
2810.427,475.01413,
2807.516,450.61609,
2804.605,485.67067,
2801.695,472.9934,
2798.784,461.09677,
2795.874,467.14939,
2792.963,475.30351,
2790.052,463.87714,
2787.142,459.23027,
2784.231,452.06911,
2781.321,456.75504,
2778.410,459.91563,
2775.500,467.31913,
2772.589,475.37424,
2769.678,475.47904,
2766.768,484.00509,
2763.857,475.87693,
2760.947,493.38446,
2758.036,488.94503,
2755.126,490.2062,
2752.215,491.6204,
2749.304,487.0027,
2746.394,507.45162,
2743.483,503.67501,
2740.573,490.34176,
2737.662,486.53477,
2734.751,489.13217,
2731.841,493.09112,
2728.930,503.77328,
2726.020,502.42593,
2723.109,511.28717,
2720.199,520.07195,
2717.288,509.3312,
2714.377,501.90844,
2711.467,509.64533,
2708.556,515.83247,
2705.646,521.63558,
2702.735,533.36726,
2699.825,520.00589,
2696.914,529.25638,
2694.003,531.71891,
2691.093,522.0892,
2688.182,532.85796,
2685.272,520.14954,
2682.361,530.93395,
2679.450,536.20006,
2676.540,532.09856,
2673.629,534.57908,
2670.719,524.29829,
2667.808,534.53455,
2664.898,533.10846,
2661.987,542.37483,
2659.076,550.71335,
2656.166,555.45511,
2653.255,549.35629,
2650.345,549.09097,
2647.434,572.78926,
2644.524,567.24189,
2641.613,562.61793,
2638.702,558.95391,
2635.792,564.875,
2632.881,558.52392,
