,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_ctr_1E-2mgL_16h_785nm_133mW_3s_1acc_1_RamanShift__4__49,
Raman shift [1/cm],Intensity,
3014.167,1.375,
3011.256,-0.12510737,
3008.346,258.00321,
3005.435,309.45274,
3002.525,328.43261,
2999.614,340.66201,
2996.704,347.23376,
2993.793,363.49885,
2990.882,356.46665,
2987.972,363.44563,
2985.061,372.0548,
2982.151,406.76663,
2979.240,409.75616,
2976.329,419.1209,
2973.419,438.23688,
2970.508,445.95822,
2967.598,441.95211,
2964.687,479.10598,
2961.777,482.65702,
2958.866,500.37055,
2955.955,489.68033,
2953.045,522.10878,
2950.134,542.35463,
2947.224,552.08672,
2944.313,566.93696,
2941.403,566.6729,
2938.492,589.375,
2935.581,612.61667,
2932.671,610.73119,
2929.760,598.85963,
2926.850,614.85244,
2923.939,622.73481,
2921.028,628.76917,
2918.118,644.95308,
2915.207,654.09683,
2912.297,631.54425,
2909.386,643.19981,
2906.476,650.15029,
2903.565,646.06908,
2900.654,635.53982,
2897.744,636.24928,
2894.833,635.85936,
2891.923,632.34609,
2889.012,629.54263,
2886.102,640.87228,
2883.191,625.3986,
2880.280,611.88217,
2877.370,594.74131,
2874.459,579.12985,
2871.549,623.44106,
2868.638,666.15024,
2865.727,658.42884,
2862.817,651.44586,
2859.906,663.22399,
2856.996,668.45199,
2854.085,681.30363,
2851.175,672.39613,
2848.264,674.42916,
2845.353,657.28873,
2842.443,660.96177,
2839.532,666.16608,
2836.622,651.80208,
2833.711,664.32319,
2830.801,625.60587,
2827.890,661.47814,
2824.979,657.65899,
2822.069,674.19305,
2819.158,659.13511,
2816.248,656.63947,
2813.337,679.48841,
2810.427,683.24277,
2807.516,667.01547,
2804.605,678.14904,
2801.695,675.63816,
2798.784,695.89654,
2795.874,676.21403,
2792.963,665.73148,
2790.052,667.37135,
2787.142,669.67781,
2784.231,667.79583,
2781.321,692.17489,
2778.410,667.2595,
2775.500,666.88707,
2772.589,690.33601,
2769.678,683.76748,
2766.768,698.36143,
2763.857,698.00699,
2760.947,703.38761,
2758.036,709.61069,
2755.126,708.69979,
2752.215,716.48391,
2749.304,724.31023,
2746.394,708.52824,
2743.483,718.02495,
2740.573,724.82631,
2737.662,711.38535,
2734.751,720.60798,
2731.841,727.72665,
2728.930,730.08702,
2726.020,723.94676,
2723.109,739.92133,
2720.199,727.96244,
2717.288,741.18157,
2714.377,751.34156,
2711.467,764.58819,
2708.556,772.84279,
2705.646,761.40311,
2702.735,747.23327,
2699.825,773.82046,
2696.914,773.13681,
2694.003,762.10019,
2691.093,774.87441,
2688.182,767.77574,
2685.272,760.49022,
2682.361,765.4929,
2679.450,770.36259,
2676.540,777.35468,
2673.629,772.7248,
2670.719,768.58665,
2667.808,777.03455,
2664.898,769.089,
2661.987,787.07503,
2659.076,779.64656,
2656.166,795.08494,
2653.255,805.59439,
2650.345,804.75068,
2647.434,843.8317,
2644.524,821.58361,
2641.613,832.26124,
2638.702,839.40656,
2635.792,830.52855,
2632.881,836.94072,
2629.971,818.5226,
2627.060,828.37313,
2624.149,836.48438,
2621.239,837.39279,
2618.328,837.84126,
2615.418,849.70227,
2612.507,848.03114,
2609.597,852.64047,
2606.686,848.3228,
2603.775,857.33532,
2600.865,859.90402,
2597.954,880.75831,
2595.044,884.08005,
2592.133,874.15206,
