,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_CTR_1E-4mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__3__46,
Raman shift [1/cm],Intensity,
3014.167,0.75,
3011.256,0.95004295,
3008.346,53.591,
3005.435,63.633391,
3002.525,68.845078,
2999.614,68.373364,
2996.704,79.830406,
2993.793,68.51152,
2990.882,65.398825,
2987.972,60.855944,
2985.061,77.759847,
2982.151,80.676057,
2979.240,94.78614,
2976.329,80.501365,
2973.419,98.780551,
2970.508,99.116713,
2967.598,97.558835,
2964.687,90.40693,
2961.777,107.58782,
2958.866,101.75148,
2955.955,107.33849,
2953.045,89.703044,
2950.134,102.04736,
2947.224,114.49378,
2944.313,113.83974,
2941.403,118.53558,
2938.492,109.61179,
2935.581,110.34141,
2932.671,136.66844,
2929.760,130.88846,
2926.850,131.80226,
2923.939,123.14718,
2921.028,130.43821,
2918.118,115.19081,
2915.207,137.6426,
2912.297,126.84309,
2909.386,139.91789,
2906.476,131.58707,
2903.565,139.2826,
2900.654,127.02099,
2897.744,142.48598,
2894.833,120.92527,
2891.923,127.859,
2889.012,133.29335,
2886.102,126.54189,
2883.191,136.73962,
2880.280,128.372,
2877.370,119.38369,
2874.459,125.57389,
2871.549,143.98708,
2868.638,131.06549,
2865.727,135.11922,
2862.817,146.49331,
2859.906,133.86396,
2856.996,133.75453,
2854.085,133.63025,
2851.175,134.89455,
2848.264,155.95116,
2845.353,141.09507,
2842.443,147.96532,
2839.532,141.73503,
2836.622,143.44661,
2833.711,131.75784,
2830.801,139.83603,
2827.890,148.85314,
2824.979,152.09594,
2822.069,144.84098,
2819.158,148.94946,
2816.248,158.43921,
2813.337,144.3378,
2810.427,151.49243,
2807.516,141.54141,
2804.605,144.15865,
2801.695,145.18421,
2798.784,141.04569,
2795.874,153.76057,
2792.963,155.3217,
2790.052,157.75086,
2787.142,140.23688,
2784.231,155.3944,
2781.321,146.44146,
2778.410,150.52539,
2775.500,147.11103,
2772.589,159.21177,
2769.678,155.78758,
2766.768,150.99661,
2763.857,157.90607,
2760.947,144.25946,
2758.036,152.52711,
2755.126,163.18589,
2752.215,146.40912,
2749.304,170.55753,
2746.394,157.90324,
2743.483,152.00001,
2740.573,156.84738,
2737.662,165.18639,
2734.751,158.63351,
2731.841,163.99359,
2728.930,164.03401,
2726.020,161.65336,
2723.109,157.67809,
2720.199,169.39686,
2717.288,161.41787,
2714.377,159.71656,
2711.467,174.5533,
2708.556,170.62242,
2705.646,171.13029,
2702.735,165.41495,
2699.825,163.75,
2696.914,175.8932,
2694.003,179.97927,
2691.093,174.75,
2688.182,152.60259,
2685.272,179.59068,
2682.361,176.96179,
2679.450,184.24379,
2676.540,176.72968,
2673.629,179.4002,
2670.719,180.96904,
2667.808,182.50682,
2664.898,181.33463,
2661.987,180.08355,
2659.076,169.54743,
2656.166,200.55526,
2653.255,181.89966,
2650.345,175.39791,
2647.434,198.37818,
2644.524,187.61093,
2641.613,192.37854,
2638.702,184.86047,
2635.792,187.28041,
2632.881,185.6668,
2629.971,187.6024,
2627.060,193.74938,
2624.149,200.5875,
2621.239,198.99259,
2618.328,189.75,
2615.418,191.40909,
2612.507,189.78559,
2609.597,204.00549,
2606.686,195.94478,
2603.775,197.71032,
2600.865,202.57254,
2597.954,190.37288,
2595.044,210.01838,
2592.133,216.80088,
2589.223,209.96684,
2586.312,210.75,
2583.401,206.26093,
2580.491,208.0096,
2577.580,217.75495,
2574.670,215.49199,
2571.759,201.75,
2568.848,213.27492,
2565.938,205.36893,
2563.027,218.55456,
2560.117,231.2734,
2557.206,211.82011,
2554.296,220.72025,
2551.385,214.43599,
2548.474,214.86115,
2545.564,222.52841,
2542.653,231.90772,
2539.743,225.87323,
2536.832,227.83225,
2533.922,227.82885,
2531.011,230.55019,
2528.100,221.55138,
2525.190,229.81803,
2522.279,232.28102,
2519.369,224.25934,
2516.458,226.6381,
2513.548,229.7954,
2510.637,229.36483,
2507.726,235.00278,
2504.816,231.25057,
2501.905,239.61951,
2498.995,229.75,
2496.084,230.36324,
2493.173,228.43411,
2490.263,234.52516,
2487.352,238.20747,
2484.442,230.59153,
2481.531,235.37773,
2478.621,231.8211,
2475.710,242.71166,
2472.799,241.44951,
2469.889,243.05469,
2466.978,246.46121,
2464.068,239.30022,
2461.157,236.67495,
2458.247,248.58828,
2455.336,246.49559,
2452.425,260.58021,
2449.515,266.62734,
2446.604,260.46202,
2443.694,253.07566,
2440.783,257.17905,
2437.872,271.34889,
2434.962,259.17397,
2432.051,260.60196,
2429.141,268.17351,
2426.230,279.0329,
2423.320,274.75,
2420.409,271.72442,
2417.498,260.16853,
2414.588,259.83743,
2411.677,282.39142,
2408.767,275.53248,
2405.856,277.65241,
2402.946,275.54178,
2400.035,288.53874,
2397.124,276.33287,
2394.214,291.23521,
2391.303,269.56775,
2388.393,264.48257,
2385.482,261.92625,
2382.571,284.39532,
2379.661,284.93619,
2376.750,279.8534,
2373.840,282.61251,
2370.929,292.63087,
2368.019,264.33926,
2365.108,284.98298,
2362.197,281.34726,
2359.287,288.13663,
2356.376,287.75352,
2353.466,302.32532,
2350.555,301.63974,
2347.645,295.48642,
2344.734,301.11406,
2341.823,306.66708,
2338.913,290.68432,
2336.002,293.1662,
