,PL0AD7~1,
Wavenumbers [1/cm],Intensity,
3014.167,-3,
3011.256,2.8999785,
3008.346,32.769049,
3005.435,17.38516,
3002.525,22.377517,
2999.614,27.138973,
2996.704,27.867012,
2993.793,28.009216,
2990.882,28.343472,
2987.972,28.914236,
2985.061,19.980306,
2982.151,35.284038,
2979.240,34.748086,
2976.329,44.248635,
2973.419,49.922978,
2970.508,58.316644,
2967.598,28.525703,
2964.687,40.910326,
2961.777,35.752063,
2958.866,41.334323,
2955.955,44.553092,
2953.045,37.651015,
2950.134,45,
2947.224,43.398563,
2944.313,54.752849,
2941.403,48.523723,
2938.492,49.298109,
2935.581,58.521465,
2932.671,60.442079,
2929.760,64.584605,
2926.850,59.947744,
2923.939,56.560753,
2921.028,67.870728,
2918.118,55.198991,
2915.207,45.82277,
2912.297,66.906911,
2909.386,70.408756,
2906.476,54.651711,
2903.565,65.742224,
2900.654,63.446912,
2897.744,57.924567,
2894.833,53.23709,
2891.923,61.487203,
2889.012,43.537573,
2886.102,59.416214,
2883.191,40.019824,
2880.280,39.78469,
2877.370,-70.453139,
2874.459,-126.12568,
2871.549,-76.315398,
2868.638,16.733963,
2865.727,27.207715,
2862.817,36.943834,
2859.906,42.569799,
2856.996,54.466035,
2854.085,85.766849,
2851.175,69,
2848.264,60.00967,
2845.353,54.280371,
2842.443,65.402785,
2839.532,68.432803,
2836.622,53.882159,
2833.711,71.57771,
2830.801,67.60441,
2827.890,81.561177,
2824.979,73.716009,
2822.069,80.090977,
2819.158,83.059294,
2816.248,66.034738,
2813.337,96.803676,
2810.427,65.911844,
2807.516,69.683437,
2804.605,81.225965,
2801.695,82.039466,
2798.784,69.739231,
2795.874,71.129269,
2792.963,73.071168,
2790.052,82.996568,
2787.142,64.368617,
2784.231,73.645977,
2781.321,68.691463,
2778.410,76.925131,
2775.500,80.126894,
2772.589,78.461772,
2769.678,81.535838,
2766.768,76.941742,
2763.857,86.156067,
2760.947,76.534673,
2758.036,76.917167,
2755.126,82.429487,
2752.215,84.254598,
2749.304,74.915483,
2746.394,94.233823,
2743.483,97.900051,
2740.573,89.774344,
2737.662,85.309179,
2734.751,77.931905,
2731.841,88.567767,
2728.930,77.796566,
2726.020,86.224537,
2723.109,88.886583,
2720.199,88.862478,
2717.288,92.543796,
2714.377,91.25836,
2711.467,84.049446,
2708.556,76.691368,
2705.646,92.831017,
2702.735,87.502579,
2699.825,84.619978,
2696.914,95.19093,
2694.003,90.798369,
2691.093,95.856808,
2688.182,87.763704,
2685.272,99.088197,
2682.361,77.78821,
2679.450,89.617243,
2676.540,85.365833,
2673.629,94.704081,
2670.719,92.773577,
2667.808,88.632263,
2664.898,110.22082,
2661.987,104.59993,
2659.076,89.780181,
2656.166,103.16023,
2653.255,101.06973,
2650.345,94.96733,
2647.434,92.342955,
2644.524,100.24702,
2641.613,107.68573,
2638.702,116.85797,
2635.792,102.06082,
2632.881,105.18469,
2629.971,101.48995,
2627.060,102.00187,
2624.149,98.484359,
2621.239,103.7337,
2618.328,103.91523,
2615.418,103.32727,
2612.507,104.7589,
2609.597,110.35729,
2606.686,103.38956,
2603.775,103.55952,
2600.865,104.29352,
2597.954,101.91037,
2595.044,114.38352,
2592.133,101.77706,
2589.223,106.34948,
2586.312,120.48744,
2583.401,117.55109,
2580.491,124.2596,
2577.580,108.9934,
2574.670,106.10695,
2571.759,115.05565,
2568.848,110.1215,
2565.938,130.04769,
2563.027,114.04777,
2560.117,103.27103,
2557.206,112.13653,
2554.296,124.51487,
2551.385,121.74395,
2548.474,140.33383,
2545.564,118.07629,
2542.653,138,
2539.743,133.55545,
2536.832,118.42803,
2533.922,116.23654,
2531.011,133.74977,
2528.100,131.93725,
2525.190,138.23033,
2522.279,129.9062,
2519.369,125.88692,
2516.458,126.00354,
2513.548,114.62749,
2510.637,138.87703,
2507.726,136.68773,
2504.816,129.24915,
2501.905,128.05793,
2498.995,139.41803,
2496.084,145.69338,
2493.173,136.15761,
2490.263,140.96612,
2487.352,130.6244,
2484.442,122.56959,
2481.531,130.31909,
2478.621,132.16112,
2475.710,154.86965,
2472.799,133.80722,
2469.889,123.90859,
2466.978,132.77314,
2464.068,132.12697,
2461.157,136.7651,
2458.247,127.10303,
2455.336,141.95695,
2452.425,138.65094,
2449.515,155.89604,
2446.604,146.9424,
2443.694,140.93009,
2440.783,144.47748,
2437.872,148.63535,
2434.962,139.26267,
2432.051,147.80261,
2429.141,153.86473,
2426.230,165.15251,
2423.320,162.4567,
2420.409,168.89767,
2417.498,163.95788,
2414.588,145.38796,
2411.677,140.60959,
2408.767,159.78248,
2405.856,174.56663,
2402.946,159.41019,
2400.035,150.79812,
2397.124,144.79678,
2394.214,162.244,
2391.303,167.39228,
2388.393,162.26743,
2385.482,155.26437,
2382.571,151.51921,
2379.661,138.41871,
2376.750,146.94324,
2373.840,155.29377,
2370.929,154,
2368.019,177.8436,
2365.108,167.07068,
2362.197,153.2219,
2359.287,160.37828,
2356.376,178.97182,
2353.466,179.48639,
2350.555,154.62991,
2347.645,161.06489,
2344.734,157.75574,
2341.823,155,
2338.913,177.40148,
2336.002,183.34916,
2333.092,178.96599,
2330.181,173.08947,
2327.270,160.9901,
2324.360,177.80659,
2321.449,181.06122,
2318.539,186.70338,
2315.628,191.1179,
2312.718,183.70044,
2309.807,198.40409,
2306.896,170.30674,
2303.986,191.12986,
2301.075,195.55317,
2298.165,199,
2295.254,192.1508,
2292.344,192.63069,
2289.433,190.62545,
2286.522,191.29455,
2283.612,206.83036,
2280.701,192.55609,
2277.791,190,
2274.880,187.43205,
2271.969,188.05762,
2269.059,192.82832,
2266.148,184,
2263.238,192.09652,
2260.327,195.06897,
2257.417,193.15334,
2254.506,197.35049,
2251.595,202.72736,
2248.685,205.99418,
2245.774,200.187,
2242.864,219.67582,
2239.953,215.22758,
2237.043,204.70037,
2234.132,186.44935,
2231.221,198.08016,
2228.311,203,
2225.400,221.88742,
2222.490,214.28656,
2219.579,209.62474,
2216.669,237.47377,
2213.758,220.8222,
2210.847,196.10329,
2207.937,215.06349,
2205.026,217.77726,
2202.116,227.80468,
2199.205,222.18706,
2196.294,225.94201,
2193.384,215.60549,
2190.473,210.42606,
2187.563,250.99517,
2184.652,246.83715,
2181.742,233.72786,
2178.831,241.92217,
2175.920,240.33151,
2173.010,265.20181,
2170.099,261.00148,
2167.189,254.19374,
2164.278,279.2392,
2161.368,275.85631,
2158.457,289.61098,
2155.546,294.52982,
2152.636,280.399,
2149.725,315.10735,
2146.815,324.96663,
2143.904,309.81039,
2140.993,330.57677,
2138.083,321.4711,
2135.172,336.45382,
2132.262,330.73416,
2129.351,324.75518,
2126.441,347.97094,
2123.530,335.91021,
2120.619,326.21108,
2117.709,312.8905,
2114.798,304.6692,
2111.888,291.77541,
2108.977,289.35762,
2106.067,272.5238,
2103.156,277.43786,
2100.245,247.01129,
2097.335,266.44502,
2094.424,273.64911,
2091.514,256.20693,
2088.603,252.06909,
2085.692,271.04827,
2082.782,272.34542,
2079.871,274.92882,
2076.961,284.4188,
2074.050,279.98182,
2071.140,264.50539,
2068.229,282.5573,
2065.318,266.85175,
2062.408,266.96974,
2059.497,278.61906,
2056.587,275.06993,
2053.676,270.18338,
2050.766,277.38415,
2047.855,267.25631,
2044.944,274.00481,
2042.034,261,
2039.123,276.6431,
2036.213,277.81321,
2033.302,265.45615,
2030.391,276.33925,
2027.481,279.92675,
2024.570,287.21417,
2021.660,279.53216,
2018.749,313.24019,
2015.839,291.17519,
2012.928,272.77013,
2010.017,275.57112,
2007.107,276.71961,
2004.196,284.38101,
2001.286,300.60424,
1998.375,297.52067,
1995.465,268.46875,
1992.554,266.25878,
1989.643,245.7604,
1986.733,265.64211,
1983.822,275.4483,
1980.912,265.31678,
1978.001,260.49165,
1975.090,274.52521,
1972.180,290.48406,
1969.269,274.86781,
1966.359,261.67552,
1963.448,275.45443,
1960.538,289.49208,
1957.627,289.21672,
1954.716,279.28727,
1951.806,270.95032,
1948.895,271.91293,
1945.985,282.75327,
1943.074,267.54992,
1940.164,263.80798,
1937.253,269.78297,
1934.342,255.57272,
1931.432,281.8959,
1928.521,279.41451,
1925.611,255.14302,
1922.700,278.28314,
1919.790,273.08107,
1916.879,251.46474,
1913.968,279.96311,
1911.058,307.55554,
1908.147,275.65696,
1905.237,289.02939,
1902.326,276.16444,
1899.415,264.00485,
1896.505,220.60843,
1893.594,234.99091,
1890.684,249.90198,
1887.773,256.24115,
1884.863,282.1344,
1881.952,304.15989,
1879.041,300.67861,
1876.131,293.11373,
1873.220,295.48674,
1870.310,306.21074,
1867.399,276.4958,
1864.489,275.31155,
1861.578,282.3462,
1858.667,276.58682,
1855.757,276.81146,
1852.846,270.03075,
1849.936,284.37238,
1847.025,272.11923,
1844.114,275.05886,
1841.204,305.33566,
1838.293,308.02661,
1835.383,301.29049,
1832.472,337.46609,
1829.562,329.5315,
1826.651,338.61599,
1823.740,331.80073,
1820.830,321.1417,
1817.919,324.88626,
1815.009,306.30662,
1812.098,329.92912,
1809.188,335.81395,
1806.277,286.12872,
1803.366,341.90201,
1800.456,280.13256,
1797.545,333.72342,
1794.635,331.90301,
1791.724,339.15532,
1788.813,345.20026,
1785.903,339.66865,
1782.992,316.85394,
1780.082,296.23814,
1777.171,211.30618,
1774.261,140.29561,
1771.350,225.84726,
1768.439,300.68431,
1765.529,349.00282,
1762.618,371.83126,
1759.708,352.47802,
1756.797,347.82576,
