,PL1DEA~1,
Wavenumbers [1/cm],Intensity,
3014.167,-2.125,
3011.256,2.4250107,
3008.346,13.562426,
3005.435,9.376769,
3002.525,17.082494,
2999.614,9.7269635,
2996.704,10.697683,
2993.793,12.627304,
2990.882,17.088707,
2987.972,26.769056,
2985.061,8.9784523,
2982.151,23.443076,
2979.240,10.788477,
2976.329,24.118175,
2973.419,33.921471,
2970.508,27.041634,
2967.598,11.588253,
2964.687,14.471467,
2961.777,13.909087,
2958.866,24.875,
2955.955,21.839606,
2953.045,19.875,
2950.134,22.907076,
2947.224,19.732656,
2944.313,20.268163,
2941.403,21.660585,
2938.492,28.449527,
2935.581,31.987879,
2932.671,30.033787,
2929.760,23.875,
2926.850,31.456954,
2923.939,19.234812,
2921.028,39.910496,
2918.118,38.571467,
2915.207,12.22946,
2912.297,21.84115,
2909.386,33.502729,
2906.476,20.689638,
2903.565,31.359449,
2900.654,21.263272,
2897.744,25.963005,
2894.833,29.988456,
2891.923,12.089694,
2889.012,14.909684,
2886.102,16.73313,
2883.191,-12.11084,
2880.280,2.9802435,
2877.370,-105.40967,
2874.459,-193.31972,
2871.549,-113.08504,
2868.638,-34.438443,
2865.727,-18.098082,
2862.817,5.7332703,
2859.906,12.242517,
2856.996,23.870471,
2854.085,40.719566,
2851.175,21.847945,
2848.264,15.791829,
2845.353,18.09067,
2842.443,31.06943,
2839.532,18.800477,
2836.622,20.875,
2833.711,24.556324,
2830.801,32.371325,
2827.890,26.294606,
2824.979,48.578947,
2822.069,42.897744,
2819.158,42.21462,
2816.248,38.622105,
2813.337,52.720131,
2810.427,41.132571,
2807.516,40.141251,
2804.605,35.079327,
2801.695,33.046047,
2798.784,23.466385,
2795.874,20.579472,
2792.963,29.232128,
2790.052,51.870067,
2787.142,35.533078,
2784.231,37.843966,
2781.321,35.120677,
2778.410,22.215105,
2775.500,32.89465,
2772.589,33.452215,
2769.678,39.267485,
2766.768,40.875,
2763.857,37.453034,
2760.947,35.409673,
2758.036,39.180722,
2755.126,39.304487,
2752.215,43.256897,
2749.304,52.364205,
2746.394,39.721765,
2743.483,46.174986,
2740.573,35.56742,
2737.662,30.311393,
2734.751,38.831102,
2731.841,34.711991,
2728.930,33.446996,
2726.020,45.548611,
2723.109,37.576252,
2720.199,57.268891,
2717.288,36.875,
2714.377,46.454022,
2711.467,44.531039,
2708.556,29.311211,
2705.646,35.480654,
2702.735,44.539947,
2699.825,47.765929,
2696.914,47.208174,
2694.003,59.288004,
2691.093,59.94601,
2688.182,42.76537,
2685.272,53.998757,
2682.361,40.722161,
2679.450,42.953162,
2676.540,44.915648,
2673.629,43.888469,
2670.719,40.444318,
2667.808,55.194102,
2664.898,57.654182,
2661.987,55.341578,
2659.076,51.002156,
2656.166,46.714772,
2653.255,56.505951,
2650.345,52.875,
2647.434,41.932732,
2644.524,54.994864,
2641.613,49.103788,
2638.702,56.811876,
2635.792,51.344588,
2632.881,52.380826,
2629.971,69.217351,
2627.060,47.374064,
2624.149,58.090621,
2621.239,58.117589,
2618.328,31.680357,
2615.418,51.202274,
2612.507,56.357204,
2609.597,53.334082,
2606.686,56.26456,
2603.775,53.07341,
2600.865,47.875,
2597.954,56.497883,
2595.044,67.553476,
2592.133,58.148817,
2589.223,58.332899,
2586.312,62.679034,
2583.401,48.794681,
2580.491,51.942271,
2577.580,45.868399,
2574.670,48.793431,
2571.759,63.021407,
2568.848,56.582165,
2565.938,51.874859,
2563.027,66.850025,
2560.117,49.071239,
2557.206,51.915589,
2554.296,70.188501,
2551.385,68.627018,
2548.474,82.8382,
2545.564,71.413144,
2542.653,81.717283,
2539.743,68.492065,
2536.832,51.323595,
2533.922,67.701538,
2531.011,64.299372,
2528.100,68.415022,
2525.190,73.848768,
2522.279,85.374264,
2519.369,53.667526,
2516.458,51.986898,
2513.548,60.156716,
2510.637,85.120931,
2507.726,84.81551,
2504.816,67.99901,
2501.905,63.498171,
2498.995,66.00966,
2496.084,79.275669,
2493.173,63.901158,
2490.263,74.234345,
2487.352,67.1254,
2484.442,78.286118,
2481.531,76.603876,
2478.621,51.35837,
2475.710,92.80599,
2472.799,76.722613,
2469.889,64.57031,
2466.978,81.369784,
2464.068,77.171273,
2461.157,82.757552,
2458.247,74.727951,
2455.336,77.853476,
2452.425,68.176875,
2449.515,71.978955,
2446.604,77.759808,
2443.694,77.363496,
2440.783,76.636261,
2437.872,70.057325,
2434.962,72.510948,
2432.051,71.239297,
2429.141,76.875,
2426.230,87.157897,
2423.320,79.074718,
2420.409,86.336626,
2417.498,84.858153,
2414.588,74.160235,
2411.677,64.879033,
2408.767,91.369095,
2405.856,95.503542,
2402.946,88.184206,
2400.035,88.168432,
2397.124,83.324195,
2394.214,90.767795,
2391.303,92.444107,
2388.393,83.142433,
2385.482,64.668113,
2382.571,59.697659,
2379.661,59.409964,
2376.750,66.345354,
2373.840,76.090629,
2370.929,100.60426,
2368.019,91.453199,
2365.108,100.19961,
2362.197,90.165324,
2359.287,94.438235,
2356.376,104.86443,
2353.466,97.48117,
2350.555,92.319872,
2347.645,89.243209,
2344.734,95.603122,
2341.823,90.974499,
2338.913,108.67796,
2336.002,100.92039,
2333.092,93.725911,
2330.181,91.701052,
2327.270,91.150027,
2324.360,99.33727,
2321.449,95.875,
2318.539,99.449931,
2315.628,99.387789,
2312.718,102.2913,
2309.807,104.44621,
2306.896,122.34761,
2303.986,104.9139,
2301.075,101.42817,
2298.165,116.84638,
2295.254,92.478205,
