,PL21C3~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.875,
3011.256,-1.2249678,
3008.346,47.470836,
3005.435,26.973059,
3002.525,43.25755,
2999.614,54.550982,
2996.704,52.992012,
2993.793,44.858872,
2990.882,50.911293,
2987.972,59.059415,
2985.061,52.331905,
2982.151,59.244327,
2979.240,54.189626,
2976.329,67.379095,
2973.419,68.386618,
2970.508,71.291634,
2967.598,57.981626,
2964.687,64.199048,
2961.777,63.253095,
2958.866,89.136878,
2955.955,76.160394,
2953.045,87.923647,
2950.134,82.369907,
2947.224,79.83672,
2944.313,99.181267,
2941.403,99.208485,
2938.492,98.986791,
2935.581,106.05505,
2932.671,101.88465,
2929.760,100.65962,
2926.850,103.96823,
2923.939,109.68575,
2921.028,110.20738,
2918.118,115.88318,
2915.207,98.181926,
2912.297,111.06153,
2909.386,113.53376,
2906.476,97.776711,
2903.565,120.33463,
2900.654,116.23118,
2897.744,111.3513,
2894.833,123.76427,
2891.923,128.28851,
2889.012,117.48916,
2886.102,145.87636,
2883.191,126.13916,
2880.280,226.7901,
2877.370,253.72975,
2874.459,250.03035,
2871.549,151.16389,
2868.638,127.5353,
2865.727,120.90965,
2862.817,100.75335,
2859.906,113.35292,
2856.996,121.09783,
2854.085,132.40652,
2851.175,118.40817,
2848.264,114.11533,
2845.353,110.23284,
2842.443,113.52779,
2839.532,101.03551,
2836.622,105.42839,
2833.711,108.17681,
2830.801,116.31912,
2827.890,118.70539,
2824.979,115.68092,
2822.069,121.96579,
2819.158,113.44576,
2816.248,118.38947,
2813.337,131.87744,
2810.427,121.64704,
2807.516,105.97406,
2804.605,124.16827,
2801.695,123.63814,
2798.784,108.79031,
2795.874,114.39411,
2792.963,121.12479,
2790.052,108.12672,
2787.142,116.38823,
2784.231,113.4806,
2781.321,117.125,
2778.410,114.22018,
2775.500,113.18845,
2772.589,122.27943,
2769.678,135.30245,
2766.768,130.38518,
2763.857,126.80901,
2760.947,119.59033,
2758.036,138.69203,
2755.126,131.50534,
2752.215,129.40223,
2749.304,121.76349,
2746.394,126.37302,
2743.483,133.72493,
2740.573,141.02762,
2737.662,125.24186,
2734.751,125.21729,
2731.841,130.15248,
2728.930,126.26899,
2726.020,139.90567,
2723.109,131.486,
2720.199,135.125,
2717.288,135.6688,
2714.377,145.70402,
2711.467,136.37115,
2708.556,124.60374,
2705.646,131.73065,
2702.735,140.64821,
2699.825,154.81042,
2696.914,144.50591,
2694.003,151.25345,
2691.093,157.48239,
2688.182,153.43315,
2685.272,149.73525,
2682.361,129.61299,
2679.450,151.74224,
2676.540,131.32824,
2673.629,137.14296,
2670.719,138.11761,
2667.808,145.97909,
2664.898,161.74854,
2661.987,155.52507,
2659.076,165.9806,
2656.166,154.46271,
2653.255,149.34439,
2650.345,149.28471,
2647.434,146.15387,
2644.524,155.96672,
2641.613,158.92513,
2638.702,149.31437,
2635.792,148.0931,
2632.881,160.63083,
2629.971,147.80274,
2627.060,152.62344,
2624.149,162.82813,
2621.239,162.37945,
2618.328,161.40442,
2615.418,152.09319,
2612.507,169.22776,
2609.597,152.05314,
2606.686,165.9945,
2603.775,175.5615,
2600.865,158.77345,
2597.954,161.50831,
2595.044,169.125,
2592.133,166.06764,
2589.223,168.5829,
2586.312,179.39136,
2583.401,171.96079,
2580.491,174.76924,
2577.580,159.1283,
2574.670,162.50869,
2571.759,180.43835,
2568.848,170.72157,
2565.938,186.36315,
2563.027,179.85681,
2560.117,175.40536,
2557.206,177.54935,
2554.296,176.125,
2551.385,185.32309,
2548.474,207.68076,
2545.564,196.63149,
2542.653,189.20889,
2539.743,189.7051,
2536.832,170.28761,
2533.922,192.07769,
2531.011,194.34956,
2528.100,195.33054,
2525.190,205.47049,
2522.279,205.37463,
2519.369,184.69137,
2516.458,186.57967,
2513.548,192.46144,
2510.637,194.55538,
2507.726,196.1287,
2504.816,181.18701,
2501.905,182.99451,
2498.995,192.84163,
2496.084,203.81838,
2493.173,178.80844,
2490.263,199.01207,
2487.352,205.33367,
2484.442,204.42909,
2481.531,197.49727,
2478.621,193.37615,
2475.710,223.05599,
2472.799,208.45242,
2469.889,193.54883,
2466.978,208.39293,
2464.068,221.74408,
2461.157,207.54751,
2458.247,202.56615,
2455.336,201.10348,
2452.425,206.58255,
2449.515,215.5304,
2446.604,202.00981,
2443.694,203.35774,
2440.783,212.79279,
2437.872,204.52611,
2434.962,211.97293,
2432.051,209.46462,
2429.141,207.58393,
2426.230,217.21232,
2423.320,210.52444,
2420.409,229.20843,
2417.498,226.50984,
2414.588,221.95013,
2411.677,214.20075,
2408.767,239.83662,
2405.856,242.78922,
2402.946,225.63617,
2400.035,216.51937,
2397.124,210.49396,
2394.214,240.369,
2391.303,235.87094,
2388.393,226.125,
2385.482,233.77251,
2382.571,228.6186,
2379.661,217.35781,
2376.750,203.38603,
2373.840,221.89057,
2370.929,234.02753,
2368.019,237.16134,
2365.108,233.91558,
2362.197,232.73595,
2359.287,234.31832,
2356.376,245.10739,
2353.466,251.7466,
2350.555,235.85463,
2347.645,228.41373,
2344.734,245.15728,
2341.823,241.24108,
2338.913,244.63842,
2336.002,241.28282,
2333.092,254.56179,
2330.181,254.125,
2327.270,251.29002,
2324.360,242.81365,
2321.449,258.50935,
2318.539,260.74275,
2315.628,254.26848,
2312.718,256.19108,
2309.807,259.28633,
2306.896,267.81826,
2303.986,250.04062,
2301.075,261.91221,
2298.165,257.34599,
2295.254,242.40506,
2292.344,267.06684,
2289.433,277.3759,
2286.522,266.90616,
2283.612,275.05484,
2280.701,266.33578,
2277.791,280.88455,
2274.880,271.91506,
2271.969,262.44599,
2269.059,277.85526,
2266.148,267.42717,
2263.238,266.42229,
2260.327,279.36628,
2257.417,268.88778,
2254.506,273.38428,
2251.595,278.84138,
2248.685,288.17304,
2245.774,269.59792,
2242.864,284.90304,
2239.953,294.75951,
2237.043,281.16323,
2234.132,281.44182,
2231.221,275.36005,
2228.311,301.17908,
2225.400,299.20944,
2222.490,303.4247,
2219.579,305.36406,
2216.669,299.61785,
2213.758,286.12237,
2210.847,295.85797,
2207.937,310.6771,
2205.026,307.01246,
2202.116,336.68553,
2199.205,313.83724,
2196.294,314.62901,
2193.384,313.2565,
2190.473,304.6872,
2187.563,327.14433,
2184.652,333.83602,
2181.742,348.82951,
2178.831,350.76314,
2175.920,337.80441,
2173.010,333.37557,
2170.099,353.45636,
2167.189,358.29721,
2164.278,378.01646,
2161.368,361.55267,
2158.457,378.43049,
2155.546,394.06349,
2152.636,412.30584,
2149.725,416.62164,
2146.815,437.42425,
2143.904,404.52277,
2140.993,402.61702,
2138.083,420.32558,
2135.172,436.08302,
2132.262,437.9956,
2129.351,433.10429,
2126.441,425.05702,
2123.530,435.1699,
2120.619,434.4463,
2117.709,405.65238,
2114.798,400.13261,
2111.888,372.72572,
2108.977,362.84686,
2106.067,363.09149,
2103.156,357.72582,
2100.245,334.14194,
2097.335,359.43914,
2094.424,344.97085,
2091.514,331.33193,
2088.603,332.88992,
2085.692,339.84996,
2082.782,353.91604,
2079.871,344.87413,
2076.961,351.41464,
2074.050,346.39773,
2071.140,333.73407,
2068.229,343.21354,
2065.318,351.48351,
2062.408,351.26117,
2059.497,361.36312,
2056.587,355.68344,
2053.676,334.24252,
2050.766,344.97029,
2047.855,346.72629,
2044.944,332.32693,
2042.034,333.52393,
2039.123,352.42466,
2036.213,349.125,
2033.302,357.82052,
2030.391,352.24399,
2027.481,374.13693,
2024.570,362.21129,
2021.660,325.19452,
2018.749,360.7071,
2015.839,350.52854,
2012.928,350.59647,
2010.017,337.90458,
2007.107,340.011,
2004.196,344.88687,
2001.286,339.95891,
1998.375,349.3878,
1995.465,317.51429,
1992.554,320.39548,
1989.643,329.84849,
1986.733,336.61009,
1983.822,300.72987,
1980.912,340.59923,
1978.001,299.37918,
1975.090,308.50058,
1972.180,317.64229,
1969.269,312.03016,
1966.359,301.63843,
1963.448,322.96253,
1960.538,316.70632,
1957.627,287.26739,
1954.716,290.92391,
1951.806,295.52886,
1948.895,281.82949,
1945.985,277.97141,
1943.074,311.78571,
1940.164,281.54811,
1937.253,284.98585,
1934.342,275.53517,
1931.432,280.71175,
1928.521,281.73467,
1925.611,289.09889,
1922.700,272.75622,
1919.790,260.2349,
1916.879,247.03174,
1913.968,255.11393,
1911.058,273.9268,
1908.147,275.50898,
1905.237,293.00728,
1902.326,250.49833,
1899.415,250.56401,
1896.505,241.04071,
1893.594,244.39938,
1890.684,230.79827,
1887.773,238.45215,
1884.863,251.76281,
1881.952,263.98238,
1879.041,275.93341,
1876.131,269.16683,
1873.220,244.46119,
1870.310,266.18774,
1867.399,257.30093,
1864.489,255.73556,
1861.578,248.17979,
1858.667,263.43042,
1855.757,236.92214,
1852.846,252.94035,
1849.936,275.7076,
1847.025,250.00333,
1844.114,279.79327,
1841.204,291.26136,
1838.293,271.64579,
1835.383,256.939,
1832.472,274.10239,
1829.562,292.23542,
1826.651,282.13323,
1823.740,286.31659,
1820.830,285.49504,
1817.919,286.56813,
1815.009,255.44434,
1812.098,293.21159,
1809.188,314.0707,
1806.277,270.14307,
1803.366,287.942,
1800.456,277.45474,
1797.545,285.06107,
1794.635,303.09298,
1791.724,297.44537,
1788.813,306.52809,
1785.903,318.93893,
1782.992,340.46483,
1780.082,363.88208,
1777.171,312.77702,
1774.261,274.91534,
1771.350,309.6655,
1768.439,328.76479,
1765.529,335.8509,
1762.618,325.67562,
1759.708,310.84226,
1756.797,309.95833,
1753.887,340.43404,
1750.976,352.58704,
1748.065,342.75173,
1745.155,337.48629,
1742.244,320.57158,
1739.334,307.33206,
1736.423,341.15859,
1733.512,347.39327,
1730.602,343.37698,
1727.691,367.69014,
1724.781,378.27131,
1721.870,354.17724,
1718.960,386.76991,
1716.049,388.4132,
1713.138,369.17009,
1710.228,368.73589,
1707.317,370.00957,
1704.407,394.38172,
1701.496,391.65571,
1698.586,399.44086,
1695.675,420.71059,
1692.764,393.72335,
1689.854,382.55807,
1686.943,422.70852,
1684.033,407.54722,
1681.122,422.85312,
1678.211,415.20114,
1675.301,451.014,
1672.390,438.08612,
1669.480,425.4539,
1666.569,466.35353,
1663.659,483.53703,
1660.748,449.06981,
1657.837,497.628,
1654.927,519.02383,
1652.016,473.99977,
1649.106,508.63538,
1646.195,490.92323,
1643.285,564.78581,
1640.374,592.72779,
1637.463,575.22389,
1634.553,634.87378,
1631.642,618.9502,
1628.732,694.23166,
1625.821,712.13939,
1622.911,734.00103,
1620.000,759.79743,
1617.089,795.40858,
1614.179,826.25077,
1611.268,854.08402,
1608.358,943.77045,
1605.447,1010.3541,
1602.536,1010.3975,
1599.626,1082.7997,
1596.715,1044.6525,
1593.805,1075.8983,
1590.894,1075.7216,
1587.984,1062.9997,
1585.073,998.16456,
1582.162,1013.0065,
1579.252,973.11844,
1576.341,939.89416,
1573.431,930.9923,
1570.520,943.11941,
1567.610,932.96792,
1564.699,888.24836,
1561.788,871.01234,
1558.878,854.42145,
1555.967,820.69841,
1553.057,797.55613,
1550.146,779.21958,
1547.235,791.1961,
1544.325,798.33862,
1541.414,797.44546,
1538.504,805.23542,
1535.593,795.97831,
1532.683,763.74923,
1529.772,767.13711,
1526.861,797.71103,
1523.951,814.99735,
1521.040,843.61615,
1518.130,838.60309,
1515.219,856.80487,
1512.309,841.30511,
1509.398,783.91773,
1506.487,791.22752,
1503.577,781.06406,
1500.666,800.92312,
1497.756,819.46353,
1494.845,774.00439,
1491.934,746.97067,
1489.024,699.80852,
1486.113,747.26742,
1483.203,716.48646,
1480.292,700.24584,
1477.382,725.60544,
1474.471,647.71331,
1471.560,609.06301,
1468.650,609.59119,
1465.739,623.01333,
1462.829,651.20724,
1459.918,667.22998,
1457.008,665.07881,
1454.097,675.06543,
1451.186,685.96639,
1448.276,644.70395,
1445.365,573.516,
1442.455,550.57836,
1439.544,543.2921,
1436.633,520.85291,
1433.723,513.36519,
1430.812,534.13017,
1427.902,509.93679,
1424.991,544.05624,
1422.081,486.40647,
1419.170,519.14366,
1416.259,502.44323,
1413.349,493.34879,
1410.438,486.52676,
1407.528,514.38086,
1404.617,561.06854,
1401.707,517.47226,
1398.796,436.52366,
1395.885,435.34175,
1392.975,440.6654,
1390.064,411.61283,
1387.154,464.3766,
1384.243,423.26184,
1381.332,396.78498,
1378.422,409.11059,
1375.511,389.43819,
1372.601,403.87013,
1369.690,411.12556,
1366.780,404.20465,
1363.869,475.49918,
1360.958,487.27981,
1358.048,490.99124,
1355.137,549.59067,
1352.227,580.94191,
1349.316,591.34303,
1346.406,632.52844,
1343.495,626.38457,
1340.584,627.76718,
1337.674,676.73464,
1334.763,716.28941,
1331.853,746.88804,
1328.942,712.54644,
1326.032,770.92779,
1323.121,753.26353,
1320.210,787.40761,
1317.300,820.15895,
1314.389,875.9454,
1311.479,902.90184,
1308.568,904.70514,
1305.657,934.70563,
1302.747,911.96154,
1299.836,1000.0906,
1296.926,1016.1333,
1294.015,1059.3415,
1291.105,1076.9748,
1288.194,1137.4332,
1285.283,1117.7569,
1282.373,1124.3749,
1279.462,1152.5953,
1276.552,1168.9124,
1273.641,1174.023,
1270.731,1178.3011,
1267.820,1181.5405,
1264.909,1182.3997,
1261.999,1175.9599,
1259.088,1144.0357,
1256.178,1160.967,
1253.267,1154.9187,
1250.356,1121.6486,
1247.446,1117.6861,
1244.535,1092.9153,
1241.625,1056.088,
1238.714,1063.8249,
1235.804,1082.9843,
1232.893,1049.615,
1229.982,1093.7451,
1227.072,1053.0061,
1224.161,1071.1376,
1221.251,1047.5782,
1218.340,1018.6906,
1215.430,1016.383,
1212.519,1004.1091,
1209.608,978.64437,
1206.698,983.31671,
1203.787,1006.2305,
1200.877,988.63542,
1197.966,1045.2824,
1195.055,1010.5821,
1192.145,1046.2002,
1189.234,1117.2187,
1186.324,1176.4914,
1183.413,1206.7494,
1180.503,1220.1838,
1177.592,1228.034,
1174.681,1218.0839,
1171.771,1196.8777,
1168.860,1186.1607,
1165.950,1181.8998,
1163.039,1186.0138,
1160.129,1194.0236,
1157.218,1199.5672,
1154.307,1214.8529,
1151.397,1237.6036,
1148.486,1241.9694,
1145.576,1273.4675,
1142.665,1235.2872,
1139.754,1245.9567,
1136.844,1261.7305,
1133.933,1249.5298,
1131.023,1215.4086,
1128.112,1194.6959,
1125.202,1192.9125,
1122.291,1172.2638,
1119.380,1208.1423,
1116.470,1209.9074,
1113.559,1168.3696,
1110.649,1146.3023,
1107.738,1140.5892,
1104.828,1137.2123,
1101.917,1130.758,
1099.006,1127.4033,
1096.096,1136.7274,
1093.185,1113.8993,
1090.275,1138.8309,
1087.364,1135.5193,
1084.453,1176.1221,
1081.543,1207.181,
1078.632,1206.8259,
1075.722,1215.9966,
1072.811,1207.588,
1069.901,1157.8122,
1066.990,1192.1166,
1064.079,1186.8342,
1061.169,1175.1543,
1058.258,1171.5485,
1055.348,1170.9492,
1052.437,1167.633,
1049.527,1165.2593,
1046.616,1168.7346,
1043.705,1181.4572,
1040.795,1171.7164,
1037.884,1156.5389,
1034.974,1161.7874,
1032.063,1181.9327,
1029.153,1178.7482,
1026.242,1183.9379,
1023.331,1164.9596,
1020.421,1200.8598,
1017.510,1236.0538,
1014.600,1251.3938,
1011.689,1249.7042,
1008.778,1242.7377,
1005.868,1252.4416,
1002.957,1287.7161,
1000.047,1291.669,
997.136,1298.7602,
994.226,1307.6942,
991.315,1307.8626,
988.404,1293.099,
985.494,1266.703,
982.583,1247.8588,
979.673,1248.0516,
976.762,1238.5572,
973.852,1239.0812,
970.941,1250.6069,
968.030,1248.1133,
965.120,1214.1608,
962.209,1222.6862,
959.299,1246.0807,
956.388,1259.6047,
953.477,1265.1801,
950.567,1265.2493,
947.656,1262.9184,
944.746,1307.0953,
941.835,1309.125,
938.925,1312.4153,
936.014,1316.6541,
933.103,1320.8905,
930.193,1326.7218,
927.282,1335.6585,
924.372,1308.5991,
921.461,1318.3802,
918.551,1280.7169,
915.640,1245.4506,
912.729,1237.5149,
909.819,1232.569,
906.908,1228.3569,
903.998,1245.623,
901.087,1238.0314,
898.176,1242.1005,
895.266,1258.886,
892.355,1267.3973,
889.445,1258.1654,
886.534,1287.3455,
883.624,1303.8903,
880.713,1315.7596,
877.802,1315.1772,
874.892,1299.9188,
871.981,1287.6787,
869.071,1184.0875,
866.160,1133.0069,
863.250,1193.6102,
860.339,1272.5063,
857.428,1289.9771,
854.518,1284.7639,
851.607,1272.2829,
848.697,1272.8763,
845.786,1243.506,
842.875,1231.2042,
839.965,1268.8485,
837.054,1304.4506,
834.144,1333.457,
831.233,1384.4551,
828.323,1389.3204,
825.412,1372.7348,
822.501,1375.6782,
819.591,1373.199,
816.680,1353.8942,
813.770,1361.6551,
810.859,1338.4406,
807.949,1307.1884,
805.038,1321.333,
802.127,1306.5167,
799.217,1303.6342,
796.306,1298.5844,
793.396,1316.9268,
790.485,1345.0182,
787.574,1322.0004,
784.664,1318.72,
781.753,1374.4877,
778.843,1401.6349,
775.932,1388.7795,
773.022,1364.1681,
770.111,1383.79,
767.200,1375.2279,
764.290,1350.1656,
761.379,1343.184,
758.469,1347.708,
755.558,1313.5838,
752.648,1362.46,
749.737,1376.6945,
746.826,1355.8139,
743.916,1344.4824,
741.005,1386.601,
738.095,1408.5217,
735.184,1398.2539,
732.274,1359.4676,
729.363,1317.0207,
726.452,1293.8559,
723.542,1297.9029,
720.631,1337.1165,
717.721,1358.2905,
714.810,1369.6932,
711.899,1380.6993,
708.989,1396.0308,
706.078,1399.3302,
703.168,1403.7683,
700.257,1392.9227,
697.347,1374.7771,
694.436,1377.2996,
691.525,1383.73,
688.615,1383.2383,
685.704,1384.7152,
682.794,1382.9761,
679.883,1367.8911,
676.973,1407.1583,
674.062,1409.3823,
671.151,1417.0833,
668.241,1428.266,
665.330,1418.4821,
662.420,1404.9037,
659.509,1392.601,
656.598,1413.09,
653.688,1457.0168,
650.777,1489.612,
647.867,1474.4817,
644.956,1482.2697,
642.046,1454.7134,
639.135,1412.2037,
636.224,1435.1369,
633.314,1437.5188,
630.403,1436.3514,
627.493,1433.5887,
624.582,1423.8856,
621.672,1391.4138,
618.761,1397.7244,
615.850,1444.204,
612.940,1483.1988,
610.029,1487.2837,
607.119,1476.2289,
604.208,1467.3149,
601.297,1474.5939,
598.387,1464.7741,
595.476,1415.462,
592.566,1429.6293,
589.655,1459.9843,
586.745,1478.1628,
583.834,1485.6383,
580.923,1497.9118,
578.013,1462.5987,
575.102,1452.5514,
572.192,1466.4164,
569.281,1496.0618,
566.371,1517.9753,
563.460,1532.8234,
560.549,1534.2268,
557.639,1541.4047,
554.728,1570.499,
551.818,1544.7486,
548.907,1514.7485,
545.996,1496.7923,
543.086,1495.8092,
540.175,1508.2675,
537.265,1506.9522,
534.354,1496.5929,
531.444,1495.4847,
528.533,1516.7387,
525.622,1511.3071,
522.712,1499.2034,
519.801,1476.086,
516.891,1460.6108,
513.980,1512.4887,
511.070,1503.0381,
508.159,1513.8398,
505.248,1527.8688,
502.338,1514.4246,
499.427,1490.4979,
496.517,1527.1149,
493.606,1554.0681,
490.695,1539.4504,
487.785,1520.2056,
484.874,1493.8609,
481.964,1474.0653,
479.053,1472.0309,
476.143,1505.0533,
473.232,1466.119,
470.321,1465.6954,
467.411,1490.2293,
464.500,1513.2329,
461.590,1478.0089,
458.679,1501.1427,
455.769,1518.9881,
452.858,1502.3064,
449.947,1532.8636,
447.037,1530.6304,
444.126,1532.1492,
441.216,1540.4209,
438.305,1519.0868,
435.395,1526.6152,
432.484,1532.125,
429.573,1519.1673,
426.663,1463.6771,
423.752,1443.7818,
420.842,1397.85,
417.931,1327.6389,
415.020,1244.9779,
412.110,1333.5766,
409.199,1475.6823,
406.289,1589.8629,
403.378,1591.8996,
400.468,1525.3721,
397.557,1513.3797,
394.646,1540.1712,
391.736,1588.3765,
388.825,1564.9953,
385.915,1526.7256,
383.004,1509.4046,
380.094,1533.3975,
377.183,1499.5361,
374.272,1509.1223,
371.362,1552.7918,
368.451,1617.4837,
365.541,1590.4644,
362.630,1589.1336,
359.719,1584.95,
356.809,1562.2188,
353.898,1547.2429,
350.988,1564.282,
348.077,1578.9305,
345.167,1569.5357,
342.256,1538.1588,
339.345,1548.2566,
336.435,1556.242,
333.524,1533.031,
330.614,1530.0504,
327.703,1564.0366,
324.793,1600.4763,
321.882,1610.1845,
318.971,1634.7181,
316.061,1648.0081,
313.150,1651.0464,
310.240,1644.3674,
307.329,1700.5813,
304.418,1736.8036,
301.508,1755.4881,
298.597,1764.3731,
295.687,1748.8712,
292.776,1729.0416,
289.866,1737.9696,
286.955,1860.5981,
284.044,1868.005,
281.134,1895.0806,
278.223,1947.0293,
275.313,1919.0288,
272.402,1969.4726,
269.492,2001.8868,
266.581,1981.0245,
263.670,1937.6489,
260.760,1988.3334,
257.849,2055.8768,
254.939,2083.7644,
252.028,2104.3927,
249.117,2099.7907,
246.207,2087.2085,
243.296,2095.2609,
240.386,2059.5575,
237.475,2046.6562,
234.565,2054.9394,
231.654,2041.0621,
228.743,2078.4008,
225.833,2081.2941,
222.922,2018.7661,
220.012,1989.6238,
217.101,1987.9765,
214.191,1985.4155,
211.280,1949.7699,
208.369,1947.125,
205.459,1921.573,
202.548,1891.022,
199.638,1936.7379,
196.727,1932.872,
193.816,1933.0587,
190.906,1952.4173,
187.995,1846.7098,
185.085,1823.8378,
182.174,1838.7332,
179.264,1837.2877,
176.353,1821.7463,
173.442,1823.2766,
170.532,1831.1282,
167.621,1745.3321,
164.711,1711.0881,
161.800,1664.7518,
158.890,1558.2322,
155.979,1460.0042,
153.068,1346.0902,
150.158,1210.7103,
147.247,1031.9402,
144.337,859.96449,
141.426,681.73807,
138.516,490.32811,
135.605,347.9524,
132.694,241.81007,
129.784,162.46677,
126.873,92.384041,
123.963,61.052896,
121.052,43.309083,
118.141,31.172749,
115.231,21.177015,
112.320,15.854092,
109.410,13.443224,
106.499,9.8824476,
103.589,7.4442366,
100.678,8.5695953,
97.767,14.968034,
94.857,9.5810876,
91.946,9.5436652,
89.036,12.334715,
86.125,7.3702777,
83.215,6.125,
80.304,4.6884039,
77.393,0.43938427,
