,PL2AF3~1,
Wavenumbers [1/cm],Intensity,
3014.167,-2.25,
3011.256,1.0999678,
3008.346,32.418082,
3005.435,6.407248,
3002.525,22.75,
2999.614,28.888973,
2996.704,37.112886,
2993.793,35.626152,
2990.882,34.185118,
2987.972,32.714685,
2985.061,29.740153,
2982.151,26.823943,
2979.240,36.865008,
2976.329,51.009556,
2973.419,42.642427,
2970.508,43.916634,
2967.598,34.224297,
2964.687,35.689537,
2961.777,30.630158,
2958.866,44.751485,
2955.955,35.920363,
2953.045,39.418922,
2950.134,52.717924,
2947.224,28.632533,
2944.313,54.255698,
2941.403,50.488138,
2938.492,57.313682,
2935.581,54.454293,
2932.671,43.634158,
2929.760,59.403838,
2926.850,60.436466,
2923.939,50.427552,
2921.028,64.144172,
2918.118,56.930101,
2915.207,48.332162,
2912.297,63.656911,
2909.386,64.779188,
2906.476,61.432604,
2903.565,65.299639,
2900.654,48.420368,
2897.744,60.661995,
2894.833,54.98709,
2891.923,51.884598,
2889.012,55.703758,
2886.102,74.374321,
2883.191,40.783985,
2880.280,94.75,
2877.370,76.697731,
2874.459,-3.118119,
2871.549,-8.0917696,
2868.638,18.47783,
2865.727,49.407694,
2862.817,64.779398,
2859.906,50.826913,
2856.996,67.781701,
2854.085,82.756342,
2851.175,62.439771,
2848.264,67.098163,
2845.353,56.008804,
2842.443,67.75,
2839.532,69.302229,
2836.622,69.053385,
2833.711,68.120483,
2830.801,64.850735,
2827.890,62.337449,
2824.979,77.614035,
2822.069,70.693139,
2819.158,71.450814,
2816.248,71.037633,
2813.337,81.481717,
2810.427,74.743103,
2807.516,64.023597,
2804.605,71.793274,
2801.695,75.223675,
2798.784,68.045692,
2795.874,64.739432,
2792.963,65.749785,
2790.052,73.747212,
2787.142,77.72377,
2784.231,74.686351,
2781.321,61.755764,
2778.410,74.260157,
2775.500,78.408618,
2772.589,70.826456,
2769.678,70.712424,
2766.768,86.054864,
2763.857,75.434007,
2760.947,77.775217,
2758.036,80.902861,
2755.126,82.897433,
2752.215,76.600072,
2749.304,80.005398,
2746.394,73.866911,
2743.483,86.699979,
2740.573,87.201312,
2737.662,71.399414,
2734.751,70.356637,
2731.841,88.561359,
2728.930,68.588841,
2726.020,91.530671,
2723.109,80.451252,
2720.199,90.378185,
2717.288,83.925184,
2714.377,89.233281,
2711.467,94.815928,
2708.556,79.271263,
2705.646,78.059855,
2702.735,91.917526,
2699.825,86.391793,
2696.914,97.560023,
2694.003,96.00691,
2691.093,95.964202,
2688.182,89.167777,
2685.272,101.11273,
2682.361,87.444322,
2679.450,82.704713,
2676.540,79.993889,
2673.629,90.75449,
2670.719,82.326706,
2667.808,95.874559,
2664.898,104.75,
2661.987,98.516545,
2659.076,95.495688,
2656.166,94.442685,
2653.255,89.525513,
2650.345,99.670146,
2647.434,81.379038,
2644.524,97.977814,
2641.613,107.03598,
2638.702,110.76578,
2635.792,101.87463,
2632.881,100.7084,
2629.971,109.96484,
