,PL36EA~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.5,
3011.256,-1.6000215,
3008.346,12.086459,
3005.435,-1.0759705,
3002.525,6.6700224,
2999.614,5.6389726,
2996.704,19.995874,
2993.793,10.366936,
2990.882,10.851175,
2987.972,16.348651,
2985.061,-5.5196942,
2982.151,8.022692,
2979.240,8.4496173,
2976.329,-3.7759364,
2973.419,16.607573,
2970.508,20.266673,
2967.598,11.069879,
2964.687,6.3206519,
2961.777,1.4400788,
2958.866,13.173101,
2955.955,13.606183,
2953.045,6.9027062,
2950.134,14.978109,
2947.224,15.756219,
2944.313,20.005698,
2941.403,23.190692,
2938.492,21.638209,
2935.581,20.908586,
2932.671,19.221039,
2929.760,17.015373,
2926.850,25.663909,
2923.939,10.18226,
2921.028,16.370728,
2918.118,17.419394,
2915.207,6.0252362,
2912.297,16.43653,
2909.386,18.295622,
2906.476,6.8258553,
2903.565,10.774819,
2900.654,9.675921,
2897.744,13.38685,
2894.833,-5.3967239,
2891.923,-13.823698,
2889.012,-12.83526,
2886.102,-24.621603,
2883.191,-38.498112,
2880.280,-87.064618,
2877.370,-259.1566,
2874.459,-379.8204,
2871.549,-242.98588,
2868.638,-84.217609,
2865.727,-56.815388,
2862.817,-33.64173,
2859.906,-22.195167,
2856.996,5.4909426,
2854.085,21.584059,
2851.175,4.0452203,
2848.264,8.1963267,
2845.353,5.8666395,
2842.443,20.503482,
2839.532,5.082165,
2836.622,2.5618481,
2833.711,12.181324,
2830.801,8.3058801,
2827.890,17.958039,
2824.979,21.635965,
2822.069,24.511372,
2819.158,23.599729,
2816.248,19.00579,
2813.337,31.664646,
2810.427,9.022039,
2807.516,10.183437,
2804.605,30.725965,
2801.695,23.618397,
2798.784,8.9435384,
2795.874,10.209756,
2792.963,11.285638,
2790.052,13.499142,
2787.142,16.737001,
2784.231,15.759339,
2781.321,16.808537,
2778.410,8.5748693,
2775.500,15.329309,
2772.589,6.4625313,
2769.678,23.820808,
2766.768,29.746606,
2763.857,15.657996,
2760.947,15.493696,
2758.036,17.041417,
2755.126,18.309829,
2752.215,20.159124,
2749.304,24.244602,
2746.394,5.3688964,
2743.483,25.699991,
2740.573,20.402624,
2737.662,22.383138,
2734.751,15.150536,
2731.841,15.175825,
2728.930,13.377146,
2726.020,15.061343,
2723.109,15.067084,
2720.199,18.068761,
2717.288,20.850368,
2714.377,31.466561,
2711.467,25.975817,
2708.556,11.670105,
2705.646,20.570436,
2702.735,26.494842,
2699.825,23.945464,
2696.914,28.119093,
2694.003,25.885365,
2691.093,25.821303,
2688.182,14.862962,
2685.272,22.942391,
2682.361,14.923581,
2679.450,25.240692,
2676.540,19.378056,
2673.629,14.49551,
2670.719,11.361364,
2667.808,22.770466,
2664.898,26.980545,
2661.987,28.900066,
2659.076,30.627156,
2656.166,25.192685,
2653.255,17.869049,
2650.345,37.180583,
2647.434,11.786083,
2644.524,17.392049,
2641.613,18.214647,
2638.702,22.531562,
2635.792,20.5,
2632.881,21.654742,
2629.971,25.989954,
2627.060,16.831254,
2624.149,32.581251,
2621.239,31.5,
2618.328,19.5,
2615.418,20.163637,
2612.507,23.361653,
2609.597,8.152694,
2606.686,15.811258,
2603.775,27.099205,
2600.865,22.970985,
2597.954,34.595828,
2595.044,29.892378,
2592.133,19.557356,
2589.223,29.524218,
2586.312,37.645738,
2583.401,30.80656,
2580.491,24.596162,
2577.580,15.486797,
2574.670,8.3302117,
2571.759,27.0154,
2568.848,24.035827,
2565.938,33.214306,
2563.027,23.547771,
2560.117,13.406546,
2557.206,17.212177,
2554.296,23.044623,
2551.385,31.376009,
2548.474,47.981788,
2545.564,43.848211,
2542.653,39.510063,
2539.743,39.129388,
2536.832,26.234578,
2533.922,42.168846,
2531.011,27.274511,
2528.100,30.771741,
2525.190,37.102047,
2522.279,42.608938,
2519.369,24.801869,
2516.458,14.936971,
2513.548,25.10883,
2510.637,44.299275,
2507.726,48.068752,
2504.816,18.248586,
2501.905,13.557927,
2498.995,26.813817,
2496.084,42.594047,
2493.173,26.526158,
2490.263,25.690966,
2487.352,42.7488,
2484.442,27.49357,
2481.531,36.712724,
2478.621,39.732225,
2475.710,49.377316,
2472.799,30.787026,
2469.889,29.771482,
2466.978,31.726859,
2464.068,18.965572,
2461.157,29.039962,
2458.247,34.220573,
2455.336,35.137968,
2452.425,21.344323,
2449.515,37.990647,
2446.604,35.154423,
2443.694,23.5,
2440.783,36.454956,
2437.872,41.5,
2434.962,34.670517,
