,PL375C~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.5,
3011.256,-0.15003221,
3008.346,32.067115,
3005.435,13.888698,
3002.525,37.462528,
2999.614,35.361027,
2996.704,33.951544,
2993.793,39.995392,
2990.882,37.851175,
2987.972,41.45964,
2985.061,34.830051,
2982.151,40.903365,
2979.240,47.312712,
2976.329,52.721333,
2973.419,55.546471,
2970.508,52.366614,
2967.598,53.591968,
2964.687,42.186141,
2961.777,39.534087,
2958.866,56.170131,
2955.955,54.535394,
2953.045,58.766216,
2950.134,50.648678,
2947.224,61.471531,
2944.313,64.994302,
2941.403,76.583485,
2938.492,70.510845,
2935.581,68.45707,
2932.671,69.620173,
2929.760,71.569232,
2926.850,72.5,
2923.939,65.420565,
2921.028,86.617879,
2918.118,79.319899,
2915.207,73.791081,
2912.297,84.440762,
2909.386,74.536485,
2906.476,76.60114,
2903.565,77.517044,
2900.654,78.40493,
2897.744,101.37428,
2894.833,85.726911,
2891.923,67.769196,
2889.012,88.494221,
2886.102,102.06352,
2883.191,81.516048,
2880.280,164.86365,
2877.370,148.48272,
2874.459,89.09736,
2871.549,72.460575,
2868.638,80.273192,
2865.727,76.33849,
2862.817,80.529398,
2859.906,63.830471,
2856.996,91.527172,
2854.085,116.30888,
2851.175,75.307266,
2848.264,79.55416,
2845.353,76.823505,
2842.443,86.309052,
2839.532,75.395541,
2836.622,71.988929,
2833.711,92.025903,
2830.801,81.70882,
2827.890,82.583921,
2824.979,86.141996,
2822.069,72.704698,
2819.158,91.640163,
2816.248,92.752895,
2813.337,104.13903,
2810.427,90.632234,
2807.516,88.341719,
2804.605,84.360584,
2801.695,91.539466,
2798.784,79.239231,
2795.874,76.349594,
2792.963,90.571597,
2790.052,96.499571,
2787.142,80.960655,
2784.231,95.919253,
2781.321,81.934258,
2778.410,75.159895,
2775.500,90.51965,
2772.589,87.807342,
2769.678,86.677454,
2766.768,93.934955,
2763.857,90.5,
2760.947,91.506304,
2758.036,90.805722,
2755.126,94.450856,
2752.215,107.0092,
2749.304,90.947869,
2746.394,102.5,
2743.483,101.4,
2740.573,90.741108,
2737.662,81.510352,
2734.751,91.29122,
2731.841,91.716117,
2728.930,91.991416,
2726.020,96.933449,
2723.109,97.365832,
2720.199,94.28438,
2717.288,88.062039,
2714.377,104.39968,
2711.467,101.33626,
2708.556,89.372421,
2705.646,81.429564,
2702.735,107.50516,
2699.825,104.18542,
2696.914,105.21456,
2694.003,111.913,
2691.093,117.48195,
2688.182,123.95556,
2685.272,109.30512,
2682.361,101.80568,
2679.450,107.96092,
2676.540,103.84551,
2673.629,111.87224,
2670.719,102.85028,
2667.808,106.54864,
2664.898,113.83755,
2661.987,110.86648,
2659.076,103.5,
2656.166,117.54766,
2653.255,111.86905,
2650.345,113.93194,
2647.434,99.357388,
2644.524,112.36093,
2641.613,119.18573,
2638.702,131.31063,
2635.792,112.62463,
2632.881,117.23211,
2629.971,111.52009,
2627.060,113.33094,
2624.149,130.20313,
2621.239,122.99111,
2618.328,106.00865,
2615.418,115.17727,
2612.507,112.9822,
2609.597,122.67365,
2606.686,121.05824,
2603.775,121.73809,
2600.865,134.61269,
2597.954,112.26663,
2595.044,127.16962,
2592.133,127.11147,
2589.223,121.25894,
2586.312,132.32915,
2583.401,127.01093,
2580.491,135.29323,
2577.580,122.47359,
2574.670,107.88369,
2571.759,122.51027,
2568.848,128.20717,
2565.938,138.64292,
2563.027,128.30456,
2560.117,126.40655,
2557.206,119.36347,
2554.296,130.47025,
2551.385,127.69002,
2548.474,147.38922,
2545.564,139.00649,
2542.653,145.43624,
2539.743,143.191,
2536.832,132.78598,
2533.922,126.73654,
2531.011,145.62465,
2528.100,139.97382,
2525.190,144.47377,
2522.279,149.89033,
2519.369,139.91495,
2516.458,145.5,
2513.548,151.97264,
2510.637,136.72965,
2507.726,156.43681,
2504.816,146.68602,
2501.905,141.55793,
2498.995,155.08197,
2496.084,153.09933,
2493.173,144.15728,
2490.263,146.05031,
2487.352,143.79373,
2484.442,165.24093,
2481.531,142.92023,
2478.621,146.10665,
2475.710,147.56134,
2472.799,150.56732,
2469.889,139.86289,
2466.978,152.43807,
2464.068,152.62697,
2461.157,158.5,
2458.247,161.9118,
2455.336,162.54305,
2452.425,146.23583,
2449.515,160.72662,
2446.604,165.62215,
2443.694,160.82566,
2440.783,158.45158,
2437.872,154.31768,
2434.962,154.75345,
2432.051,165.11103,
2429.141,162.63527,
2426.230,175.65251,
2423.320,174.72905,
2420.409,156.01279,
2417.498,163.28652,
2414.588,156.69016,
2411.677,152.53586,
2408.767,160.83563,
2405.856,178.74764,
2402.946,177.9227,
2400.035,168.71126,
2397.124,150.84759,
2394.214,169.60999,
2391.303,175.24594,
2388.393,169.23257,
2385.482,158.0728,
2382.571,177.3867,
2379.661,154.26748,
2376.750,162.6551,
2373.840,170.71563,
2370.929,161.59747,
2368.019,191.15087,
2365.108,184.31414,
2362.197,185.48631,
2359.287,180.31504,
2356.376,191.47711,
