,PL3A49~1,
Wavenumbers [1/cm],Intensity,
3014.167,-2.25,
3011.256,0.75,
3008.346,57.389066,
3005.435,50.636929,
3002.525,61.75,
2999.614,66.216263,
2996.704,74.89124,
2993.793,72.13076,
2990.882,69.444647,
2987.972,83.684415,
2985.061,77.400255,
2982.151,77.823943,
2979.240,76.814626,
2976.329,99.771841,
2973.419,85.918676,
2970.508,109.98333,
2967.598,88.371285,
2964.687,98.362093,
2961.777,97.561984,
2958.866,116.08729,
2955.955,111.50885,
2953.045,119.11689,
2950.134,122.56925,
2947.224,107.12009,
2944.313,124.69373,
2941.403,128.14279,
2938.492,133.73915,
2935.581,125.22853,
2932.671,138.50965,
2929.760,135.68077,
2926.850,125.27256,
2923.939,133.46492,
2921.028,152.29119,
2918.118,151.76889,
2915.207,145.10446,
2912.297,144.75846,
2909.386,137.37773,
2906.476,137.4635,
2903.565,141.02482,
2900.654,126.4679,
2897.744,148.61171,
2894.833,142.286,
2891.923,147.1282,
2889.012,134.32804,
2886.102,145.10541,
2883.191,125.76416,
2880.280,182.92703,
2877.370,133.73272,
2874.459,90.165049,
2871.549,88.407965,
2868.638,115.66132,
2865.727,143.85004,
2862.817,141.32218,
2859.906,142.80128,
2856.996,156.75906,
2854.085,166.1933,
2851.175,153.12954,
2848.264,151.5295,
2845.353,136.98724,
2842.443,150.94443,
2839.532,151.09331,
2836.622,148.11523,
2833.711,157.32771,
2830.801,164.14559,
2827.890,163.20804,
2824.979,157.89803,
2822.069,158.81823,
2819.158,158.66913,
2816.248,155.47395,
2813.337,175.68782,
2810.427,162.26514,
2807.516,157.75735,
2804.605,160.56731,
2801.695,164.31579,
2798.784,167.52823,
2795.874,166.16951,
2792.963,156.74957,
2790.052,175.74378,
2787.142,175.01323,
2784.231,171.39598,
2781.321,157.00144,
2778.410,159.50508,
2775.500,163.11103,
2772.589,168.75,
2769.678,168.28584,
2766.768,176.67817,
2763.857,162.48796,
2760.947,171.24685,
2758.036,180.06853,
2755.126,188.17949,
2752.215,189.47277,
2749.304,189.2608,
2746.394,173.83059,
2743.483,183.40004,
2740.573,175.75,
2737.662,177.97337,
2734.751,179.30824,
2731.841,180.64194,
2728.930,166.30086,
2726.020,179.76563,
2723.109,174.90492,
2720.199,191.75,
2717.288,191.2062,
2714.377,196.84574,
2711.467,199.38956,
2708.556,184.01611,
2705.646,184.66551,
2702.735,196.91237,
2699.825,185.9027,
2696.914,202.22685,
2694.003,206.26382,
2691.093,203.05326,
2688.182,196.27741,
2685.272,188.86522,
2682.361,197.41485,
2679.450,194.9969,
2676.540,185.97356,
2673.629,187.79041,
2670.719,193.51619,
2667.808,196.28499,
2664.898,215.20428,
2661.987,222.24983,
2659.076,217.49569,
2656.166,201.44269,
2653.255,204.70749,
2650.345,204.85345,
2647.434,212.40704,
2644.524,208.36391,
2641.613,215.97879,
2638.702,202.03406,
2635.792,223.99926,
2632.881,219.93469,
2629.971,211.00502,
