,PL495A~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.375,
3011.256,1.3750537,
3008.346,7.6153279,
3005.435,3.8582186,
3002.525,12.454978,
2999.614,20.050982,
2996.704,14.403354,
2993.793,16.615784,
2990.882,15.151763,
2987.972,32.57455,
2985.061,19.521548,
2982.151,15.625,
2979.240,23.358844,
2976.329,28.890016,
2973.419,25.255809,
2970.508,34.108277,
2967.598,12.147088,
2964.687,11.699048,
2961.777,8.0351182,
2958.866,35.960808,
2955.955,26.554211,
2953.045,30.808446,
2950.134,30.412169,
2947.224,25.052032,
2944.313,36.029558,
2941.403,20.3271,
2938.492,39.933954,
2935.581,39.356311,
2932.671,45.826732,
2929.760,46.605757,
2926.850,27.304324,
2923.939,40.78387,
2921.028,46.936788,
2918.118,35.165303,
2915.207,35.27054,
2912.297,38.603843,
2909.386,48.019162,
2906.476,39.981749,
2903.565,33.092405,
2900.654,37.401544,
2897.744,44.700433,
2894.833,41.965367,
2891.923,24.759598,
2889.012,35.249278,
2886.102,38.833107,
2883.191,5.6570966,
2880.280,57.108243,
2877.370,-12.467876,
2874.459,-86.381205,
2871.549,-58.795885,
2868.638,-3.5069962,
2865.727,8.9403878,
2862.817,22.19718,
2859.906,38.371443,
2856.996,39.575184,
2854.085,72.631342,
2851.175,40.790679,
2848.264,36.267166,
2845.353,19.142609,
2842.443,43.423607,
2839.532,38.416083,
2836.622,38.956382,
2833.711,38.565357,
2830.801,45.725735,
2827.890,46.418724,
2824.979,55.983004,
2822.069,47.625,
2819.158,49.145217,
2816.248,39.671318,
2813.337,56.26403,
2810.427,52.316454,
2807.516,36.056878,
2804.605,51.603363,
2801.695,43.098675,
2798.784,32.216385,
2795.874,35.748985,
2792.963,36.267443,
2790.052,49.620067,
2787.142,52.348886,
2784.231,58.013219,
2781.321,41.505044,
2778.410,48.400392,
2775.500,39.625,
2772.589,54.701456,
2769.678,49.017485,
2766.768,34.391968,
2763.857,39.520955,
2760.947,49.625,
2758.036,43.695028,
2755.126,54.244658,
2752.215,50.497701,
2749.304,48.625,
2746.394,48.493896,
