,PL4F8F~1,
Wavenumbers [1/cm],Intensity,
3014.167,-3.25,
3011.256,1.5499571,
3008.346,18.134525,
3005.435,12.13516,
3002.525,22.675056,
2999.614,27.839627,
2996.704,20.713924,
2993.793,15.112328,
2990.882,25.314882,
2987.972,36.67937,
2985.061,22.75,
2982.151,26.272692,
2979.240,28.167305,
2976.329,38.274571,
2973.419,40.534853,
2970.508,30.133337,
2967.598,20.371285,
2964.687,37.525815,
2961.777,21.006189,
2958.866,49.42607,
2955.955,44.338486,
2953.045,39.767907,
2950.134,41.473016,
2947.224,21.831815,
2944.313,49.761395,
2941.403,50.916969,
2938.492,45.5901,
2935.581,37.045707,
2932.671,42.350866,
2929.760,43.542303,
2926.850,47.38421,
2923.939,33.147175,
2921.028,56.620728,
2918.118,54.489293,
2915.207,41.098006,
2912.297,59.648449,
2909.386,44.961675,
2906.476,43.30057,
2903.565,53.540371,
2900.654,42.350623,
2897.744,31.875722,
2894.833,40.51291,
2891.923,23.342893,
2889.012,34.663296,
2886.102,37.293252,
2883.191,19.761328,
2880.280,40.788276,
2877.370,-40.738126,
2874.459,-188.33145,
2871.549,-81.23615,
2868.638,16.164388,
2865.727,11.542285,
2862.817,30.221917,
2859.906,32.117517,
2856.996,42.252264,
2854.085,65.516849,
2851.175,49.771129,
2848.264,41.529498,
2845.353,47.75,
2842.443,48.149304,
2839.532,49.526115,
2836.622,41.598307,
2833.711,48.112647,
2830.801,48.455145,
2827.890,52.272744,
2824.979,62.391996,
2822.069,55.818233,
2819.158,59.469674,
2816.248,60.979736,
2813.337,67.481717,
2810.427,56.919415,
2807.516,55.491095,
2804.605,62.610584,
2801.695,61.868397,
2798.784,58.306462,
2795.874,50.019107,
2792.963,65.75,
2790.052,67.749571,
2787.142,59.434308,
2784.231,52.718966,
2781.321,63.498559,
2778.410,56.015235,
2775.500,56.111032,
2772.589,64.865443,
2769.678,69.927454,
2766.768,69.068439,
2763.857,59.48603,
2760.947,53.756304,
2758.036,57.291417,
2755.126,65.271369,
2752.215,69.622701,
2749.304,72.983807,
2746.394,66.34875,
2743.483,76.450014,
2740.573,74.637172,
2737.662,60.079883,
2734.751,57.191756,
2731.841,67.453301,
2728.930,60.076288,
2726.020,64.423611,
2723.109,62.657334,
2720.199,70.809424,
2717.288,68.100368,
2714.377,69.13754,
2711.467,80.389557,
2708.556,68.664948,
2705.646,73.510581,
2702.735,73.420106,
2699.825,75.771814,
2696.914,82.845465,
2694.003,79.52073,
2691.093,77.160359,
2688.182,74.623334,
2685.272,89.997514,
2682.361,74.085153,
2679.450,81.457816,
2676.540,63.095509,
2673.629,74.108775,
2670.719,65.961647,
2667.808,73.458186,
2664.898,82.009727,
2661.987,81.616645,
2659.076,72.021558,
2656.166,78.152628,
2653.255,73.637756,
2650.345,75.965971,
2647.434,78.293299,
2644.524,89.730792,
2641.613,80.378535,
2638.702,90.576408,
2635.792,77.842726,
2632.881,86.327371,
2629.971,72.790184,
2627.060,80.580942,
2624.149,96.993754,
2621.239,85.483695,
2618.328,81.707613,
2615.418,80.75,
2612.507,73.923938,
2609.597,67.933633,
2606.686,81.671699,
2603.775,91.349205,
2600.865,87.220985,
2597.954,81.80411,
2595.044,96.142378,
2592.133,84.584413,
2589.223,85.75,
2586.312,87.262557,
2583.401,85.709841,
2580.491,92.365352,
2577.580,98.720294,
2574.670,79.919788,
2571.759,91.512834,
2568.848,89.578661,
2565.938,109.60722,
2563.027,95.456839,
2560.117,77.675208,
2557.206,89.735237,
2554.296,100.77975,
2551.385,99.179934,
2548.474,110.45409,
2545.564,91.636355,
2542.653,115.35068,
2539.743,96.305452,
2536.832,90.994859,
2533.922,111.35577,
2531.011,91.974558,
2528.100,103.08449,
2525.190,104.70287,
2522.279,114.14033,
2519.369,107.78737,
2516.458,103.40369,
2513.548,92.795398,
2510.637,112.1189,
2507.726,114.93958,
2504.816,103.68686,
2501.905,98.938415,
2498.995,108.98888,
2496.084,112.44338,
2493.173,102.90761,
2490.263,114.09805,
2487.352,114.66653,
2484.442,109.90204,
2481.531,107.48931,
2478.621,114.05333,
2475.710,122.75,
