,PL5993~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.125,
3011.256,2.6750107,
3008.346,39.884377,
3005.435,17.665639,
3002.525,33.672539,
2999.614,36.600327,
2996.704,42.213658,
2993.793,37.620392,
2990.882,33.216645,
2987.972,55.08464,
2985.061,43.134847,
2982.151,48.693076,
2979.240,48.290391,
2976.329,65.644111,
2973.419,67.510111,
2970.508,52.67497,
2967.598,44.029418,
2964.687,51.67663,
2961.777,44.91115,
2958.866,60.793646,
2955.955,59.642697,
2953.045,49.527706,
2950.134,53.964618,
2947.224,53.83672,
2944.313,77.67557,
2941.403,65.8271,
2938.492,79.539627,
2935.581,74.533586,
2932.671,84.004827,
2929.760,80.986535,
2926.850,70.595301,
2923.939,73.162363,
2921.028,87.519172,
2918.118,77.845404,
2915.207,79.359155,
2912.297,79.120769,
2909.386,87.935216,
2906.476,74.389068,
2903.565,70.479068,
2900.654,92.912649,
2897.744,87.23815,
2894.833,92.413729,
2891.923,73.339694,
2889.012,84.240609,
2886.102,97.607451,
2883.191,85.125944,
2880.280,154.14893,
2877.370,198.73537,
2874.459,131.00553,
2871.549,94.953451,
2868.638,67.943554,
2865.727,77.440388,
2862.817,74.667782,
2859.906,74.290235,
2856.996,91.125,
2854.085,121.05363,
2851.175,89.862954,
2848.264,88.482834,
2845.353,79.49164,
2842.443,91.732659,
2839.532,84.348885,
2836.622,82.338541,
2833.711,85.443676,
2830.801,99.211035,
2827.890,79.712449,
2824.979,89.211075,
2822.069,84.318326,
2819.158,99.604783,
2816.248,91.148159,
2813.337,101.21769,
2810.427,95.558883,
2807.516,85.340939,
2804.605,101.28605,
2801.695,93.559209,
2798.784,93.125,
2795.874,91.845325,
2792.963,96.41096,
2790.052,95.126501,
2787.142,94.454039,
2784.231,96.319109,
2781.321,96.496397,
2778.410,90.444791,
2775.500,100.48603,
2772.589,90.817658,
2769.678,100.76662,
2766.768,99.631787,
2763.857,91.704963,
2760.947,100.125,
2758.036,113.67922,
2755.126,100.03312,
2752.215,98.570546,
2749.304,100.76349,
2746.394,111.46779,
2743.483,99.624977,
2740.573,99.68914,
2737.662,99.571745,
2734.751,92.751339,
2731.841,102.17995,
2728.930,97.942704,
2726.020,104.45139,
2723.109,105.33108,
2720.199,113.38137,
2717.288,107.00092,
2714.377,113.51254,
2711.467,116.17445,
2708.556,103.08247,
2705.646,107.19544,
2702.735,112.29768,
2699.825,111.2777,
2696.914,125.17321,
2694.003,124.73964,
2691.093,121.2321,
2688.182,110.19685,
2685.272,122.56739,
2682.361,112.57806,
2679.450,110.66408,
2676.540,122.00306,
2673.629,112.14296,
2670.719,116.32926,
2667.808,120.27091,
2664.898,123.64445,
2661.987,119.45822,
2659.076,115.99784,
2656.166,124.23757,
2653.255,118.68112,
2650.345,135.15767,
2647.434,114.81091,
2644.524,121.73891,
2641.613,128.66806,
2638.702,125.23547,
2635.792,124.37426,
2632.881,123.77392,
2629.971,125.23242,
2627.060,119.95594,
2624.149,136.36875,
2621.239,133.87648,
2618.328,124.61635,
2615.418,115.77955,
2612.507,124.22776,
2609.597,133.39047,
2606.686,129.95632,
2603.775,127.5258,
2600.865,140.82811,
2597.954,138.02917,
2595.044,133.81233,
2592.133,127.90206,
2589.223,138.71554,
2586.312,150.125,
2583.401,143.84031,
2580.491,154.27399,
2577.580,135.1316,
2574.670,137.46458,
2571.759,143.03424,
2568.848,137.95366,
2565.938,157.07745,
2563.027,139.80686,
2560.117,129.03155,
2557.206,158.15083,
2554.296,147.4385,
2551.385,145.00101,
2548.474,170.0514,
2545.564,162.6948,
2542.653,153.0713,
2539.743,166.24823,
2536.832,134.22593,
2533.922,162.10923,
2531.011,162.77486,
2528.100,160.72777,
2525.190,159.86844,
2522.279,163.28084,
2519.369,147.63434,
2516.458,142.22982,
2513.548,169.91542,
2510.637,168.18648,
2507.726,166.31458,
2504.816,158.43729,
2501.905,161.18293,
2498.995,153.0805,
2496.084,168.125,
2493.173,158.17732,
2490.263,170.86628,
2487.352,172.8746,
2484.442,167.125,
2481.531,170.81113,
2478.621,169.51835,
2475.710,182.04832,
2472.799,169.90529,
2469.889,170.39648,
2466.978,165.85707,
2464.068,164.9557,
2461.157,172.58504,
2458.247,170.38976,
2455.336,180.08195,
2452.425,169.64385,
2449.515,183.37032,
2446.604,176.3117,
2443.694,162.45066,
2440.783,185.1768,
2437.872,180.34379,
2434.962,184.02362,
2432.051,185.92761,
2429.141,182.73691,
2426.230,178.125,
2423.320,191.26745,
2420.409,197.15726,
2417.498,189.89468,
2414.588,184.8627,
2411.677,167.9856,
2408.767,194.16043,
2405.856,202.18691,
2402.946,179.90427,
2400.035,182.71186,
2397.124,190.92178,
2394.214,198.31261,
2391.303,188.41226,
2388.393,174.95519,
2385.482,176.77251,
2382.571,186.78313,
2379.661,183.42745,
2376.750,178.49196,
2373.840,176.85003,
2370.929,208.75679,
2368.019,214.07761,
2365.108,198.70615,
2362.197,190.37427,
2359.287,215.85648,
2356.376,207.15494,
2353.466,219.23298,
2350.555,191.52001,
2347.645,196.86142,
2344.734,215.09739,
2341.823,215.19133,
2338.913,228.50706,
2336.002,204.52933,
2333.092,214.76842,
2330.181,211.03553,
2327.270,206.125,
2324.360,195.2924,
2321.449,217.60118,
2318.539,210.67852,
2315.628,215.21733,
2312.718,222.30782,
2309.807,222.60319,
2306.896,223.07804,
2303.986,205.56007,
2301.075,215.99731,
2298.165,226.91355,
2295.254,214.4266,
2292.344,235.01708,
2289.433,234.03999,
2286.522,220.85261,
2283.612,237.40562,
2280.701,248.04875,
2277.791,236.04485,
2274.880,229.41709,
2271.969,217.54064,
2269.059,242.88252,
2266.148,228.40213,
2263.238,218.125,
2260.327,229.91808,
2257.417,228.78555,
2254.506,244.64356,
2251.595,238.43058,
2248.685,241.27493,
2245.774,237.312,
2242.864,245.86565,
2239.953,243.49049,
2237.043,248.125,
2234.132,241.51724,
2231.221,250.33696,
2228.311,250.90593,
2225.400,255.78726,
2222.490,246.72441,
2219.579,252.99644,
2216.669,254.57015,
2213.758,259.60212,
2210.847,259.34918,
2207.937,273.55495,
2205.026,266.56873,
2202.116,276.68553,
2199.205,262.08665,
2196.294,268.44703,
2193.384,271.49302,
2190.473,242.66373,
2187.563,295.04283,
2184.652,277.97439,
2181.742,275.64754,
2178.831,276.08222,
2175.920,277.62773,
2173.010,300.50198,
2170.099,295.39335,
2167.189,300.29721,
2164.278,325.0054,
2161.368,327.2682,
2158.457,312.49971,
2155.546,320.62407,
2152.636,310.73677,
2149.725,341.7357,
2146.815,351.09163,
2143.904,349.41869,
2140.993,338.08262,
2138.083,348.57182,
2135.172,363.95706,
2132.262,366.60035,
2129.351,360.65606,
2126.441,355.05702,
2123.530,372.19234,
2120.619,371.24456,
2117.709,326.54287,
2114.798,317.85188,
2111.888,317.27473,
2108.977,322.48924,
2106.067,315.2996,
2103.156,320.16368,
2100.245,308.12688,
2097.335,310.16165,
2094.424,298.57736,
2091.514,292.70572,
2088.603,301.47987,
2085.692,295.89822,
2082.782,307.72734,
2079.871,319.51823,
2076.961,295.8686,
2074.050,309.27045,
2071.140,312.76863,
2068.229,314.76433,
2065.318,309.97675,
2062.408,305.17039,
2059.497,315.9524,
2056.587,326.54358,
2053.676,320.59207,
2050.766,324.66312,
2047.855,309.63762,
2044.944,324.59776,
2042.034,309.07299,
2039.123,315.86574,
2036.213,315.60719,
2033.302,323.51604,
2030.391,313.00704,
2027.481,308.79564,
2024.570,306.22516,
2021.660,306.06587,
2018.749,344.56739,
2015.839,305.93209,
2012.928,315.26259,
2010.017,328.47571,
2007.107,317.91377,
2004.196,314.85122,
2001.286,341.0437,
1998.375,331.94487,
1995.465,305.03304,
1992.554,315.90133,
1989.643,295.91997,
1986.733,300.73377,
1983.822,285.29413,
1980.912,327.23279,
1978.001,283.57398,
1975.090,292.32042,
1972.180,294.125,
1969.269,295.82328,
1966.359,297.77366,
1963.448,309.08273,
1960.538,300.95235,
1957.627,297.23336,
1954.716,301.98137,
1951.806,305.23079,
1948.895,284.93679,
1945.985,269.25245,
1943.074,290.04018,
1940.164,280.70189,
1937.253,265.64266,
1934.342,247.61217,
1931.432,277.87579,
1928.521,302.42379,
1925.611,287.98879,
1922.700,279.75069,
1919.790,269.65112,
1916.879,273.7065,
1913.968,274.125,
1911.058,296.39827,
1908.147,288.64911,
1905.237,298.17642,
1902.326,275.92647,
1899.415,273.42619,
1896.505,234.73343,
1893.594,252.75007,
1890.684,263.7656,
1887.773,250.81471,
1884.863,271.44846,
1881.952,300.86483,
1879.041,292.2387,
1876.131,288.75376,
1873.220,265.58951,
1870.310,289.97248,
1867.399,299.99705,
1864.489,244.73422,
1861.578,308.8448,
1858.667,304.21783,
1855.757,287.94362,
1852.846,268.13013,
1849.936,268.10198,
1847.025,268.18095,
1844.114,285.5509,
1841.204,294.83129,
1838.293,298.62417,
1835.383,289.83451,
1832.472,293.98587,
1829.562,312.98464,
1826.651,310.91967,
1823.740,293.29356,
1820.830,306.64485,
1817.919,306.42436,
1815.009,288.85656,
