,PL631F~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.5,
3011.256,2.1999356,
3008.346,80.119722,
3005.435,70.464668,
3002.525,83.122483,
2999.614,94.293554,
2996.704,114.32268,
2993.793,100.77534,
2990.882,93.362532,
2987.972,134.30829,
2985.061,104.48031,
2982.151,118.90337,
2979.240,119.14732,
2976.329,126.73771,
2973.419,132.89974,
2970.508,139.80002,
2967.598,129.35663,
2964.687,138.91712,
2961.777,143.44008,
2958.866,147.16271,
2955.955,154.0177,
2953.045,157.94966,
2950.134,156.10642,
2947.224,162.75622,
2944.313,169.70228,
2941.403,168.36907,
2938.492,169.22358,
2935.581,181.95152,
2932.671,168.1052,
2929.760,193.96538,
2926.850,184.02256,
2923.939,202.26169,
2921.028,204.97656,
2918.118,190.76071,
2915.207,195.32277,
2912.297,196.49154,
2909.386,201.71897,
2906.476,206.27529,
2903.565,201.22518,
2900.654,203.54754,
2897.744,202.52514,
2894.833,199.13927,
2891.923,197.9872,
2889.012,190.99133,
2886.102,208.62704,
2883.191,191.50944,
2880.280,202.28469,
2877.370,141.49438,
2874.459,46.562838,
2871.549,74.842567,
2868.638,164.59686,
2865.727,164.31157,
2862.817,184.01601,
2859.906,181.18376,
2856.996,190.97962,
2854.085,218.3866,
2851.175,204.54818,
2848.264,202.36267,
2845.353,199.71567,
2842.443,207.90279,
2839.532,205.5,
2836.622,202.32031,
2833.711,213.55181,
2830.801,202.80956,
2827.890,221.12588,
2824.979,210.09211,
2822.069,219.39765,
2819.158,213.92049,
2816.248,217.25868,
2813.337,210.9122,
2810.427,207.1033,
2807.516,216.5,
2804.605,231.23076,
2801.695,220.76316,
2798.784,211.38708,
2795.874,202.77439,
2792.963,199.35681,
2790.052,219.49399,
2787.142,213.22389,
2784.231,213.21121,
2781.321,207.87716,
2778.410,217.64974,
2775.500,232.69034,
2772.589,216.53747,
2769.678,217.74566,
2766.768,228.38348,
2763.857,233.28998,
2760.947,225.42435,
2758.036,240.60844,
2755.126,237.64103,
2752.215,250.47737,
2749.304,235.69247,
2746.394,228.13507,
2743.483,232.69999,
2740.573,246.03324,
2737.662,215.9571,
2734.751,225.61649,
2731.841,248.79854,
2728.930,243.13144,
2726.020,234.83681,
2723.109,241.04633,
2720.199,251.61885,
2717.288,242.93796,
2714.377,245.75836,
2711.467,268.97582,
2708.556,251.02126,
2705.646,259.10565,
2702.735,260.48452,
2699.825,250.88002,
2696.914,276.73866,
2694.003,272.913,
2691.093,278.03551,
2688.182,256.46222,
2685.272,271.65932,
2682.361,267.19432,
2679.450,255.37655,
2676.540,250.86583,
2673.629,259.20857,
2670.719,248.20795,
2667.808,257.25682,
2664.898,275.53891,
2661.987,266.03309,
2659.076,265.22844,
2656.166,265.79006,
2653.255,268.75681,
2650.345,258.25136,
2647.434,252.52887,
2644.524,265.81656,
2641.613,274.30013,
2638.702,283.38953,
2635.792,287.90578,
2632.881,290.34526,
2629.971,286.88253,
2627.060,274.83125,
2624.149,291.04063,
2621.239,292.75445,
2618.328,281.5,
2615.418,278.51363,
2612.507,286.15212,
2609.597,272.70359,
2606.686,286.08434,
2603.775,288.5,
2600.865,298.4386,
2597.954,283.74577,
2595.044,307.17848,
2592.133,295.9394,
2589.223,294.9579,
2586.312,311.8417,
2583.401,308.11312,
2580.491,305.1298,
2577.580,316.44554,
2574.670,287.9278,
2571.759,306.10616,
2568.848,308.20717,
2565.938,314.30954,
2563.027,307.74321,
2560.117,294.41588,
2557.206,310.48524,
2554.296,318.98513,
2551.385,316.938,
2548.474,331.57435,
2545.564,327.81656,
2542.653,323.19463,
2539.743,331.9199,
2536.832,306.7841,
2533.922,330.72077,
2531.011,343.12512,
2528.100,334.16897,
2525.190,350.05492,
2522.279,348.99926,
2519.369,317.29253,
2516.458,306.71672,
2513.548,336.0995,
2510.637,336.31555,
2507.726,330.68958,
2504.816,335.18884,
2501.905,357.29695,
2498.995,330.39578,
2496.084,348.48609,
2493.173,342.57847,
2490.263,333.69097,
2487.352,351.91573,
2484.442,342.20234,
2481.531,349.39364,
2478.621,353.6422,
2475.710,349.66102,
2472.799,364.58078,
2469.889,352.31719,
2466.978,352.00522,
2464.068,341.8386,
2461.157,366.76754,
2458.247,364.19123,
2455.336,369.84051,
2452.425,370.39151,
2449.515,364.72662,
2446.604,374.91013,
2443.694,365.87168,
2440.783,372.88401,
2437.872,361.08344,
2434.962,373.87328,
2432.051,371.37663,
2429.141,388.59985,
2426.230,367.32535,
2423.320,387.01396,
