,PL6D1D~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.625,
3011.256,0.074989263,
3008.346,26.696951,
3005.435,21.741609,
3002.525,33.172539,
2999.614,36.714627,
2996.704,38.447683,
2993.793,44.24424,
2990.882,43.541058,
2987.972,51.508966,
2985.061,35.275255,
2982.151,39.221635,
2979.240,41.373086,
2976.329,49.370905,
2973.419,59.702022,
2970.508,56.241663,
2967.598,37.338253,
2964.687,39.743885,
2961.777,58.590913,
2958.866,57.619061,
2955.955,59.554211,
2953.045,53.54223,
2950.134,60.050661,
2947.224,48.052032,
2944.313,60.377849,
2941.403,61.101277,
2938.492,72.061318,
2935.581,70.694949,
2932.671,58.749504,
2929.760,74.140373,
2926.850,78.997931,
2923.939,65.227825,
2921.028,74.119304,
2918.118,83.364293,
2915.207,69.973006,
2912.297,72.59115,
2909.386,72.632297,
2906.476,58.695247,
2903.565,63.157595,
2900.654,60.68364,
2897.744,65.51185,
2894.833,55.800273,
2891.923,47.326897,
2889.012,59.203036,
2886.102,59.711504,
2883.191,37.635384,
2880.280,36.577139,
2877.370,-83.990989,
2874.459,-156.25553,
2871.549,-104.36115,
2868.638,2.5857713,
2865.727,26.759591,
2862.817,46.825526,
2859.906,37.562316,
2856.996,59.593299,
2854.085,78.948551,
2851.175,68.811807,
2848.264,72.100824,
2845.353,48.099475,
2842.443,73.618037,
2839.532,64.878821,
2836.622,73.804689,
2833.711,71.51355,
2830.801,76.82647,
2827.890,73.147744,
2824.979,87.118969,
2822.069,85.636372,
2819.158,85.104783,
2816.248,73.659738,
2813.337,86.738414,
2810.427,90.492766,
2807.516,88.574688,
2804.605,93.173071,
2801.695,84.190791,
2798.784,79.994615,
2795.874,76.049797,
2792.963,75.767765,
2790.052,93.62071,
2787.142,86.440924,
2784.231,82.174713,
2781.321,74.750721,
2778.410,79.114843,
2775.500,91.04948,
2772.589,83.509557,
2769.678,91.44407,
2766.768,78.898755,
2763.857,93.782996,
2760.947,94.121848,
2758.036,93.625,
2755.126,87.575856,
2752.215,89.497701,
2749.304,88.497301,
2746.394,86.22375,
2743.483,93.575025,
2740.573,100.15824,
2737.662,89.614648,
2734.751,82.066756,
2731.841,84.300825,
2728.930,92.277575,
2726.020,93.186343,
2723.109,89.645751,
2720.199,96.115663,
2717.288,87.362224,
2714.377,95.945662,
2711.467,102.28104,
2708.556,88.625,
2705.646,94.540508,
2702.735,104.97037,
2699.825,106.84314,
2696.914,103.91092,
2694.003,111.65264,
2691.093,113.71406,
2688.182,103.80648,
2685.272,109.35046,
2682.361,95.807315,
2679.450,102.57971,
2676.540,100.7063,
2673.629,97.324592,
2670.719,100.61022,
2667.808,99.208627,
2664.898,108.85846,
2661.987,115.29145,
2659.076,99.642246,
2656.166,104.02763,
2653.255,109.13861,
2650.345,113.21665,
2647.434,108.56813,
2644.524,113.2197,
2641.613,107.36793,
2638.702,116.49875,
2635.792,117.21922,
2632.881,115.35711,
2629.971,119.24247,
2627.060,112.45844,
2624.149,110.70625,
2621.239,108.87352,
2618.328,118.2859,
2615.418,107.97045,
2612.507,115.65657,
2609.597,104.55314,
2606.686,122.50852,
2603.775,111.54564,
2600.865,109.80246,
2597.954,124.06242,
2595.044,139.07937,
2592.133,105.51029,
2589.223,120.34817,
2586.312,139.57477,
2583.401,127.82937,
2580.491,127.07692,
2577.580,136.59199,
2574.670,118.28542,
2571.759,131.98373,
2568.848,118.22157,
2565.938,132.72023,
2563.027,127.40458,
2560.117,116.625,
2557.206,124.76153,
2554.296,128.90875,
2551.385,123.69103,
2548.474,152.25512,
2545.564,135.51135,
2542.653,150.93037,
2539.743,140.22974,
2536.832,128.60444,
2533.922,135.75115,
2531.011,145.82481,
2528.100,141.49605,
2525.190,141.32131,
2522.279,146.01533,
2519.369,130.00258,
2516.458,128.29639,
2513.548,131.19776,
2510.637,157.13314,
2507.726,150.24954,
2504.816,143.18644,
2501.905,136.625,
2498.995,125.29713,
2496.084,151.93162,
2493.173,141.57202,
2490.263,147.78209,
2487.352,155.58327,
