,PL6F2C~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.75,
3011.256,0.25,
3008.346,24.523885,
3005.435,17.32774,
3002.525,19.664989,
2999.614,19.814954,
2996.704,17.621139,
2993.793,16.621544,
2990.882,23.204177,
2987.972,26.139011,
2985.061,11.786956,
2982.151,15.085289,
2979.240,24.365008,
2976.329,27.239079,
2973.419,30.172978,
2970.508,35.483327,
2967.598,24.393374,
2964.687,30.59307,
2961.777,17.942142,
2958.866,32.255939,
2955.955,31.838486,
2953.045,36.001691,
2950.134,44.005093,
2947.224,23.161002,
2944.313,40.317662,
2941.403,45.8458,
2938.492,47.973582,
2935.581,46.615656,
2932.671,46.052599,
2929.760,50.161524,
2926.850,46.988721,
2923.939,42.848117,
2921.028,55.414768,
2918.118,60.647981,
2915.207,42.484155,
2912.297,48.220381,
2909.386,64.651459,
2906.476,55.575855,
2903.565,53.459629,
2900.654,57.30864,
2897.744,51.338005,
2894.833,58.662363,
2891.923,47.086495,
2889.012,34.197979,
2886.102,67.645947,
2883.191,41.274544,
2880.280,122.99641,
2877.370,114.6919,
2874.459,92.872178,
2871.549,36.618673,
2868.638,55.113915,
2865.727,41.646143,
2862.817,41.149737,
2859.906,53.529195,
2856.996,63.28623,
2854.085,72.855074,
2851.175,62.747037,
2848.264,59.451162,
2845.353,54.46567,
2842.443,62.253482,
2839.532,51.488853,
2836.622,51.884767,
2833.711,54.242164,
2830.801,52.45882,
2827.890,59.353138,
2824.979,52.324013,
2822.069,60.352349,
2819.158,67.729783,
2816.248,59.273159,
2813.337,77.868303,
2810.427,59.25,
2807.516,61.775156,
2804.605,60.024035,
2801.695,63.171069,
2798.784,57.211,
2795.874,60.680081,
2792.963,59.892872,
2790.052,61.249786,
2787.142,67.289578,
2784.231,56.961207,
2781.321,56.501441,
2778.410,57.345183,
2775.500,51.718276,
2772.589,62.211013,
2769.678,60.284101,
2766.768,57.510181,
2763.857,63.25,
2760.947,61.740544,
2758.036,61.097139,
2755.126,63.489315,
2752.215,65.036423,
2749.304,71.866903,
2746.394,64.038309,
2743.483,64.349995,
2740.573,81.219096,
2737.662,66.239648,
2734.751,64.832441,
2731.841,64.790291,
2728.930,54.393991,
2726.020,70.255208,
2723.109,76.023166,
2720.199,73.015706,
2717.288,71.582125,
2714.377,84.604101,
2711.467,73.463186,
2708.556,63.47358,
2705.646,70.771162,
2702.735,88.90463,
2699.825,73.337257,
2696.914,83.012291,
2694.003,86.350815,
2691.093,72.660359,
2688.182,69.35963,
2685.272,79.134782,
2682.361,72.949783,
2679.450,83.25,
2676.540,72.371944,
2673.629,73.936122,
2670.719,72.957953,
2667.808,76.298636,
2664.898,85.21109,
2661.987,84.516711,
2659.076,74.903025,
2656.166,76.362571,
2653.255,70.324829,
2650.345,78.442379,
2647.434,92.620962,
2644.524,79.497022,
2641.613,97.90745,
2638.702,84.54984,
2635.792,81.844215,
2632.881,88.065311,
2629.971,89.14258,
2627.060,79.414067,
2624.149,96.115631,
2621.239,89.747036,
2618.328,63.334774,
2615.418,68.236367,
2612.507,82.317164,
2609.597,82.709082,
2606.686,85.782139,
2603.775,94.329364,
2600.865,95.30803,
2597.954,77.399938,
2595.044,93.972759,
2592.133,79.415587,
2589.223,80.924739,
2586.312,91.104262,
2583.401,90.312027,
2580.491,98.76919,
2577.580,87.254951,
2574.670,94.677796,
2571.759,99.093326,
2568.848,103.95171,
2565.938,95.297545,
2563.027,95.736424,
2560.117,83.063092,
2557.206,98.810884,
2554.296,98.220252,
2551.385,97.630044,
2548.474,118.73179,
2545.564,100.07304,
2542.653,105.34395,
2539.743,108.42252,
2536.832,88.208876,
2533.922,104.40769,
2531.011,118.09967,
2528.100,117.58795,
2525.190,109.83115,
2522.279,102.48449,
2519.369,106.64626,
2516.458,109.69759,
2513.548,114.05908,
2510.637,119.57369,
2507.726,109.87454,
2504.816,115.75057,
2501.905,108.69939,
2498.995,104.2055,
2496.084,116.18378,
2493.173,107.0394,
2490.263,116.41838,
2487.352,101.29173,
2484.442,106.23714,
2481.531,127.3084,
2478.621,114.21674,
2475.710,135.11198,
2472.799,115.03029,
2469.889,116.97578,
2466.978,125.52836,
2464.068,131.95373,
2461.157,114.86501,
2458.247,114.52943,
2455.336,130.75882,
2452.425,121.3113,
2449.515,131.14604,
2446.604,118.31455,
2443.694,113.90133,
2440.783,142.35023,
2437.872,109.54172,
2434.962,116.98733,
2432.051,117.22533,
2429.141,124.6558,
2426.230,133.79366,
2423.320,125.47765,
2420.409,151.39127,
2417.498,130.84832,
2414.588,123.07513,
2411.677,113.85959,
2408.767,129.49114,
2405.856,132.87854,
2402.946,133.08914,
2400.035,128.45188,
2397.124,115.92379,
2394.214,126.76479,
2391.303,126.46003,
2388.393,119.23605,
2385.482,126.94157,
2382.571,123.11109,
2379.661,101.83158,
2376.750,100.4568,
2373.840,113.81874,
2370.929,139.96843,
2368.019,131.8282,
2365.108,139.78403,
2362.197,132.72116,
2359.287,132.62828,
2356.376,154.21654,
2353.466,149.11479,
2350.555,134.62009,
2347.645,137.0659,
2344.734,147.28228,
2341.823,127.63141,
2338.913,133.42761,
2336.002,139.81215,
2333.092,141.92829,
2330.181,140.02237,
2327.270,148.80996,
2324.360,137.23351,
2321.449,130.7126,
2318.539,145.78211,
2315.628,137.48581,
2312.718,150.91521,
2309.807,144.59157,
2306.896,148.99804,
2303.986,148.25,
2301.075,144.54789,
2298.165,155.81756,
2295.254,138.7024,
2292.344,157.66906,
2289.433,160.54727,
2286.522,148.16967,
2283.612,152.84057,
2280.701,170.09751,
2277.791,165.68895,
2274.880,150.32404,
2271.969,142.08951,
2269.059,151.42168,
2266.148,141.28172,
2263.238,139.64768,
2260.327,165.83615,
2257.417,160.01278,
2254.506,162.48648,
2251.595,153.54826,
2248.685,153.5615,
2245.774,158.15108,
2242.864,160.22255,
2239.953,171.06385,
2237.043,164.14642,
2234.132,171.35129,
2231.221,167.27582,
2228.311,173.0786,
