,PL74D4~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.875,
3011.256,3.0249785,
3008.346,12.216295,
3005.435,5.626769,
3002.525,8.5774608,
2999.614,23.887336,
2996.704,22.443557,
2993.793,13.381912,
2990.882,16.598237,
2987.972,29.119955,
2985.061,18.371293,
2982.151,18.454422,
2979.240,16.657313,
2976.329,25.881825,
2973.419,36.601764,
2970.508,38.808356,
2967.598,14.981626,
2964.687,20.721467,
2961.777,26.501032,
2958.866,36.466747,
2955.955,26.642697,
2953.045,28.125,
2950.134,39.040475,
2947.224,25.950596,
2944.313,50.978988,
2941.403,34.088961,
2938.492,47.677837,
2935.581,41.237879,
2932.671,35.528465,
2929.760,46.709605,
2926.850,43.020489,
2923.939,39.325942,
2921.028,55.3899,
2918.118,48.14389,
2915.207,35.593311,
2912.297,56.02768,
2909.386,43.745432,
2906.476,31.164353,
2903.565,36.544259,
2900.654,44.242281,
2897.744,30.175289,
2894.833,30.413729,
2891.923,27.557701,
2889.012,25.535406,
2886.102,35.856092,
2883.191,-8.8391274,
2880.280,-17.401342,
2877.370,-125.03181,
2874.459,-217.11394,
2871.549,-153.42695,
2868.638,-24.957546,
2865.727,-9.0827148,
2862.817,13.968571,
2859.906,12.543793,
2856.996,36.636322,
2854.085,48.209059,
2851.175,44.146129,
2848.264,39.11533,
2845.353,29.448505,
2842.443,44.923607,
2839.532,44.572771,
2836.622,35.669922,
2833.711,49.428004,
2830.801,46.1397,
2827.890,55.228138,
2824.979,55.90296,
2822.069,50.147744,
2819.158,56.685652,
2816.248,54.412633,
2813.337,66.423788,
2810.427,53.602961,
2807.516,55.808437,
2804.605,65.30769,
2801.695,57.598675,
2798.784,40.233846,
2795.874,41.539229,
2792.963,51.267765,
2790.052,63.121997,
2787.142,55.138347,
2784.231,62.351724,
2781.321,43.565022,
2778.410,49.710026,
2775.500,55.251894,
2772.589,60.316899,
2769.678,55.517485,
2766.768,66.864819,
2763.857,51.072978,
2760.947,55.118696,
2758.036,56.666417,
2755.126,62.41346,
2752.215,60.443247,
2749.304,60.763494,
2746.394,66.891177,
2743.483,67.624931,
2740.573,62.494388,
2737.662,62.880924,
2734.751,48.683244,
2731.841,51.800825,
2728.930,55.451288,
2726.020,55.349537,
2723.109,52.692084,
2720.199,74.890706,
2717.288,58.774632,
2714.377,55.125,
2711.467,68.338186,
2708.556,60.433632,
2705.646,62.885581,
2702.735,67.627579,
2699.825,67.679536,
2696.914,68.363186,
2694.003,73.455086,
2691.093,68.821742,
2688.182,67.196851,
2685.272,71.045342,
2682.361,65.395742,
2679.450,64.495346,
2676.540,68.043704,
2673.629,62.13398,
2670.719,65.832953,
2667.808,65.368178,
2664.898,74.527726,
2661.987,67.691678,
2659.076,60.269402,
2656.166,70.237571,
2653.255,68.050171,
2650.345,71.693058,
2647.434,74.782045,
2644.524,69.580628,
2641.613,81.525379,
2638.702,74.345935,
2635.792,74.249628,
2632.881,72.50603,
2629.971,69.997489,
2627.060,67.790003,
2624.149,79.746877,
2621.239,75.870553,
2618.328,65.913064,
2615.418,64.443186,
2612.507,80.433266,
2609.597,73.410429,
2606.686,82.125,
2603.775,80.204364,
2600.865,79.654015,
2597.954,76.604141,
2595.044,80.508521,
2592.133,74.016769,
2589.223,94.065015,
2586.312,88.416477,
2583.401,84.165159,
2580.491,86.221162,
2577.580,71.111797,
2574.670,66.999321,
2571.759,89.786807,
2568.848,85.307244,
2565.938,91.648984,
2563.027,79.834017,
2560.117,85.508146,
2557.206,87.069648,
2554.296,76.900744,
2551.385,96.001009,
2548.474,111.90307,
2545.564,98.758111,
2542.653,104.82969,
2539.743,107.24823,
2536.832,73.715644,
2533.922,85.203846,
2531.011,92.049837,
2528.100,96.591897,
2525.190,100.86844,
2522.279,99.984306,
2519.369,94.710052,
2516.458,83.009562,
2513.548,82.979477,
2510.637,90.170206,
2507.726,103.31458,
2504.816,94.874717,
2501.905,93.125,
2498.995,88.080503,
2496.084,102.20513,
2493.173,89.624667,
2490.263,101.86628,
2487.352,104.41713,
2484.442,106.56827,
2481.531,101.97068,
2478.621,95.840595,
2475.710,116.00232,
2472.799,97.165392,
2469.889,92.003124,
2466.978,106.228,
2464.068,105.33662,
2461.157,90.702486,
2458.247,97.389755,
2455.336,101.80602,
2452.425,105.58255,
2449.515,105.96493,
2446.604,112.42689,
2443.694,97.21792,
2440.783,111.31869,
2437.872,120.61449,
2434.962,107.125,
2432.051,107.61266,
2429.141,91.754621,
2426.230,117.84331,
2423.320,117.79609,
2420.409,122.67005,
2417.498,114.30478,
2414.588,107.68018,
2411.677,98.77045,
2408.767,117.13681,
2405.856,133.25826,
2402.946,118.00525,
2400.035,105.02406,
2397.124,111.03408,
2394.214,125.4762,
2391.303,115.55048,
2388.393,113.35059,
2385.482,86.446854,
2382.571,77.251104,
2379.661,87.543705,
2376.750,89.701283,
