,PL75BA~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.375,
3011.256,1.375,
3008.346,22.951787,
3005.435,13.993378,
3002.525,21.24245,
2999.614,21.365936,
2996.704,31.923456,
2993.793,18.622696,
2990.882,17.550588,
2987.972,33.238786,
2985.061,15.685357,
2982.151,33.539711,
2979.240,24.223852,
2976.329,30.375,
2973.419,30.005809,
2970.508,37.008287,
2967.598,26.323594,
2964.687,19.224863,
2961.777,27.127063,
2958.866,46.377969,
2955.955,35.545363,
2953.045,27.410814,
2950.134,38.098016,
2947.224,22.001314,
2944.313,43.375,
2941.403,35.553377,
2938.492,38.778782,
2935.581,35.826516,
2932.671,24.259158,
2929.760,42.167303,
2926.850,50.747931,
2923.939,34.05726,
2921.028,37.93394,
2918.118,50.275505,
2915.207,40.248243,
2912.297,50.290374,
2909.386,42.593972,
2906.476,37.47614,
2903.565,42.601673,
2900.654,35.715737,
2897.744,49.274422,
2894.833,42.199727,
2891.923,34.455096,
2889.012,36.791185,
2886.102,37.166893,
2883.191,39.372168,
2880.280,29.274518,
2877.370,-34.35157,
2874.459,-49.801106,
2871.549,-62.506726,
2868.638,14.292454,
2865.727,15.08653,
2862.817,42.419097,
2859.906,34.628557,
2856.996,48.356885,
2854.085,56.776268,
2851.175,55.299762,
2848.264,39.870165,
2845.353,39.698505,
2842.443,51.979178,
2839.532,35.957165,
2836.622,36.195311,
2833.711,45.849097,
2830.801,35.483085,
2827.890,42.542842,
2824.979,45.807018,
2822.069,52.477349,
2819.158,55.674186,
2816.248,50.857631,
2813.337,65.240858,
2810.427,51.59539,
2807.516,40.48297,
2804.605,52.19231,
2801.695,49.151303,
2798.784,54.561846,
2795.874,45.654675,
2792.963,45.589148,
2790.052,64.370281,
2787.142,58.546193,
2784.231,51.376581,
2781.321,49.746397,
2778.410,45.354686,
2775.500,47.013968,
2772.589,50.413987,
2769.678,61.15997,
2766.768,54.635181,
2763.857,47.848989,
2760.947,55.406521,
2758.036,62.916417,
2755.126,63.14209,
2752.215,58.947845,
2749.304,54.290483,
2746.394,56.411324,
