,PL98E7~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.75,
3011.256,0.30001074,
3008.346,33.014213,
3005.435,18.598059,
3002.525,28.542506,
2999.614,28.512336,
2996.704,24.342785,
2993.793,27.98848,
2990.882,31.666058,
2987.972,40.674326,
2985.061,28.853452,
2982.151,35.392019,
2979.240,33.865008,
2976.329,47.25819,
2973.419,44.827022,
2970.508,42.59999,
2967.598,24.419077,
2964.687,44.436141,
2961.777,35.442142,
2958.866,60.097686,
2955.955,47.579637,
2953.045,52.483784,
2950.134,53.930754,
2947.224,53.177032,
2944.313,66.401709,
2941.403,43.892338,
2938.492,70.164627,
2935.581,58.819949,
2932.671,57.273638,
2929.760,73.076919,
2926.850,60.324813,
2923.939,67.90887,
2921.028,74.061788,
2918.118,78.129092,
2915.207,71.92723,
2912.297,84.699224,
2909.386,82.947081,
2906.476,64.820247,
2903.565,81.395932,
2900.654,80.372833,
2897.744,70.812861,
2894.833,69.976911,
2891.923,79.589808,
2889.012,61.536129,
2886.102,84.582427,
2883.191,63.772656,
2880.280,103.2811,
2877.370,41.250212,
2874.459,-10.187162,
2871.549,-2.8419024,
2868.638,54.618004,
2865.727,46.488449,
2862.817,57.578872,
2859.906,49.573356,
2856.996,78.184334,
2854.085,107.71431,
2851.175,67.701817,
2848.264,66.034333,
2845.353,68.728433,
2842.443,69.746518,
2839.532,78.182803,
2836.622,84.75,
2833.711,84.224097,
2830.801,81.052205,
2827.890,87.188823,
2824.979,87.97204,
2822.069,72.091163,
2819.158,91.868588,
2816.248,77.24421,
2813.337,95.162202,
2810.427,89.919415,
2807.516,81.757346,
2804.605,95.56731,
2801.695,85.736815,
2798.784,77.602154,
2795.874,76.879269,
2792.963,71.74957,
2790.052,75.746997,
2787.142,79.921193,
2784.231,81.976724,
2781.321,80.309978,
2778.410,74.994922,
2775.500,86.706203,
2772.589,79.636075,
2769.678,99.429192,
2766.768,87.010181,
2763.857,77.171966,
2760.947,86.259456,
2758.036,97.068528,
2755.126,84.081198,
2752.215,91.877299,
2749.304,88.516193,
2746.394,89.961691,
2743.483,95.149982,
2740.573,92.539796,
2737.662,82.292903,
2734.751,75.982976,
2731.841,92.913009,
2728.930,77.771137,
2726.020,85.306134,
2723.109,96.388999,
2720.199,97.868847,
2717.288,97.344901,
2714.377,105.26672,
2711.467,112.58626,
2708.556,96.97358,
2705.646,111.03174,
2702.735,112.40463,
2699.825,98.793628,
2696.914,95.940453,
2694.003,107.36464,
2691.093,106.08935,
2688.182,94.767036,
2685.272,116.23649,
2682.361,94.020742,
2679.450,99.490692,
2676.540,86.176806,
2673.629,99.117755,
2670.719,106.23153,
2667.808,95.917254,
2664.898,113.45136,
2661.987,107.48329,
2659.076,110.11422,
2656.166,115.21754,
2653.255,110.82483,
2650.345,104.82985,
2647.434,98.950344,
2644.524,109.43344,
2641.613,121.52184,
2638.702,109.06562,
2635.792,109.28041,
2632.881,116.90474,
2629.971,111.64258,
2627.060,115.75,
2624.149,113.9125,
2621.239,111.75,
2618.328,112.87716,
2615.418,115.08636,
2612.507,118.71441,
2609.597,112.66816,
2606.686,106.28214,
2603.775,117.23016,
2600.865,115.45648,
2597.954,117.55834,
2595.044,114.08038,
2592.133,111.08117,
2589.223,114.99106,
2586.312,141.06659,
2583.401,130.56749,
2580.491,118.1202,
2577.580,115.76155,
2574.670,120.81284,
2571.759,125.10873,
2568.848,122.04829,
2565.938,132.70245,
2563.027,122.75,
2560.117,115.12382,
2557.206,123.40682,
2554.296,131.03375,
2551.385,126.69204,
2548.474,142.30576,
2545.564,129.3198,
2542.653,149.11913,
2539.743,132.26848,
2536.832,127.72944,
2533.922,146.75,
2531.011,148.94981,
2528.100,147.81967,
2525.190,149.65574,
2522.279,138.28102,
2519.369,130.56121,
2516.458,125.85482,
2513.548,139.78607,
2510.637,147.87297,
2507.726,150.68681,
2504.816,140.37344,
2501.905,156.72073,
2498.995,139.52635,
2496.084,143.4712,
2493.173,124.19735,
2490.263,139.70483,
2487.352,153.16573,
2484.442,136.33245,
2481.531,140.38817,
2478.621,133.32339,
2475.710,173.51997,
2472.799,139.80386,
2469.889,137.44531,
2466.978,144.14179,
2464.068,145.62303,
2461.157,143.32749,
2458.247,145.32352,
2455.336,140.13356,
2452.425,140.42453,
2449.515,150.09928,
2446.604,154.10949,
2443.694,150.14558,
2440.783,151.51126,
2437.872,153.67707,
2434.962,151.75,
2432.051,155.16364,
2429.141,155.90298,
2426.230,143.53229,
2423.320,147.1641,
2420.409,151.72442,
2417.498,159.31462,
2414.588,151.40026,
2411.677,153.14444,
2408.767,163.75,
2405.856,168.44045,
2402.946,166.22006,
2400.035,176.23593,
2397.124,159.66977,
2394.214,180.8036,
2391.303,173.53455,
2388.393,172.24303,
2385.482,153.63124,
2382.571,151.59828,
2379.661,149.09878,
2376.750,154.75,
2373.840,177.49677,
2370.929,176.82581,
2368.019,171.5936,
2365.108,169.12173,
2362.197,169.16642,
2359.287,171.53997,
2356.376,181.73415,
2353.466,181.25181,
2350.555,162.65028,
2347.645,171.19769,
2344.734,172.6901,
2341.823,174.73342,
2338.913,183.86193,
2336.002,179.37919,
2333.092,171.42829,
2330.181,171.03132,
2327.270,175.58498,
2324.360,191.3467,
2321.449,190.36565,
2318.539,203.45338,
2315.628,200.89348,
2312.718,199.28304,
2309.807,193.38952,
2306.896,208.1913,
2303.986,188.36041,
2301.075,197.92019,
2298.165,200.15382,
2295.254,184.09469,
2292.344,199.43465,
2289.433,196.07045,
2286.522,191.20983,
2283.612,195.96047,
2280.701,201.34641,
2277.791,213.14888,
2274.880,197.68002,
2271.969,198.00515,
2269.059,209.77725,
2266.148,199.15902,
2263.238,198.24807,
2260.327,202.88795,
2257.417,205.22444,
2254.506,213.22296,
2251.595,215.32823,
2248.685,214.16921,
2245.774,205.83808,
2242.864,208.59288,
2239.953,220.52242,
2237.043,214.29501,
2234.132,207.95259,
2231.221,212.59239,
2228.311,218.96907,
2225.400,215.94702,
2222.490,223.49269,
2219.579,227.77571,
2216.669,227.75954,
2213.758,227.05458,
2210.847,211.62911,
2207.937,257.63267,
2205.026,235.08294,
2202.116,237.35936,
2199.205,224.47424,
2196.294,236.94001,
2193.384,224.80298,
2190.473,219.89202,
2187.563,259.78383,
2184.652,265.69572,
2181.742,253.84018,
2178.831,233.59433,
2175.920,242.65347,
2173.010,262.00057,
2170.099,242.21924,
2167.189,284.67107,
2164.278,273.16307,
2161.368,272.32112,
2158.457,275.78461,
2155.546,275.11347,
2152.636,293.77655,
2149.725,295.75672,
2146.815,312.14936,
2143.904,308.35594,
2140.993,316.92997,
2138.083,308.32745,
2135.172,322.78359,
2132.262,316.24648,
2129.351,334.3846,
2126.441,291.27412,
2123.530,303.81734,
2120.619,309.88761,
2117.709,300.72987,
2114.798,279.35392,
2111.888,292.31239,
2108.977,282.67052,
2106.067,270.44136,
2103.156,280.18786,
2100.245,261.7569,
2097.335,273.71335,
2094.424,280.2713,
2091.514,267.30904,
2088.603,257.66701,
2085.692,264.43033,
2082.782,275.59328,
2079.871,273.5353,
2076.961,271.75,
2074.050,268.79848,
2071.140,267.65821,
2068.229,256.47787,
2065.318,266.46701,
2062.408,275.87104,
2059.497,266.54762,
2056.587,269.29645,
2053.676,271.56662,
2050.766,296.67152,
2047.855,248.23414,
2044.944,262.6218,
2042.034,249.69799,
2039.123,269.75336,
2036.213,283.73436,
2033.302,282.03227,
2030.391,280.14039,
2027.481,291.06687,
2024.570,283.57897,
2021.660,292.04045,
2018.749,283.56005,
2015.839,279.01903,
2012.928,276.15268,
2010.017,260.10071,
2007.107,267.12385,
2004.196,280.79763,
2001.286,295.43902,
1998.375,268.95668,
1995.465,271.84196,
1992.554,256.59135,
1989.643,252.78456,
1986.733,271.84035,
1983.822,259.13552,
1980.912,274.28421,
1978.001,257.00418,
1975.090,256.96068,
1972.180,258.05983,
1969.269,251.29594,
1966.359,238.50671,
1963.448,263.04856,
1960.538,261.38886,
1957.627,261.42492,
1954.716,238.43944,
1951.806,257.91191,
1948.895,227.97867,
1945.985,261.29902,
1943.074,243.05641,
1940.164,221.46155,
1937.253,227.05426,
1934.342,227.70722,
1931.432,230.25473,
1928.521,238.99698,
1925.611,247.23695,
1922.700,255.29005,
1919.790,231.7734,
1916.879,214.72649,
1913.968,233.72541,
1911.058,264.51275,
1908.147,219.41424,
1905.237,219.38232,
1902.326,209.9248,
1899.415,216.01949,
1896.505,181.75,
1893.594,187.65551,
1890.684,193.20099,
1887.773,222.93887,
1884.863,224.70216,
1881.952,215.53997,
1879.041,212.21106,
1876.131,240.88201,
1873.220,245.13495,
1870.310,226.18501,
1867.399,255.2542,
1864.489,224.25627,
1861.578,238.80479,
1858.667,254.20213,
1855.757,228.34785,
1852.846,232.50897,
1849.936,232.30857,
1847.025,205.9909,
1844.114,209.71951,
1841.204,259.51573,
1838.293,258.76497,
1835.383,239.36651,
1832.472,258.03,
1829.562,268.44557,
1826.651,266.48511,
1823.740,255.3745,
1820.830,250.75,
1817.919,244.23499,
1815.009,241.03753,
1812.098,256.00983,
1809.188,255.87404,
1806.277,233.25903,
1803.366,242.81654,
1800.456,248.06897,
1797.545,272.2251,
1794.635,283.78295,
1791.724,265.73056,
1788.813,276.95154,
1785.903,282.21899,
1782.992,277.84834,
1780.082,239.45658,
1777.171,165.4047,
1774.261,126.22511,
1771.350,164.63976,
1768.439,234.28549,
1765.529,292.84544,
1762.618,314.50311,
1759.708,300.6195,
1756.797,291.52273,
1753.887,301.16108,
1750.976,305.44306,
1748.065,296.83449,
1745.155,318.0208,
1742.244,311.8859,
1739.334,289.4253,
1736.423,314.83781,
1733.512,299.37187,
1730.602,326.15085,
1727.691,329.53807,
1724.781,344.05468,
1721.870,342.31187,
1718.960,358.83911,
1716.049,334.22486,
1713.138,344.13992,
1710.228,341.52822,
1707.317,318.63571,
1704.407,354.38108,
1701.496,355.10381,
1698.586,365.83781,
1695.675,402.30693,
1692.764,362.14752,
1689.854,345.3996,
1686.943,343.78373,
1684.033,379.83106,
1681.122,378.78398,
1678.211,381.72145,
1675.301,415.64516,
1672.390,363.77393,
1669.480,372.05483,
1666.569,409.82618,
1663.659,415.37436,
1660.748,392.71144,
1657.837,392.08405,
1654.927,451.70314,
1652.016,449.43411,
1649.106,436.94585,
1646.195,445.46929,
1643.285,475.70704,
1640.374,516.08101,
1637.463,485.45257,
1634.553,524.23767,
1631.642,556.65228,
1628.732,548.147,
1625.821,614.73757,
1622.911,595.85707,
1620.000,658.94368,
1617.089,695.03358,
1614.179,694.7782,
1611.268,721.70902,
1608.358,771.36202,
1605.447,835.97908,
1602.536,800.61074,
1599.626,849.26624,
1596.715,843.76639,
1593.805,849.01032,
1590.894,850.63067,
1587.984,886.25978,
1585.073,835.59609,
1582.162,804.04296,
1579.252,790.74869,
1576.341,784.74468,
1573.431,782.18365,
1570.520,742.00239,
1567.610,748.37774,
1564.699,735.89923,
1561.788,727.34156,
1558.878,732.21211,
1555.967,682.55749,
1553.057,672.33604,
1550.146,683.59363,
1547.235,658.18531,
1544.325,673.11638,
1541.414,697.12983,
1538.504,689.58437,
1535.593,669.14257,
1532.683,650.07485,
1529.772,665.15595,
1526.861,684.71507,
1523.951,678.35904,
1521.040,693.3697,
1518.130,713.12683,
1515.219,727.42883,
1512.309,756.10582,
1509.398,712.58664,
1506.487,675.68738,
1503.577,649.92203,
1500.666,686.53347,
1497.756,694.12305,
1494.845,706.94792,
1491.934,615.7941,
1489.024,629.269,
1486.113,665.91141,
1483.203,638.5523,
1480.292,629.65893,
1477.382,619.85927,
1474.471,607.00669,
1471.560,592.86501,
1468.650,555.95286,
1465.739,577.89843,
1462.829,590.39456,
1459.918,580.88256,
1457.008,591.96557,
1454.097,606.21216,
1451.186,603.83898,
1448.276,568.75658,
1445.365,510.60624,
1442.455,508.49623,
1439.544,526.36578,
1436.633,506.52657,
1433.723,502.74396,
1430.812,518.8926,
1427.902,545.20881,
1424.991,522.46251,
1422.081,463.03147,
1419.170,468.98278,
1416.259,491.00158,
1413.349,488.19759,
1410.438,487.84934,
1407.528,493.89993,
1404.617,516.71236,
1401.707,498.42363,
1398.796,437.65218,
1395.885,410.43118,
1392.975,424.52091,
1390.064,422.15812,
1387.154,408.04902,
1384.243,400.92152,
1381.332,373.98738,
1378.422,343.55678,
1375.511,339.80966,
1372.601,395.04422,
1369.690,416.89445,
1366.780,449.84734,
1363.869,465.01477,
1360.958,472.37151,
1358.048,473.56338,
1355.137,497.45715,
1352.227,535.76317,
1349.316,574.58028,
1346.406,608.3045,
1343.495,589.08616,
1340.584,529.39183,
1337.674,598.14361,
1334.763,610.91441,
1331.853,641.51304,
1328.942,652.5341,
1326.032,665.16869,
1323.121,669.23193,
1320.210,698.38459,
1317.300,717.47186,
1314.389,732.05578,
1311.479,750.17713,
1308.568,762.26434,
1305.657,764.22138,
1302.747,768.87046,
1299.836,810.04727,
1296.926,792.75826,
1294.015,835.96647,
1291.105,859.76354,
1288.194,902.68715,
1285.283,888.40589,
1282.373,887.60934,
1279.462,897.14207,
1276.552,934.66353,
1273.641,958.56574,
1270.731,924.9291,
1267.820,904.7887,
1264.909,909.35446,
1261.999,912.35191,
1259.088,874.04283,
1256.178,951.40045,
1253.267,909.51193,
1250.356,871.75513,
1247.446,878.76509,
1244.535,869.44202,
1241.625,845.73149,
1238.714,855.51584,
1235.804,884.84223,
1232.893,884.63136,
1229.982,856.20996,
1227.072,869.78964,
1224.161,896.80562,
1221.251,860.05749,
1218.340,826.31564,
1215.430,810.24465,
1212.519,813.44691,
1209.608,822.75,
1206.698,817.64349,
1203.787,808.98117,
1200.877,842.86144,
1197.966,844.65976,
1195.055,841.33701,
1192.145,897.10075,
1189.234,926.13068,
1186.324,954.11578,
1183.413,978.49112,
1180.503,1000.252,
1177.592,1016.4366,
1174.681,977.27055,
1171.771,987.58516,
1168.860,980.44044,
1165.950,982.97516,
1163.039,956.51229,
1160.129,939.4413,
1157.218,966.03637,
1154.307,998.37897,
1151.397,990.71167,
1148.486,973.29756,
1145.576,987.78855,
1142.665,988.67646,
1139.754,1012.3452,
1136.844,1015.6491,
1133.933,1010.058,
1131.023,981.72892,
1128.112,965.8911,
1125.202,982.43601,
1122.291,964.12061,
1119.380,952.94055,
1116.470,972.35617,
1113.559,960.83152,
1110.649,948.89185,
1107.738,950.10818,
1104.828,941.43482,
1101.917,924.82109,
1099.006,939.91469,
1096.096,984.41729,
1093.185,929.98113,
1090.275,971.06913,
1087.364,950.18835,
1084.453,979.05975,
1081.543,990.83895,
1078.632,977.16614,
1075.722,1009.6903,
1072.811,1010.0889,
1069.901,958.56653,
1066.990,931.30839,
1064.079,979.5106,
1061.169,981.00105,
1058.258,961.32651,
1055.348,963.98354,
1052.437,966.50237,
1049.527,940.99196,
1046.616,973.13865,
1043.705,975.97923,
1040.795,977.66551,
1037.884,975.20984,
1034.974,964.30155,
1032.063,955.56525,
1029.153,967.33455,
1026.242,963.87473,
1023.331,968.74968,
1020.421,1006.6964,
1017.510,1009.8637,
1014.600,1011.592,
1011.689,1018.6278,
1008.778,993.25761,
1005.868,978.82722,
1002.957,987.43076,
1000.047,1028.062,
997.136,1045.6866,
994.226,1067.3805,
991.315,1084.7475,
