,PL98F1~1,
Wavenumbers [1/cm],Intensity,
3014.167,-2.625,
3011.256,0.72496779,
3008.346,40.134377,
3005.435,28.530479,
3002.525,47.470078,
2999.614,55.998364,
2996.704,53.145101,
2993.793,49.260368,
2990.882,47.023825,
2987.972,55.279146,
2985.061,37.261701,
2982.151,39.255673,
2979.240,62.123086,
2976.329,67.86681,
2973.419,66.267427,
2970.508,68.77496,
2967.598,56.136044,
2964.687,58.061141,
2961.777,53.597102,
2958.866,71.707838,
2955.955,77.68694,
2953.045,75.108784,
2950.134,74.736508,
2947.224,71.403469,
2944.313,80.015314,
2941.403,91.113138,
2938.492,82.247636,
2935.581,86.557828,
2932.671,85.018811,
2929.760,95.821141,
2926.850,84.584023,
2923.939,96.496507,
2921.028,96.769172,
2918.118,81.176009,
2915.207,85.254696,
2912.297,93.328456,
2909.386,93.207107,
2906.476,91.863783,
2903.565,79.794259,
2900.654,81.375,
2897.744,90.161272,
2894.833,73.375,
2891.923,71.753199,
2889.012,57.369221,
2886.102,63.689878,
2883.191,34.394824,
2880.280,-0.49582619,
2877.370,-147.49671,
2874.459,-278.88256,
2871.549,-143.18973,
2868.638,-9.8456752,
2865.727,30.590346,
2862.817,50.018045,
2859.906,69.337954,
2856.996,92.375,
2854.085,101.17754,
2851.175,88.043642,
2848.264,91.953336,
2845.353,83.022011,
2842.443,108.38196,
2839.532,88.404936,
2836.622,98.526693,
2833.711,97.271387,
2830.801,90.878675,
2827.890,99.020098,
2824.979,99.868969,
2822.069,94.602442,
2819.158,108.67419,
2816.248,109.83447,
2813.337,104.35427,
2810.427,101.63257,
2807.516,97.274376,
2804.605,107.76202,
2801.695,97.453931,
2798.784,97.857538,
2795.874,111.10061,
2792.963,100.375,
2790.052,115.37178,
2787.142,101.76985,
2784.231,109.82687,
2781.321,109.12356,
2778.410,106.61992,
2775.500,106.07741,
2772.589,103.1831,
2769.678,107.51835,
2766.768,100.50509,
2763.857,105.69099,
2760.947,103.34978,
2758.036,122.24775,
2755.126,105.0374,
2752.215,120.6296,
2749.304,118.26889,
2746.394,112.95162,
2743.483,117.42497,
2740.573,117.93914,
2737.662,112.92826,
2734.751,114.16622,
2731.841,113.69917,
2728.930,107.41727,
2726.020,122.48727,
2723.109,108.30309,
2720.199,119.88434,
2717.288,124.8312,
2714.377,120.89172,
2711.467,114.76841,
2708.556,111.16237,
2705.646,121.58631,
2702.735,119.55284,
2699.825,128.41863,
2696.914,127.18455,
2694.003,128.88882,
2691.093,127.91051,
2688.182,123.90241,
2685.272,130.57842,
2682.361,124.13373,
2679.450,119.17339,
2676.540,108.72051,
2673.629,125.375,
2670.719,117.66705,
2667.808,127.64547,
2664.898,119.63473,
2661.987,121.50836,
2659.076,125.86638,
2656.166,136.29283,
2653.255,130.8512,
2650.345,144.59097,
2647.434,133.20352,
2644.524,126.35579,
2641.613,142.37563,
2638.702,125.81687,
2635.792,126.99814,
2632.881,136.17866,
