,PL9A5F~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.375,
3011.256,0.82498926,
3008.346,35.538246,
3005.435,32.223059,
3002.525,34.24245,
2999.614,45.038645,
2996.704,41.51624,
2993.793,36.870392,
2990.882,44.329177,
2987.972,55.299326,
2985.061,43.921803,
2982.151,44.852308,
2979.240,46.540391,
2976.329,59.385921,
2973.419,48.821213,
2970.508,63.024911,
2967.598,40.709538,
2964.687,48.330163,
2961.777,40.315079,
2958.866,70.383908,
2955.955,58.375,
2953.045,61.641216,
2950.134,62.013492,
2947.224,77.289594,
2944.313,72.127849,
2941.403,73.720346,
2938.492,79.491519,
2935.581,72.305051,
2932.671,76.057425,
2929.760,85.701919,
2926.850,74.845301,
2923.939,82.618013,
2921.028,81.622152,
2918.118,81.654596,
2915.207,76.609155,
2912.297,86.328456,
2909.386,88.207107,
2906.476,73.964923,
2903.565,107.60167,
2900.654,88.481175,
2897.744,94.463005,
2894.833,94.364821,
2891.923,98.160306,
2889.012,93.664018,
2886.102,102.97905,
2883.191,86.391048,
2880.280,173.70038,
2877.370,186.2588,
2874.459,152.0414,
2871.549,101.01965,
2868.638,62.917295,
2865.727,84.159654,
2862.817,96.062142,
2859.906,90.716879,
2856.996,89.89085,
2854.085,110.14185,
2851.175,100.70636,
2848.264,87.806334,
2845.353,76.871042,
2842.443,94.184052,
2839.532,80.942197,
2836.622,99.251304,
2833.711,86.323193,
2830.801,82.677205,
2827.890,102.45892,
2824.979,100.23904,
2822.069,111.20442,
2819.158,95.614891,
2816.248,99.604736,
2813.337,110.22013,
2810.427,97.198688,
2807.516,87.065783,
2804.605,96.805292,
2801.695,93.32235,
2798.784,85.448923,
2795.874,89.364432,
2792.963,86.51755,
2790.052,105.36942,
2787.142,97.230501,
2784.231,103.92471,
2781.321,92.249279,
2778.410,94.109765,
2775.500,100.14086,
2772.589,99.52943,
2769.678,112.55245,
2766.768,106.01188,
2763.857,111.63704,
2760.947,98.349783,
2758.036,113.85919,
2755.126,113.47329,
2752.215,112.28872,
2749.304,109.65199,
2746.394,107.79838,
2743.483,107.17501,
2740.573,116.02106,
2737.662,99.928255,
2734.751,99.491488,
2731.841,109.29442,
2728.930,112.35386,
2726.020,110.38021,
2723.109,113.48842,
2720.199,118.98451,
2717.288,111.88231,
2714.377,108.44188,
2711.467,110.375,
2708.556,114.02384,
2705.646,110.61442,
2702.735,146.01931,
2699.825,121.44044,
2696.914,125.66092,
2694.003,121.43028,
2691.093,129.12471,
2688.182,122.90241,
2685.272,130.81739,
2682.361,123.19269,
2679.450,124.91408,
2676.540,117.47662,
2673.629,117.06561,
2670.719,116.65227,
2667.808,129.98592,
2664.898,137.59582,
2661.987,123.47477,
2659.076,129.21335,
2656.166,120.375,
2653.255,122.30017,
2650.345,118.8868,
2647.434,115.06091,
2644.524,127.7803,
2641.613,142.54659,
2638.702,135.53281,
2635.792,140.15467,
2632.881,141.98232,
2629.971,129.14007,
2627.060,129.54219,
2624.149,134.56249,
2621.239,142.36907,
2618.328,136.61203,
2615.418,126.67501,
2612.507,143.8572,
2609.597,121.76222,
2606.686,128.56978,
2603.775,132.25595,
2600.865,144.54909,
2597.954,143.51874,
2595.044,144.06233,
2592.133,135.70617,
2589.223,159.23081,
2586.312,156.49562,
2583.401,148.72172,
2580.491,150.375,
2577.580,145.37335,
2574.670,147.14237,
2571.759,154.92551,
2568.848,152.08217,
2565.938,170.42269,
2563.027,156.25231,
2560.117,151.82361,
2557.206,157.99124,
2554.296,152.6885,
2551.385,155.50706,
2548.474,176.04192,
2545.564,162.97646,
2542.653,164.38506,
2539.743,162.52287,
2536.832,151.88528,
2533.922,159.29615,
2531.011,160.69946,
2528.100,175.24259,
2525.190,175.74672,
2522.279,175.14051,
2519.369,167.05445,
2516.458,162.15474,
2513.548,170.84764,
2510.637,173.375,
2507.726,173.68727,
2504.816,167.62415,
2501.905,170.49085,
2498.995,161.98741,
2496.084,183.69554,
2493.173,163.76937,
2490.263,175.91402,
2487.352,165.001,
2484.442,181.36857,
2481.531,179.52932,
2478.621,172.60722,
2475.710,184.42101,
2472.799,183.22261,
2469.889,170.10078,
2466.978,180.81829,
2464.068,172.75592,
2461.157,177.18738,
2458.247,190.97787,
2455.336,188.31043,
2452.425,181.56839,
2449.515,188.84694,
2446.604,191.61929,
2443.694,183.18916,
2440.783,193.85248,
2437.872,191.30207,
2434.962,185.43491,
2432.051,176.81332,
2429.141,178.66324,
2426.230,188.6579,
2423.320,188.98882,
2420.409,203.83663,
2417.498,217.91435,
2414.588,209.48537,
2411.677,189.84116,
2408.767,199.08662,
2405.856,204.85349,
2402.946,210.73783,
2400.035,212.56749,
2397.124,198.38569,
2394.214,201.50901,
2391.303,198.3418,
2388.393,189.44473,
2385.482,182.46312,
2382.571,212.64201,
2379.661,174.86335,
2376.750,200.52757,
2373.840,201.68757,
2370.929,201.33168,
2368.019,220.71307,
2365.108,212.0949,
2362.197,218.19416,
2359.287,228.94659,
2356.376,224.38909,
2353.466,236.86139,
2350.555,211.21489,
2347.645,209.92731,
2344.734,209.22292,
2341.823,215.25892,
2338.913,225.19739,
2336.002,222.15014,
2333.092,217.24858,
2330.181,223.16526,
2327.270,214.03506,
2324.360,236.62738,
2321.449,224.72874,
2318.539,230.52486,
2315.628,236.67756,
2312.718,224.00935,
2309.807,236.21367,
2306.896,220.12304,
2303.986,228.51145,
2301.075,232.35375,
2298.165,254.51012,
2295.254,243.76277,
2292.344,232.37079,
2289.433,244.34409,
2286.522,242.02228,
2283.612,245.30484,
2280.701,252.16422,
2277.791,241.49522,
2274.880,242.44904,
2271.969,243.49846,
2269.059,251.90633,
2266.148,235.97266,
2263.238,247.56804,
2260.327,265.20243,
2257.417,252.45889,
2254.506,266.4206,
2251.595,251.8224,
2248.685,251.10572,
2245.774,260.88042,
2242.864,253.11565,
2239.953,252.33357,
2237.043,263.54393,
2234.132,263.72306,
2231.221,261.6644,
2228.311,263.11469,
2225.400,271.34685,
2222.490,268.33261,
2219.579,260.74262,
2216.669,273.3273,
2213.758,265.11093,
2210.847,266.65962,
2207.937,278.00854,
2205.026,285.48549,
2202.116,304.21045,
2199.205,296.17594,
2196.294,282.99498,
2193.384,290.217,
2190.473,289.65904,
2187.563,329.3025,
2184.652,310.6097,
2181.742,289.96598,
2178.831,298.41005,
2175.920,300.96334,
2173.010,307.25085,
2170.099,329.57292,
2167.189,327.46828,
2164.278,340.8152,
2161.368,343.375,
2158.457,337.86785,
2155.546,339.34425,
2152.636,327.56122,
2149.725,340.18035,
2146.815,349.20816,
2143.904,358.17797,
2140.993,363.27979,
2138.083,368.04667,
2135.172,384.90439,
2132.262,380.74912,
2129.351,397.74407,
2126.441,372.45258,
2123.530,371.3301,
2120.619,369.71435,
