,PL9B97~1,
Wavenumbers [1/cm],Intensity,
3014.167,-2.375,
3011.256,-0.375,
3008.346,31.091148,
3005.435,12.550798,
3002.525,28.795022,
2999.614,28.476963,
2996.704,38.987886,
2993.793,25.625,
2990.882,27.88453,
2987.972,43.55437,
2985.061,34.058503,
2982.151,32.579616,
2979.240,26.955782,
2976.329,39.873635,
2973.419,45.363382,
2970.508,45.541683,
2967.598,37.147088,
2964.687,35.266304,
2961.777,41.813016,
2958.866,62.968232,
2955.955,51.901546,
2953.045,52.625,
2950.134,55.657076,
2947.224,39.938157,
2944.313,53.321581,
2941.403,60.970346,
2938.492,55.454255,
2935.581,60.936619,
2932.671,56.586386,
2929.760,52.932676,
2926.850,52.154699,
2923.939,54.868013,
2921.028,75.448839,
2918.118,66.625,
2915.207,60.150236,
2912.297,61.599612,
2909.386,73.026459,
2906.476,60.72614,
2903.565,64.721293,
2900.654,62.225623,
2897.744,58.662717,
2894.833,61.625,
2891.923,38.91979,
2889.012,44.994943,
2886.102,64.041214,
2883.191,50.63916,
2880.280,79.285277,
2877.370,-26.142176,
2874.459,-92.211303,
2871.549,-31.690398,
2868.638,5.9899373,
2865.727,25.859633,
2862.817,43.397706,
2859.906,35.701913,
2856.996,63.606885,
2854.085,76.427537,
2851.175,68.859991,
2848.264,69.321327,
2845.353,46.862237,
2842.443,57.625,
2839.532,56.848885,
2836.622,61.956382,
2833.711,63.668971,
2830.801,69.128675,
2827.890,62.792842,
2824.979,64.773026,
2822.069,72.613628,
2819.158,75.425543,
2816.248,68.177107,
2813.337,89.789646,
2810.427,67.625,
2807.516,67.625,
2804.605,77.80769,
2801.695,72.361837,
2798.784,78.033615,
2795.874,66.598579,
2792.963,71.695953,
2790.052,73.622212,
2787.142,82.059424,
2784.231,75.530316,
2781.321,68.122118,
2778.410,64.774739,
2775.500,79.815341,
2772.589,76.855886,
2769.678,73.983384,
2766.768,73.49491,
2763.857,76.993015,
2760.947,71.612392,
2758.036,84.026361,
2755.126,89.103631,
2752.215,92.72967,
2749.304,85.051278,
2746.394,78.201618,
2743.483,83.224972,
2740.573,93.06086,
2737.662,83.614648,
2734.751,71.600803,
2731.841,75.652475,
2728.930,68.646137,
2726.020,79.51794,
2723.109,81.738417,
2720.199,96.821945,
2717.288,83.90602,
2714.377,82.49582,
2711.467,96.29752,
2708.556,76.018685,
2705.646,81.230654,
2702.735,101.45747,
2699.825,98.668628,
2696.914,99.863186,
2694.003,96.524185,
2691.093,98.606955,
2688.182,99.73463,
2685.272,104.87251,
2682.361,83.83679,
2679.450,86.871897,
2676.540,89.645324,
2673.629,85.979286,
2670.719,97.179542,
2667.808,100.06272,
2664.898,94.66391,
2661.987,96.491645,
2659.076,97.370688,
2656.166,96.737571,
2653.255,97.91922,
2650.345,87.944417,
2647.434,92.310911,
2644.524,94.991885,
2641.613,104.76831,
2638.702,105.73547,
2635.792,105.25112,
2632.881,107.01768,
2629.971,116.36998,
2627.060,109.79219,
2624.149,106.54375,
2621.239,101.61314,
2618.328,98.794549,
2615.418,106.275,
2612.507,116.72776,
2609.597,95.012225,
2606.686,95.351919,
2603.775,101.82341,
2600.865,107.32811,
2597.954,118.00831,
2595.044,117.36547,
2592.133,103.68236,
2589.223,110.0829,
2586.312,119.06221,
