,PLA0ED~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.625,
3011.256,0.074989263,
3008.346,17.706623,
3005.435,7.5119287,
3002.525,14.662472,
2999.614,15.517245,
2996.704,20.588924,
2993.793,2.3680879,
2990.882,17.228002,
2987.972,14.59473,
2985.061,13.058503,
2982.151,7.1762508,
2979.240,13.056547,
2976.329,21.12227,
2973.419,30.363382,
2970.508,27.458366,
2967.598,14.242671,
2964.687,16.654211,
2961.777,24.001032,
2958.866,33.968232,
2955.955,32.766577,
2953.045,30.826353,
2950.134,36.986508,
2947.224,19.023563,
2944.313,29.478988,
2941.403,39.530108,
2938.492,37.199527,
2935.581,36.512121,
2932.671,31.268811,
2929.760,49.021151,
2926.850,39.095301,
2923.939,30.582928,
2921.028,33.77202,
2918.118,42.364293,
2915.207,25.441317,
2912.297,49.489598,
2909.386,42.033756,
2906.476,25.470532,
2903.565,37.625,
2900.654,32.731175,
2897.744,45.536995,
2894.833,36.975546,
2891.923,37.057701,
2889.012,26.451591,
2886.102,43.188519,
2883.191,1.6608726,
2880.280,37.778104,
2877.370,-100.74088,
2874.459,-172.44404,
2871.549,-87.137389,
2868.638,-0.2348265,
2865.727,-7.1134487,
2862.817,7.2974433,
2859.906,0.3600341,
2856.996,25.10915,
2854.085,46.230074,
2851.175,24.887046,
2848.264,32.688831,
2845.353,22.185743,
2842.443,46.027785,
2839.532,38.192197,
2836.622,43.108074,
2833.711,36.20271,
2830.801,46.61765,
2827.890,39.334803,
2824.979,41.489035,
2822.069,40.727349,
2819.158,52.28538,
2816.248,49.153948,
2813.337,52.511586,
2810.427,49.713156,
2807.516,38.366095,
2804.605,41.625,
2801.695,42.756581,
2798.784,66.776923,
2795.874,43.189635,
2792.963,43.196275,
2790.052,53.621997,
2787.142,43.375116,
2784.231,42.851724,
2781.321,39.373559,
2778.410,39.774739,
2775.500,36.434659,
2772.589,37.241202,
2769.678,57.051585,
2766.768,44.522058,
2763.857,49.677022,
2760.947,48.650217,
2758.036,54.319278,
2755.126,45.956198,
2752.215,56.411423,
2749.304,44.051278,
2746.394,47.778235,
2743.483,54.524959,
2740.573,49.31742,
2737.662,33.869076,
2734.751,49.741488,
2731.841,46.165291,
2728.930,43.768991,
2726.020,54.625,
2723.109,39.553085,
2720.199,50.762522,
2717.288,51.431572,
2714.377,55.49582,
2711.467,48.281039,
2708.556,34.103737,
2705.646,45.456017,
2702.735,61.462632,
2699.825,55.843142,
2696.914,55.339558,
2694.003,63.725815,
2691.093,55.392753,
2688.182,61.789445,
2685.272,63.306366,
2682.361,61.989629,
2679.450,59.96247,
2676.540,52.625,
2673.629,47.979286,
2670.719,51.471589,
2667.808,67.18728,
2664.898,55.962547,
2661.987,59.224934,
2659.076,55.752156,
2656.166,55.317685,
2653.255,48.475342,
2650.345,62.817379,
2647.434,41.454382,
2644.524,64.675328,
2641.613,57.053662,
2638.702,73.388284,
2635.792,65.436569,
2632.881,64.541803,
2629.971,56.880023,
2627.060,62.457813,
2624.149,72.137492,
2621.239,77.122036,
2618.328,54.413064,
2615.418,52.611367,
2612.507,65.451062,
2609.597,61.451347,
2606.686,60.183239,
2603.775,59.902774,
2600.865,54.918523,
2597.954,67.38543,
