,PLAE70~1,
Wavenumbers [1/cm],Intensity,
3014.167,0,
3011.256,-0.20004295,
3008.346,22.677754,
3005.435,3.657248,
3002.525,19.207494,
2999.614,16.663645,
2996.704,15.867012,
2993.793,3.9723517,
2990.882,18.786293,
2987.972,28.909191,
2985.061,17.206905,
2982.151,23.238654,
2979.240,22.949617,
2976.329,19.740444,
2973.419,24.030551,
2970.508,35.466653,
2967.598,30.900803,
2964.687,12.820652,
2961.777,-4.7438108,
2958.866,37.67607,
2955.955,27.276546,
2953.045,36.816554,
2950.134,36.606415,
2947.224,30.227751,
2944.313,39.797721,
2941.403,42,
2938.492,40.701891,
2935.581,46.268689,
2932.671,37.480693,
2929.760,46.346162,
2926.850,32.992859,
2923.939,25.280377,
2921.028,47.117879,
2918.118,45.739293,
2915.207,38.82277,
2912.297,38,
2909.386,43.598541,
2906.476,35.744392,
2903.565,42.532595,
2900.654,39.446912,
2897.744,44.062861,
2894.833,46.525819,
2891.923,41.378199,
2889.012,25.497111,
2886.102,33.18784,
2883.191,24.007552,
2880.280,49.583725,
2877.370,-12.092876,
2874.459,-67.761056,
2871.549,-51.670752,
2868.638,-5.315487,
2865.727,13.919245,
2862.817,18.200526,
2859.906,25.595437,
2856.996,51.936598,
2854.085,60.718478,
2851.175,36.786138,
2848.264,39.642166,
2845.353,26.603877,
2842.443,50.80557,
2839.532,36.686624,
2836.622,32.061848,
2833.711,45.362647,
2830.801,39.41029,
2827.890,52.877646,
2824.979,53.160088,
2822.069,50.045488,
2819.158,50.579511,
2816.248,43.50579,
2813.337,50.63903,
2810.427,43.345727,
2807.516,30.165627,
2804.605,41.043274,
2801.695,51.263163,
2798.784,48.369615,
2795.874,35.554066,
2792.963,43.642658,
2790.052,54.996568,
2787.142,43.6185,
2784.231,42.774856,
2781.321,45.125721,
2778.410,51.564713,
2775.500,46.512073,
2772.589,52.538228,
2769.678,50.856646,
2766.768,40.013574,
2763.857,47.52794,
2760.947,55.465327,
2758.036,61.012805,
2755.126,54.331198,
2752.215,59.468175,
2749.304,45.043181,
2746.394,57.211691,
2743.483,58,
2740.573,54.451312,
2737.662,38.786979,
2734.751,53.373661,
2731.841,46.620874,
2728.930,50.470279,
2726.020,59,
2723.109,40.381752,
2720.199,61.903228,
2717.288,51.350368,
2714.377,63.708201,
2711.467,61.065928,
2708.556,52.818946,
2705.646,56.619709,
2702.735,61.167526,
2699.825,58.087257,
2696.914,58.047733,
2694.003,66.48618,
2691.093,68.803843,
2688.182,66.071851,
2685.272,61.96444,
2682.361,51.576419,
2679.450,57.539081,
2676.540,55.040648,
2673.629,56.00449,
2670.719,61.065624,
2667.808,63.097271,
2664.898,64.116729,
2661.987,63.933156,
2659.076,58.745688,
2656.166,74.787998,
2653.255,57.551025,
2650.345,66.079854,
2647.434,48.057732,
2644.524,69.227814,
2641.613,72.114394,
2638.702,70.063124,
2635.792,59.875372,
2632.881,62.196341,
2629.971,72.979908,
2627.060,70.666875,
2624.149,75.890615,
2621.239,71.224802,
2618.328,59.745677,
2615.418,57.981823,
2612.507,78.411021,
2609.597,64.203592,
2606.686,63.558239,
2603.775,63.757933,
2600.865,66.17409,
2597.954,74.143742,
2595.044,75.017713,
2592.133,59.382048,
2589.223,65.373696,
2586.312,76.291477,
2583.401,66.65328,
2580.491,78.793231,
2577.580,58.99835,
2574.670,54.402416,
2571.759,66.470021,
2568.848,70.828661,
2565.938,87.142917,
2563.027,72.047771,
2560.117,70.803761,
2557.206,68.86347,
2554.296,68.141876,
2551.385,71.884079,
2548.474,100.29666,
2545.564,86.696422,
2542.653,95.463087,
2539.743,80.703323,
2536.832,70.796265,
2533.922,84.110385,
2531.011,92.924837,
2528.100,92.13587,
2525.190,85.418853,
2522.279,96.343428,
2519.369,79.981315,
2516.458,73.555949,
2513.548,85.327114,
2510.637,95.385173,
2507.726,89.434953,
2504.816,89.686581,
2501.905,86.434756,
2498.995,78.940281,
2496.084,85.358929,
2493.173,85.420528,
2490.263,83.168379,
2487.352,92.666133,
2484.442,85,
2481.531,87.632952,
2478.621,90.767775,
2475.710,109.91565,
2472.799,93.080783,
2469.889,77.423827,
2466.978,85.773141,
2464.068,102.36513,
2461.157,88.464914,
2458.247,99.588196,
2455.336,97.637968,
2452.425,85.627344,
2449.515,87.226617,
2446.604,91.769615,
2443.694,92.139823,
2440.783,87.474098,
2437.872,92.291719,
2434.962,96.059913,
2432.051,94.753267,
2429.141,104.28824,
2426.230,92.782294,
2423.320,102.15712,
2420.409,93.545053,
2417.498,101.93261,
2414.588,95.110366,
2411.677,77.8606,
2408.767,99.482284,
2405.856,99.221406,
2402.946,95.785524,
2400.035,90.201877,
2397.124,99.684482,
2394.214,117.2172,
2391.303,104.56369,
2388.393,91.225594,
2385.482,88.220309,
2382.571,104.67094,
2379.661,89.976979,
2376.750,87.679681,
2373.840,102,
2370.929,103.97834,
2368.019,106.12006,
2365.108,114.20942,
2362.197,108.2219,
2359.287,108.99164,
2356.376,118.98415,
2353.466,133.09256,
2350.555,104.65484,
2347.645,96.223843,
2344.734,102.8802,
2341.823,104.01658,
2338.913,119.02683,
2336.002,104.52863,
2333.092,111.11508,
2330.181,104.24553,
2327.270,105.88999,
2324.360,111.92454,
2321.449,107.58504,
2318.539,124.7462,
2315.628,127.63069,
2312.718,116.05066,
2309.807,120.54651,
2306.896,123.71674,
2303.986,117.09096,
2301.075,122.53192,
2298.165,135.36565,
2295.254,122.36623,
2292.344,137.05396,
2289.433,125.28181,
2286.522,117.13389,
2283.612,124.76021,
2280.701,136.38563,
2277.791,131.8779,
2274.880,107.35396,
2271.969,114.83951,
2269.059,124.73026,
2266.148,107.00668,
2263.238,123.08878,
2260.327,107.62077,
2257.417,116.71167,
2254.506,125.87752,
2251.595,125.15279,
2248.685,133.20379,
2245.774,119.17617,
2242.864,138.89777,
2239.953,126.64131,
2237.043,131.5968,
2234.132,117.24677,
2231.221,133.47554,
2228.311,130.56187,
2225.400,134.02815,
2222.490,135,
2219.579,139.44475,
2216.669,154.96661,
2213.758,141.12677,
2210.847,127.58187,
2207.937,153.8599,
2205.026,148.11079,
2202.116,154.90234,
2199.205,148.17506,
2196.294,152.61998,
2193.384,152.73699,
2190.473,126.11854,
2187.563,171.96133,
2184.652,162.19266,
2181.742,150.22705,
2178.831,153.91443,
2175.920,162.83424,
2173.010,162,
2170.099,169.79911,
2167.189,167.06458,
2164.278,179.08141,
2161.368,192.14344,
2158.457,183.38902,
2155.546,190.80289,
2152.636,186.03193,
2149.725,187.16107,
2146.815,205.39936,
2143.904,193.10408,
2140.993,204.62961,
2138.083,210.36474,
2135.172,214.96641,
2132.262,215.24472,
2129.351,219.79659,
2126.441,222,
2123.530,212.93266,
2120.619,205.76152,
2117.709,195.62681,
2114.798,183.94994,
2111.888,176,
2108.977,187.44372,
2106.067,191.72487,
2103.156,184.84115,
2100.245,174.99937,
2097.335,173.75916,
2094.424,167.45236,
2091.514,160.86566,
2088.603,174.0507,
2085.692,174.77322,
2082.782,185.1887,
2079.871,175.85648,
2076.961,185.16049,
2074.050,184.3697,
2071.140,173.44816,
2068.229,176.10157,
2065.318,169.88951,
2062.408,171.15129,
2059.497,176.02978,
2056.587,189.54645,
2053.676,182.83383,
2050.766,197.61435,
2047.855,180.19935,
2044.944,187.53205,
2042.034,185.78606,
2039.123,175.80135,
2036.213,181.92441,
2033.302,182.23899,
2030.391,183.5595,
2027.481,194.13401,
2024.570,199.84283,
2021.660,196.23652,
2018.749,216.16421,
2015.839,193.65485,
2012.928,185.91946,
2010.017,184.13029,
2007.107,185.72339,
2004.196,194.83331,
2001.286,203.71022,
1998.375,197.29921,
1995.465,198.65268,
1992.554,184.3472,
1989.643,182,
1986.733,189.25088,
1983.822,180.6551,
