,PLB08E~1,
Wavenumbers [1/cm],Intensity,
3014.167,2,
3011.256,-0.10002147,
3008.346,68.427459,
3005.435,52.925798,
3002.525,75.510067,
2999.614,80.762336,
2996.704,77.955671,
2993.793,75.610024,
2990.882,87.564882,
2987.972,90.984865,
2985.061,90.660102,
2982.151,84.312597,
2979.240,85.48193,
2976.329,101.26502,
2973.419,108.83132,
2970.508,101.41658,
2967.598,107.66546,
2964.687,105.77581,
2961.777,106.47004,
2958.866,124.67162,
2955.955,111.17036,
2953.045,119.55034,
2950.134,125.03208,
2947.224,115.56938,
2944.313,136.79772,
2941.403,136.39279,
2938.492,141.82925,
2935.581,146.60733,
2932.671,135.84121,
2929.760,141.46538,
2926.850,152.37293,
2923.939,142.84113,
2921.028,162.88848,
2918.118,145.1801,
2915.207,144.23416,
2912.297,168.88999,
2909.386,158.43065,
2906.476,150.03935,
2903.565,165.95185,
2900.654,163.83518,
2897.744,166.02514,
2894.833,158.10328,
2891.923,166.70521,
2889.012,171.45087,
2886.102,206.87296,
2883.191,201.01227,
2880.280,312.24883,
2877.370,363.84881,
2874.459,360.91155,
2871.549,233.32819,
2868.638,188.86392,
2865.727,169.46927,
2862.817,173.94383,
2859.906,161.50711,
2856.996,184.98189,
2854.085,190.76051,
2851.175,179.73795,
2848.264,171.93617,
2845.353,162.32351,
2842.443,171.80905,
2839.532,164,
2836.622,173.84831,
2833.711,176.15542,
2830.801,170.00735,
2827.890,173.16784,
2824.979,179.642,
2822.069,168.2047,
2819.158,183.71967,
2816.248,163.56369,
2813.337,203.23661,
2810.427,173.64738,
2807.516,176.94969,
2804.605,190.52643,
2801.695,177,
2798.784,161.25669,
2795.874,169.41951,
2792.963,170.28553,
2790.052,172.9985,
2787.142,173.30281,
2784.231,167.16307,
2781.321,182.11996,
2778.410,171.90482,
2775.500,182.89276,
2772.589,167.77063,
2769.678,184.82255,
2766.768,179.18835,
2763.857,203.5761,
2760.947,184.02522,
2758.036,193.92997,
2755.126,189.04914,
2752.215,193.5092,
2749.304,191.40469,
2746.394,201.69353,
2743.483,208,
2740.573,201.7898,
2737.662,202.22337,
2734.751,195.74283,
2731.841,205.16301,
2728.930,199.94056,
2726.020,209.77025,
2723.109,199.56708,
2720.199,215.82513,
2717.288,200.80657,
2714.377,217.0623,
2711.467,218.03296,
2708.556,203.22358,
2705.646,203.76058,
2702.735,227.50258,
2699.825,217.28359,
2696.914,228.2864,
