,PLB9E1~1,
Wavenumbers [1/cm],Intensity,
3014.167,-5.375,
3011.256,0.17501074,
3008.346,40.980508,
3005.435,27.165639,
3002.525,41.587528,
2999.614,46.427618,
2996.704,48.403354,
2993.793,37.491936,
2990.882,48.708942,
2987.972,57.529146,
2985.061,48.822057,
2982.151,44.01154,
2979.240,59.157313,
2976.329,55.608619,
2973.419,66.178787,
2970.508,67.391673,
2967.598,41.816165,
2964.687,55.654211,
2961.777,62.095039,
2958.866,74.960808,
2955.955,67.830757,
2953.045,69.725677,
2950.134,70.986508,
2947.224,62.222845,
2944.313,79.029558,
2941.403,92.006385,
2938.492,78.625,
2935.581,86.372223,
2932.671,79.466213,
2929.760,88.832697,
2926.850,79.304324,
2923.939,82.625,
2921.028,104.20169,
2918.118,92.724495,
2915.207,77.441317,
2912.297,91.531911,
2909.386,85.062944,
2906.476,80.470532,
2903.565,84.463517,
2900.654,90.68364,
2897.744,88.549567,
2894.833,92.521724,
2891.923,89.596093,
2889.012,77.45737,
2886.102,75.188519,
2883.191,74.622168,
2880.280,54.830726,
2877.370,-33.10157,
2874.459,-94.375,
2871.549,-50.808672,
2868.638,38.948664,
2865.727,48.625,
2862.817,65.383007,
2859.906,76.85292,
2856.996,85.095563,
2854.085,130.35616,
2851.175,94.908174,
2848.264,96.394827,
2845.353,91.819103,
2842.443,105.81595,
2839.532,103.53551,
2836.622,96.383463,
2833.711,102.20271,
2830.801,102.72574,
2827.890,106.70892,
2824.979,108.983,
2822.069,118.63637,
2819.158,117.34467,
2816.248,114.37211,
2813.337,124.2433,
2810.427,107.05888,
2807.516,109.46672,
2804.605,111.28126,
2801.695,118.23026,
2798.784,108.21638,
2795.874,108.32947,
2792.963,107.98191,
2790.052,108.62371,
2787.142,104.90158,
2784.231,126.23836,
2781.321,114.05926,
2778.410,107.2849,
2775.500,122.64465,
2772.589,118.20222,
2769.678,122.16084,
2766.768,132.98812,
2763.857,133.99109,
2760.947,113.6187,
2758.036,127.8735,
2755.126,129.57586,
2752.215,129.90223,
2749.304,123.1358,
2746.394,126.89515,
2743.483,135.47498,
2740.573,144.8352,
2737.662,118.0821,
2734.751,126.625,
2731.841,116.81364,
2728.930,117.0147,
2726.020,137.2934,
2723.109,130.64575,
2720.199,143.88137,
2717.288,140.7637,
2714.377,140.43352,
2711.467,147.314,
2708.556,125.10374,
2705.646,146.59689,
2702.735,145.45232,
2699.825,145.49411,
2696.914,158.10137,
2694.003,140.75345,
2691.093,145.1966,
2688.182,154.97093,
2685.272,153.74876,
2682.361,139.28985,
2679.450,141.82661,
2676.540,141.74694,
2673.629,141.65194,
2670.719,141.82926,
2667.808,160.04137,
2664.898,150.70282,
2661.987,148.69151,
2659.076,139.13362,
2656.166,152.33494,
2653.255,161.40051,
2650.345,155.86456,
2647.434,137.1683,
2644.524,159.41639,
2641.613,170.6822,
2638.702,155.8775,
2635.792,154.5293,
2632.881,164.42866,
2629.971,164.98744,
2627.060,166.79219,
2624.149,163.08437,
2621.239,163.625,
2618.328,172.86203,
2615.418,159.60682,
2612.507,170.1072,
2609.597,144.37949,
2606.686,160.27362,
2603.775,171.14087,
2600.865,173.67966,
2597.954,190.86457,
2595.044,190.66928,
2592.133,170.22999,
2589.223,177.89028,
2586.312,182.54966,
2583.401,177.50095,
2580.491,188.17308,
2577.580,189.60685,
2574.670,177.79479,
2571.759,183.33219,
2568.848,189.625,
2565.938,205.38713,
2563.027,180.1136,
2560.117,178.18572,
2557.206,189.70618,
2554.296,205.16962,
2551.385,202.5509,
2548.474,214.25512,
2545.564,193.63798,
2542.653,215.07802,
2539.743,200.2051,
2536.832,189.8493,
2533.922,203.67231,
2531.011,207.99988,
2528.100,191.3671,
2525.190,209.20082,
2522.279,220.87463,
2519.369,204.71939,
2516.458,198.73336,
2513.548,217.47015,
2510.637,220.31759,
2507.726,213.75139,
2504.816,213.00042,
2501.905,221.3061,
2498.995,209.26669,
2496.084,206.99784,
2493.173,207.44056,
2490.263,213.59112,
2487.352,229.58327,
2484.442,223.78347,
2481.531,217.94409,
2478.621,222.08945,
2475.710,225.67867,
2472.799,224.23944,
2469.889,209.77461,
2466.978,212.24365,
2464.068,222.99013,
2461.157,231.58748,
2458.247,227.94844,
2455.336,226.85789,
2452.425,234.29953,
2449.515,237.23831,
2446.604,237.74715,
2443.694,233.53208,
2440.783,254.24775,
2437.872,238.625,
2434.962,231.79552,
2432.051,229.20555,
2429.141,238.08393,
2426.230,236.49462,
2423.320,241.23882,
2420.409,249.27906,
2417.498,237.80478,
2414.588,236.0851,
2411.677,250.87601,
2408.767,259.39567,
2405.856,270.72259,
2402.946,256.40427,
2400.035,262.80811,
2397.124,263.8496,
2394.214,270.16659,
2391.303,261.94004,
2388.393,237.66684,
2385.482,259.47939,
2382.571,257.15702,
2379.661,245.36917,
2376.750,237.36397,
2373.840,272.19669,
2370.929,259.88491,
2368.019,273.38487,
2365.108,263.53076,
2362.197,278.01405,
2359.287,280.42333,
2356.376,289.60915,
2353.466,304.15766,
2350.555,270.41503,
2347.645,280.50578,
2344.734,280.32084,
2341.823,284.5255,
2338.913,294.60558,
2336.002,286.92877,
2333.092,282.41837,
2330.181,293.25921,
2327.270,295.90003,
2324.360,295.10376,
2321.449,301.3937,
2318.539,300.75345,
2315.628,308.01988,
2312.718,312.15804,
2309.807,312.625,
2306.896,311.61717,
2303.986,313.41076,
2301.075,320.85904,
2298.165,312.0479,
2295.254,303.75426,
2292.344,305.04406,
2289.433,312.96091,
2286.522,324.40616,
2283.612,334.625,
2280.701,337.22141,
2277.791,329.90552,
2274.880,333.62906,
2271.969,322.625,
2269.059,332.67951,
2266.148,309.98393,
2263.238,326.51301,
2260.327,346.14218,
2257.417,340.57389,
2254.506,342.81588,
2251.595,341.05409,
2248.685,339.15193,
2245.774,329.61417,
2242.864,354.07886,
2239.953,358.34918,
2237.043,344.78036,
2234.132,335.07435,
2231.221,347.41576,
2228.311,361.32344,
2225.400,363.01904,
2222.490,375.69664,
2219.579,370.59929,
2216.669,378.5773,
2213.758,371.6655,
2210.847,368.26731,
2207.937,382.09567,
2205.026,388.18039,
2202.116,386.33202,
2199.205,374.81206,
2196.294,388.12099,
2193.384,380.25698,
2190.473,386.77876,
2187.563,408.66367,
2184.652,413.61276,
2181.742,388.64674,
2178.831,385.89355,
2175.920,402.54485,
2173.010,419.92659,
2170.099,434.55754,
2167.189,436.51737,
2164.278,421.33153,
2161.368,430.48083,
2158.457,452.54148,
2155.546,452.35193,
2152.636,454.14097,
2149.725,445.96729,
2146.815,469.75741,
2143.904,464.41684,
2140.993,451.14344,
2138.083,472.98974,
2135.172,483.04523,
2132.262,484.48856,
2129.351,496.99407,
2126.441,491.13953,
2123.530,519.625,
2120.619,513.84543,
