,PLC1D2~1,
Wavenumbers [1/cm],Intensity,
3014.167,0,
3011.256,-0.55001074,
3008.346,24.273885,
3005.435,22.886929,
3002.525,32.414989,
2999.614,46.327291,
2996.704,54.955671,
2993.793,33.866936,
2990.882,45.083942,
2987.972,56.94955,
2985.061,46.55665,
2982.151,45.119327,
2979.240,40.848852,
2976.329,57.519111,
2973.419,64.553787,
2970.508,66.383337,
2967.598,58.761044,
2964.687,58.298233,
2961.777,47.598134,
2958.866,59.665677,
2955.955,58.723454,
2953.045,73.733784,
2950.134,73.361508,
2947.224,61.597845,
2944.313,85.595442,
2941.403,71.749546,
2938.492,80.552837,
2935.581,80.451516,
2932.671,76.600866,
2929.760,82.069232,
2926.850,82.052256,
2923.939,91.121507,
2921.028,100.64132,
2918.118,92.099495,
2915.207,81.525236,
2912.297,114.83921,
2909.386,104.40146,
2906.476,88.876426,
2903.565,90.677034,
2900.654,99.446912,
2897.744,106.88685,
2894.833,93.051638,
2891.923,78.701897,
2889.012,94.121388,
2886.102,103.58379,
2883.191,103.99811,
2880.280,138.66986,
2877.370,146.64536,
2874.459,45.22033,
2871.549,58.631327,
2868.638,66.865959,
2865.727,84.738449,
2862.817,90,
2859.906,76.190873,
2856.996,99.506793,
2854.085,114.72482,
2851.175,101.54522,
2848.264,103.12766,
2845.353,84.560743,
2842.443,109.6007,
2839.532,97.35828,
2836.622,87.972004,
2833.711,103.73313,
2830.801,95.41029,
2827.890,104.62588,
2824.979,94.876097,
2822.069,100.17058,
2819.158,109.29919,
2816.248,101.49421,
2813.337,122.23661,
2810.427,97.426987,
2807.516,99.215939,
2804.605,105.18269,
2801.695,103.69737,
2798.784,101.29569,
2795.874,91.424797,
2792.963,87.928403,
2790.052,97.996997,
2787.142,108.81592,
2784.231,110.22672,
2781.321,87.502882,
2778.410,101.63958,
2775.500,109.46828,
2772.589,96.346329,
2769.678,108.28323,
2766.768,105.20192,
2763.857,101.05202,
2760.947,101.03152,
2758.036,104.30572,
2755.126,105.47222,
2752.215,115.46818,
2749.304,110.63849,
2746.394,112.54029,
2743.483,126.94998,
2740.573,123.01545,
2737.662,112.55326,
2734.751,107.09229,
2731.841,123.62272,
2728.930,109.77543,
2726.020,109.55613,
2723.109,110.88658,
2720.199,121.76571,
2717.288,118.15694,
2714.377,123.25836,
2711.467,114.96704,
2708.556,123.52126,
2705.646,113.85913,
2702.735,122.35569,
2699.825,135.19633,
2696.914,125.19045,
2694.003,129.15609,
2691.093,139.23225,
2688.182,130.54444,
2685.272,136.0882,
2682.361,110.84716,
2679.450,123.6954,
2676.540,120.77644,
2673.629,115.64122,
2670.719,130.21165,
2667.808,120.58363,
2664.898,125.07782,
2661.987,138.36681,
2659.076,116.94183,
2656.166,128.11257,
2653.255,127.85034,
2650.345,133.56806,
2647.434,118.02887,
2644.524,130.54437,
2641.613,133.68573,
2638.702,133.01578,
2635.792,139.43769,
2632.881,140.30948,
2629.971,136.76507,
2627.060,134.16594,
2624.149,135.40626,
2621.239,133.75741,
2618.328,121.46626,
2615.418,133.65909,
2612.507,143.82606,
2609.597,132.56088,
2606.686,126.45384,
2603.775,138.91666,
2600.865,138.70311,
2597.954,131.91037,
2595.044,150.99114,
2592.133,139.54763,
2589.223,145.26528,
2586.312,141.3417,
2583.401,142.10219,
2580.491,151.88939,
2577.580,153.97359,
2574.670,142.4278,
2571.759,156.75257,
2568.848,150.76791,
2565.938,149.76199,
2563.027,139.46363,
2560.117,137.55139,
2557.206,162.12177,
2554.296,155.43249,
2551.385,166.30594,
2548.474,176.59294,
2545.564,168.50649,
2542.653,175.92617,
2539.743,165.66636,
2536.832,148.2243,
2533.922,171.93692,
2531.011,178.44912,
2528.100,184.67589,
2525.190,173.11516,
2522.279,174.0938,
2519.369,168.75516,
2516.458,149.7762,
2513.548,167.41791,
2510.637,161.55334,
2507.726,168.43866,
2504.816,168.37542,
2501.905,176.6811,
2498.995,170.47775,
2496.084,178,
2493.173,173.02616,
2490.263,172.98871,
2487.352,192.58267,
2484.442,181.29123,
2481.531,173.31387,
2478.621,173.0711,
2475.710,190.90799,
2472.799,175.79376,
2469.889,172.30195,
2466.978,161.68058,
2464.068,178.94188,
2461.157,173,
2458.247,180.67656,
2455.336,191,
2452.425,193.67453,
2449.515,185.12266,
2446.604,183.17974,
2443.694,178,
2440.783,189.33559,
2437.872,193.81768,
2434.962,190.83871,
2432.051,192.09869,
2429.141,200.8116,
2426.230,186.36901,
2423.320,204.37151,
2420.409,201.7564,
2417.498,216.76125,
2414.588,199.02293,
2411.677,178.50202,
2408.767,195.79429,
2405.856,212.1595,
2402.946,204.99375,
2400.035,206.19249,
2397.124,197.5508,
2394.214,193.3512,
2391.303,194.67954,
2388.393,187.29533,
2385.482,193.55938,
2382.571,202.22858,
2379.661,180.23252,
2376.750,181.10593,
2373.840,204.09989,
2370.929,222.87004,
2368.019,224.71248,
2365.108,194.34817,
2362.197,203.98631,
2359.287,200.4117,
2356.376,215.97006,
2353.466,226.42468,
2350.555,216.44487,
2347.645,207.44769,
2344.734,215.24426,
2341.823,214.06633,
2338.913,233.87606,
2336.002,203.31565,
2333.092,216.91979,
2330.181,218.07158,
2327.270,206.88008,
2324.360,217.41978,
2321.449,227.50679,
2318.539,225.19268,
2315.628,227.02558,
2312.718,228.4163,
2309.807,235.09301,
2306.896,244.205,
2303.986,234.83124,
2301.075,243.14894,
2298.165,241.20191,
2295.254,223.38777,
2292.344,234.09951,
2289.433,246.25863,
2286.522,236.241,
2283.612,242.23979,
2280.701,267.82954,
2277.791,226.40075,
2274.880,235.14402,
2271.969,235.86831,
2269.059,255.40601,
2266.148,241.92488,
2263.238,240.19691,
2260.327,246.75845,
2257.417,235.45611,
2254.506,251.78632,
2251.595,248.28728,
2248.685,259.52111,
2245.774,255.89025,
2242.864,253.5187,
2239.953,262.59307,
2237.043,255.92109,
2234.132,261.77911,
2231.221,260.68206,
2228.311,245.04125,
2225.400,278.57782,
2222.490,262.7003,
2219.579,258.36762,
2216.669,262.49285,
2213.758,259.43398,
2210.847,246.52142,
2207.937,285.24913,
2205.026,264.88863,
2202.116,272.26221,
2199.205,279.59953,
2196.294,278.88403,
2193.384,283.78902,
2190.473,282.13615,
2187.563,307.95166,
2184.652,299.65673,
2181.742,302.49919,
2178.831,287.43969,
2175.920,284.50273,
2173.010,306.65193,
2170.099,306.46775,
2167.189,321.15786,
2164.278,341.53266,
2161.368,338.7136,
2158.457,353.84725,
2155.546,348.83364,
2152.636,337.72874,
2149.725,347.48321,
2146.815,351.93326,
2143.904,374.50186,
2140.993,374.80958,
2138.083,373.40115,
2135.172,397.97481,
2132.262,394.11532,
2129.351,385.46894,
2126.441,399.01946,
2123.530,373.38162,
2120.619,402.45891,
2117.709,371.36312,
2114.798,355.84222,
2111.888,338.90018,
2108.977,331.18543,
2106.067,327.48324,
2103.156,313.80247,
2100.245,312.00439,
2097.335,319.84293,
2094.424,326,
2091.514,318.49187,
2088.603,314.0184,
2085.692,318.68033,
2082.782,319.24094,
2079.871,329.2147,
2076.961,323.51662,
2074.050,320.66061,
2071.140,315.60907,
2068.229,322.36719,
2065.318,322.59301,
2062.408,311.28746,
2059.497,325.66672,
2056.587,348.70929,
2053.676,326.13473,
2050.766,337.61435,
2047.855,312.45567,
2044.944,327.86699,
2042.034,327.94799,
2039.123,330.65993,
2036.213,311.86881,
2033.302,324.86902,
2030.391,326.01774,
2027.481,318.92675,
2024.570,336.32819,
2021.660,315.47823,
2018.749,335.43014,
2015.839,318.84777,
2012.928,311.66611,
2010.017,325.23452,
2007.107,303.23177,
2004.196,301.58335,
2001.286,323.73141,
1998.375,336.69587,
1995.465,315.76161,
1992.554,302.11183,
1989.643,297.13825,
1986.733,291.74912,
