,PLCB9D~1,
Wavenumbers [1/cm],Intensity,
3014.167,2.5,
3011.256,0.15003221,
3008.346,33.562279,
3005.435,18.309189,
3002.525,30.255034,
2999.614,31.302618,
2996.704,46.907215,
2993.793,37.509216,
2990.882,30.5,
2987.972,56.358741,
2985.061,30.716752,
2982.151,26.454616,
2979.240,32.5,
2976.329,44.521841,
2973.419,47.315404,
2970.508,47.733327,
2967.598,52.114056,
2964.687,32.618885,
2961.777,40.594008,
2958.866,58.834323,
2955.955,50.670363,
2953.045,56.683446,
2950.134,58.712831,
2947.224,43.727751,
2944.313,60.039175,
2941.403,60.071169,
2938.492,63.223582,
2935.581,62.569949,
2932.671,62.182425,
2929.760,66.480757,
2926.850,69.925187,
2923.939,64.378493,
2921.028,71.811788,
2918.118,66.779596,
2915.207,61.734155,
2912.297,77.428068,
2909.386,69.113135,
2906.476,54.345532,
2903.565,62.822966,
2900.654,69.346289,
2897.744,66.474856,
2894.833,64.087637,
2891.923,47.281993,
2889.012,55.205203,
2886.102,55.231092,
2883.191,36.511328,
2880.280,8.7296561,
2877.370,-92.697414,
2874.459,-160.25485,
2871.549,-108.94646,
2868.638,9.5514946,
2865.727,18.157694,
2862.817,46.64436,
2859.906,52.639598,
2856.996,56.024908,
2854.085,79.548371,
2851.175,60.906596,
2848.264,64.720502,
2845.353,50.190145,
2842.443,79.902785,
2839.532,63.529936,
2836.622,66.196615,
2833.711,69.759034,
2830.801,87.08971,
2827.890,74.77098,
2824.979,73.574013,
2822.069,74.636465,
2819.158,83.079511,
2816.248,79.741315,
2813.337,87.386586,
2810.427,81.242429,
2807.516,81.39203,
2804.605,86.295673,
2801.695,79.276303,
2798.784,67.091385,
2795.874,72.494716,
2792.963,70.428403,
2790.052,86.49571,
2787.142,88.539578,
2784.231,86.726724,
2781.321,74.688581,
2778.410,77.914974,
2775.500,90.753789,
2772.589,89.730886,
2769.678,96.141616,
2766.768,77.962103,
2763.857,85.447978,
2760.947,87.481087,
2758.036,109.91417,
2755.126,92.5,
2752.215,95.159124,
2749.304,94.010795,
2746.394,100.5,
2743.483,100.5,
2740.573,88.966764,
2737.662,88.946745,
2734.751,88.267024,
2731.841,94.527475,
2728.930,83.071996,
2726.020,92.949074,
2723.109,91.180501,
2720.199,98.696945,
2717.288,92.306572,
